all	alla	Match	['universell_kvantifierare', '∀', 'akut_lymoblastisk_leukemi', 'akut_lymfoblastisk_leukemi', 'universella_stängning', 'helt_och_hållet', 'universella_stängningen', 'all', 'akut_lymfatisk_leukemi', 'alla', 'allt', 'universella_kvantifierare', 'akut_lymfocytisk_leukemi', 'allkvantifikator', 'helt', 'bcr', 'universell_kvantifiering', 'fullständigt', 'allkvantor']
and	samt	Incorrect	['logisk_konjunktion', 'ock', 'logiska_grindar', 'and', 'diskret_logik', 'andgrind', 'armed_and_dangerous', 'logisk_grind', 'konjunktion', 'logiska_grinden', 'och', '∧', 'grind']
animal	djuren	Found close match: ['djur', 'djurrike', 'djurriket']	['fauna', 'animal_science', 'live_at_the_lyceum', 'faunan', 'animal', 'best', 'epifauna', 'wasp', 'djur', 'djurriket', 'animalia', 'epifaunal', 'animaliska', 'varelse', 'business_the_american_way', 'animera_vara', 'varelse_typ', 'djurens_reproduktion', 'metazoans', 'faunistisk', 'live_at_the_lyceum_london', 'animal_2005', 'djurart', 'makrofauna', 'road_warrior_animal', 'metazoa', 'far_east_movement', 'djurliv', 'flercelliga_djur', 'växt', 'infauna', 'mike_dupke', 'djurrike', 'animalisk', 'reality_check', 'djurvärld']
ashes	aska	Match	['the_perfect_element_part_i', 'post_mortem', 'aska', 'the_ashes', 'ashes']
at	vid	Not found	[]
back	tillbaka	Match	['kotorna', 'dorsum', 'stödja', 'bokbindning', 'sissybar', 'back', 'tighthead_prop', 'baksidan', '백', 'kotpelare', 'ryggrad', 'flyhalv', 'utanför_centrum', 'vänsterback', 'flyhalf', 'tillbaka', 'försvarare', 'tillbaks', 'högerback', '_stam', 'ytterback', 'framsida', 'backa_upp', 'pärm', 'centrum_halv', 'ryggraden', 'kotor', 'stöder', 'bakåt', 'mitten_insida', 'backa', 'thorakalkyfos', 'omslag', 'ryggstödet', 'baksida', 'mittback', 'mitt_bak', 'första_femåttonde', 'spole', 'columna_vertebralis', 'rygg', 'bindning']
bad	dåliga	Match	['bad_tour', 'skämd', 'royce_da_5_9', 'onda', 'dålig', 'rutten', 'dåligt', 'ond', 'extrem_ondska', 'big_audio_dynamite', 'det_onda', 'ondska', 'royce_da_59', 'dåliga', 'förstörd', 'elak', 'dålighet', 'bad', 'bad_world_tour']
bark	växtsaft	Incorrect	['tremastad_bark', 'binär_aritmetisk_reläkalkylator', 'korklister', 'iljusjin_il2', 'sjturmovik', 'korklist', 'barck', 'skälla', 'il2_sturmovik', 'iljushin_il2', 'bark', 'skall', 'korkpor', 'il2_sjturmovik', 'korkporer', 'barkskepp', 'barken', 'periderm', 'sturmovik', 'binär_automatisk_relä_kalkylator']
because	eftersom	Match	['därför_att', 'på_grund_av', 'because', 'eftersom']
belly	stjärten	Incorrect	['buk', 'magmusklerna', 'abdominal', 'bukmuskler', 'magar', 'buk_mage', 'bukta', 'kalaskula', 'magen', 'bukhålan', 'mage', 'belly', 'mänskliga_buken', 'bukhåla', 'buken']
