ability	{'evne', 'aptitude'}
accomplished	set()
all	{'helt', 'akutt_lymfatisk_leukemi', 'all', 'totalt', 'universelle_quantifier', 'universell_quantifier', 'fullstendig', 'universal_quantifier', 'akutt_lymfoblastisk_leukemi', 'universelle_nedleggelse', 'universell_kvantifisering', 'alle'}
and	{'logisk_«og»', 'logikk_gate', 'logisk_port', 'og', 'logikk_krets', 'logisk_sammenheng', 'armed_and_dangerous', 'konjunksjon', 'logisk_og', 'and', 'logiske_porter', '∧', 'diskret_logikk'}
angry	{'press_to_play', 'sinne', 'olm', 'angriness', 'vrede', 'raseri', 'sint_rasende', 'kay_starr', 'olm_rasende', 'mad_season', 'sint', 'sinna'}
animal	{'road_warrior_animal', 'dyreliv', 'metazoa', 'flercellede_dyr', 'faunistikk', 'dyreart', 'w.a.s.p', 'randy_pipers_animal', 'krek', 'skapning_type', 'epifauna', 'far_east_movement', 'epifaunal', 'reality_check', 'fauna', 'skapning', 'animere_være', 'w.a.s.p.', 'metazoans', 'dyr', 'animalia', 'joseph_laurinaitis', "randy_piper's_animal", 'reproduksjon_av_dyr', 'makrofauna', 'dyreriket', 'anlegg', 'wasp', 'infauna', 'animal'}
apartment	{'leilighet', 'leiligheter', 'herskapshus_blokk', 'blokk_med_leiligheter', 'boligblokker', 'hybelleilighet', 'apartment', 'leiligheten', 'hage_leilighet'}
applause	{'applause', 'håndklapping', 'håndklapp', 'applaus', 'klapping'}
argument	{'skrå_argument', 'ordskifte', 'logisk_argument', 'contestation', 'resonnement', 'debatt', 'argumentet', 'krangling', 'kontroverser', 'disputt', 'kranglet', 'politisk_debatt', 'debatten_team', 'parameter', 'musikalske_argument', 'linjen', 'argument', 'argumentasjon', 'argumenter', 'tale_og_debatt', 'verb_argument', 'debatter', 'argumentasjonsteori', 'disceptation', 'kontrovers', 'litterær_argument', 'diskutere', 'uttalelsen'}
argumentatively	set()
art	{'beaux_arts_arkitektur', 'kunstneriske_uttrykk', 'artikkel', 'prowess', 'grafikk', 'beaux-arts-stil', "d'ni", 'kunstneriske', 'kunstnerisk_skapelse', 'kunsten', 'kunstnerisk_produksjon', 'art', 'kunstteori', 'kunst', 'kunstverk', 'kunstner', 'fine_art', 'beaux-arts_arkitektur', 'nontextual_saken', 'grafisk', 'beaux_arts', 'fine-art', 'fri_kunst', 'agouti-relatert_peptid', 'artisteri', 'beaux-arts', 'fine_arts', 'kunst_design'}
ashes	{'post_mortem', 'ashes'}
at	{'config.sys', 'toyota_coaster', 'republikken_østerrike', 'østerrike', 'østerike', 'austria', 'automatgir', 'lak', 'automatiske_girkasser', '@', 'automatisk_stasjon', 'på', 'østerriket', 'krøllalfa', 'snabel-a.', 'atomnummer_85', 'alfakrøll', 'snabel-a', 'austerrikar', 'automatisk_girkasse', 'at', 'kip', 'laotisk_kip', 'bruton_største_tyrosinkinase', 'oesterreich', 'astat', 'østerriksk', 'austerrike', '₭'}
attitude	{'fremtreden', 'tilbøyelighet', 'frodig', 'attitude', 'holdning', 'innstilling', 'orientering', 'yaw', 'dårlig_oppførsel', 'oppførsel', 'mental_holdning', 'reload', 'demeanor', 'euler_vinkler', 'papirretning', 'tendens', 'atferd', 'beliggenhet', 'disposisjon', 'sosial_atferd', 'opptreden', 'feilinnstilling', 'væremåte', 'gjerninger', 'stilling', 'åtferd', 'romlig_orientering', 'adferd', 'adferdsproblem', 'tait-bryan_rotasjoner', 'posisjon', 'atferdsmessige', 'holdningen'}
back	{'virvelsøyle', 'ryggvirvler', 'utenfor_sentrum', 'brystvirvler', 'bakside', 'rygg', 'ryggsøylen', 'ryggen', 'fly_halv', 'sissy-bar', 'innsiden_sentrum', 'ryggvirvel', 'forsvar', 'venstre-back', 'back', 'rygge', 'ryggrad', 'fly_halvparten', 'columna', 'støtte', 'midt_bak', 'flyhalf', 'thoracalcolumna', 'bak', 'ryggrad_ryggsøyle', 'første_fem-åttende', 'ryggvirvlene', 'baksiden', 'høyreback', 'tighthead_prop', 'ryggrad_ryggsøyle_virvelsøyle', 'ryggstø', 'ryggje', 'ryggsøyle', 'tilbake', 'ryggraden', 'midtstopper', 'bokbinding', 'rachis', 'virvelsøylen', 'b.a.c.k.', 'forsvarsspiller'}
bad	{'dårlig', 'det_onde', 'bad_tour', 'royce_da_5\'9"', 'bad_world_tour', 'bad', 'evilness', 'barksdale_air_force_base', 'utgått_råtten', 'ondskap', 'barksdale_flystasjon', 'big_audio_dynamite', 'råtten', 'onde'}
bag	{'bagful', 'kopp_te', 'håndveske_handveske', 'gamle_bag', 'sekk', 'papirpose', 'reise_bag', 'posen', 'jur', 'håndvesker', 'plast_handlekurv', 'juret', 'stjele', 'multisets', 'burugle', 'pose', 'vesker', 'veske', 'stjele_stele', 'bærepose', 'koffert', 'multiset', 'håndveske', 'greie'}
ball	{'strike_zone', 'john_ball', 'ballock', 'testiklene', 'teste', 'kuler', 'fotball', '2-sfæren', 'studentball', 'testis', 'ballen', 'slug', 'baller', 'testikkel', 'tennisballer', 'kuleformede', 'testicular', 'sfære', 'tennisball', 'prosjektil', 'klump', 'lucille_ball', 'halvkuleformet', 'sfære_kule', 'glob', 'testikler', 'ball', 'muskett_ball', 'streiken_sonen', '2-sfære', 'overflate_av_kule', 'kule', 'klatt', 'åpen_ball', 'skoleball', 'pokker', 'sfærisk', 'lukkede_kulen', 'lukket_ball'}
bar	{'barriere_stranden', 'forvise', 'utelukke', 'advokatsamfunn', 'bryggeri_trykk', 'spett', 'matrinymikon', 'browning_automatgevær', 'bar_drikkested_kneipe_bule', 'bairisk_dialekt', 'beta-2-reseptoren', 'gin_mill', 'bar_drikkested_kneipe', 'sandrev', 'foobar', 'barriereøy', 'bar', 'forebygging', 'hostelry', 'pennestrøk', 'barre', 'barriere-øy', 'jernspett', 'saloon_keeper', 'mål', 'farens', 'pub_tegn', 'taproom', 'patronym', 'strekfarge', 'mbar', 'bayersk_dialekt', 'pub_mat', 'barroom', 'patrynomic', 'bar_drikkested', 'sandbanke', 'puber', 'bayrisk_dialekt', 'beta-2_adrenerge_reseptor', 'ekskludere', 'juridiske_profesjon', 'public_house', 'advocatus', 'metronymikon', 'tap_house', 'bayersk_språk', 'pub_grub', 'advokatforening', 'pothouse', 'stimer', 'millibar', 'taphouse', 'bairisk_språk', 'utstøte', 'offentlige_hus', 'tavernaer', 'taverna', 'country_inn', 'barline', 'stim', 'juridiske_samfunnet', 'cocktailbar', 'farnesoid_x_reseptor', 'bjelke', 'strek', 'pub', 'sand_bank', 'bayrisk_språk', 'bjelke_bom', 'boarisch', 'offentlig_hus', 'bairisk', 'patronymikon', 'ginmill', 'foo'}
bark	{'gjø', 'barkskip', 'periderm', 'bjeffe', 'bark', 'bjeff', 'barque', 'tre_bark', 'iljusjin_il-2'}
bear	{'stå', 'inneholde', 'mike_brown', 'bjørnefamilien', 'bamse', 'bjørner', 'bære', 'ursider', 'bear', 'holde', 'motstå', 'tolerere', 'binne', 'tupolev_tu-95ms', 'fram', 'utstå', 'tupolev_tu_95ms', 'bjørn', 'webelos', 'tupolev_tu_95-ms', 'ursidae', 'tåle', 'ekte_bjørner', 'bjørnen_samfunnet', 'ursine', 'føde', 'tupolev_tu_95', 'ta'}
beat	{'svevning', 'metrikk', 'slag', 'musikalsk_rytme', 'beat', 'beseire', 'overvinne', 'off-beat', 'puls', 'beat_frekvens', 'rytmisk', 'runde', 'hjerteslag', 'rytme_rytmikk', 'siteswap', 'poetisk_meter', 'kvantitativ_meter', 'versemål', 'rytme', 'beatnik', 'slå', 'kvantitativ_vers', 'meter', 'rytmer', 'rytmisk_enhet'}
because	{'på_grunn_av', 'because'}
bed	{'vass-seng', 'seng', 'vannseng', 'slede', 'elveleie', 'søm', 'bed', 'sengetøy_flyet', 'vasseng', 'elveleiet', 'køyeseng', 'pule', 'jokke', 'kvile', 'bunn', 'sengen', 'overspisingslidelse', 'knulle', 'strømmen_seng', 'streambed', 'kjenne', 'bekkefar'}
beer	{'campaign_for_real_ale', 'camra', 'fatøl', 'manna', 'kampanjen_for_real_ale', 'renhetsloven', 'mjød', 'brygging_industrien', 'øl', 'ølsort', 'beer_i_devon', 'ale', 'humle', 'bryggeriindustri', 'beer'}
belly	{'vom', 'magemusklene', 'abdomen', 'underlivet', 'buk', 'belly', 'menneskelige_magen', 'mage', 'magen'}
