ability	{'alkalmasság', 'képesség'}
accomplished	set()
all	{'valamennyi', 'univerzális_kvantor', 'egyetemes_mennyiségi', 'minden', 'univerzális_kvantifikáció', 'akut_limfoblasztos_leukémia', 'mindannyian', 'egészen', 'egyetemes_lezárását', 'all', 'akut_limfocitás_leukémia', 'teljesen'}
and	{'logikai_kapuk', 'and', 'xnor', 'konjunkció', 'logikai_összefüggésben', 'diszkrét_logikai', 'armed_and_dangerous', 'nand', 'logikai_kapu', 'logikai_áramkör', 'nor', 'not'}
angry	{'harag', 'angriness', 'bősz', 'mad_season', 'mérges', 'kay_starr', 'press_to_play', 'haragos', 'őrjöngő', 'anger', 'dühös'}
animal	{'állati_szaporodás', 'epifauna', 'állatok', 'fauna', 'mike_duda', 'road_warrior_animal', 'animal', 'makrofauna', 'lelkesít,_hogy', 'far_east_movement', 'infauna', 'állatélet', 'mike_dupke', 'lény_típus', 'w.a.s.p.', 'reality_check', 'növényi', 'animalia', 'állat', 'metazoans', 'állatvilág', 'epifaunal', 'wasp', 'lény', 'doug_blair'}
apartment	{'szerelmi_fészek', 'apartman', 'panelházban', 'apartman_komplexum', 'lakás', 'apartmanok', 'kúria_blokk', 'lakóházak', 'apartment'}
applause	{'tapsvihar', 'taps', 'applause', 'kézzel_taps', 'handclaps', 'tapsoló'}
argument	{'érv', 'azzal_érvelve,', 'ellentétek', 'érvelés_elmélet', 'vita', 'érvek', 'vitakör', 'érvelés', 'ellentmondásos', 'irodalmi_érv', 'zenei_érvet', 'politikai_vita', 'megvitassák', 'beszéd_és_a_vita', 'argumentum', 'logikai_érvelés', 'pertraktáció', 'ferde_érv', 'paraméter', 'érvelést', 'vonal', 'peresítés', 'vita_csapat', 'viták', 'disceptation'}
argumentatively	set()
art	{'névelő', 'beaux-arts_építészeti', 'grafika', 'fine_arts', 'rajzolás', 'művésziesség', 'képzőművészet', 'ábra', "d'ni", 'agouti-rokon_peptid', 'művészet', 'művészeti_termelés', 'művészi', 'art', 'android_runtime', 'nontextual_ügy', 'szépművészet', 'művészi_kifejezés', 'művészeti_alkotás', 'bátorság', 'artwork', 'beaux_arts', 'névmutató', 'finom_művészeti', 'art_design', 'beaux_arts_építészet', 'művész', 'beaux-arts_stílusban', 'képzőművész', 'finom_art', 'grafikus'}
ashes	{'ashes', 'post_mortem'}
at	{'a', '₭', 'laoszi_kip', '"kukac"', 'oesterreich', 'automatikus_meghajtó', 'osztrák_köztársaság', 'config.sys', 'atomszám_85', 'automata_sebességváltó', 'kukac', 'österreich', '@', 'bruton_a_tirozin-kináz', 'asztácium', 'republik_österreich', 'német-ausztria', 'at', 'kip', 'ausztria', 'toyota_coaster', 'kukacjel', 'automata_sebességváltóval', 'az_osztrák_köztársaság'}
attitude	{'attitude', 'tájolás', 'lelki_beállítottsága', 'térbeli_tájékozódás', 'burjánzó', 'hozzáállás', 'magatartás', 'malpresentation', 'hajlam', 'viselkedése', 'hozzáállása', 'póz', 'viselkedés', 'euler-szögek', 'testtartás', 'szociális_viselkedés', 'neveletlenség', 'mesterkedés', 'helyzetben', 'irány', 'szociális_attitűd', 'betájolás', 'orientáció', 'reload', 'testhelyzet', 'viselkedési', 'euler_szögek', 'tendencia'}
back	{'szár', 'bal-back', 'hátsó', 'könyvkötészet', 'kötés', 'tighthead_prop', 'rachis', 'vissza', 'háttámla', 'bal_hátsó', 'csigolyák', '백', 'első_öt-nyolcadik', 'gerincoszlop', 'hátgerinc', 'hátvéd', 'csigolya', 'jobb_hátsó', 'középhátvéd', 'borító', 'hát_közepén', 'gerincoszlopot', 'hátulja', 'vertebron', 'fly_felét', 'flyhalf', 'hát', 'védő', 'back', 'b.a.c.k.', 'hátulsó', 'támogatom', 'gerinc'}
bad	{'bad', 'rossz', 'rosszaság', 'royce_da_5\'9"', 'big_audio_dynamite', 'gonosz', 'bad_world_tour', 'gonoszság', 'romlott'}
bag	{'szatyor', 'multisets', 'koffer', 'táska', 'bőrönd', 'zacskó', 'bevásárlószatyor', 'papírzacskóban', 'bag', 'multiset', 'táskák', 'lop', 'műanyag_bevásárló_táska', 'egy_zsáknyi', 'csésze_tea', 'papírzacskót', 'tőgy', 'vén_szatyor', 'kézitáska', 'hordozó_táska', 'zsák', 'emlő', 'tasak', 'tehén_tőgye', 'utazózsák'}
ball	{'ballock', 'félgömb_alakú', 'gömb_alakú', 'gömb', 'herék', 'bál', 'teste', 'lucille_ball', 'gömb_qualifier', 'zárt_labdát', 'heregolyó', 'golyók', 'strike_zone', 'golyó', 'labda', 'john_ball', 'ball', 'labda_qualifier', 'focilabda', 'here', 'pete', 'futball-labda', 'meztelen_csiga', 'sztrájk_zóna', 'wilfred_williams_ball', 'teniszlabda', '2-gömb', 'baromság', 'labdát', 'gombolyag', 'tök', 'testis', 'muskéta_golyó', 'mogyoró', 'golyó_qualifier', 'glob'}
