ability	kemampuan	Match	['kemampuan', 'daya_upaya', 'kesanggupan', 'kemahiran', 'kuasa', 'kapabilitas', 'kecakapan', 'kapasitas', 'bakat', 'kebolehan', 'pembawaan']
accomplished	handal	Incorrect	['siap', 'dicapai', 'tercapai']
angry	marah	Match	['geram', 'angriness', 'kay_starr', 'kegusaran', 'mengganas', 'mengkal', 'amarah', 'press_to_play', 'meradang', 'marah', 'gusar', 'menggila', 'mad_season', 'kemarahan', 'murka', 'rengus', 'radang', 'gemas', 'memberongsang', 'kehangusan_hati', 'kemurkaan', 'berang', 'angry']
apartment	apartemen	Match	['kompleks_apartemen', 'apartemen_taman', 'flat', 'bangunan_apartemen', 'apartemen', 'apartment', 'blok_rumah', 'rumah_pangsa', 'apartement', 'blok_flat']
applause	pujian	Found close match: ['tepukan']	['tepuk_tangan', 'applause', 'tepukan', 'bertepuk_tangan', 'bertepuk', 'handclaps', 'tangan_bertepuk_tangan']
argument	argumen	Match	['pembantahan', 'kontroversial', 'debating', 'diskusi', 'masyarakat_berdebat', 'disceptation', 'sastra_argumen', 'membahas', 'perbantahan', 'perdebatan', 'debat_politik', 'debat', 'pertengkaran', 'argumentasi', 'cara', 'garis_penalaran', 'argumen_logis', 'pidato_dan_debat', 'tim_debat', 'hujah', 'tengkarah', 'argumen_miring', 'argumen_musik', 'kontroversi', 'pertikaian', 'mendiskusikan', 'argumen_verba', 'berdebat', 'perbahasan', 'perbalahan', 'teori_argumentasi', 'argumen', 'parameter', 'pernyataan', 'alasan']
art	seni	Match	['bakat', 'grafis', 'artistik', 'kesenian', 'ekspresi_artistik', 'art', 'cara', 'gaya_beauxarts', 'grafika', 'artikula', 'nontextual_materi', 'fineart', 'beaux_arts', 'makalah', 'seni_murni', 'artikel', 'kecakapan', 'seni_penciptaan', 'agoutirelated_peptide', 'grafik', 'baik_seni', 'kart', 'karya_seni', 'seni', 'desain_seni', 'seni_rupa', 'arab_radio__television', 'kata_sandang', 'keindahan', 'dni', 'beaux_arts_arsitektur', 'beauxarts_arsitektur', 'artistik_produksi']
attitude	sikap	Match	['keadaan', 'kenakalan', 'gerak_langkah', 'perilaku_sosial', 'lagak', 'attitude', 'perlakuan', 'malpresentation', 'akhlak', 'posisi', 'perilaku', 'arah', 'sikap', 'disposisi', 'perangai', 'orientasi', 'adab', 'pekerti', 'laku', 'perawakan', 'haluan', 'cenderung', 'sikapnya', 'sikap_mental', 'ragam', 'reload', 'postur', 'tingkah_laku', 'kedudukan', 'kegemaran', 'sudut_euler', 'kelakuan', 'tindak_tanduk', 'kecenderungan', 'inklanasi', 'tindakan', 'gaya', 'respons_tindakan_terhadap_dorongan', 'pendirian', 'go0007610', 'kecondongan', 'merajalela', 'orientasi_spasial', 'keberpihakan']
bag	bungkusan	Found close match: ['bungkus']	['kopor', 'kambing', 'timpamenimpa', 'pangkalan', 'menggeledah', 'bag', 'multiset', 'puting_susu', 'buntil', 'tas', 'mendapat', 'mengantongi', 'kantong', 'kantung', 'menyembul', 'longgar', 'tas_kertas', 'dompet', 'tas_tangan', 'koper', 'dasar', 'menangkap', 'ambing', 'membunuh', 'menggelapkan', 'landasan', 'multisets', 'menonjol', 'tas_belanja_plastik', 'memperoleh', 'bungkus', 'secangkir_teh', 'membengkak', 'paper_bag', 'karung', 'menengil', 'mengambil', 'tua_tas', 'pangkal', 'hobi', 'kantong_kertas', 'tas_carrier', 'mencuri', 'mencolong', 'tas_kecil', 'kantong_penuh', 'sumpit', 'tersembul', 'kampit', 'menjerat', 'tas_plastik', 'menyambar', 'alas', 'kantong_plastik', 'perempuan', 'rpub', 'menggeleber', 'saku', 'asas', 'tas_perjalanan']
ball	ball	Match	['biji_salak', 'mengepal', 'mata_peluru', 'menggumpal', 'peluru', 'bola_tenis', 'sekepal', 'mengumpar', 'bullet', 'sepak_bola', 'tarian', 'buah_pelir', 'ballock', 'gumpal', 'peler', 'bola', 'biji_peler', 'sejarah_bola_sepak_bola', 'bulat', 'pelor', 'majlis', 'testis', 'testikel', 'omong_kosong', 'lucille_désirée_ball', 'teste', 'buah_zakar', 'hemispherical', 'pemogokan_zona', 'lucille_desiree_ball', 'musket_bola', 'gonad', 'bergumpal', 'anak_peluru', 'membulatkan', 'siput', 'ball', 'bundar', 'bola_senapan', 'membulat', 'pesta_dansa', 'lucille_ball', 'proyektil_peluru', 'terpedo', 'bola_tertutup', '2bola', 'bola_terbuka', 'john_ball', 'mengepalkan']
