all	alle	Match	['totaal', 'alle', 'compleet', 'universele_kwantor', 'hints_allegations_and_things_left_unsaid', 'al', 'helemaal', 'albenga_airport', 'volledig', 'alles', 'geheel', 'universele_kwantificatie', 'allen', 'universele_sluiting', 'all', 'acute_lymfoblastische_leukemie', 'acute_lymfoïde_leukemie', 'universaliteit', 'zonder_uitzondering', 'acute_lymfatische_leukemie', 'bcr', 'alkwantor', 'allemaal']
and	en	Match	['logische_combinatie', 'conjunctie', 'sehun', 'logische_schakeling', 'and', 'discrete_logica', 'armed_and_dangerous', 'logische_conjunctie', 'schakelalgebra', 'conjunct', 'en', 'logische_poorten', 'logische_poort']
animal	dieren	Match	['dier', 'creaturetype', 'macrofauna', 'fauna', 'joseph_laurinaitis', 'animal_science', 'gedierte', 'dierlijk_systeem', 'animeren_zijn', 'dierlijke_voortplanting', 'animal', 'epifauna', 'wasp', 'dieren', 'animalia', 'epifaunal', 'dierenwereld', 'beest', 'schepsel', 'creatuur', 'road_warrior_animal', 'plant', 'far_east_movement', 'meercelligen', 'infauna', 'dierenrijk', 'dierenleven', 'reality_check', 'wezen']
ashes	grafkist	Incorrect	['the_perfect_element_part_i', 'as', 'post_mortem', 'the_ashes', 'ashes']
at	bij	Not found	[]
back	terug	Match	['achteruitrijden', 'ommezijde', 'achterste', 'couverture', 'back', 'tighthead_prop', 'zetten', 'centrumback', '백', 'achterspeler', 'rachis', 'fly_half', 'achter', 'dubbele_svorm', 'binnenkant_het_centrum', 'wervels', 'ruggensteunen', 'eerste_vijfachtste', 'achterhoedespeler', 'aan_iemands_kant_staan', 'boekbinden', 'buiten_het_centrum', 'ruggengraat', 'achterzijde', 'baek', 'flyhalf', 'achteruitsteken', 'ruggegraat', 'gaan', 'ruggesteunen', 'aarspil', 'boekomslag', 'verdediger', 'achterst', 'achteruitgaan', 'adopteren', 'cover', 'wervelzuil', 'rugsteunen', 'rechtsback', 'rug', 'wervelkolom', 'schacht', 'band', 'rijden', 'aanbevelen', 'achterliggen', 'steunen', 'rugleuning', 'ruggestreng', 'omslag_kaft', 'terug', 'bijstaan', 'onderschrijven', 'omslag', 'inzetten', 'linksback', 'back_bolzano', 'goedkeuren', 'kaft', 'achterkant', 'ruggenstreng', 'sterken', 'ondersteunen', 'boekband', 'achteruit', 'stijven', 'stofomslag', 'achteruitwijken']
bad	vervelende	Incorrect	['immorele', 'kwaad', 'immoreel', 'slechtheid', 'rans', 'barksdale_air_force_base', 'verrot', 'royce_da_59', 'rot', 'bad_karnataka', 'bad', 'ranzig', 'bcl2geassocieerde_death_promoter', 'slechte', 'evilness', 'bad_world_tour', 'bad_25', 'rotte', 'big_audio_dynamite', 'bedorven', 'rottig', 'slecht']
bark	boomschors	Match	['zeilbootje', 'ilyushin_il2_shturmovik', 'gekef', 'blaffen', 'iljoesjin_il2', 'bark', 'ilyushin_il2', 'schil', 'geblaf', 'boomschors', 'zeilboot', 'barkschip', 'bast', 'periderm', 'tong', 'blaf', 'schors']
because	omdat	Match	['omdat', 'because', 'daar', 'aangezien', 'want', 'dewijl', 'vermits']
belly	buik	Match	['menselijke_buik', 'spekbuik', 'buik', 'onderbuik', 'rijstbuik', 'pens', 'maag', 'abdominaal', 'hangbuik', 'buikje', 'belly', 'balg', 'buikspieren', 'abdomen', 'embonpoint', 'bierbuik']
big	big	Match	['groot', 'norm_nixon', 'bjarke_ingels_group', 'running_on_karma', 'fruit', 'groots', 'big', 'evenwicht', 'bouquet', 'volwassen', 'stypsis', 'lichaam', 'droge', 'groot_van_stuk', 'brassmunk', 'mineraliteit', 'boeket', 'flink', 'grote']
bird	vogel	Match	['meid', 'uitjouwen', 'boreling', 'vogeltje', 'spetter', 'jong', 'poes', 'schatje', 'haan', 'wiegenkind', 'geborene', 'fien', 'snuiven', 'poppetje', 'mikuni_shimokawa', 'nieuwgeborene', 'yardbird_parker', 'edward_bird', 'awoert', 'aves', '9_que_shimokawa_mikuni_self_cover_album', 'vogelsoort', 'avafauna', 'liefje', 'kleintje', 'pasgeborene', 'teugel', 'stoot', 'pop', 'badmintonshuttle', 'kanjer', 'the_finger', 'vederbal', 'charlie_parker', 'vinger', 'avifauna', 'bird_parker', 'chrome_reflection', 'bird', 'pluimbal', 'shuttle', 'babe', 'griet', 'vogels', 'bronx_cheer', 'brok', 'zuigeling', 'stoeipoes', 'razzing', 'charles_christopher_parker', 'vogel', 'birds', 'stuk', 'razz', 'gevogelte', 'boe']
bite	bijten	Match	['versnapering', 'hap', 'happen', 'insectenbeten', 'hapje', 'scherpe', 'insectenbeet', 'scherpte', 'snack', 'bijtwonde', 'steek', 'knabbeltje', 'stank', 'bijt', 'bijtwond', 'chomp', 'bispecifieke_tcel_engager', 'bijten', 'cep70', 'beten', 'tussendoortje', 'beet', 'bite', 'steven_hassan', 'afbijten', 'brok', 'angel', 'pikante', 'pittige']
