ability	evne	Match	['aptitude', 'evne']
accomplished	dyktig	Incorrect	['utført']
angry	rasende	Found close match: ['olm_rasende', 'sint_rasende', 'vrede']	['sinna', 'mad_season', 'sinne', 'olm', 'sint', 'angriness', 'raseri', 'kay_starr', 'vrede', 'press_to_play', 'olm_rasende', 'sint_rasende']
apartment	leiligheten	Match	['hage_leilighet', 'boligblokker', 'herskapshus_blokk', 'leiligheter', 'leiligheten', 'leilighet', 'apartment', 'hybelleilighet', 'blokk_med_leiligheter']
applause	applaus	Match	['håndklapp', 'applaus', 'håndklapping', 'applause', 'applausen', 'klapping']
argument	argumentet	Match	['contestation', 'argumentasjonsteori', 'kontrovers', 'ordskifte', 'kranglet', 'disceptation', 'debatten_team', 'linjen', 'politisk_debatt', 'argumentet', 'kontroverser', 'argumenter', 'debatter', 'debatt', 'diskutere', 'resonnement', 'argument', 'argumentasjon', 'verb_argument', 'musikalske_argument', 'tale_og_debatt', 'parameter', 'uttalelsen', 'disputt', 'krangling', 'logisk_argument', 'skrå_argument', 'litterær_argument']
art	kunst	Match	['beauxarts', 'nontextual_saken', 'artikkel', 'beauxartsstil', 'fine_art', 'grafikk', 'fine_arts', 'artisteri', 'fri_kunst', 'kunst', 'kunst_design', 'art', 'prowess', 'kunstner', 'fineart', 'beaux_arts', 'kunstnerisk_produksjon', 'kunstteori', 'kunstneriske', 'kunstnerisk_skapelse', 'agoutirelatert_peptid', 'kunstneriske_uttrykk', 'beauxarts_arkitektur', 'grafisk', 'beaux_arts_arkitektur', 'dni', 'kunsten', 'kunstverk']
attitude	holdning	Match	['åtferd', 'atferdsmessige', 'attitude', 'opptreden', 'tendens', 'posisjon', 'holdningen', 'gjerninger', 'holdning', 'euler_vinkler', 'feilinnstilling', 'væremåte', 'papirretning', 'reload', 'demeanor', 'orientering', 'tilbøyelighet', 'frodig', 'dårlig_oppførsel', 'oppførsel', 'yaw', 'adferdsproblem', 'romlig_orientering', 'innstilling', 'sosial_atferd', 'atferd', 'taitbryan_rotasjoner', 'disposisjon', 'mental_holdning', 'fremtreden', 'adferd', 'beliggenhet', 'stilling']
bag	koffert	Match	['gamle_bag', 'stjele_stele', 'greie', 'multiset', 'bag', 'bærepose', 'plast_handlekurv', 'sekk', 'kopp_te', 'stjele', 'multisets', 'papirpose', 'vesker', 'posen', 'håndvesker', 'pose', 'jur', 'burugle', 'håndveske_handveske', 'bagful', 'veske', 'koffert', 'juret', 'reise_bag', 'håndveske']
ball	ballen	Match	['sfære_kule', 'tennisballer', '2sfæren', 'skoleball', 'prosjektil', 'testiklene', 'halvkuleformet', 'glob', 'streiken_sonen', 'sfære', 'klatt', 'ballen', 'kule', 'testikler', '2sfære', 'baller', 'kuleformede', 'overflate_av_kule', 'strike_zone', 'tennisball', 'sfærisk', 'testicular', 'ballock', 'muskett_ball', 'åpen_ball', 'testis', 'teste', 'studentball', 'lukket_ball', 'slug', 'pokker', 'klump', 'ball', 'testikkel', 'kuler', 'fotball', 'lukkede_kulen', 'lucille_ball', 'john_ball']
