ability	abilitatea	Match	['iscusință_abilitate', 'putință', 'destoinicie', 'capacitate', 'aptitudini', 'abilitate', 'abilitatea', 'iscusință', 'pricepere', 'capacitatea', 'potențial', 'aptitudine']
accomplished	remarcat	Found close match: ['realizat']	['stabilit', 'desăvârșit', 'împlinit', 'realizat', 'îndeplinit', 'complet', 'înfăptuit']
angry	furios	Match	['mânios', 'furie', 'mad_season', 'furioasă', 'rău', 'supărată', 'agitat', 'tumefiat', 'rea', 'inflamat', 'angriness', 'intens', 'mânie', 'kay_starr', 'furios', 'press_to_play', 'suparat', 'supărat']
apartment	apartament	Match	['complex_de_apartamente', 'apartamentul', 'bloc_de_apartamente', 'apartment', 'apartament', 'bloc_conac', 'clădiri_de_apartamente', 'apartamente']
applause	aplauze	Match	['applause', 'mână_aplauze', 'aplauze', 'handclaps', 'aplauzele']
argument	argumentez	Found close match: ['argumente', 'argument', 'argumentare']	['declarația', 'argumentare', 'dispută', 'raționament', 'disceptation', 'argumentul_verbul', 'ceartă', 'discuta', 'argument_logic', 'polemică', 'argumentul_literar', 'dovadă', 'argumentul_unui_număr_complex', 'argumentul_muzical', 'probă', 'controversat', 'argument_oblică', 'dezbateri', 'contraargumentare', 'argumente', 'argumentație', 'mărturie', 'parametru', 'teoria_argumentării', 'controverse', 'controversă', 'discute', 'rezumat', 'echipa_de_dezbateri', 'discuție', 'linia', 'argument', 'logic_argument', 'argumentul', 'dezbatere', 'linia_de_raționament', 'argumentând', 'dezxadbatere', 'tăgăduire', 'contestare']
art	artă	Match	['artistice', 'artistice_de_producție', 'artist_fin', 'articol_posesiv', 'artăfrumoasă', 'bravură', 'fine_art', 'operă_de_artă', 'bellearte', 'talent', 'art', 'măiestrie', 'articol', 'arte_plastice', 'operelor_de_artă', 'arta', 'beaux_arts', 'grafice', 'artă', 'myst', 'opera_de_arta', 'arte_frumoase', 'grafică', 'agouti_legate_de_peptida', 'beauxarts_arhitectura', 'creației_artistice', 'materie_nontextual', 'beaux_arts_arhitectura', 'iscusință', 'dni', 'element_grafic', 'lucrare_de_artă']
attitude	atitudinea	Match	['mentale_atitudine', 'postură', 'attitude', 'malpresentation', 'orientare_spațială', 'prezentație', 'orientare', 'purtare', 'fapte', 'orientarea', 'atitudine', 'conduită', 'comportamentul_social', 'tendință', 'reload', 'comportare', 'poză', 'poziție', 'tendința', 'dispoziţie', 'comportamentale', 'înclinație', 'atitudinea', 'abateri_disciplinare', 'unghiuri_euler', 'comportament', 'dispoziție', 'orientarea_spațială', 'atitudinementală', 'postura', 'unghiurile_lui_euler', 'ținută', 'poziția', 'agresiv']
bag	poșete	Found close match: ['poșetă']	['valiza', 'hoașcă', 'se_umfla', 'bag_pesta', 'genți_de_mână', 'pungădehârtie', 'pungă_de_hârtie', 'multiset', 'geanta_de_transport', 'fura', 'bag', 'răpi', 'geantă', 'cotoroanță', 'bag_ungaria', 'uger', 'comuna_bag', 'geanta', 'se_dilata', 'băbătie', 'pungă', 'multiseturi', 'vechi_sac', 'călătoresc_sac', 'trofeu', 'mezelic', 'geamantan', 'buzunări', 'multimulțime', 'punga', 'bază', 'comuna_bag_pesta', 'babetă', 'valiză', 'multimulţime', 'puneînpungă', 'floarelaureche', 'sac', 'sacoșă', 'geantă_de_mână', 'ceașcă_de_ceai', 'poșetă', 'geantă_mare', 'comuna_bag_ungaria']
ball	minge	Match	['boț', 'cocoloși', 'mingi_de_tenis', 'glonţ', 'glob', 'mingedetenis', 'boașe', 'testicule', 'boașă', 'sferă', 'mingea_deschis', 'bol', 'grevă_zonă', 'bilă', 'minge_închis', 'balon', 'globulara', 'muschetă_mingea', 'minge_de_fotbal', 'bila', 'coi', 'testicular', 'ballock', 'bal', 'coaie', 'ouă', 'glonte', 'grunz', 'gloanțe', 'mingea', 'boș', 'minge_muschetă', 'fotbal', 'mingea_de_fotbal', 'ghem', 'rotunjime', 'tenis_de_minge', 'cocoloș', 'teste', 'plumb', 'bulgăre', 'minge_de_tenis', '2sfera', 'facecocoloș', 'glonț', 'minge', 'lucilleball', 'ball', 'prostii', 'testicul', 'lucille_ball', 'john_ball', 'faceghem']
bar	bar	Match	['rezistență', 'baruri', 'local', 'tavernă', 'gratie', 'tact', 'bar_vinnîțea', 'bár_baranya', 'grub_pub', 'mbar', 'închide', 'farnesoid_receptorilor_x', 'case_publice', 'profesia_de_avocat', 'înfunda', 'comuna_bár_ungaria', 'puburi', 'ginmill', 'comuna_bár_baranya', 'juridic_comunitar', 'baar_baranya', 'exila', 'dungă', 'bancuri', 'profesie_de_jurist', 'bar_corrèze', 'barul', 'bară', 'bar', 'semn_pub', 'berărie', 'bar_vinnița', 'cârciumă', 'bancurile_de_nisip', 'măsură', 'milibari', 'surghiuni', 'advocatus', 'bar_raionul_bar_regiunea_vinnița', 'bár_ungaria', 'drug', 'banc', 'taphouse', 'bar_muntenegru', 'barou', 'astupa', 'bar_ucraina', 'receptorilor_beta2', 'barline', 'prevenire', 'braserie', 'împiedica', 'country_inn', 'pothouse', 'beta2_receptorilor_adrenergici', 'bloca', 'baricada', 'han', 'bar_bar', 'taverne', 'portar_salon', 'foobar', 'bodegă', 'profilaxie', 'obstrucționa', 'pușcăautomatăbrowning', 'browning_automat_pușcă', 'comuna_bár', 'pub', 'milibar', 'patronymics', 'antibari', 'calup', 'rezistor', 'alunga', 'robinet_fabrică_de_bere', 'patronimul', 'obtura', 'proscrie', 'bar_raionul_bar_regiunea_vinnîțea', 'antivari', 'bara', 'prevenirea', 'preîntâmpinare', 'exclude', 'bár', 'râul_bar', 'patrynomic', 'ostraciza', 'patronim', 'barroom', 'gin_moara', 'patronimic', 'foo']
bear	fiare	Incorrect	['ursi', 'răbda', 'jucător_de_bursă', 'ține', 'așteptauncopil', 'ursu', 'bear', 'ursine', 'webelos', 'se_comporta', 'conține', 'păți', 'ursidae', 'sta', 'urs', 'speculant', 'daviață', 'aducevenit', 'urside', 'trage', 'aducebeneficiu', 'mike_brown', 'tolera', 'aducepelume', 'fiînsărcinată', 'îndura', 'suporta', 'plăti', 'avea', 'naște', 'ursoaică', 'tu95v', 'îngădui', 'se_purta', 'deține', 'tupolev_tu95', 'danaștere', 'suferi', 'ursul', 'prelua', 'purta', 'lua', 'și_asuma', 'tu95']
