ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
accomplished	{'съвършен'}
all	{'универсален_закриване', 'съвсем', 'универсална_квантор', 'остра_лимфоцитна_левкемия', 'напълно', 'универсален_количествено', 'всички', 'all', 'изцяло', 'остра_лимфобластна_левкемия'}
and	{'and', 'и', 'логическия', 'логически_схеми', 'сума_по_модул_2', 'xnor', 'armed_and_dangerous', 'or', 'конюнкция', 'логически_елемент', 'nand', 'логика_верига', 'логическа_връзка', 'xor', 'not', 'nor', 'дискретна_логика'}
angry	{'разгневен', 'kay_starr', 'разгне́вен', 'сърди́т', 'гняв', 'сърдит', 'press_to_play', 'ядосан', 'гневен', 'angriness', 'ядо́сан', 'mad_season', 'яростен', 'бесен'}
animal	{'анимирате_е', 'растение', 'фауна', 'metazoa', 'metazoans', 'wasp', 'създание', 'w.a.s.p.', 'far_east_movement', 'животните', 'животинския_свят', 'animal', 'животното', 'epifauna', 'чувствен', 'животинско_възпроизводство', 'видове', 'макрофауна', 'infauna', 'животински_свят', 'reality_check', 'у.а.с.п.', 'животни', 'фа́уна', 'animalia', 'животно'}
apartment	{'апартаменти', 'градина_апартамент', 'блок', 'апартаме́нт', 'апартаментен_комплекс', 'апартамент', 'жилищни_сгради', 'имение_блок', 'apartment', 'апартаментът'}
applause	{'страна_ръкопляскането', 'аплодисменти', 'handclaps', 'пляскане', 'applause'}
argument	{'дискусия', 'препирня', 'теория_на_аргументацията', 'обсъдят', 'литературен_аргумент', 'преговори_—_преговаряне', 'аргументи', 'линия', 'диспут', 'спор', 'дебати', 'линия_на_разсъждение', 'логически_аргумент', 'наклонена_аргумент', 'оспорване', 'disceptation', 'параметър', 'аргумент', 'политически_дебат', 'дискусионен_клуб', 'противоречия', 'глагол_аргумент', 'аргументация_теория', 'аргумента', 'дебат', 'аргументация'}
argumentatively	set()
art	{'beaux-arts_стил', 'beaux_arts', 'неопределен_член_в_българския_език', 'мъжество', 'изкуство', 'неопределен_член', 'определеност', 'статия', 'beaux_arts_архитектура', 'неопределителен_член', 'определителен_член', 'beaux-arts_архитектура', 'членуване', 'арт', 'фино_изкуство', 'изобразително_изкуство', 'изкуството', 'графика', 'художествено_произведение,', 'художественото_творчество', 'неопределеност', 'свързани_с_агути-пептид', 'графичен', "d'ни", 'художествено_изразяване', 'изящни_изкуства', 'изкуствовед', 'майсторство', 'категория_определеност/неопределеност', 'определен_член', 'изкуства', 'графики', 'изящното_изкуство', 'nontextual_въпрос', 'произведения_на_изкуството', 'член', 'изящно_изкуство', 'глоба_художник', 'неопределителен_член_в_българския_език', 'арт_дизайн'}
ashes	{'ashes', 'post_mortem'}
at	{'астати́н', 'астатий', 'astatine', 'а́встрия', 'маймунско_а', 'атомен_номер_85', 'at', 'австрийски', 'ат', 'кльомба', 'тирозин_киназа_bruton', 'република_австрия', 'config.sys', 'австрийска', 'астат', 'в', 'автоматична_трансмисия', 'астатин', 'oesterreich', 'автоматична_скоростна_кутия', 'лаоски_кип', '@', 'автоматични_трансмисии', 'австрия', 'знака', 'автоматичното_управление', 'маймунка', 'toyota_coaster'}
attitude	{'човешко_поведение', 'тенденция', 'лошо_поведение', 'нагласа', 'отношението', 'социално_поведение', 'склонност', 'attitude', 're-load', 'отношение', 'сто́йка', 'позата', 'умствена_нагласа', 'диспозиция', 'диспозиционна_атрибуция', 'предразположение', 'действия', 'разпореждане', 'държа́ние', 'наклонност', 'поведенчески', 'пространствена_ориентация', 'положение', 'изправен', 'reload', 'поведение', 'malpresentation', 'държание', 'становище_отноше́ние', 'ориентация', 'по́за', 'обно́ски', 'поведе́ние'}
back	{'вътрешната_страна_центъра', 'гръбначния', 'rachis', 'на_стълб', 'одобрявам', 'заден', 'подкрепят', 'назад', 'tighthead_предложение', 'гръбначни_стълбове', 'задна_част', 'десен_бек', 'защитник', 'гърба', 'облегалката', 'муха_половината', 'ляв_бек', 'подвързия', 'гръбнак', 'книговезки', 'гръбначния_стълб', 'прешлените', 'кръст', 'наза́д', 'централен_защитник', 'гръбначен_стълб', 'обратно', 'подкрепям', 'обра́тно', 'извън_центъра', 'flyhalf', 'одобря', 'b.a.c.k.', '백', 'подкрепя', 'back', 'опако', 'гръб'}
bad	{'лошотията', 'развален', 'злина', 'лошо', 'bad_world_tour', 'bcl-2-свързаната_смърт_промоутър', 'прогнил', 'зло', 'гнил', 'bad', 'big_audio_dynamite', 'злото', 'лош', 'royce_da_5\'9"'}
bag	{'дамска_чанта', 'чувал', 'торба', 'раница', 'чанта', 'чаша_чай', 'вимето', 'ви́ме', 'multisets', 'ръчна_чанта', 'плик', 'чанти', 'виме', 'куфар', 'multiset', 'пътническа_чанта', 'ку́фар', 'хартиена_торбичка', 'стара_чанта', 'крада́'}
ball	{'сфера', 'футболна_топка', 'кълбо', 'топчесто', 'ball', 'куршум', 'lucille_ball', '2-сфера', 'семенници', 'сфе́ра', 'топки', 'люсил_бол', 'топка', 'глупости', 'глоб', 'мъди', 'гюле', 'топка_за_тенис', 'плужек', 'кълбо́', 'тестисите', 'то́пка', 'стачка_зона', 'полусферична', 'тестис', 'тестиси', 'ташак', 'сферична', 'буца', 'john_ball', 'топки_за_тенис', 'слабини', 'уилфрид_бол', 'футбол', 'бал', 'семенник', 'ballock', 'teste', 'топката'}
bar	{'бета-2_адренергичните_рецептори', 'механа́', 'правната_общност', 'мярка', 'вратар_салон', 'прогонвам', 'браунинг_автоматична_пушка', 'плитчина', 'плитчини', 'бащино_име', 'австро-баварски_диалекти', 'докоснете_къща', 'sandbars', 'advocatus', 'такт', 'адвокатска_колегия', 'изключвам', 'адвокатска_асоциация', 'foo', 'barroom', 'кръчмата_знак', 'милибара', 'пропъждам', 'foobar', 'patrynomic', 'бар', 'предлага_храна', 'ивица', 'баварски', 'цвят_на_чертата', 'долнопробна_кръчма', 'ginmill', 'прогоня', 'пропъдя', 'презимена', 'предупреждение', 'бета-2_рецептора', 'bar', 'public_house', 'юридическата_професия', 'бащиното', 'австро-баварски_езици', 'изгонвам', 'таверни', 'механа', 'кръчма', 'country_inn', 'храна_кръчма', 'таверна', 'преграждам', 'греда', 'предотвратяване', 'бара', 'taphouse', 'пи́вница', 'преграда', 'метален_прът', 'общо_помещение_в_кръчма', 'mbar', 'barline', 'бариера', 'механи', 'изгоня', 'farnesoid_х_рецептор', 'бащино', 'адвокатура', 'кръчми', 'пръчка', 'бар_кръ̀чма', 'пясък_банка', 'отлъчвам_от_обществото', 'препречвам', 'hostelry'}
bark	{'лай', 'лая', 'кора_на_дърво', 'кора́', 'излайвам', 'bark', 'barque', 'ла́я', 'periderm', 'ил-2', 'барк', 'излая', 'кора'}
bear	{'мечка', 'съдържа', 'мечок', 'webelos', 'раждам', 'трая', 'платя́', 'mike_brown', 'пла́щам', 'толерирам', 'понасям', 'съдържам', 'издържа', 'стоят', 'ту-95', 'мечешки', 'заемам', 'търпя', 'издържам', 'понесе', 'ursidae', 'нося', 'понеса', 'мечо́к', 'мечки', 'общността_мечка', 'bear', 'ме́чка', 'побирам', 'изтърпя'}
beat	{'туптя', 'сразя', 'siteswap', 'разбивам', 'метра', 'разбъркам', 'beat', 'ритъм', 'нестандартен', 'ритмична_единица', 'пулсирам', 'надвивам', 'победи', 'надмина', 'отчаян_интелигент', 'битник', 'размеся', 'ударя', 'бия', 'музикален_ритъм', 'ритми', 'такт', 'сразявам', 'надминавам', 'честота_на_биене', 'количествен_стих', 'удрям', 'пулс', 'надвия', 'размесвам', 'разбърквам', 'превъзхождам', 'победя', 'побеждавам', 'м', 'beatnik', 'биене', 'версификация', 'поетичен_метра'}
because	{'понеже', 'защото', 'because', 'тъй_като', 'поради'}
bed	{'легло', 'леха', 'леглото', 'склонност_към_преяждане_разстройство', 'рекичка_легло', 'легна_си', 'речно_корито', 'залеж', 'шев', 'болнично_легло', 'чу́кам', 'ши́бам', 'речно_легло', 'дъно', 'лягам_си', 'поток', 'bed', 'чукам', 'креват', 'легла_самолет', 'еба́', 'одър', 'cистемно_преяждане', 'корито'}
beer	{'beer', 'пиво', 'ейл', 'camra', 'пивоварно_производство', 'бира', 'пивоварната_промишленост', 'кампания_за_истински_ейл', 'бѝра', 'пѝво'}
belly	{'корем', 'абдомен', 'коре́м', 'корема', 'коремните_мускули', 'belly', 'тумбак', 'шкембе'}
big	{'norm_nixon', 'stypsis', 'възрастен', 'big', 'плодове', 'баланс', 'едър', 'bjarke_ingels_group', 'тялото', 'голям', 'пълнолетен', 'minerality'}
bird	{'маце', 'птица', 'пръст', 'момиче', 'мацка', 'yardbird_паркър', 'перце', 'бърд_паркър', 'aves', 'бронкс_развесели', 'птици', 'нощуване', 'avafauna', 'charlie_parker', 'bird', 'среден_пръст', 'бадминтон', 'фу́ста', 'чарлз_кристофър_паркър', 'razzing', 'освирквам', 'mikuni_shimokawa', 'марихуана', 'charlier_parker', 'птичка', 'чарли_паркър'}
bite	{'захапя', 'загарям', 'ужиля', 'остър', 'ухапя', 'ухапване_от_насекоми', 'изгоря', 'хапя', 'хапка', 'steven_hassan', 'пикантни', 'ужилвам', 'отха́пвам', 'захапвам', 'ужилване', 'острота', 'ухапване_от_насекомо', 'разпределяне', 'ухапвания', 'пикантен', 'закуска', 'жиля', 'дву-специфичен_т-клетъчен_engager', 'chomp', 'ухапване', 'изгарям', 'ухапвам', 'стивън_хасан'}
black	{'черно', 'мрак', 'planeswalker', 'тъмнина', 'науката_за_цветовете', 'taio_cruz', 'долен', 'почернявам', 'джоузеф_блек', 'black', 'негроид', 'inkiness', 'уайт', 'цвят', 'цветоусещане', 'joseph_black', 'шърли_темпъл', 'черно_мъж', 'черно_човек', 'черен_цвят', 'черно_африка', 'magic:_the_gathering', 'колин_върнкомб', 'kari_kimmel', 'позорен', 'че́рен', 'латино', 'shirley_temple', 'не́гърка', 'испанци', 'меджик_дъ_гедъринг', 'черно_жена', 'final_fight_3', 'черен', 'lightlessness', 'терена_чернота', 'не́гър', 'африкански_произход', 'magic_the_gathering', 'негър', 'negroids', 'чернокожи_хора', 'черен_мъж', 'срамен', 'други_раси', 'бяла', 'шърли_темпъл_black', 'final_fight', 'цветове', 'черни_жени', 'чернокож', 'пълен_мрак', 'блек', 'негри'}
blood	{'бордо_вино', 'кръвния_поток', 'кислород_кръв', 'генетичното_наследство', 'наследствеността', 'женкар', 'потомство', 'развратник', 'blood', 'the_black_parade', 'вино_бордо', 'хематологични', 'getting_away_with_murder', 'collective_soul', 'човешка_кръв', 'наследственост', 'потекло', 'кръвна_линия', 'vs.', 'бордо', 'persistence_of_time', 'кръв_линия', 'кръв', 'биологичното_наследство', 'произход', 'род'}
blow	{'похвалвам_се', 'носа_бонбони', 'ве́я', 'несполука', 'удар', 'спънка', 'прахосвам', 'пилея', 'изхарчвам', 'дрейфувам', 'ду́хам', 'blow', 'пропилявам', 'нося_се', 'изхарча', 'похваля_се', 'хваля_се', 'порив', 'прахосам', 'пропилея'}
body	{'тяло', 'порта', 'врата', 'мъртвото_тяло', 'stypsis', 'финото_тяло', 'soundbox', 'плодове', 'вестник_статия', 'костюм', 'ко́рпус', 'торсо', 'органична_структура', 'eubstance', 'гащиризон', 'трико', 'приемника', 'торс', 'трупа', 'труп', 'catsuit', 'баланс', 'тялото_костюм', 'новина', 'вестникарска_статия', 'размер_на_точка', 'трупове', 'транзистора_с_полеви_ефект', 'polytope', 'unitard', 'статия', 'боди', 'статия_с_новини', 'пункт', 'teairra_mari', 'физическото_тяло', 'авто_тялото', 'леш', 'тялото', 'тя́ло', 'точка_размер', 'туловище', 'minerality', 'основен_текст', 'цевна_кутия', 'coachbuilder', 'body', 'физическата_структура', 'торса', 'полеви_транзистор', 'бнт', 'приемник', 'котка_костюм', 'полеви_транзистори', 'точка', 'polytopes', 'багажника', 'каросерии', 'транзистор_полеви_ефект'}
bone	{'обезкостя', 'кост', 'уча', 'светлокремав', 'bone', 'назубрям', 'костен', 'обезкостявам', 'def_jam_recordings', 'костната_тъкан', 'кокал', 'кости', 'слонова_кост', 'назубря', 'зубря'}
brain	{'главата_му', 'способността_за_учене', 'умнико', 'акъл', 'ра́зум', 'психика', 'интелекта', 'психиката', 'манталитет', 'мозъка_на_бозайниците', 'причина', 'човешкия_ум', 'главата', 'bryan_mantia', 'умствените_способности', 'гениалност', 'мозъка', 'banks', 'nous', 'мисъл', 'рационалност', 'мозък', 'ума', 'инспектор_гаджет', 'мозъчната_функция', 'главен_мозък', 'ум', 'разум', 'гений', 'интелект', 'brain'}
breast	{'бюст-паметник', 'рак_на_гърдата', 'гърдите', 'цици', 'гръдна_клетка', 'карцином_на_гърдата', 'гръдни', 'thorax', 'ци́ца', 'тити', 'цицка', 'бяло_месо', 'pectus', 'торакс', 'гръдния_кош', 'the_breast', 'цица', 'гръден_кош', 'пазва', 'гърда', 'гърди', 'бюст', 'гръд'}
breathe	{'релаксирам', 'дишам', 'time', 'отдъхвам', 'отморявам', 'kristof_konrad', 'breathe', 'диша', 'i-empire', 'отпочивам', 'отморя', 'почивам', 'dark_side_of_the_moon', 'funeral_for_yesterday', 'отпочина', 'a_class', 'отдъхна', 'the_dark_side_of_the_moon'}
broken	{"winterheart's_guild", 'грешен', 'неправилен', 'счупен', 'the_best_of_bruce_dickinson', 'неизправен', 'delta_machine', 'plastic_beach', 'echo', 'повреден', 'broken', '12_stones', 'ms._kelly'}
building	{'строителство', 'къ̀ща', 'здание', 'сгради', 'стро́ителство', 'сграда', 'зда́ние', 'постро́йка', 'строи́телство', 'строителни_обекти', 'обществена_сграда', 'обществени_сгради', 'дом', 'сгра́да', 'изгра́ждане', 'постройка', 'строителни_работи', 'граде́ж', 'строителната_индустрия', 'строител', 'сградата_на_гърди'}
burn	{'пожари', 'загарям', 'горят_марки', 'загар', 'пожа́р', 'тен', 'потоци', 'речно_корито', 'пожар', 'изгоря', 'изга́рям', 'пламък', 'пламенен', 'слънчево_изгаряне', 'изгаряне', 'обгарям', 'трета_степен_изгаряния', 'фк_далас', 'поток', 'втора_степен_изгаряне', 'еритема_solare', 'горя', 'водоток', 'ручей', 'воден_поток', 'изгаряния_трета_степен', 'burn', 'пла́мък', 'огън', 'ruisseau', 'прекъсващ_поток', 'fc_dallas', 'изгарям', 'горя́'}
business	{'концерн', 'бизнес_загриженост', 'бизнес', 'с_нестопанска_цел', 'бизнес_науки', 'бизнес_организация', 'предприятие', 'поминък', 'клиентела', 'търговец', 'етап_на_бизнес', 'стопанско_предприятие', 'ден_работа', 'независим_изпълнител', 'бизнес_маршрут', 'бизнеса', 'бизнес_сектор', 'byplay', 'окупация', 'занятие', 'за_печалба', 'бизнес_сектора', 'професията', 'вакантно_място', 'търговския_закон', 'търговско_предприятие', 'фирма', 'занимание', 'едноличен_търговец', 'линия_на_работа', 'business', 'бизнес_линия', 'работа', 'професия', 'независими_изпълнители'}
camera	{'фотоапарат', 'телевизионна_камера', 'филмова_камера', 'камери', 'кинокамера', 'the_back_room', 'камерата', 'камера', 'професионална_видео_камера', 'camera', 'тв_камера', 'професионална_видеокамера'}
carefully	{'безпокойство', 'притеснявате', 'интерес', 'тревога', 'внимателно', 'загриженост', 'грижа'}
