ability	{'inteligencia', 'šikovnosť', 'talent', 'nadanie', 'aptitude', 'schopnosť'}
accomplished	{'zrealizovaný', 'ukončený', 'kvalifikovaný', 'hotový'}
all	{'univerzálne_uzavretie', 'vcelku', 'všetok', 'všetko', 'generalizátor', 'akútnou_lymfoblastickou_leukémiou', 'kompletne', 'všeobecný_kvantor', 'all', 'veľký_kvantifikátor', 'univerzálny_kvantifikátor', 'univerzálny_kvantifikácia', 'celkovo', 'dokonale', 'úplne', 'totálne', 'akútnej_lymfoblastickou_leukémiou', 'celkom', '∀', 'akútnej_lymfocytárnej_leukémie', 'všeobecný_kvantifikátor'}
and	{'and', 'konjunkcia', 'logický_súčin', 'logický_člen', 'logická_spojka_and', 'logický_obvod', 'logická_spojka_„a“', 'diskrétne_logiky', 'logická_hradla', 'logické_hradlo', 'logická_brána', 'armed_and_dangerous', 'hradlo'}
angry	{'press_to_play', 'rozhnevaný', 'zlostný', 'naštvaný', 'hnev', 'búrlivý', 'rozbúrený', 'angriness', 'divý', 'mad_season', 'divoký', 'kay_starr'}
animal	{'živočích', 'polycytozoa', 'far_east_movement', 'rastlinného', 'metazoá', 'reality_check', 'animal', 'epifauna', 'rozmnožovanie_živočíchov', 'stvorenia', 'infauna', 'w.a.s.p.', 'metazoans', 'animovať_je', 'typ_bytosti', 'fauna', 'živočíchy', 'animalia', 'makrofaunu', 'epifaunal', 'zviera'}
apartment	{'apartment', 'bytových_domov', 'bytová_jednotka', 'byt'}
applause	{'potlesk', 'tlieskanie', 'pochvala', 'potleskom', 'aplauz', 'applause', 'tlieskať', 'tlieskanie_ruky'}
argument	{'diskusia', 'argument', 'spor', 'odôvodnenie', 'šikmé_argument', 'argumentovať', 'logický_argument,', 'argumentačný_teórie', 'parameter', 'dohadovanie_sa', 'súťaženie', 'sporná_otázka', 'argumentácia', 'debata', 'disceptation', 'spory', 'logický_argument', 'diskutovať_o', 'kontroverzia', 'polemika', 'debatné_spoločnosť', 'hudobné_argument', 'kontroverzie', 'vyhlásenie', 'literárne_argumentom', 'argumenty'}
argumentatively	set()
art	{'art', 'krásne_umenia', 'zdatnosť', 'člen', 'grafiky', 'umeleckého_vyjadrenia', 'zručnosť', 'článok', 'umenie', 'umelecká_tvorba', 'grafické', 'beaux_arts', "d'ňu", 'umelecké', 'beaux_arts_architektúry', 'beaux-arts_štýle', 'vizuálne_umenia', 'android_runtime', 'výtvarné_umenie', 'fine-art', 'grafika', 'výtvarník', 'fine_art', 'statočnosť', 'grafické_umenie', 'umelecké_diela', 'beaux-arts_architektúry', 'vizuálna_zložka', 'nontextual_záležitosť', 'výtvarného_umenia', 'umeleckej_tvorby', 'umelecké_majtrovstvo'}
