ability	habilidade	Match	['aptidão', 'competência', 'poder', 'capacidade', 'habilidade', 'abilidade', 'habilidade_capacidade', 'faculdade', 'talento']
accomplished	habilidoso	Incorrect	['cumprido', 'consumado', 'realizado', 'concretizou', 'cumplido', 'cumprida']
angry	irritado	Match	['raivoso', 'tempestuoso', 'zangado', 'bravo_nervoso_irado', 'cólera', 'ira', 'irritado', 'mad_season', 'raivosa', 'angriness', 'zangada', 'kay_starr', 'violento', 'bravo', 'irado', 'press_to_play', 'raiva', 'feroz', 'furioso']
apartment	apartamento	Not found	[]
applause	aplausos	Match	['bater_palmas', 'aplaudir', 'aplaudindo', 'palmas', 'applause', 'aplauso', 'aplausos']
argument	argumentos	Match	['argumento_lógico', 'argumento_verbo', 'linha_de_raciocínio', 'controvérsias', 'linha', 'argumentação', 'raciocínio', 'polêmica', 'argumento_filosófico', 'disceptation', 'parâmetros', 'controversa', 'declaração', 'parâmetro', 'debates', 'polémica', 'argumento_literário', 'equipe_debate', 'controvérsia', 'debate_político', 'argumento', 'discussão', 'debate', 'disputa', 'argumento_de_uma_função', 'contestação', 'parâmetro_nomeado', 'argumentar', 'argumentando', 'argumento_musical', 'discutir', 'argumento_oblíquo', 'teoria_da_argumentação', 'discurso_e_debate', 'argumentos']
art	arte	Match	['beauxarts', 'agrp', 'ilustração', 'arte', 'artista_tecnológico', 'teórico_da_arte', 'artigo_definido', 'peptídeo_relacionado_com_agouti', 'gráfico', 'artes', 'arquitetura_beauxarts', 'desenho', 'criação_artística', 'arte_gráfica', 'art', 'teoria_da_arte', 'questão_não_textuais', 'artigo_indefinido', 'proeza', 'gráficos', 'beaux_arts', 'sociologia_da_arte', 'obra_de_arte', 'de_belasartes', 'belasartes', 'artistas', 'artigo_gramatical', 'arab_radio_and_television_network', 'belas_artes', 'definição_de_arte', 'produção_artística', 'artigos_indefinidos', 'artigo', 'estilo_beauxarts', 'suporte_artístico', 'destreza', 'expressão_artística', 'artista_plástico', 'gêneros_artísticos', 'arab_radio_and_television', 'dni', 'arquitetura_beauxartiana', 'artn', 'artes_plásticas']
attitude	atitude	Match	['comportamento', 'comportamento_social', 'attitude', 'atitude_mental', 'maneira', 'disposição', 'rampante', 'bad_seed', 'obra', 'conduta', 'reload', 'inclinação', 'má_apresentação', 'atuação', 'propensão', 'mau_comportamento', 'acontecimentos', 'orientação', 'pose', 'porte', 'posição', 'comportamento_em_grupo', 'comportamentais', 'postura', 'tendência', 'predisposição', 'predileção', 'procedimento', 'ângulos_de_euler', 'atitude', 'comportamental', 'orientação_espacial']
bag	sacola	Match	['ubre', 'sacola_de_plástico', 'roubar', 'bag', 'tirar', 'multiset', 'feia', 'petisco', 'bolsa', 'valise', 'saco', 'feiosa', 'saco_de_papel', 'mala_de_mão', 'multisets', 'valisa', 'malote', 'ensacar', 'multiconjunto', 'furtar', 'maleta', 'empacotar', 'sacola', 'carteira', 'bagful', 'mala', 'saco_velho', 'base', 'bolsas', 'seleção_com_repetição', 'estupor', 'saca', 'úbere', 'saco_de_viagem', 'xícara_de_chá']
ball	bola	Match	['bola_fechada', 'glob', 'bola_de_ténis', 'bala', 'tomate', 'esfera_para_rolamento', 'ovos', 'besteira', 'campo', 'baile', 'bola_de_futebol_americano', 'torrão', 'zona_de_ataque', 'bala_de_mosquete', 'ovo', '2esfera', 'saco', 'bagos', 'pelota', 'futebol', 'orbe', 'testículos', 'testicular', 'projétil_balístico', 'ballock', 'wilfred_williams_ball', 'bola', 'john_ball', 'bola_aberta', 'pedaço', 'balas', 'gónada', 'círculo', 'teste', 'lucille_désirée_ball', 'culhão', 'hemisférica', 'balaço', 'testículo', 'colhão', 'colhões', 'óvulo', 'bolas_de_tênis', 'esférica', 'bola_de_tênis', 'monorquidismo', 'ball', 'esfera', 'grupo', 'bola_de_futebol', 'globosa', 'bolear', 'lucille_ball', 'projetil_balístico', 'globo']
