ability	היכולת	Match	['כּוֹחַ', 'יְכֹלֶת', 'כשרון', 'היכולת', 'כֹּשֶׁר', 'יכולתu200e', 'יכולת']
accomplished	מוכשר	Incorrect	['הושלמה', 'בוצעה']
angry	מתרגז	Incorrect	['mad_season', 'חימה', 'סרu200e', 'כּוֹעֵס', 'כועס', 'כועסת', 'זעם', 'angriness', 'כעס', 'kay_starr', 'זוֹעֵף', 'press_to_play', 'קיי_סטאר']
apartment	דירת	Found close match: ['דירות', 'דירה', 'דירת_גן']	['דירת_גן', 'דירה_למגורים', 'דִּירָה', 'דִירָהu200e', 'apartment', 'דירות', 'דירה']
applause	למחיאות	Found close match: ['מחיאת_כף', 'מחיאות_כפות', 'מחיאה']	['מְחִיאוֹתכַּפַּיִם', 'תשואות', 'מחיאה', 'מחיאת_כף', 'מחיאות_כפיים', 'applause', 'כַּפַּיִם', 'מחיאת_כף_יד', 'מחיאת_כפיים', 'תְּשׁוּאוֹת', 'מחיאות_כפות', 'כפיים']
argument	שטיעון	Found close match: ['טיעון', 'טיעון_לוגי']	['שנוי_במחלוקת', 'ערר', 'פולמוס', 'ויכוחu200e', 'קו_המחשבה', 'טיעון_לוגי', 'ארגומנטu200e', 'דיבייט', 'disceptation', 'טַעֲנָה', 'ויכוח_ספרותי', 'סברה', 'טקסט_טיעוני', 'מחלוקת_לשם_שמים', 'מחלוקות', 'פרמטר', 'מעמת', 'ארגומנטציה', 'מתווכח', 'מַחְלקֶת', 'ויכוח_פוליטי', 'וִכּוּחַ', 'נימוק', 'ארגומנט', 'דיבייטינג', 'מחלוקת_הלכתית', 'לדון', 'ויכוח', 'איהסכמה', 'תאורית_הטיעון', 'מחלוקת', 'מועדון_ויכוחים', 'טיעון', 'מריבה']
art	אמנות	Match	['גרפי', 'ארט', 'יצירות_אמנות', 'יצירה_אמנותית', 'וזאר', 'אמנות_יפה', 'הפקה_אמנותית', 'ביטוי_אמנותי', 'עניין_שאינו_כתוב', 'ופפטיד_אגוטי_קשור', 'גרפיקה', 'גראפיקה', 'אומנויות', 'מאמר', 'בסגנון_בוזאר', 'תעוזה', 'ד_ני', 'אומנות', 'הא_הידיעה', 'אמנות']
attitude	כלפיי	Incorrect	['וmalpresentation', 'כיוון_הדפסה', 'attitude', 'עלרוד', 'תְּנוּחָהu200e', 'זווית_אויילר', 'התנהגות_חברתית', 'גישה', 'נִהוּל', 'נטיהu200e', 'יחס', 'reload', 'יחס_נפשי', 'יציבה', 'מגמה', 'התנהגותu200e', 'נְטִיָּה', 'זוויות_אוילר', 'הגישה', 'מעללים', 'נטייה', 'עמדה', 'סבסוב', 'התנהגות', 'התנהגות_פסולה', 'זווית_אוילר', 'תנוחה', 'גלגול', 'נטייהu200e', 'כיוון', 'תְּנוּחָה', 'יציבהu200e']
bag	שקית	Match	['מזוודה__מִזְוָדָהu200e', 'multiset', 'אַמְתַּחַת', 'מזוודה', 'מזוודהu200e', 'גנב', 'גנבu200e', 'תִּיקu200e', 'חוק_השקיות', 'תיק', 'עטין', 'ילקוט', 'multisets', 'שַׂק', 'שקית_קניות_מפלסטיק', 'תיק_יד', 'שקית_קניות_ניילון', 'כוס_התה', 'שקית_קניות', 'שקיות_קניות_מפלסטיק', 'שק', 'שקית', 'תיק_ישן', 'תיק_נסיעות', 'סל_קניות', 'העטין', 'שקית_נייר', 'שקית_מלאה', 'שקית_ניילון_לקניות']
ball	המחבט	Incorrect	['אזור_שביתה', 'ספירה', 'כדורגל', 'נֶשֶׁףu200e', 'אש_חיה', 'הכדור_הפתוח', 'חצי_כדור', 'כרית_כף_הרגל', 'ביצית', 'כדור_nממדי', 'הכדור', 'globose', 'קליע', 'לוסיל_בול', 'כדור_כדורגל', 'כדור_משחק', '2הכדור', 'ballock', 'כדור', 'לוסי_בול', 'כַּדּוּרֶגֶל', 'john_ball', 'הכדור_הסגור', 'גוש', 'כַּדּוּרu200e', 'אשכים', 'אשך', 'מעטפת_כדור', 'teste', 'כדור_טניס', 'כדור_של_חייל', 'כַּדּוּר', 'כדור_רגל', 'נפח_כדור', 'סְפֶרָהu200e', 'כדור_התעמלות_אמנותית', 'ball', 'נשף', 'כדורי_טניס', 'lucille_ball', 'ביציםu200e', 'מאושכן']
