all	όλες	Match	['όλα', 'καθολικό_ποσοδείκτη', 'εντελώς', 'καθολική_κλείσιμο', 'όλα_μαζί', 'όλοι', 'εξ_ολοκλήρου', 'οξεία_λεμφοβλαστική_λευχαιμία', 'all', 'συνολικά', 'καθολική_παύση', 'καθολική_ποσοτικοποίηση', 'όλες', 'οξεία_λεμφοκυτταρική_λευχαιμία', 'ολα']
and	και	Match	['και', 'λογικό_συνδυασμό', 'λογική_πύλη', 'λογικές_πύλες', 'armed_and_dangerous', 'διακριτά_λογική', 'λογικό_και']
animal	ζώα	Match	['ζώα', 'animal', 'μακροπανίδα', 'wasp', 'animalia', 'πανίσκη', 'επιφύτων', 'φυτού', 'βενθική_πανίδα', 'ζώο', 'epifaunal', 'επίβενθος_πανίδα', 'μακροπανίδας', 'πανίδα', 'κίνηση_είναι', 'πλάσμα', 'μεσοπανίδα', 'υπόβενθος_πανίδα', 'far_east_movement', 'αναπαραγωγή_των_ζώων', 'πανίς', 'μετάζωα', 'ζωικό_βασίλειο', 'μικροπανίδα', 'reality_check']
ashes	αποτεφρώθηκαν	Incorrect	['στάχτες', 'post_mortem', 'τέφρα', 'στάχτη', 'ashes']
at	λίγο	Not found	[]
back	ξαναβγεί	Incorrect	['κείμαι', 'κέντρο_πίσω', 'βιβλιοδεσία', 'tighthead_στήριγμα', 'στέλεχος', 'σπονδύλων', 'αριστερό_πίσω', 'back', 'πίσω_πλευρά', 'κέντροπίσω', '백', 'οπισθοχωρώ', 'μύγαμισό', 'πίσω', 'αριστερό_μπακ', 'σπονδυλική_στήλη', 'εσωτερικό_κέντρο', 'έξω_από_το_κέντρο', 'flyhalf', 'η_πλάτη_του_καθίσματος', 'πισω', 'εγκρίνει', 'κάνω_πίσω', 'αμυντικός', 'στήλης', 'πλάτη', 'δεξί_μπακ', 'μισό_κέντρο', 'σπόνδυλος', 'πρώτα_πέντεόγδοο', 'ῥάχις', 'σπονδυλικής_στήλης', 'ραχοκοκαλιά', 'πίσω_μέρος']
bad	κακή	Match	['bad_world_tour', 'χαλασμένος', 'big_audio_dynamite', 'bcl2συναφείς_προαγωγό_θανάτου', 'κακία', 'royce_da_59', 'κακή', 'κακό', 'άσχημος', 'αλλοιωμένος', 'bad', 'κακός', 'bad_25']
bark	άοσμα	Found close match: ['γάβγισμα']	['περιδέρμιο', 'φλοιό', 'bark', 'il2_sturmovik', 'υλακή', 'γαβγίζω', 'ilyushin_il2', 'μιλώ_δυνατά_και_άγρια', 'γάβγισμα', 'αλύχτημα', 'φλοιού', 'φλοιός', 'φλούδα', 'μυοδρόμωνας', 'μπάρκο']
because	επειδή	Match	['because', 'γιατί', 'εξαιτίας', 'διότι', 'επειδή']
belly	κοιλιά	Match	['κοιλιακούς', 'κοιλιά', 'belly', 'προκοίλι', 'μπέλι', 'στομάχι', 'ανθρώπινης_κοιλιακή_χώρα']
big	μεγάλε	Found close match: ['μεγάλο', 'μεγάλη', 'μεγάλα']	['bjarke_ingels_group', 'ευμεγέθης', 'δυνατός', 'μεγάλα', 'big', 'ισορροπία', 'μεγαλόψυχος', 'stypsis', 'μεγάλο', 'μεγάλος', 'ξηρό', 'μπιγκ', 'ενήλικος', 'περίοπτος', 'άσχημος', 'κακός', 'σώμα', 'norm_nixon', 'μεγάλη', 'μεταλλικότητα']
bird	πτηνό	Match	['ευθυμία_μπρονξ', 'γιούχα', 'πτηνό', 'μπέμπα', 'mikuni_shimokawa', 'το_δάχτυλο', 'yardbird_parker', 'christopher_charles_parker', 'aves', 'πτηνά', 'avafauna', 'δάχτυλο', 'μωρό', 'τσάρλι_πάρκερ', 'φουστάνι', 'charlie_parker', 'ορνιθοπανίδα', 'bird_parker', 'bird', 'κωλοδάχτυλο', 'κοροϊδεύω', 'πουλί', 'razzing', 'υπηρέτρια', 'boo', 'πουλερικό', 'φτερό', 'πουλιά', 'μπερντ']
bite	τσίμπημα	Match	['δαγκώματα', 'δαγκωματιά', 'διειδικών_τκυττάρων_εμπλέκτης', 'δάγκωμα', 'πικάντικη', 'τσίμπημα', 'δαγκώματα_και_τσιμπήματα_εντόμων', 'δάγκωσε', 'δαγκώσει', 'chomp', 'κολατσιό', 'το_δάγκωμα', 'δάκνω', 'πικάντικο', 'μονάδα_υποστήριξης', 'steven_hassan', 'δαγκάνω', 'δαγκώνω', 'τσίμπημα_εντόμου', 'οξύτητα', 'πρόχειρο_φαγητό']
black	μαύρο	Match	['απόχρωση', 'επιστήμη_χρώμα', 'χρῶμα', 'μαυρο', 'μαύρο_άνδρα', 'απόλυτο_σκοτάδι', 'μαυρίλα_αγωνιστικό_χώρο', 'μαύρο_αφρικής', 'οι_μαύρες_γυναίκες', 'μαύρη_γυναίκα', 'νεγροειδής', 'τζόζεφ_μπλακ', 'final_fight_3', 'μαύρη', 'black', 'αισχυντηλός', 'χρήστηςιβόννηπρόχειροσίρλεϊ_τεμπλ', 'σίρλεϊ_τεμπλ', 'λευκό', 'blackamoor', 'μελανώδες', 'shirley_temple', 'λατίνος', 'σκέτος', 'μαύρο_άνθρωπος', 'νέγρα', 'lightlessness', 'negroids', 'μαύρη_κοινότητα', 'shirley_temple_μαύρο', 'ισπανικός', 'νέγρος', 'final_fight', 'αισχρός', 'taio_cruz', 'κακόβουλος', 'μαύρο_πρόσωπο', 'νέγρους', 'σίρλεϊ_τέμπλ', 'planeswalker', 'μαύρα', 'χρώματα', 'negro', 'kari_kimmel', 'έρεβος', 'αφρικανικής_καταγωγής', 'μαύρος', 'ελεεινός', 'αφρικάνος', 'χρῶμα_χρώς', 'χρωματισμός', 'μαύρο', 'χρώμα', 'joseph_black', 'άλλες_φυλές']
blood	αίμα	Match	['μπορντό_κρασί', 'blood', 'κρασί_bordeaux', 'κρασί_μπορντώ', 'γενετικής_κληρονομιάς', 'rakehell', 'εξώλης', 'καταγωγή', 'αίμα', 'κληρονομικότητα', 'κληρονομική', 'vs', 'bloodline', 'μπορντό', 'persistence_of_time', 'collective_soul', 'οξυγονωμένο_αίμα', 'γραμμή_του_αίματος', 'the_black_parade', 'ανθρώπινο_αίμα', 'βιολογικής_κληρονομιάς', 'αιματολογικές', 'getting_away_with_murder', 'πρόγονοι']
blow	χτύπημα	Match	['φυσάω', 'χαραμίζω', 'παρασύρω', 'πρόσκρουση', 'κάνω_άτεχνα', 'κομπάζω', 'σπαταλώ', 'ριπή', 'παίζω', 'τα_κάνω_μούσκεμα', 'μύτη_καραμέλα', 'χτύπημα', 'πλήγμα', 'ἄημι', 'αχρηστεύω', 'συμπαρασύρω', 'καυχιέμαι', 'υπερηφανεύομαι', 'φυσηξιά', 'φύσημα', 'τα_θαλασσώνω', 'εκτελώ_αδέξια', 'φυσώ', 'ρίχνω_λεφτά', 'σοκ', 'blow', 'κοκορεύομαι', 'κορδώνομαι', 'οπισθοδρόμηση']
bone	οστών	Found close match: ['οστούν', 'οστό', 'οστά']	['κόκκαλο', 'οστά', 'κόκαλα', 'οστίτη_ιστού', 'def_jam_recordings', 'κόκαλο', 'οστό', 'οστική', 'υπόλευκο', 'bone', 'οστούν', 'ελεφαντόδοντο']
breast	στήθους	Found close match: ['στήθος']	['θώρακα', 'καρκίνο_του_μαστού', 'θώραξ', 'στέρνο', 'αναρριχώμαι', 'θώρακας', 'προτομή', 'pectus', 'θηλαία_άλως', 'βυζιά', 'άλως_μαστού', 'καρκίνος_του_μαστού', 'μπούστο', 'καρκινώματος_μαστού', 'βυζί', 'ρόγα', 'the_breast', 'μαστός', 'στήθος', 'καρκίνος_του_στήθους', 'θωρακική', 'φτάνω_στην_κορυφή', 'λευκό_κρέας']
breathe	αναπνέει	Not found	[]
burn	καίγοντας	Found close match: ['καίγομαι']	['καυτηριάζω', 'δεύτερου_βαθμού_έγκαυμα', 'fc_dallas', 'ρέματα', 'κάψει', 'κάψε', 'διακοπτόμενο_ρεύμα', 'φωτιά', 'καίγομαι', 'μαύρισμα', 'burn', 'ρέμα', 'πυρά', 'κοίτη', 'φλόγα', 'ρεύμα', 'κάψιμο', 'φκ_ντάλας', 'έγκαυμα', 'εγκαύματα_τρίτου_βαθμού', 'καίω', 'κάψει_το_σήμα', 'ροή', 'απανθρακώνω', 'αποτεφρώνω', 'εγκαύματα', 'ντάλας_μπερν', 'ruisseau', 'υδάτινη_διαδρομή', 'καύσος', 'φλεγόμενος', 'δευτέρου_βαθμού_έγκαυμα', 'ερύθημα_solare', 'υδάτινη_οδός', 'πυρκαγιές', 'καταστρέφω', 'μαύρισμα_από_ήλιο', 'καύση', 'τρίτου_βαθμού_έγκαυμα']
child	παιδί	Match	['παιδιά', 'κόρες', 'παιδί', 'παιδι', 'παις', 'τέκνο', 'θυγατέρα', 'προεφηβικά', 'κόρη', 'μαθητές', 'μωρός', 'ψαράκι', 'lenfant', 'μωρό', 'ανήλικος']
cloud	νέφος	Match	['σχηματισμό_νεφών', 'σμήνος', 'δημόσιο_νέφος', 'υπηρεσία_cloud', 'σύννεφα', 'cloud_strife', 'σμήνος_εντόμων', 'εξάπλωση', 'cloud', 'νέφος', 'νέφη', 'σύννεφο', 'υπολογιστικό_νέφος', 'σκεπάζω', 'κρύβω', 'kiba', 'cloud_computing', 'υποδομή_ως_υπηρεσία', 'cloudbased', 'καλύπτω']
cold	ψυχρό	Found close match: ['ψυχρός', 'ψυχρή']	['οξεία_ρινοφαρυγγίτιδα', 'ψύχος', 'κρύος', 'froid', 'ψυχρός', 'κρυολογήματα', 'nicole_scherzinger', 'νικόλ_σέρζινγκερ', 'cold', 'ψυχρή', 'χρόνια_αποφρακτική_πνευμονοπάθεια', 'κρύο', 'ρινοφαρυγγίτιδα', 'χαμηλή_θερμοκρασία', 'κρυολόγημα', 'craig_david', 'κρύα', 'κοινό_κρυολόγημα']
come	έρθουν	Incorrect	['cum', 'έρθει', 'φθάνω', 'φτάνω', 'διατίθεμαι', 'χύσι', 'σπερματικό_υγρό', 'αναφωνώ', 'χτυπήσει', 'έρχονται', 'εκσπερμάτωση', 'ελα', 'υγρό_εκσπερμάτωσης', 'χτύπησε', 'έλα', 'έρχομαι', 'φτάσει', 'κάνει', 'αθροίζω', 'γίνομαι', 'σπέρμα', 'come', 'χύνω']
correct	σωστή	Match	['αποκαθιστώ', 'σωστό', 'σωστά', 'διορθώσει', 'ρυθμίζω', 'επανορθώνω', 'σωστός', 'διορθώνω', 'δίκιο', 'σωστή']
count	κόμης	Match	['βαραίνω', 'απαρίθμηση', 'μετράω', 'αριθμώ', 'μετρώ', 'απαριθμώ', 'ἀπογραφή', 'συγκαταριθμώ', 'earldom', 'κατάλογος', 'countship', 'jarl', 'earls', 'ο_κόμης_μοντεχρήστος', 'κόμης', 'πλήρη_καταμέτρηση', 'σύστημα_αρίθμησης', 'sql', 'κόμη', 'καταμέτρηση', 'λίστα', 'comital', 'βασίζομαι', 'αριθμητικό_σύστημα', 'comtesse', 'μέτρημα', 'structured_query_language', 'εξετάσει', 'αρίθμηση']
cut	προεξείχαν	Incorrect	['περιφρόνηση', 'ανάλογο', 'σκαλί', 'μοντάρω', 'κόβω', 'ανοικτή_πληγή', 'ταλάντευση_του_μπέιζμπολ', 'cut', 'λογοκρισία', 'κόψω', 'λογοκριτές', 'τραυματισμός', 'τραύμα', 'ελαττώνω', 'κόψιμο', 'αγνοώ', 'αναστρέφω', 'αλλάζω_κατεύθυνση', 'απενεργοποίηση', 'λογοκριτής', 'μοντάζ', 'αποκοπή', 'μικραίνω', 'μερίδιο', 'κεντρική_unica_dos_trabalhadores', 'αδιαφορία', 'ελάττωση', 'περικοπή_του_κρέατος', 'διάνοιξη', 'σβήνω', 'αντιπαρέρχομαι', 'τομή', 'πληγές', 'λογοκρισίας_του_τύπου', 'περικοπή', 'κομμένα', 'πληγή', 'συντομεύω', 'καταντώ', 'περιφρονώ', 'κόψτε', 'κλείνω', 'γίνομαι', 'άνοιγμα', 'κομμάτι', 'αρχέγονη_περικοπή', 'κοπή']
day	μέρα	Match	['μέρα', 'ημέρες', 'τη_διάρκεια_της_ημέρας', 'ἡμέρα_ἦμαρ', 'πρωινών', 'ηλιακή_ώρα', 'ηλιακής_ημέρας', 'ημέρα', 'day', 'ἡμέρα', 'μέση_ηλιακή_ημέρα', 'αστρική_ημέρα', 'ηλιακός_χρόνος', 'είκοσι_τέσσερις_ώρες', 'ημερα', 'clarence_day', 'είκοσι_τεσσάρων_ωρών_περίοδο', 'μερα', 'ηλιακή_ημέρα', 'εποχή', 'ημερονύχτιο', 'clarence_shepard_ημέρα_νεώτερος', 'εικοσιτετράωρο', 'ημέρα_clarence', '24ωρο_διάστημα']
