all	wszystkie	Match	['kwantyfikator', 'kwantyfikator_ogólny', 'wszystek', 'all', 'ostra_białaczka_szpikowa', 'wszystko', 'zupełnie', 'totalnie', 'kwantyfikator_uniwersalny', 'całkowicie', 'uniwersalne_zamknięcie', 'wszystkie', 'dla_każdego', 'ostra_białaczka', 'ostra_białaczka_limfoblastyczna', 'ostra_białaczka_limfatyczna', 'ostrej_białaczki_limfoblastycznej', 'wszyscy']
and	i	Incorrect	['dyskretnej_logiki', 'bramki_logiczne', 'koniunkcja', 'bramka_logiczna', 'and', 'iloczyn_logiczny', 'armed_and_dangerous', 'logic_gate', 'bramka_and', 'oraz', 'bramek_logicznych']
animal	zwierząt	Match	['zwierzę', 'fauna', 'zwierzęta', 'zwierzak', 'animal', 'epifauna', 'wasp', 'animalia', 'epifaunal', 'animować_bycia', 'życie_zwierząt', 'makrofauny', 'metazoans', 'roślin', 'metazoa', 'reprodukcja_zwierzęca', 'far_east_movement', 'infauna', 'zwierząt', 'fauny', 'reality_check', 'far__east_movement']
ashes	prochy	Match	['the_perfect_element_part_i', 'prochy', 'post_mortem', 'the_ashes', 'popiół', 'ashes']
at	na	Not found	[]
back	wrócić	Incorrect	['stos_pacierzowy', 'powrót', 'pół_centrum', 'wiązacz_młyna', 'tylny', 'popieram', 'sissybar', 'wspieracz', 'back', 'pozycje_zawodników_w_rugby_union', '백', 'poza_centrum', 'prawy_obrońca', 'łącznik_młyna', 'odcinek_piersiowy', 'powrotem', 'środkowy_obrońca', 'sissy_bar', 'z_powrotem', 'łącznik_ataku', 'flyhalf', 'odcinek_guziczny', 'stoper', 'lędźwie', 'środku_centrum', 'wiązacz', 'grzbiet', 'rwacz', 'odcinek_lędźwiowy', 'tyłu', 'stosina', 'filar_młyna', 'tył', 'oparcie', 'flypół', 'kuluary', 'nazad', 'zaplecze', 'młynarz', 'kręgosłupa', 'osadka', 'oprawa_książek', 'zadni', 'plecy', 'rewers', 'okładka', 'wspieracz_młyna', 'kręgosłup', 'pozycja_w_rugby_union', 'środkowy_ataku', 'filar', 'skrzydłowy_ataku', 'wstecz', 'kręgów', 'tyły', 'obrońca', 'lewy_obrońca', 'skrzydłowy']
bad	złe	Match	['zepsuty', 'cholerstwo', 'bad_world_tour', 'cienki', 'źle', 'big_audio_dynamite', 'zły', 'niemoralny', 'royce_da_59', 'zło', 'bcl2stowarzyszonej_promotor_śmierci', 'przebłagalny', 'kiepski', 'popsuty', 'zła', 'bad', 'draństwo', 'złe']
bark	drewniejące	Incorrect	['okorowanie', 'odkorowanie', 'perydermie', 'szczekanie', 'kora', 'bark', 'szczekać', 'kory', 'ił2']
because	dlatego	Found close match: ['dlatego_że']	['because', 'bo', 'ponieważ', 'dlatego_że', 'gdyż']
belly	brzuchu	Found close match: ['brzuch', 'brzucho', 'brzucha']	['brzuchach', 'kałdun', 'brzucha', 'brzucho', 'brzuszysko', 'patroszyć', 'bebech', 'belly', 'maciek', 'mięśnie_brzucha', 'ludzkiego_brzucha', 'brzuch']
big	big	Match	['niemały', 'wspaniałomyślny', 'dorosła', 'większy', 'wielki', 'bjarke_ingels_group', 'duża', 'ciała', 'dorosły', 'duży', 'owoców', 'znaczący', 'tamowanie_krwi', 'pyszałkowaty', 'wielkoduszny', 'niekiepski', 'bukiet', 'znaczny', 'duże', 'big', 'wielka', 'norm_nixon', 'mineralności']
bird	ptak	Match	['wygwizdanie', 'bejbe_mała', 'lotka', 'ptak_parker', 'dziewczyna', 'ptasie_dinozaury', 'mikuni_shimokawa', 'charles_parker', 'yardbird_parker', 'ptaki', 'aves', 'avafauna', 'palec_środkowy', 'ptak', 'ptaka', 'charlie_parker', 'wolant', 'palec', 'bird', 'dziewka', 'dziewucha', 'roosting', 'bronx_cheer', 'digitus_impudicus', 'córeczka', 'środkowy_palec', 'charles_christopher_parker', 'gwizdać', 'córka', 'razzing', 'awifauny', 'razz', 'fak', 'fuck_you', 'ptaków', 'ptaszek']
bite	ugryzienia	Found close match: ['ugryzienie', 'gryzienie', 'ugryzienie_owada']	['ugryzienie', 'ukąszenie', 'żądło', 'ostrością', 'ukąszeniach_owadów', 'pikantny', 'ukąszenia', 'chomp', 'odgryźć', 'przekąska', 'gryzienie', 'gryżć', 'steven_hassan', 'odgryzać', 'przydział', 'pogryzienie', 'użądlenie', 'ugryzienie_owada', 'bispecyficzne_komórki_t_engager', 'ostry', 'ugryźć', 'gryźć']
black	czarny	Match	['czarnoskóry', 'sensation', 'colors', 'negroidalnej', 'sensation_white', 'ludy_negroidalne', 'szkodliwy', 'czarność', 'obieżysfera', 'innych_ras', 'afrykańczycy', 'rozgniewany', 'barwa', 'rasa_negroidalna', 'final_fight_3', 'negroidzi', 'black', 'czernieć', 'murzyni', 'atlas_barw', 'poczernieć', 'zagniewany', 'shirley_temple', 'kimeryjskie_ciemności', 'kolor', 'czarnej_społeczności', 'całkowita_ciemność', 'czarna_kobieta', 'sensation_black', '000000', 'negroids', 'lightlessness', 'czerń_pitch', 'negroidalna_rasa_człowieka', 'murzynka', 'barwa_czarna', 'shirley_temple_czarny', 'taio_cruz', 'sczernieć', 'final_fight', 'czerń', 'black_african', 'czarny', 'colin_vearncombe', 'czarna_odmiana_człowieka', 'barwy', 'kari_kimmel', 'negro', 'czarna', 'czarne', 'czarne_kobiety', 'negroidalny', 'egipskie_ciemności', 'hiszpanie', 'haniebny', 'czarna_rasa_człowieka', 'rasa_czarna_człowieka', 'kolor_czarny', 'inkiness', 'rozzłoszczony', 'murzynów', 'murzyn', 'magic_the_gathering', 'czarny_człowiek', 'gniewny', 'latynosi', 'murzyński', 'joseph_black', 'pochodzenia_afrykańskiego']
blood	krwi	Match	['blood', 'krew_odtlenowana', 'krew', 'farba', 'linia_krwi', 'wino_bordeaux', 'rakehell', 'dziedziczenie', 'ludzkiej_krwi', 'krew_utlenowana', 'wina_bordeaux', 'bordeaux', 'hematologicznych', 'natlenionej_krwi', 'vs', 'jucha', 'persistence_of_time', 'blood__reign_forever_world', 'rozpustnik', 'linia', 'collective_soul', 'dziedziczności', 'krwi', 'the_black_parade', 'bordo', 'posoka', 'dziedzictwa_genetycznego', 'rodu', 'getting_away_with_murder']
blow	uderzy	Found close match: ['uderzenie']	['powiew', 'wstrząs', 'dmuchać', 'dmuchnąć', 'wpadka', 'zadanie_ciosu', 'zdmuchnąć', 'śnieg', 'koka', 'podmuch', 'biały_proszek', 'danie', 'bum', 'cukierek_nos', 'wymierzenie', 'wiać', 'wiew', 'dąć', 'poryw', 'cios', 'zawiew', 'zadąć', 'uderzenie', 'koks', 'tchnienie', 'łup', 'blow', 'spieprzyć', 'zadanie_razu']
bone	kości	Match	['kości_słoniowej', 'defjam_records', 'kostnej', 'białawy', 'kości', 'def_jam_recordings', 'perłowość', 'def_jam_records', 'tkanka_kostna', 'kość', 'bone', 'arnold_boonen', 'tkanki_kostnej']
breast	piersi	Match	['klatka_piersiowa', 'gruczoł_mlekowy_człowieka', 'piersi', 'cycek', 'pectus', 'titty', 'tors', 'biust', 'białe_mięso', 'rak_piersi', 'gors', 'sutek_człowieka', 'cyc', 'pierś', 'the_breast', 'rak_sutka', 'popiersie', 'raka_piersi', 'nowotwory_jajnika_z_nabłonka_powierzchniowego_i_podścieliska', 'łono', 'rak_gruczołu_sutkowego']
breathe	oddychać	Match	['potwór_w_szafie', 'oddychać', 'ciemna_strona_księżyca', '1159', 'kristof_konrad', 'time', 'pełnia_życia', 'breathe', 'dark_side_of_the_moon', 'the_dark_side_of_the_moon', 'music_from_the_body', 'iempire', 'funeral_for_yesterday', 'a_class']
