all	minden	Match	['univerzális_kvantifikáció', 'minden', 'akut_limfocitás_leukémia', 'mindegyik', 'univerzális_kvantor', 'all', 'teljesen', 'akut_limfoblasztos_leukémia', 'egyetemes_lezárását', 'mindannyian', 'egészen', 'mind', 'valamennyi', 'egyetemes_mennyiségi']
and	és	Match	['nand', 'diszkrét_logikai', 'nor', 'konjunkció', 'and', 'logikai_összefüggésben', 'logikai_áramkör', 'armed_and_dangerous', 'xnor', 'logikai_kapuk', 'logikai_kapu', 'not', 'és']
animal	állati	Match	['fauna', 'lelkesít_hogy', 'animal', 'állati_szaporodás', 'epifauna', 'wasp', 'animalia', 'epifaunal', 'állatvilág', 'állatok', 'növényi', 'állatélet', 'metazoans', 'lény', 'makrofauna', 'lény_típus', 'road_warrior_animal', 'far_east_movement', 'mike_duda', 'infauna', 'doug_blair', 'állati', 'mike_dupke', 'reality_check', 'állat']
ashes	hamvadó	Incorrect	['post_mortem', 'hamu', 'ashes']
at	ahol	Not found	[]
back	visszamenni	Found close match: ['vissza']	['jobb_hátsó', 'hátgerinc', 'háttámla', 'tighthead_prop', 'back', 'hátulsó', '백', 'rachis', 'bal_hátsó', 'hátvéd', 'vertebron', 'flyhalf', 'balback', 'borító', 'védő', 'hátsó', 'első_ötnyolcadik', 'kötés', 'középhátvéd', 'csigolya', 'vissza', 'szár', 'könyvkötészet', 'gerincoszlop', 'hát', 'hát_közepén', 'támogatom', 'gerincoszlopot', 'hátulja', 'fly_felét', 'gerinc', 'csigolyák']
bad	rossz	Match	['rosz', 'big_audio_dynamite', 'gonoszság', 'royce_da_59', 'gonosz', 'rosszaság', 'rossz', 'bad', 'bad_world_tour', 'romlott']
bark	fakéreg	Found close match: ['fa_kéreg', 'kéreg']	['ugatás', 'ckb–55', 'fa_kéreg', 'il2', 'bark', 'periderm', 'ugat', 'barque', 'ckb55', 'il–2', 'bárka', 'kéreg', 'il_2_sturmovik', 'sturmovik', 'bs2', 'bs–2']
because	mert	Match	['mert', 'because']
belly	mellkasa	Incorrect	['könnyű_pénz', 'pocak', 'hasa', 'hasi_izmok', 'belly', 'emberi_has', 'has']
big	óriási	Incorrect	['bjarke_ingels_group', 'gyümölcsés', 'száraz', 'mineralitás', 'gyümölcs', 'big', 'nagyok', 'stypsis', 'nagy', 'test', 'norm_nixon']
bird	madár	Match	['madár', 'ujját', 'madárvilág', 'mikuni_shimokawa', 'yardbird_parker', 'edward_bird', 'szajha', 'aves', 'avafauna', 'hess', 'tollaslabda', 'kakas', 'az_ujját', 'charlie_parker', 'madárvilága', 'madarak', 'bird_parker', 'bird', 'éjszakázó', 'tollaslabdajáték', 'bronx_vidámság', 'bird_–_charlie_parker_élete', 'charles_christopher_parker', 'razzing', 'razz', 'avialae']
