all	semua	Match	['quantifier_universal', 'sehabis', 'semua', 'all', 'akut_lymphoblastic_leukemia', 'sepenuhnya', 'leukemia_limfositik_akut', 'sama_sekali', 'limg', 'penutupan_universal', 'kuantifikasi_universal', 'keseluruhan', 'benarbenar', 'aii', 'segala', 'leukemia_lymphoblastic_akut', 'yang_universal_quantifier', 'betulbetul']
and	dan	Match	['oh_sehun', 'rangkaian_logika', 'gerbang_logika', 'sehun', 'and', 'logika_konjungsi', 'logika_diskrit', 'kand', 'armed_and_dangerous', 'hubungannya_logis', 'dan']
animal	hewan	Match	['binatang', 'satwa', 'fauna', 'dinosaur', 'hawa_nafsu', 'animal', 'makhluk', 'epifauna', 'wasp', 'backstabber', 'animalia', 'stephen', 'hewan', 'kiss_n_tell', 'epifaunal', 'vip', 'boots__boys', 'party_at_a_rich_dudes_house', 'dancing_with_tears_in_my_eyes', 'tanaman', 'cunxtuesday', 'metazoans', 'margasatwa', 'bernyawa_menjadi', 'manusia', 'jenis_makhluk', 'makrofauna', 'metazoa', 'far_east_movement', 'blind', 'spesies_hewan', 'infauna', 'hewanhewan', 'binatang_buas', 'reality_check']
ashes	abunya	Found close match: ['abu']	['post_mortem', 'abu', 'the_ashes', 'ashes']
at	di	Not found	[]
back	ke	Incorrect	['terbalik', 'vertebra', 'dorsum', 'balik', 'mendukung', 'bek_kanan', 'pemain_belakang', 'sokong', 'dalam_pusat', 'punggung', 'berjudi', 'melapisi', 'sokongan', 'mengikat_buku', 'menyokong', 'setengah_terbang', 'menopang', 'mundur', 'bek', 'dukung', 'tighthead_prop', 'back', 'latar', 'bertaruh', '백', 'setengah_pusat', 'lalu', 'menyangga', 'tolong', 'tulang_punggung', 'defender', 'menyetujui', 'perlindungan', 'kolom_tulang_belakang', 'flyhalf', 'punggung_manusia', 'kulit', 'tulang_belakang', 'melambuk', 'bai', 'jilid', 'buntut', 'berteduh', 'flysetengah', 'pangkal', 'malai', 'kembali', 'pusat_luar', 'pemain_bertahan', 'mengundurkan', 'undur', 'melapik', 'pertama_limadelapan', 'sandaran', 'membantu', 'menaruhi', 'bek_tengah', 'lepas', 'dahulu', 'mengundur', 'belakang', 'ke_belakang', 'menyembat', 'tunggakan', 'mengabsahkan', 'bantuan', 'bek_kiri', 'vertebral_kolom', 'menahan', 'dulu']
bad	bad	Match	['keburukan', 'kasihan', 'reput', 'berbahaya', 'bersimpati', 'bonyok', 'bangsai', 'lapuk', 'tiruan', 'palsu', 'royce_da_59', 'barang_merugikan', 'jelek', 'bad', 'bads', 'bonyor', 'getun', 'bcl2terkait_promotor_kematian', 'jahat', 'ganas', 'bangpak', 'bad_world_tour', 'big_audio_dynamite', 'busuk', 'buruk', 'kejahatan', 'menyesal', 'melaknatkan']
bark	pepagan	Match	['menggonggong', 'kulit_pohon', 'ilyushin_il2_shturmovik', 'il2', 'pepagan', 'menempikkan', 'menengking', 'gonggongan', 'kuing', 'letupan', 'kung', 'bark_jerman', 'merelas', 'dengking', 'memekikkan', 'kengkeng', 'salak', 'menguliti', 'bark', 'mengupas', 'gonggong', 'periderm', 'melapah', 'kapal', 'membeset', 'membentak', 'letusan', 'barque', 'kulit', 'menyalak', 'kulit_kayu']
because	karena	Match	['sebab', 'karena', 'because']
belly	pipinya	Incorrect	['membesar', 'otot_perut', 'menggembungkan', 'melembung', 'perut', 'belly', 'menggelembung', 'abdomen', 'mengepuh', 'melembungkan', 'perut_manusia']
