all	todos	Match	['redondamente', 'perfeitamente', 'cabalmente', 'totalmente', 'absolutamente', 'plenamente', 'exatamente', 'o_único', 'quantificacao_universal', 'todo', 'exclusivamente', 'completamente', 'inteiramente', 'a_leucemia_linfoblástica_aguda', 'inteiro', 'fechamento_universal', 'leucemia_linfoide_aguda', 'cem_por_cento', 'o_tudo', 'quantificação_universal', 'leucemia_linfocítica_aguda', 'todos', 'quantificadores_universais', 'all', 'quantificador_universal', 'toda', 'para_todo', 'ao_todo', 'tudo', 'leucemia_linfóide_aguda', 'radicalmente', 'leucemia_linfoblástica_aguda', 'integralmente', 'bcr', 'todas']
and	e	Not found	[]
animal	animais	Match	['criança', 'animal__cannibal', 'macrofauna', 'fauna', 'sensual', 'joseph_laurinaitis', 'animal', 'besta', 'epifauna', 'animalesco', 'wasp', 'fauna_bravia', 'tipo_de_criatura', 'ser', 'animalia', 'introducing_keha', 'criatura', 'animal_selvagem', 'cavalgadura', 'epifaunal', 'reprodução_animal', 'organismo', 'bichinho', 'metazoários', 'bestial', 'animar_sendo', 'vida_animal', 'planta', 'bruto', 'road_warrior_animal', 'far_east_movement', 'carnal', 'reino_animallia', 'infauna', 'flora', 'doug_blair', 'animais_selvagens', 'bicho', 'animais', 'animal_warrior', 'reality_check', 'reino_animal', 'animais_silvestres']
ashes	cinzas	Match	['the_perfect_element_part_i', 'post_mortem', 'cinzas', 'ashes']
at	na	Not found	[]
back	voltar	Match	['trás', 'defesadireito', 'espinha', 'costas', 'quarto_zagueiro', 'recuar', 'traseiro', 'marcha', 'meia_mosca', 'fullback', 'encosto', 'zagueira', 'back', 'fazer', '백', 'reverso', 'aprovar', 'terceiralinha', 'lateralesquerdo', 'defesa_central', 'espinhaço', 'espinha_dorsal', 'lombada', 'defesaesquerdo', 'raque', 'vertebral', 'zagueiro_central', 'flyhalf', 'interior_centro', 'prop_tighthead', 'dorso', 'posições_do_râguebi', 'coluna_vertebral', 'primeira_de_cinco_oitavo', 'centro_fora', 'volta', 'traseira', 'para_trás', 'posições_do_raguebi', 'costa', 'secundar', 'de_trás', 'marchaàré', 'defensor', 'apoiar', 'defesa', 'fundo', 'terceira_linha', 'vértebras', 'defesacentral', 'encadernação_de_livros', 'de_volta', 'de_costas', 'lateraldireito', 'zagueiros', 'coluna', 'encadernação', 'zagueiro', 'dos_fundos', 'voltar', 'rabo', 'ráquis', 'coluna_espinal', 'atrás', 'revés', 'posterior', 'lombo', 'capa', 'às_avessas', 'beque', 'coluna_cervical', 'espaldar']
bad	mau	Match	['prejudicial', 'ruindade', 'forte', 'maldade', 'ruim', 'perigoso', 'má', 'grande', 'errado', 'podre', 'bcl2_associada_ao_promotor_da_morte', 'royce_da_59', 'terrível', 'maleficência', 'bad', 'nocivo', 'inseguro', 'mau', 'falso', 'mal', 'defeituoso', 'bad_world_tour', 'maldoso', 'big_audio_dynamite', 'estragado', 'forjado']
bark	casca	Match	['vociferar', 'casca_de_árvore', 'il2', 'ilyushin_il2_sturmovik', 'súber', 'bark', 'ladrar', 'cortiça', 'ilyushin_il2', 'tecido_suberoso', 'latido', 'ladrido', 'felema', 'casca', 'barca', 'bradar', 'sturmovik', 'suberoso', 'periderme', 'latir']
because	porque	Match	['que', 'because', 'já_que', 'porque', 'por_causa_de', 'devido_a', 'pq', 'pois']
belly	queixo	Incorrect	['abdominais', 'ventre', 'abdome', 'abdomens', 'abdômen_humano', 'pança', 'abdómen', 'abdomem', 'belly', 'abdômen', 'abdomen', 'barriga', 'tronco', 'músculos_abdominais', 'estômago']
big	big	Match	['nobre', 'quero_ser_grande', 'desinteressado', 'grávida', 'grande_coração', 'desapegado', 'desprendido', 'forte', 'magnífico', 'mãos_largas', 'mineralidade', 'bjarke_ingels_group', 'grande', 'vangloriosa', 'seco', 'stypsis', 'maior', 'terrível', 'liberal', 'altruísta', 'generoso', 'grandes', 'bondoso', 'frutas', 'desinteresseiro', 'vanglorioso', 'daai_zek_lou', 'crescido', 'dadivoso', 'presenteador', 'equilíbrio', 'magnânimo', 'importante', 'big', 'grandemente', 'clemente', 'pródigo', 'proeminente', 'magnificente', 'adulto', 'corpo', 'norm_nixon', 'ilustre']
bird	pássaros	Match	['pássaros', 'banana', 'meretriz', 'gata', 'mulher', 'bela', 'garota', 'moça', 'mikuni_shimokawa', 'passarinho', 'charles_parker', 'pássaro', 'edward_bird', 'yardbird_parker', 'passarinhos', 'miúda', 'docinho_belo', 'anatomia_das_aves', 'aves', 'volante', 'avafauna', 'galo', 'rapariga', 'rabodesaia', 'menina', 'charlie_parker', 'ave', 'pássaro_parker', 'shimokawa_mikuni', 'avifauna', 'charles_parker_jr', 'bird', 'brasa', 'a_organização_externa_das_aves', 'vaiar', 'franguinha', 'charlie_parker_jr', 'roosting', 'pena', 'charles_christopher_parker', 'razzing', 'alegria_bronx', 'dedo', 'o_dedo', 'boneca', 'razz', 'peteca', 'fim_do_sonho']
bite	mordidas	Match	['merenda', 'gota', 'queimar', 'fragmento', 'picadela', 'mordida', 'petisco', 'porção', 'mordedura', 'intensidade', 'picar', 'picada_de_inseto', 'lançada', 'picadura', 'biespecífico_engager_de_células_t', 'chomp', 'pedaço', 'estocada', 'bocada', 'trinca', 'comidinha', 'pungência', 'cep70', 'picante', 'picada', 'aguilhoada', 'steven_hassan', 'ferroada', 'lanche', 'morde', 'mordidas', 'bocado', 'trincar', 'pungente', 'morder']
