ability	vaardigheden	Found close match: ['vaardigheid']	['bekwaamheid', 'talent', 'capaciteit', 'begaafdheid', 'ability', 'vaardigheid', 'aanleg', 'potentie', 'gave', 'macht', 'vermogen', 'aptitude', 'geschiktheid', 'kunnen']
accomplished	getalenteerd	Match	['begaafd', 'voltooid', 'voltrokken', 'volmaakt', 'volbracht', 'bekwaam', 'deskundig', 'meesterlijk', 'getalenteerd', 'voldane', 'compleet', 'behaald', 'volleerd', 'conpetent', 'voldaan']
angry	boos	Match	['press_to_play', 'mad_season', 'lelijk', 'woedend', 'boos', 'kwaad', 'gram', 'vertoornd', 'kay_starr', 'boze', 'woede', 'verstoord', 'boosheid', 'kwaadheid', 'op_hoge_poten', 'toorn', 'verbolgen', 'met_opgestoken_zeilen', 'gebelgd', 'vergramd']
apartment	appartement	Not found	[]
applause	applaus	Match	['handgeklap', 'applaus', 'applaudiseren', 'applause', 'klappen', 'handklap', 'handclaps', 'geklap']
argument	argument	Match	['debat_team', 'kernargument', 'betoog', 'debating', 'redetwist', 'argumentatietheorie', 'onenigheid', 'werkwoord_argument', 'motivering', 'bewering', 'disceptation', 'geschil', 'controversieel', 'spraak_en_debat', 'parameters', 'argumentatieleer', 'bewijsgrond', 'woordenstrijd', 'discussie', 'logisch_argument', 'woordenwisseling', 'redestrijd', 'debat', 'twistgesprek', 'werkwoordsargumenten', 'argumenten', 'controverses', 'argumentatie', 'argumenteren', 'lijn', 'werkwoordsargument', 'controverse', 'dispuut', 'politieke_debat', 'bespreking', 'twistpunt', 'debatten', 'pennestrijd', 'muzikale_argument', 'argument', 'meningsverschil', 'motivatie', 'literaire_argument', 'ruzie', 'debatteren', 'schuine_argument', 'verklaring', 'betwisting', 'parameter', 'polemiek', 'bespreken', 'redenering']
art	kunst	Match	['beauxarts', 'beeldende_kunst', 'graveerkunst', 'agrp', 'grafische', 'bepaald_lidwoord', 'beeldend_kunstenaar', 'kunstvorm', 'grafisch_kunstenaar', 'schone_kunsten', 'kunstprodukt', 'artistieke_expressie', 'artistieke_productie', 'grafisch', 'dilbert', 'kunst', 'agoutigerelateerde_peptide', 'onbepaald_lidwoord', 'art', 'lidwoord', 'prentkunst', 'artistieke_creatie', 'grafische_kunst', 'kunstproduct', 'kunstuiting', 'fineart', 'beauxart', 'beaux_arts', 'dapperheid', 'art_design', 'artwork', 'artikel', 'myst', 'object', 'agoutirelated_peptide', 'the_vips', 'kunstwerk', 'arab_radio_and_television_network', 'lidwoorden', 'beaux_arts_architectuur', 'artisticiteit', 'bekwaamheid', 'beauxarts_architectuur', 'fijnkunst', 'installatie', 'nontextual_kwestie', 'kunstenaarschap', 'kunstenaarstalent', 'dni', 'beauxarts_stijl', 'onbepaalde_lidwoord', 'artistieke', 'kunsten', 'artn', 'law__order_criminal_intent', 'grafiek', 'afbeelding']
attitude	houding	Match	['opstelling', 'gerichtheid', 'mentale_houding', 'attitude', 'humeur', 'eulerhoeken', 'gedragseffecten', 'gedragsreactie', 'tendens', 'plaatsbepaling', 'richting', 'aandrift', 'doen_en_laten', 'opvatting', 'ruimtelijke_oriëntatie', 'sociaal_gedrag', 'gedrag', 'liggingsafwijking', 'gedragswijze', 'lichaamshouding', 'geneigdheid', 'menselijke_positie', 'inclinatie', 'habitus', 'neiging', 'reload', 'gedraging', 'hoeken_van_euler', 'gedragslijn', 'oriëntatie', 'dispositie', 'pose', 'houding', 'gedragingen', 'leeuw', 'zienswijze', 'positie', 'aandrang', 'beheptheid', 'euler_hoeken', 'gezindheid', 'instelling', 'oriëntering', 'wangedrag', 'afdrukstand', 'stand']
bag	doosje	Incorrect	['zakje', 'roven', 'specialiteit', 'ontvreemden', 'trolley', 'papieren_zak', 'oude_zak', 'taart', 'draagtas', 'bag', 'multiset', 'stelen', 'tas', 'uier', 'handtas', 'gappen', 'koffer', 'verpakken', 'multisets', 'jatten', 'kopje_thee', 'gordeltas', 'uitpuilen', 'plastic_boodschappentas', 'mozartpruik', 'valies', 'honk', 'pikken', 'buil', 'beurs', 'zak', 'reistas', 'tasje', 'handtassen', 'ding']
ball	bal	Match	['geweerkogel', 'musketkogel', 'glob', 'frommel', 'kluwen', 'staking_zone', 'geslachtsklier', 'slagzone', 'testiculaire', 'sfeer', 'pingpongbal', 'noot', 'testes', 'bolvormige', 'bol', 'bolveelhoek', 'voetbal', 'bolleke', 'strike_zone', 'bolvorm', 'blauwe_boon', 'sferisch_lichaam', 'kanonskogel', 'bolletje', 'klomp', 'teelbal', 'zaadbal', 'teelballen', 'open_bal', 'ballock', 'oprollen', 'wilfred_williams_ball', 'ronde_bollen', 'bal', 'kogel', 'bolvormig', 'testikels', 'bolle_vorm', 'testis', 'klontje', 'tennisbal', 'prop', 'homp', 'zaadballen', 'opwinden', 'teste', 'slak', 'tafeltennisbal', 'gesloten_bal', 'tennisballen', 'ronde_bol', '2sfeer', 'ball', 'halfronde', 'kogels', 'kloot', 'voetbalbal', 'klootzak', 'wereldbol', 'lucille_ball', 'testikel', 'onzin', 'john_ball']
