all	alle	Match	['universelle_kvantifikator', 'alle', 'akut_lymfatisk_leukæmi', 'universel_kvantifikator', 'alt_g', 'all', 'alt', 'universelle_lukning', 'helt', 'akut_lymfocytisk_leukæmi', 'universel_kvantificering', 'akut_lymfoblastisk_leukæmi', 'alkvantor']
and	og	Match	['logikport', 'orgate', 'logisk_sammenhæng', 'logiske_kredsløb', 'logisk_kredsløb', 'and', 'exclusiveorgate', 'logiske_gates', 'diskret_logik', 'armed_and_dangerous', 'norgate', 'logisk_and', 'konjunktion', 'gate', 'logisk_gate', 'xorgate', 'nandgate', 'og', 'andgate']
animal	dyr	Match	['fauna', 'kræ', 'animal_science', 'regnum_animale', 'dyr', 'animal', 'epifauna', 'wasp', 'dyreriget', 'animalia', 'dyrs_reproduktion', 'dyreverdenen', 'epifaunal', 'dyrerige', 'dyreliv', 'væsen', 'dyrs', 'metazoans', 'animere_være', 'dyreart', 'makrofauna', 'road_warrior_animal', 'metazoa', 'plante', 'far_east_movement', 'animalsk', 'infauna', 'faunaliste', 'væsen_type', 'reality_check']
ashes	begraves	Incorrect	['post_mortem', 'aske', 'ashes']
at	ved	Not found	[]
back	tilbage	Match	['rygstreng', 'udenfor_centrum', 'venstre_back', 'rygrad', 'ryg', 'flyhalvdel', 'godkende', 'indersiden_center', 'rygsøjlen', 'tighthead_prop', 'back', '백', 'sweeper', 'midt_bagpå', 'tilbage', 'højre_back', 'vertebral', 'forsvarsspiller', 'flyhalf', 'bogbinding', 'bogindbinding', 'rygraden', 'hvirvelsøjle', 'rygsøjle', 'centerback', 'skaft', 'retur', 'bagsiden', 'støtte', 'ryghvirvler', 'første_fem_ottendedel', 'bagside']
bad	dårlige	Found close match: ['dårlig', 'dårligt']	['rådden', 'skidt', 'dårligt', 'ond', 'big_audio_dynamite', 'ondskab', 'royce_da_59', 'dårlig', 'onde', 'bcl2associerede_dødsfald_promotor', 'fly_away', 'bad', 'bad_world_tour', 'slemt']
bark	træagtig	Incorrect	['tække', 'iljusjin_il2', 'gø', 'bark', 'ilyushin_il2', 'periderm', 'råbe', 'barkskibs_løbende_gods', 'barkskib', 'barque', 'barkskibs_løbende_rig', 'bjæffe', 'barkskibs_stående_rigning', 'gøen', 'træ_bark', 'barkflis']
because	fordi	Match	['på_grund_af', 'because', 'fordi']
belly	bagkroppen	Incorrect	['bug', 'underliv', 'ølmave', 'belly', 'abdomen', 'bughulen', 'mavemuskler', 'bughule', 'maven', 'mave']
big	big	Match	['bjarke_ingels_group', 'mineralitet', 'big', 'balance', 'krop', 'bouquet', 'stort', 'stypsis', 'store', 'frugt', 'tør', 'stor', 'norm_nixon']
bird	fuglen	Match	['fuglen', 'redesnylter', 'pigebarn', 'redeparasit', 'pipfugl', 'mikuni_shimokawa', 'yardbird_parker', 'fugle', 'aves', 'fjerbold', 'avafauna', 'tøs', 'fuckfinger', 'charlie_parker', 'bird_parker', 'fuglefauna', 'bird', 'fugl', 'piphans', 'bronx_cheer', 'digitus_impudicus', 'charles_christopher_parker', 'razzing', 'razz', 'boo', 'fingeren']
bite	knurhår	Incorrect	['brod', 'snack', 'chomp', 'brænde', 'skarphed', 'bid', 'pikant', 'bider', 'krydret', 'bidende', 'bispecifikke_tcelle_engager', 'mellemmåltid', 'tildeling', 'insektbid', 'bide', 'insekt_bid', 'stik', 'skarp', 'steven_hassan']
black	sort	Match	['totalt_mørke', 'sorte', 'sort', 'sensation', 'negerske', 'negroide', 'afrikansk_afstamning', 'komplementærfarver', 'negerinde', 'negroide_race', 'tonehøjde_mørket', 'negrid', 'negrid_race', 'final_fight_3', 'farve_videnskab', 'hvid_og_sort_i_skak', 'farve', 'sort_mand', 'shirley_temple_black', 'negere', 'sort_kvinde', 'neger', 'black', 'negre', 'sorte_kvinder', 'komplementærfarve', 'negerbørn', 'negroid', 'negerkvinde', 'shirley_temple', 'den_negride_race', 'negerpige', 'asiatisk', 'lightlessness', 'negroids', 'negerdreng', 'sorte_mennesker', 'final_fight', 'taio_cruz', 'black_african', 'andre_racer', 'ninjutsu_i_magic_the_gathering', 'hispanic', 'negermand', 'planeswalker', 'farver', 'negro', 'kari_kimmel', 'sortfarvet', 'negride_race', 'latino', 'negroid_race', 'inkiness', 'sorte_samfund', 'ansigtsfarve', 'pang_farver', 'magic_the_gathering', 'hvid', 'morian', 'negerbarn', 'joseph_black', 'sort_person']
blood	blod	Match	['be_free', 'herkomst', 'blood', 'biologisk_arv', 'humant_blod', 'rakehell', 'dancing_in_the_ashes', 'blodet', 'bordeaux', 'arvelig', 'hæmatologiske', 'roue', 'oxygentransport', 'gawm', 'vs', 'iltet_blod', 'take_me', 'persistence_of_time', 'biologiske_arv', 'collective_soul', 'blodledning', 'not_listening', 'the_black_parade', 'afstamning', 'blod', 'harder_than_a_coffin_nail', 'bordeaux_vin', 'arvelighed', 'genetiske_arv', 'blanket_of_fear', 'getting_away_with_murder', 'blodstrøm']
blow	ødelægge	Incorrect	['blæse', 'spilde', 'pust', 'tilbageslag', 'blow', 'vindstød', 'kokain', 'puste', 'prale', 'blæs', 'næse_slik', 'slag']
bone	knogle	Match	['flad_knogle', 'fae_myenne_ng', 'def_jam_recordings', 'menneskeknogler', 'metafyse', 'elfenben', 'knokkel', 'bone', 'knogle', 'ossøse', 'ben', 'knæverpinde', 'bones', 'knæverpind', 'knoglevæv', 'metafysen', 'arnold_boonen', 'knogler', 'def_jam', 'rørknogle', 'offwhite']
breast	brystkræft	Match	['kvindebryst', 'brystparti', 'brystkræft', 'bryst', 'melon', 'babs', 'brystcarcinoma', 'brystet', 'forlygte', 'titty', 'pectus', 'buste', 'pat', 'brystkassen', 'patte', 'junger', 'batteri', 'babser', 'patter', 'hvidt_kød', 'the_breast', 'jader', 'bryster', 'barm', 'nød', 'brystkasse']
breathe	indånder	Found close match: ['ånde']	['træk_vejret', '1159', 'kristof_konrad', 'time', 'breathe_in_the_air', 'respire', 'breathe', 'dark_side_of_the_moon', 'the_dark_side_of_the_moon', 'iempire', 'funeral_for_yesterday', 'a_class', 'ånde']
burn	brænde	Match	['brænd', 'fc_dallas', 'solbrændthed', 'flammende', 'åen', 'burn', 'bål', 'forbrænding', 'tan', 'strøm', 'flamme', 'suntan', 'brande', 'brand', 'tredje_grad_brænde', 'solskoldning', 'tredje_grads_forbrændinger', 'solbrændt', 'lue', 'brænder', 'ruisseau', 'dallas_burn', 'vandløbets_faser', 'brandsår', 'erythema_solare', 'vandløb', 'ild', 'brænde', 'bæk', 'anden_grad_brænde', 'intermitterende_strøm', 'brænde_op', 'brænde_mark']
child	barn	Match	['kid', 'tiddler', 'barn', 'unge', 'døtre', 'lenfant', 'umyndig', 'child', 'myndighedsalder', 'barns', 'pattebarn', 'mindreårig', 'præpubertære', 'børn', 'myndig', 'børns', 'skolebørn', 'barnet', 'mindre', 'datter', 'youngster']
cloud	skyer	Match	['bortgemme', 'kiba', 'skyer', 'offentlig_sky', 'skjule', 'cloud_computing', 'skyen', 'sky', 'cloudinfrastruktur', 'cloud_strife', 'cloud', 'cloudtjenester', 'cloudtjeneste', 'hybridsky', 'sværmer', 'cloud_hosting', 'sværm', 'tordensky', 'skydannelse', 'cloudcomputing', 'cloudbaseret', 'infrastruktur_som_en_service']
cold	kolde	Match	['nicole_kea', 'john_gary', 'kolde', 'fryser', 'kronisk_obstruktiv_lungesygdom', 'kold', 'kulde', 'koldt', 'nicole_scherzinger', 'almindelig_forkølelse', 'lav_temperatur', 'snue', 'cold', 'craig_david', 'kol', 'forkølelse', 'rygerlunger', 'nasopharyngitis']
come	komme	Match	['komme', 'cum', 'ankomme', 'come', 'sæd', 'kom', 'gøre', 'kommet', 'sperm', 'sædvæske', 'nå', 'ejakulere', 'ramte']
correct	forkert	Found close match: ['ret']	['ret', 'rigtig', 'justere', 'sand', 'stille_om', 'indstille', 'korrekt', 'korrigere', 'virkelig', 'korrekte', 'rette', 'stille_ind']
count	greve	Match	['greven_af_monte_cristo', 'greve', 'ordnet_liste', 'veje', 'optælling', 'talsystem', 'positionstalsystemer', 'earldom', 'overveje', 'tælle', 'countship', 'jarl', 'earls', 'tyvetalsystem', 'antal', 'noget', 'earl', 'sql', 'tælling', 'fuld_tælling', 'talnotationssystem', 'comital', 'comtesse', 'liste', 'tæller', 'chaplin_som_greve', 'structured_query_language']
cut	overskåret	Found close match: ['skåret']	['filmredigering', 'centrale_única_dos_trabalhadores', 'snitte', 'kold_skulder', 'klip', 'primal_snit', 'sårede', 'cut', 'såre', 'snit', 'skæring', 'dreje', 'udskære', 'aftagning', 'film_editor', 'skære_ned', 'censur', 'censureret', 'skære', 'fortynde', 'mode', 'pressecensur', 'hug', 'skåret_af_kød', 'reducere', 'udskæring', 'klippet', 'spor', 'forkorte', 'censorer', 'vende', 'flænger', 'spejlvende', 'vunde', 'åbent_sår', 'klippe', 'baseball_swing', 'sår', 'skåret', 'stykke']
day	dagen	Match	['sol_dag', 'dagen', 'tilsyneladende_soltid', '24_timer_periode', 'betyde_sol_dag', 'døgn', 'clarence_day', '24_timer', 'day', 'clarence_shepard_day_jr', 'kampdag', 'soltid', 'dag', '24_timers_interval', 'dage', 'siderisk_døgn', 'daglængde', 'dagtimerne']
die	die	Match	['død', 'datachip', 'microchip', 'smadre', 'dør', 'siliciumbrik', 'elektroniskchip', 'dø', 'dødsfald', 'transistorchip', 'halvlederchip', 'halvledermikrochip', 'bryde_sammen', 'siliciumchip', 'polyhedrale_terninger', 'siliciummikrochip', 'elektronisk_chip', 'halvlederbrik', 'computerchip', 'terning', 'mikrochip', 'ødelægge', 'for_tidlig_død', 'tidlig_død', 'die', 'spilleterning', 'døde', 'manden_med_leen', 'terninger']
dig	udgraver	Found close match: ['graver', 'grave', 'udgravning']	['fatte', 'begribe', 'grave', 'graver', 'jibe', 'gibe', 'udgravning', 'grav', 'andré_dignimont', 'arkæologiske_websted', 'forstå', 'dig']
