en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
i	puedo	je	sinceramente	ich	ik	jag	olen	понимаю	jsem	tudom	demiştiniz	кажав	saya	разбирам	entenc	jeg	arvan	הבנתי	jeg	chciałbym	eu	postez	°°°°	iw	думаю	κατάλαβες	misliš
you	puedo	vous	potresti	willst	je	jag	viitsitä	скажите	vám	szeretnétek	söylediğinizi	#и	saya	почнеш	vulguis	jeg	teeksin	אתה	jeg	wiem	posso	♪	spýtam	praviš	мене	μπορούσατε	misliš	
he	él	il	egli	er	hij	han	hän	он	když	ő	kendisi	тој	ia	той	ell	han	ta	כשאביו	han	powrocie	ele	el	neodišiel	je	він	απ´όπου	navršio	
we	quisiéramos	devrions	permettiamo	wir	we	vi	meillä	ведь	prostě	szerintünk	olmadığımızı	сфатите	melihatmu	помислим	volguéssim	jeg	olemegi	באמת	vi	trzeba	deveriamos	descurajăm	nebavíme	mislim	думаємо	αγαπιόμαστε	slažemo	
they	éstos	ils	loro	sie	ze	inte	mutta	они	ale	ők	onlar	тие	mereka	които	aquests	ikke	nad	הם	men	jednak	eles	dar	∴	so	вони	δεν	oni	
this	esto	ce	questo	es	dit	förtydligandet	tämä	это	takovéhle	ez	bu	овој	ini…	това	aquesta	denne	see	כאן	denne	właśnie	essa	respectivul	opakujem	brišete	вікіпосилання	αυτό	ovo	
that	que	que	che	dass	dat	faktiskt	että	что	že	hogy	olmayabileceğini	дека	bahwa	че	que	ikke	et	כי	at	że	que	că	že	da	що	ότι	da	
here	aquí	ici	ripeto	hier	hier	jag	tosiaan	вот	tady	gondolom	yorumumda	приметивте	silahkan	отнякъде	aquí	jeg	yhe	כאן	her	tutaj	aqui	♪	°°°°	copyvio	розумію	εδώ	♫	
there	hay	existe	siccome	es	er	finnas	minullakin	есть	existují	ilyen	bulunmamalı	постои	ada	имало	encara	der	olemas	יש	men	istnieją	há	există	nenachádzam	obstaja	існує	υπάρχει	postojidu	
who	quien	qui	lui	selbst	wie	själv	heistä	талантливый	kteří	aki	kendisi	братанец	seorang	когото	qui	eksmand	kes	שאביו	selv	utalentowany	quem	care	ktorí	izkušeni	досвідчений	αξιοσέβαστος	koji	
what	qué	pourquoi	cosa	denn	wat	vad	mitä	ведь	opravdu	miért	söylediğin	сфаќаш	apa	какво	doncs	hvad	nojah	באמת	hva	naprawdę	aquilo	altcumva	hocičo	kaj	зрозуміло	τι	»što	
where	donde	où	dove	dort	waar	där	missä	где	kde	ahol	orada	каде	mana	където	on	hvor	kus	שבו	hvor	gdzie	onde	unde	kde	kjer	де	όπου	gdje	
when	cuando	quand	quando	sofort	wanneer	när	kun	когда	když	amikor	geldiğinde	кога	ketika	когато	quan	da	siis	כאשר	da	gdy	quando	când	keď	ko	коли	όταν	kada	
how	cómo	comment	capire	warum	hoe	hur	miten	понять	jak	hogyan	nasıl	сфатите	bagaimana	как	entendre	hvordan	kuidas	איך	hvordan	podpowiedzieć	realmente	înțeleagă	nedokážem	kako	наскільки	πώς	kako	
not	no	pas	non	nicht	niet	inte	muutenkaan	если	není	nem	olmadığın	не	tidak	не	no	ikke	mitte	לא	ikke	nie	não	dacă	nie	ne	не	δεν	ne	
all	todos	tous	tutti	alle	alle	alla	kaikki	все	všechny	minden	tüm	сите	semua	всички	totes	alle	kõik	כל	alle	wszystkie	todos	inclusiv	všetkých	vseh	всіх	όλες	svi	
many	muchos	nombreux	molti	viele	vele	flera	monia	многие	mnohé	sok	birçok	многу	berbagai	много	molts	mange	mitmedki	רבים	mange	wiele	muitos	multe	mnohé	mnogoštevilne	багато	πολλές	mnoge	
some	algunos	certaines	alcuni	einige	sommige	några	joitain	некоторые	některé	sok	bazı	некои	beberapa	някои	alguns	nogle	mitmedki	כמה	mange	wiele	alguns	unele	niektoré	nekatere	деякі	κάποιες	neki	
few	pocos	quelques	parecchi	wenige	enkele	några	muutamia	несколько	několik	néhány	birkaç	неколку	beberapa	няколко	poques	nogle	mõnikümmend	כמה	mange	kilka	poucos	câteva	niekoľké	nekaj	кілька	λίγες	nekoliko	
other	otros	autres	altre	anderen	andere	dessa	kuten	других	například	más	diğer	кои	lainnya	други	altres	andre	näiteks	אחרים	andre	innych	outros	alte	∴	nekatere	інших	άλλα	i	
