all	kõik	Match	['kõik', 'villanova_dalbenga_clemente_panero_rahvusvaheline_lennujaam', 'universaalne_sulgemise', 'üldisuskvantor', 'albenga_lennujaam', 'villanova_dalbenga_clemente_panero_lennujaam', 'äge_lümfoidne_leukeemia', 'universaalteenuse_kvantitatiivne', 'täiesti', 'täielikult', 'universaalne_kvantor', 'all', 'ägeda_lümfoblastse_leukeemia', 'aeroporto_di_albenga']
and	ja	Match	['konjunktsioon', 'loogikalülituste', 'loogikaelement', 'loogika_circuit', 'loogikavärav', 'loogiline_koos', 'and', 'loogikalüli', 'loogika_väravad', 'ning', 'armed_and_dangerous', 'loogiline_värav', 'loogikaventiil', 'loogikalülituse', 'ja', 'diskreetse_loogika', 'loogiline_korrutamine']
animal	loomade	Match	['fauna', 'looma', 'loomariik', 'elukas', 'animal', 'epifauna', 'liikuv_olevus', 'wasp', 'animalia', 'tüübile', 'epifaunal', 'olend', 'loomade_paljunemine', 'infaunast', 'loomastik', 'metazoans', 'loomade', 'olend_tüüp', 'loomad', 'makrofauna', 'metazoa', 'far_east_movement', 'loomsed_organismid', 'loom', 'loomade_elu', 'reality_check']
ashes	surnuist	Incorrect	['post_mortem', 'tuhk', 'ashes']
at	piccadilly	Not found	[]
back	tagasi	Match	['vasaktagasi', 'väljaspool_keskus', 'äärekaitsja', 'kohe_tagasi', 'fullback', 'õisikutelg', 'back', 'tighthead_prop', '백', 'selgroolülid', 'kaitsja', 'sulerood', 'vabakaitsja', 'raamat_siduv', 'vasakule_tagasi', 'flyhalf', 'keskkaitsja', 'selg', 'kinnitada', 'tagasi', 'lülisamba', 'sees_keskel', 'seljatugi', 'keskustagasi', 'selgroog', 'selgroo', 'vasakkaitsja', 'õigustagasi', 'columna_vertebralis', 'keskus_tagasi', 'paremkaitsja']
bad	halb	Match	['kuri', 'halb', 'paha', 'big_audio_dynamite', 'royce_da_59', 'bad', 'bcl2ga_seotud_surma_edendaja', 'ryan_montgomery', 'kurjus', 'kurja', 'evilness', 'bad_world_tour', 'bcl2ga_seotud_surma_promootor']
bark	puukoort	Match	['il2', 'iljušin_il2', 'koore', 'haukuma', 'puukoor', 'bark', 'haukumine', 'puukoort', 'koor', 'periderm', 'parklaev', 'pursi']
because	sest	Match	['kuna', 'seepärast', 'because', 'sest']
belly	sabaots	Incorrect	['abdomens', 'vats', 'inimese_kõht', 'õllekõht', 'belly', 'kõhu', 'magu', 'kõht', 'venter']
big	suur	Match	['bjarke_ingels_group', 'tasakaalu', 'keha', 'big', 'suure', 'suur', 'stypsis', 'suured', 'kuiv', 'mineraalsust', 'puuviljad', 'puuja', 'norm_nixon']
bird	lind	Match	['sulgpall', 'linnud', 'sõrme', 'kiuslik', 'keskmise_sõrme_žest', 'lind', 'mikuni_shimokawa', 'yardbird_parker', 'aves', 'avafauna', 'linnustik', 'charlie_parker', 'keskmise_sõrme_näitamine', 'bird_parker', 'bird', 'linnu', 'bronx_cheer', 'pähhüüatus', 'charles_christopher_parker', 'razzing', 'linnuke', 'tüdruk']
bite	hammusta	Match	['hammusta', 'amps', 'hammustama', 'vürtsikas', 'putukahammustus', 'hammustamine', 'putuka_hammustus', 'putukapiste', 'mõrkjas', 'hammustada', 'terava', 'nõelamine', 'suupiste', 'chomp', 'eraldamine', 'hammustab', 'pikantne', 'kirbe', 'steven_hassan', 'bispetsiifilise_trakulise_engager', 'hammustus']
black	musta	Match	['must_naine', 'negriidid', 'pruunlane', 'teistest_rassidest', 'musta_aafrika', 'negriidne_rass', 'neegrid', 'final_fight_3', 'värvus', 'värvi_teaduse', 'murjaani', 'shirley_temple_black', 'neeger', 'black', 'mustanahalised', 'must_naiste', 'negroid', 'shirley_jane_temple', 'shirley_temple', 'must_mees', 'valge', 'must_kogukonnas', 'pigi_must_värvus', 'lightlessness', 'negroids', 'mustanahaline', 'värv', 'negriidne_põhirass', 'värvi', 'final_fight', 'taio_cruz', 'aasia', 'aafrika_päritolu', 'hispanic', 'planeswalker', 'negro', 'kari_kimmel', 'mustad', 'latino', 'musta', 'täielikus_pimeduses', 'inkiness', 'must_inimene', 'magic_the_gathering', 'värvid', 'must', 'joseph_black', 'must_aafrika', 'mustanahalisi']
blood	vere	Match	['geneetilise_pärandi', 'blood', 'vereliini', 'hematoloogiliste', 'elostelija', 'rakehell', 'bordeaux_vein', 'esivanemad', 'veri', 'bordeaux', 'vs', 'vere', 'vere_rida', 'persistence_of_time', 'bordeaux_veini', 'collective_soul', 'pärilikkus', 'sanguis', 'the_black_parade', 'verre', 'pärilik', 'hapnikurikast_verd', 'getting_away_with_murder']
