ability	yeteneğin	Found close match: ['yeteneği', 'yetenek']	['yetenek', 'yeteneği']
accomplished	başarılır	Not found	[]
angry	öfkelenen	Found close match: ['öfkeli', 'öfke']	['mad_season', 'öfkeli', 'angriness', 'kay_starr', 'asabi', 'sinirli', 'kızgınlık', 'kızgın', 'öfke', 'press_to_play']
apartment	apartmanda	Found close match: ['apartman', 'apartmanlar', 'apartman_dairesi']	['toplu_konut', 'toplukonut', 'apartman_dairesi', 'apartman_kompleksi', 'apartment', 'apartman', 'apartmanlar', 'daire']
applause	alkışlar	Match	['el_çırpma', 'alkışlar', 'applause', 'zırıltı', 'el_alkışlar', 'alkışa', 'alkış']
argument	argümanın	Found close match: ['argüman', 'argümanlar', 'edebi_argümanı']	['fiil_argüman', 'savunarak', 'akıl_yürütme', 'argüman', 'çekişme', 'disceptation', 'fikir_zinciri', 'bağımsız_değişken', 'münazara', 'ispatlama', 'tartışmalı', 'genlik', 'edebi_argümanı', 'mantıksal_argüman', 'oblik_argüman', 'parametre', 'konuşma_ve_tartışma', 'argument', 'savunma', 'tartışma', 'değişken', 'tartışmak', 'münakaşa', 'argümanlar', 'tartışmalar']
art	sanat	Match	['harfitarif', 'eser', 'sanatçılık', 'sanatsal_ifade', 'güzel_sanatlar_nelerdir', 'sanatsal', 'art', 'sanatta_estetik', 'yapıt', 'grafik_çeşitleri', 'sanatçı', 'sanatsallık', 'beaux_arts', 'beauxarts_tarzında', 'agoutiilişkili_peptid', 'artikel', 'güzel_sanat', 'grafik', 'grafik_hangi_mesleklerde_kullanılır', 'güzel_sanatlar', 'sanat_tasarım', 'tanımlık', 'beaux_arts_mimari', 'sanat', 'kahramanlık', 'grafikler', 'ince_sanat', 'android_runtime', 'metin_olmayan_maddenin', 'sanatsal_üretim', 'sanatsal_yaratım', 'dni', 'sanat_eseri']
attitude	tavırları	Found close match: ['tavır']	['eğilim', 'attitude', 'meyil', 'tavır', 'yönlendirme', 'zımbırtı', 'tutum', 'temayül', 'brisé', 'meyelan', 'reload', 'coşmuş', 'davranışsal', 'tandans', 'eğilimi', 'euler_açıları', 'malprezentasyon', 'hizalama', 'aksaklığı', 'davranış', 'uyarıcı_davranışsal_tepki', 'zihinsel_tutum', 'sosyal_davranış', 'duruşu', 'duruş']
bag	şişesi	Incorrect	['moruk', 'multiset', 'çanta', 'meme', 'poşet', 'çantası_seyahat', 'çalmak', 'bavul', 'kagıt_poşet', 'paket', 'multisets', 'kağıt_torba', 'torba', 'kağıt_poşet', 'taşıma_çantası', 'el_çantası', 'kesekâğıdı', 'bagful', 'çuval', 'bardak_çay', 'plastik_alışveriş_çantası']
ball	şut	Incorrect	['erbezi', 'erbezleri', 'misket_tüfeği_topu', 'hemisferik', 'grev_bölge', 'balo', 'mermi', 'husye', 'yumurta', 'futbol_topu', 'küre', 'topak', 'testisler', 'yumurtacık', 'gülle', 'ballock', 'er_bezi', 'taşşak', 'açık_topu', 'haya', '2küre', 'testis', 'top', 'kapalı_topu', 'taşak', 'teste', 'tenis_topu', 'tenis_topları', 'topu', 'yumak', 'küresel', 'ball', 'futbol', 'lucille_ball', 'bilya', 'john_ball', 'yumurta_hücresi']
bar	bar	Match	['bariyer_plaj', 'vuruş', 'bar_oyunları', 'kum_banka', 'sandbars', 'ucuz_meyhane', 'barline', 'yasaklamak', 'bar', 'lokali', 'shoal', 'yasal_topluluk', 'salon_kaleci', 'bira_musluğu', 'beta2_reseptör', 'soyadı', 'han', 'önlenmesi', 'önünü_kesmek', 'mbar', 'farnesoid_x_reseptörü', 'meyhane', 'browning_otomatik_tüfeği', 'ölçü', 'foobar', 'önleme', 'pub_grub', 'çizgi', 'advocatus', 'bavyeraca', 'çubuk', 'halk_evleri', 'sürüler', 'taphouse', 'baro', 'pub_gıda', 'pub', 'ev_dokunun', 'patrynomic', 'sürgülemek', 'public_house', 'milibar', 'ginmill', 'barroom', 'ülke_han', 'birahane', 'patronymics', 'bar_tutuşmak', 'beta2_adrenerjik_reseptör', 'patronym', 'hukuk_mesleği', 'foo', 'beta2_reseptör_olan', 'bar_karadağ']
bear	ayı	Match	['ursidae', 'tupolev_tu95', 'katlanmak', 'kaldırmak', 'webelo', 'dogurmak', 'ayıya', 'tahammül_etmek', 'bear', 'kabul_etmek', 'ayıgiller', 'dayanmak', 'ödemek', 'mike_brown', 'ayı']
beat	eleyerek	Incorrect	['vuruş', 'mağlup_etmek', 'beatnik', 'yendi', 'ritm', 'prozodi', 'şiirde_ölçü', 'yenmek', 'metre', 'ölçü', 'siteswap', 'nicel_dize', 'ritimleri', 'alt', 'offbeat', 'asi_genç', 'müzikal_ritim', 'ritim', 'nabız', 'ritmik_birim', 'ritmik', 'şiirsel_metre', 'beat']
bed	yatak	Match	['yatak', 'becermek', 'düzmek', 'dere', 'seks_yapmak', 'sokmak', 'sikmek', 'dikiş', 'yatmış_olmak', 'halletmek', 'dere_yatağı', 'bed', 'koymak', 'sikişmek', 'kaymak']
beer	bira	Match	['ale', 'beer', 'bira', 'arpa_suyu', 'bira_türleri']
big	big	Match	['bjarke_ingels_group', 'vücut', 'kuru', 'yetişkin', 'meyve', 'big', 'ergin', 'buyuk', 'kocaman', 'denge', 'stypsis', 'minerality', 'norm_nixon', 'büyük']
