ability	képessége	Found close match: ['képességek', 'képesség']	['képesség', 'képességek', 'alkalmasság']
accomplished	sikeres	Not found	[]
angry	dühös	Match	['harag', 'anger', 'mad_season', 'mérges', 'bősz', 'angriness', 'kay_starr', 'dühös', 'haragos', 'press_to_play', 'őrjöngő']
apartment	lakása	Found close match: ['lakás', 'lakóházak']	['kúria_blokk', 'apartment', 'apartman_komplexum', 'apartman', 'lakás', 'panelházban', 'apartmanok', 'lakóházak', 'szerelmi_fészek']
applause	tapsot	Found close match: ['taps', 'tapsoló']	['taps', 'kézzel_taps', 'applause', 'tapsoló', 'tapsvihar', 'handclaps']
argument	érv	Match	['vitakör', 'vita', 'vonal', 'beszéd_és_a_vita', 'disceptation', 'vita_csapat', 'logikai_érvelés', 'azzal_érvelve', 'argumentum', 'zenei_érvet', 'viták', 'érvelést', 'paraméter', 'politikai_vita', 'ellentétek', 'peresítés', 'pertraktáció', 'megvitassák', 'érvelés_elmélet', 'ferde_érv', 'érvek', 'érvelés', 'ellentmondásos', 'irodalmi_érv', 'érv']
art	művészet	Match	['finom_művészeti', 'képzőművészet', 'finom_art', 'szépművészet', 'beauxarts_stílusban', 'fine_arts', 'névmutató', 'ábra', 'művész', 'nontextual_ügy', 'művészeti_termelés', 'agoutirokon_peptid', 'art', 'művésziesség', 'grafika', 'bátorság', 'beaux_arts', 'művészi_kifejezés', 'art_design', 'artwork', 'rajzolás', 'grafikus', 'művészi', 'beaux_arts_építészet', 'művészet', 'android_runtime', 'beauxarts_építészeti', 'dni', 'képzőművész', 'névelő', 'művészeti_alkotás']
attitude	hozzáállás	Match	['szociális_attitűd', 'attitude', 'burjánzó', 'malpresentation', 'eulerszögek', 'viselkedés', 'testtartás', 'viselkedése', 'hozzáállás', 'helyzetben', 'hozzáállása', 'reload', 'euler_szögek', 'magatartás', 'betájolás', 'térbeli_tájékozódás', 'póz', 'irány', 'orientáció', 'tájolás', 'neveletlenség', 'szociális_viselkedés', 'testhelyzet', 'lelki_beállítottsága', 'viselkedési', 'hajlam', 'mesterkedés', 'tendencia']
bag	táskát	Match	['hordozó_táska', 'bag', 'multiset', 'tőgy', 'egy_zsáknyi', 'zsák', 'bőrönd', 'táskák', 'koffer', 'emlő', 'műanyag_bevásárló_táska', 'tehén_tőgye', 'multisets', 'vén_szatyor', 'lop', 'papírzacskót', 'papírzacskóban', 'szatyor', 'kézitáska', 'utazózsák', 'csésze_tea', 'táskát', 'tasak', 'táska', 'zacskó', 'bevásárlószatyor']
ball	labda	Match	['baromság', 'glob', 'muskéta_golyó', 'golyók', 'heregolyó', 'golyó', 'gömb', 'gömb_qualifier', 'tök', 'strike_zone', 'herék', 'sztrájk_zóna', 'focilabda', 'ballock', 'wilfred_williams_ball', 'bál', 'golyó_qualifier', 'gömb_alakú', 'testis', 'futballlabda', 'labda', 'félgömb_alakú', 'teste', 'pete', 'mogyoró', 'meztelen_csiga', 'ball', '2gömb', 'gombolyag', 'here', 'lucille_ball', 'teniszlabda', 'labdát', 'zárt_labdát', 'labda_qualifier', 'john_ball']
bar	tabs	Incorrect	['sandbars', 'farnesoid_x_receptor', 'sekély', 'barline', 'bar_corrèze', 'patronímiával', 'homok_bank', 'bar', 'antivari', 'bajor', 'patronym', 'apai_név', 'szalon_üzembentartó', 'zátonyok', 'nemzetségnév', 'béta2receptor', 'pothouse', 'vendégfogadó', 'country_inn', 'kirekeszt', 'sörfőzde_csap', 'csárda', 'pálinkamérés', 'elhesseget', 'pub_jel', 'béta2adrenerg_receptor', 'jogi_szakma', 'mbar', 'vonás', 'intézkedés', 'bár', 'nyilvános_ház', 'bar_montenegro', 'bonaventure_de_bar', 'millibar', 'foobar', 'pub_grub', 'advocatus', 'csík', 'browning_automata_puska', 'megelőzésére', 'jogi_közössége', 'kocsma', 'elűz', 'apai', 'taphouse', 'pub_food', 'keresztbetesz_útját_állja', 'söntés', 'pub', 'foo_bar_és_baz', 'megelőzés', 'patrynomic', 'rúd', 'public_house', 'ginmill', 'baz', 'pub_élelmiszer', 'ütemmutató', 'antibari', 'bárpult', 'nyilvános_házak', 'kocsmai', 'foo', 'millibarban']
