ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
accomplished	{'popoln', 'realiziran', 'dokončan'}
all	{'vse', 'univerzalni_kvantifikator', 'v_celoti', 'scela', 'celoten', 'akutno_limfocitno_levkemijo', 'čisto', 'popôlnoma', 'akutno_limfoblastno_levkemijo', 'akutna_limfocitna_levkemija', 'popolnoma', 'all', 'izključno', 'akutna_limfoblastna_levkemija', 'univerzalno_zaprtje', 'vès', 'cel', 'akutne_limfocitne_levkemije', 'povsem', 'totalno'}
and	{'logični_in', 'logična_vrata', 'logičnih_vrat', 'vrata', 'konjunkcija', 'logika_vrata', 'diskretne_logike', 'armed_and_dangerous'}
angry	{'press_to_play', 'viharen', 'besen', 'jeza', 'angriness', 'jezen', 'mad_season', 'jezni', 'kay_starr', 'divji'}
animal	{'živalsko_kraljestvo', 'življenje_živali', 'živo_bitje', 'far_east_movement', 'razmnoževanje_živali', 'reality_check', 'vrsto_bitje', 'animal', 'epifauna', 'telesen', 'infauna', 'čuten', 'w.a.s.p.', 'žival', 'metazojev', 'polten', 'makrofavne', 'animalia', 'mesen', 'pohoten', 'road_warrior_animal', 'rastlin', 'favna', 'animirati_počutje', 'bitje', 'metazoa', 'živali', 'živalstvo', 'epifaunal', 'živalski'}
apartment	{'apartment', 'stanovanje', 'stanovanjskem_bloku', 'apartmajsko_naselje'}
applause	{'handclaps', 'ploskanje', 'applause', 'ročno_ploskanje', 'aplavz', 'aklamacija'}
argument	{'utemeljitev', 'argumentacija', 'argument', 'prerekanje', 'spor', 'literarna_trditev', 'razmišljanje', 'parameter', 'prepir', 'politične_razprave', 'izjava', 'polemiko', 'debata', 'disceptation', 'razprave', 'govor_in_razprava', 'razprava', 'izpodbijanja', 'dokazovanje', 'argumentiranje', 'utemeljitvijo', 'glasbenega_argumenta', 'polemika', 'razpravljati', 'logičnega_argumenta', 'logična_trditev', 'sklepanje', 'polemike', 'presojanje', 'polemik', 'razlaga'}
argumentatively	set()
art	{'art', 'likovna_umetnost', 'umetnik', 'člen', 'umetnost', 'fino_umetnost', 'umetniško_ustvarjanje', 'umetnosti', 'beaux-arts_arhitekture', 'likovne_umetnosti', 'vsebina_nontextual', 'umetniško_delo', 'beaux_arts', 'likovno_delo', 'umetnine', 'grafik', 'grafika', 'umetnica', "d'ni", 'junaštvo', 'umetniškega_izražanja', 'umetnina', 'lepe_umetnosti'}
ashes	{'ashes', 'post_mortem'}
at	{'republika_nemška_avstrija', 'astatine', '@', 'austrija', 'at', 'avtomatski_pogon', 'nemška_avstrija', 'na_znak', 'na', 'austria', 'astat', 'atomsko_število_85', 'tirozin_kinaze_bruton_je', 'prva_avstrijska_republika', 'config.sys', 'oesterreich', 'toyota_coaster', 'republik_österreich', 'ávstrija', 'republika_avstrija', 'avstrija', 'afna', 'avtomatski_menjalnik'}
attitude	{'poza', 'eulerjevi_koti', 'prostorsko_orientacijo', 'težnja', 'neprimernega_vedenja', 'attitude', 'nagnjenje', 'odnosu', 'obnašanje', 'vladanje', 'vedenje', 'besen', 'reload', 'tendenca', 'držo', 'nagnjenost', 'drža', 'vedenjske', 'predsodkov', 'položaj', 'odnos', 'stališče', 'malpresentation', 'usmerjenost'}
back	{'b.a.c.k.', 'hrbet', 'nazaj', 'hrbtenica', 'potrditi', 'back', 'prop_tighthead', 'podpreti', 'levo_nazaj', 'branilec', 'knjigoveški', 'zadnja_stran', 'rebrce', 'hrbtna_stran', 'notranjost_centra', 'potrdi', 'desno_nazaj', 'staviti', 'konec', 'flyhalf', 'stržen', 'hrbtnega_naslona', 'nazáj', 'vretenc', '백', 'podpirati', 'columna_vertebralis', 'ozadje', 'naslon', 'hrbtenico', 'levi_nazaj', 'hrbtenice', 'naslonjalo', 'izven_centra', 'platnica', 'rahis', 'odobriti', 'tighthead_prop', 'zádnji', 'zadnji'}
bad	{'razpadel', 'tvegan', 'pokvarjen', 'poškodovan', 'kovan', 'ponarejen', 'hud', 'badness', 'neprimeren', 'bcl-2-povezanih_smrti_promotorja', 'nagnil', 'velik', 'otožen', 'gnil', 'slabo', 'slab', 'hiben', 'skovan', 'zlo', 'hudobnost', 'bad_world_tour', 'slàb', 'royce_da_5\'9"', 'žalosten', 'betežen', 'big_audio_dynamite', 'zlobnost', 'hudobija', 'lažen', 'bad', 'nevaren', 'zloba', 'trhel'}
bag	{'skodelica_čaja', 'vimena', 'vime', 'baza', 'multiset', 'torbica', 'vrečko', 'torba', 'večkratna_množica', 'vreča', 'polna_torba', 'bag,_madžarska', 'kovček', 'multisets', 'torbice', 'prevoznik_vrečko', 'ukrasti', 'torbo', 'potovalna_torba', 'torbico', 'papirnato_vrečko', 'stara_vreča'}
