ability	kyky	Match	['kyky', 'mahti', 'soveltuvuus', 'kyvykkyys', 'valta', 'kyvyt', 'taito', 'kyvyn', 'valmiudet', 'aptitude', 'taipumus']
accomplished	taitava	Match	['suoritettu', 'hyväksytty', 'valmis', 'toteutettu', 'täydellinen', 'täysi', 'tunnettu', 'taitava', 'vakiintunut', 'tunnustettu', 'loppuun_suoritettu', 'saavutettu']
angry	raivostunut	Match	['myrskyinen', 'viha', 'myrsky', 'vihaisuus', 'vihaa', 'angriness', 'kay_starr', 'uhkaava', 'raivokas', 'vihastus', 'press_to_play', 'suuttumus', 'mad_season', 'vihainen', 'raivostunut', 'raivoissaan', 'kipeä', 'synkkä', 'raivoava', 'raivoisa', 'kiukku', 'rauhaton']
apartment	kerrostaloon	Found close match: ['kerrostalo', 'kerrostaloja']	['asunnon', 'lape', 'taloyhtiön', 'kerrostalo', 'asuinhuoneisto', 'asunto', 'kämppä', 'apartment', 'kerrostaloja', 'huoneisto']
applause	suosionosoitukset	Not found	[]
argument	argumentti	Match	['mielipiteiden_vaihto', 'lausunto', 'argumentointi', 'puheen_ja_keskustelun', 'argumentteja', 'disceptation', 'kiistäminen', 'ristiriitoja', 'kirjallisuuden_argumentti', 'looginen_väite', 'riita', 'verbi_argumentti', 'musiikin_argumentti', 'todiste', 'kirjallinen_väittely', 'väitteleminen', 'sanaharkka', 'parametri', 'linja', 'keskustelua', 'väittely', 'argumentti', 'argumentaatio', 'kiistanalainen', 'ajattelutapa', 'keskusteluja', 'perustelu', 'perustelut', 'looginen_argumentti', 'peruste', 'sanasota', 'kiista', 'tunnusluvut', 'poliittista_keskustelua', 'vino_argumentti', 'keskustelupiiri', 'päättelyä', 'perustelutaito', 'looginen_peruste', 'keskustelun_joukkue', 'keskustella', 'keskustelu', 'pääsisällys', 'parametrit', 'väittäen', 'keskustelemme']
art	taide	Match	['kuvitus', 'beauxarts_tyyliin', 'taiteellinen_tuotanto', 'design', 'taiteellinen_luominen', 'taito', 'kieliopillinen_artikkeli', 'fine_arts', 'taidetta', 'artikkeli', 'taideaineet', 'beaux_arts_arkkitehtuurin', 'art', 'taiteen', 'grafiikka', 'taiteellisuus', 'taitavuus', 'beaux_arts', 'beauxarts_arkkitehtuurin', 'taide', 'kuvamateriaali', 'kuvataiteen', 'taideteos', 'the_vips', 'muu_kuin_tekstiaineisto', 'taiteellisen_ilmaisun', 'taideteosten', 'kuvataide', 'kyvykkyys', 'taiteellinen_luomus', 'agouti_liittyvä_peptidi', 'nontextual_väliä', 'dni', 'kuvataiteilija']
attitude	asenne	Match	['asenne', 'suunnistus', 'viettymys', 'käyttäytymistä', 'olemus', 'suuntaus', 'attitude', 'suunta', 'malpresentation', 'ryhti', 'asenteet', 'näkökanta', 'asenteella', 'suhtautuminen', 'positiivinen_ajattelu', 'mielipide', 'käyttäytymiseen', 'käytös', 'tendenssi', 'henkistä_asennetta', 'rehottaa', 'myönteinen_ajattelu', 'käsitys', 'kohdealueeseen', 'reload', 'kanta', 'luonteenlaatu', 'tarjonta', 'käyttäytyminen', 'käytöstapa', 'asennetta', 'tekemiset', 'toiminta', 'kurittomuus', 'asento', 'puuhat', 'menettelytapa', 'disposition', 'sosiaalisen_käyttäytymisen', 'eulerin_kulmia', 'asiat', 'taipumus', 'luettelo_balettitermeistä']
bag	laukkuja	Found close match: ['laukku', 'käsilaukku', 'akka']	['käsilaukut', 'pihistää', 'kassi', 'utaret', 'udar', 'bag', 'utare', 'mieliharrastus', 'kuppi_teetä', 'matkakassi', 'saalis', 'kassillinen', 'vanha_akka', 'säkki', 'noita', 'monijoukko', 'matkalaukku', 'saada_saalista', 'pullistua', 'säkillinen', 'laukku', 'muovikassillisen', 'kähveltää', 'käsilaukku', 'pussillinen', 'muovikassi', 'multisets', 'pakata_kassiin', 'roikkua', 'vanha_ämmä', 'työntyä', 'muovi_ostoskassi', 'oma_juttu', 'ryövätä', 'monitoimisarja', 'haahka', 'varastaa', 'kukkaro', 'mielipuuha', 'akka', 'ämmä', 'lompakko', 'muovipussi', 'pesä', 'lököttää', 'utareet', 'pussittaa', 'paperikassi', 'pussi', 'leipälaji', 'pakata_pussiin', 'paperipussi']
ball	pallon	Match	['testikkeli', 'loraus', 'pallit', 'avoin_pallo', 'kehrä', 'luoti', 'kuula', '2alalla', 'kiertää_kerälle', 'kääriä_kerälle', 'paskaa', 'pallo', 'ammus', 'kassit', 'kokovaippaluoti', 'paakku', 'strike_zone', 'suljetun_pallon', 'kivesten', 'etana', 'munasolu', 'testikkelit', 'iskualue', 'syöttö', 'uintisyvyyden', 'päkiä', 'ballock', 'tanssiaiset', 'kiveksissä', 'amerikkalainen_jalkapallo', 'pallon', 'tennispallo', 'luoteja', 'musketin_luoti', 'testis', 'munat', 'kives', 'pyöreä_kappale', 'palli', 'pallomainen', 'jalkapallo', 'pallukka', 'teste', 'musketti_pallo', 'savikokkare', 'lankakerä', 'kivekset', 'väärä', 'möykky', 'ball', 'tennispalloja', 'kulkunen', 'kerä', 'möhkäle', 'kulkuset', 'puolipallon', 'lucille_ball', 'baseball', 'kimpale', 'john_ball', 'kumiluoti']
bar	bar	Match	['sandbars', 'heittää_ulos', 'pubi', 'foo', 'este_ranta', 'sulkea_esteellä', 'välttää', 'äänestää_vastaan', 'aita', 'kalteri', 'mbar', 'ajaa_maanpakoon', 'ylärima', 'viiru', 'sulkea_pois', 'taverna', 'jättää_jnk_ulkopuolelle', 'pub_grub', 'karttaa', 'patronyymi', 'hankkiutua_eroon', 'kieltää_pääsy', 'asianajajakunta', 'kisko', 'hyljeksiä', 'ginmill', 'tanko', 'browning_automatic_rifle_pikakivääri', 'patronym', 'sulkea_ulkopuolelle', 'ehkäisyyn', '◌̷', 'bar', '◌̶', 'baarit', 'matalikot', 'puomi', 'banaanipuhelin', 'gin_tehdas', 'millibaari', 'seisauttaa', 'palkki', 'särkkä', 'advocatus', 'browning_automaattinen_kivääri', 'karkottaa_maasta', 'toimenpide', 'kievari', 'farnesoid_xreseptori', 'pubien', 'taphouse', 'tiski', 'kapakka', '◌̸', 'piirto', 'sedan_pitäjän', 'tukkia_kulku', 'matalikko', 'jättää_pois', 'baijerin_kieli', 'taproom', 'estää', 'millibaaria', 'pubiruokaa', 'oluttupa', 'tavernoja', 'barline', 'poikkiviiva', 'beeta2adrenergisen_reseptorin', 'karkottaa', 'pothouse', 'pubeja', 'country_inn', 'simpukkamalli', 'beeta2reseptorin', 'sulkea_barrikadilla', 'juova', 'kieltää', 'tukkia', 'tahtiviiva', 'foobar', 'terässeiväs', 'matalikolle', 'rautakanki', 'liukukannellinen_matkapuhelin', 'barpikakivääri', 'krouvi', 'panimo_hana', 'pub', 'saartaa', 'sauva', 'public_house', 'pala', 'saluuna', 'patronymics', 'pysäyttää', 'simpukkamallinen', 'hiekkaa_pankin', 'sulkea', 'matkapuhelinten_muodot', 'karsastaa', 'raita', 'kosketa_talo', 'baariin', 'baaritiski', 'baarin', 'esto', '◌̵', 'salvata', 'torjua', 'baari', 'beeta2reseptoriin', 'poikkipuu', 'halkopuhelin', 'veto', 'kirjaimen_yli_menevä_viiva', 'anniskelupaikka', 'tahti', 'lainsäädäntöpiirien', 'lämmitysvastus', 'nimestä', 'ravintola', 'läppäpuhelin', 'baarissa', 'toimenpiteen', 'patrynomic', 'lakimieskunta', 'viinitupa', 'isännimi', 'teljetä', 'barroom', 'hiekkasärkkä', 'pub_merkki', 'juottola', 'simpukan_muotoinen_matkapuhelin', 'ehkäisy', 'kaihtaa', 'kaide']
bear	karhu	Match	['säilyttää', 'seistä', 'ottaa_vastatakseen', 'karhua', 'odottaa', 'bear', 'sisältää', 'ursinae', 'ursine', 'ottaa', 'tuottaa', 'webelos', 'onnistua', 'pörssikeinottelija', 'tupolev_tu20', 'valmistaa', 'ursidae', 'sulattaa', 'tu142', 'karhut', 'esiintyä', 'kannattaa', 'kuljettaa', 'nalle', 'tupolev_tu95k', 'ottaa_itselleen', 'mike_brown', 'olla', 'vastata', 'sallia', 'ottaa_niskoilleen', 'liikkua', 'ottaa_vastuulleen', 'omata', 'toimia', 'ottaa_kannettavakseen', 'liikehtiä', 'synnyttää', 'hyväksyä', 'lasku', 'sietää', 'odottaa_lasta', 'suoriutua', 'ottaa_harteille', 'käyttäytyä', 'tupolev_tu95', 'karhu', 'kestää', 'suvaita', 'kantaa_hedelmää', 'ottaa_maksettavakseen', 'maksaa', 'karhuja', 'kantaa', 'alistua', 'kärsiä', 'olla_raskaana', 'tu95']
beat	finaalissa	Incorrect	['vetää_vertoja', 'tertsiini', 'mukiloida', 'kuitti', 'naputtaa', 'tehdä_munakokkelia', 'pistää', 'kukistaa', 'lyödä', 'käyttää_loppuun', 'pärinä', 'poljento', 'rytminen', 'vatkata', 'siteswap', 'hakkaa', 'hämmentää', 'räpytellä', 'räpyttää', 'sydämenlyönti', 'luoviminen', 'beat', 'päihittää', 'olla_ovelampi', 'paistaa_täydeltä_terältä', 'lyönti', 'pulssi', 'muovata', 'voittaa', 'tikittää', 'rakki', 'hakata', 'daktyyli', 'ajaa_loppuun', 'rytmi', 'runomittaoppi', 'typerryttää', 'jyskyttää', 'lepattaa', 'tallata', 'sydämensyke', 'isku', 'trokee', 'huojuntataajuus', 'tampata', 'tykyttää', 'mykistää', 'ärsyttää', 'ällistyttää', 'kuolemanväsynyt', 'mennä_pummilla', 'pettää', 'anapesti', 'iskeä', 'kiusata', 'pulsaatio', 'uuvuttaa', 'rummuttaa', 'beatniks', 'beattaajuus', 'jyske', 'porottaa', 'rytmejä', 'beatnikki', 'alue', 'mystifioida', 'luovia', 'takoa', 'nujertaa', 'piestä', 'viisimittasäe', 'musiikillinen_rytmi', 'syke', 'matkustaa_jäniksenä', 'rytminen_yksikkö', 'kummastuttaa', 'beatnik', 'päristä', 'kierros', 'puijata', 'oskillaatio', 'jet_set_radio', 'puhki_oleva', 'työvuoro', 'mittari', 'vispata', 'murskata', 'väsyttää', 'huojunta', 'tahti', 'runomitan', 'metrumi', 'offbeat', 'häkellyttää', 'pentametri', 'petkuttaa', 'runomitta', 'saattaa_ymmälle', 'viisimitta', 'vetää_nenästä', 'uupunut', 'sykkiä', 'raksuttaa', 'saattaa_ymmälleen']
bed	sänkyyn	Found close match: ['sänky', 'sängyn']	['sängyn', 'penger', 'uoma', 'kerrostuma', 'allas', 'jenkkisänky', 'kehilön_alusta', 'saada', 'majoittaa', 'parvisänky', 'muhinoida', 'bed', 'hassutella_heinikossa', 'kiksauttaa', 'jenkkivuode', 'nussia', 'rakastaa', 'sauma', 'perusta', 'moottorivuode', 'maata_jonkun_kanssa', 'fundamentti', 'suoni', 'kukkapenkki', 'rakastella', 'ryömiä_peiton_alle', 'maata_jkn_kanssa', 'alusta', 'streambed', 'olla_intiimissä_suhteessa', 'painua_pehkuihin', 'kenttä', 'sänky', 'olla_sukupuoliyhdynnässä', 'painoalusta', 'mennä_nukkumaan', 'pohja', 'juonne', 'harrastaa_seksiä', 'hässiä', 'olla_sukupuoliyhteydessä_jkn_kanssa', 'vuode', 'vuodevaatteet_tasossa', 'esiintymä', 'istuttaa', 'asettua_nukkumaan', 'nukahtaa', 'painaa_pää_tyynyyn', 'mennä_sänkyyn_jkn_kanssa', 'käydä_nukkumaan', 'panna_jku_nukkumaan_jhk', 'peti', 'harrastaa_vaakamamboa', 'kerros', 'jokiuoma', 'lihavan_ahmimishäiriö', 'maata', 'olla_sukupuoliyhteydessä', 'creek_bed', 'humalahakuisen_syömishäiriö', 'mennä_levolle', 'naida', 'bylsiä', 'yhtyä', 'joen_uoma', 'penkki', 'olla_seksisuhde', 'panna']
beer	olutta	Match	['kaltsu', 'mallasjuoma', 'ölkki', 'ale', 'birre', 'sahti', 'bisse', 'beer', 'keskiolut', 'ohrapirtelö', 'kotiolut', 'olutta', 'olut', 'real_ale', 'ööli', 'kalja', 'kaljaa', 'bishe', 'panimoteollisuus', 'pitkä', 'huurteinen', 'keijo', 'bier']
big	big	Match	['reilu', 'ylimielisesti', 'paha', 'varttunut', 'täysikasvuinen', 'jalomielinen', 'raskauden_loppuvaiheessa_oleva', 'merkittävä', 'sievoinen', 'pahasti', 'kerskuva', 'laajasti', 'runsas', 'mahtailevasti', 'lukuisa', 'big__isoksi_yhdessä_yössä', 'bjarke_ingels_group', 'jälkimaku', 'runsaskätinen', 'kuuluisa', 'voimakas', 'varsinainen', 'oikea', 'big_–_isoksi_yhdessä_yössä', 'jalo', 'stypsis', 'kutistuvuus', 'isosti', 'innokas', 'itsetärkeä', 'huomattava', 'menestyksekkäästi', 'suuresti', 'suuri', 'rehentelevästi', 'mineraalinen', 'isot', 'hienosti', 'vakava', 'omahyväinen', 'hedelmiä', 'kehuskeleva', 'kookas', 'leuhkasti', 'kovan_luokan', 'melkoinen', 'avokätinen', 'tärkeä', 'raskaana_oleva', 'kova', 'raju', 'aikuinen', 'mahtaileva', 'innostunut_jstak', 'kuiva', 'antelias', 'paisunut', 'big', 'ylevämielinen', 'rehentelevä', 'pöyhkeilevä', 'iso', 'nimekäs', 'leveästi', 'kehon', 'brassmunk', 'kokoon_vetäytyminen', 'norm_nixon', 'rehvasteleva']
bird	lintu	Match	['buuaus', 'kielen_pärisytys', 'kukko', 'likka', 'siipikarja', 'neitonen', 'mikuni_shimokawa', 'tytsy', 'yardbird_parker', 'pöö', 'kukon_vuosi', 'bongata_lintuja', 'lintu', '9_que_shimokawa_mikuni_self_cover_album', 'keskisormi', 'aves', 'katsella_lintuja', 'avafauna', 'linnun', 'kulta', 'kultanen', 'muru', 'kimma', 'kiltsi', 'beibi', 'sormi', 'charlie_parker', 'linnut', 'chrome_reflection', 'sisar', 'bird_parker', 'tuhahdus', 'bird', 'parker', 'sulkapallo', 'roosting', 'bronx_cheer', 'razzing', 'charles_christopher_parker', 'tipu', 'sisko', 'birds', 'hame', 'razz', 'tyttö', 'pesäpakoinen', 'typykkä', 'riistalintu', 'boo', 'vihellys']
blood	verta	Match	['ihmisen_verta', 'sukulinja', 'sukupuu', 'blood', 'sukujuuri', 'hello_master', 'rietastelija', 'bordeauxviini', 'leijona', 'elostelija', 'alkuperä', 'verta', 'presistence_of_time', 'rakehell', 'sukuperä', 'levittää_verta_iholle', 'veri', 'verilinjaa', 'verisukulaisuus', 'bordeaux', 'irstailija', 'verisukulainen', 'linja', 'bordeaux_viini', 'geneettisen_perinnön', 'vs', 'sotkea_verellä', 'biologisen_perinnön', 'perinnöllinen', 'sukuhaara', 'happipitoista_verta', 'persistence_of_time', 'sukutaulu', 'aleneva_polvi', 'verenkiertoon', 'suku', 'syntyperä', 'näyttävä_mies', 'collective_soul', 'hematologiset', 'perinnöllisyys', 'sanguis', 'the_black_parade', 'black_parade', 'getting_away_with_murder', 'tuhria_verellä']
body	ruumiin	Match	['kentällä_vaikutus_transistorit', 'elimistö', 'pica', 'vartalo', 'vastaanotin', 'kalmo', 'trikoot', 'kutistuvuus', 'rakenne', 'uutinen', 'ihmisruumis', 'aikakauslehdessä', 'äänirasia', 'soundbox', 'hedelmiä', 'kappale', 'polytooppia', 'piste', 'trikooasu', 'kuiva', 'body', 'teairra_marí', 'eubstance', 'kanavatransistorille', 'ylävartalo', 'torso', 'body_puku', 'polytopes', 'joukko', 'elin', 'korinrakentaja', 'nielu', 'yläruumis', 'teairra_mari', 'teksti', 'portti', 'mineraalinen', 'keho', 'kirjallinen_artikkeli', 'kissapuku', 'orgaaninen_rakenne', 'personoida', 'uutisjuttu', 'kehon', 'fyysinen_ruumis', 'ovi', 'kanavatransistori', 'tomumaja', 'lähde', 'kroppa', 'catsuit', 'fälteffekttransistor', 'hienovaraisen_kehon', 'stypsis', 'tiiviys', 'fet', 'kori', 'pistekoko', 'kissaasu', 'fysikaalinen_kappale', 'lujuus', 'pääosa', 'ruumis', 'fyysinen_rakenne', 'fälteffekttransistorer', 'ruumiin', 'ruumiita', 'sanomalehtiartikkeli', 'coachbuilder', 'best_night_of_my_life', 'fysikaalinen_olio', 'ruho', 'artikkeli', 'lehtiartikkelissa', 'jälkimaku', 'maalliset_jäännökset', 'ylävartalon', 'kanavavaikutustransistori', 'kissa_puku', 'kehon_puku', 'uutisartikkeli', 'antaa_muoto_jllk', 'sakeus', 'konkreettinen_olio', 'runko', 'haaska', 'kokoon_vetäytyminen', 'raato', 'unitard']
