all	všechny	Match	['všichni', '∀', 'akutní_lymfocytární_leukemie', 'všechno', 'úplně', 'univerzální_kvantifikace', 'all', 'všechny', 'zcela', 'akutní_lymfoblastickou_leukémií', 'obecný_kvantifikátor', 'univerzální_kvantifikátor', 'vse', 'vše', 'velký_kvantifikátor', 'univerzální_uzavření']
and	a	Not found	[]
animal	zvířat	Match	['zvíře', 'stvoření', 'živočichové', 'fauna', 'animal', 'epifauna', 'wasp', 'rostlinného', 'animalia', 'živočišstvo', 'epifaunal', 'život_zvířat', 'metazoans', 'zvířat', 'metazoa', 'far_east_movement', 'zvířecí', 'animovat_je', 'rozmnožování_zvířat', 'typ_bytosti', 'infauna', 'zvířena', 'živočišná_říše', 'makrofaunu', 'živočich', 'reality_check']
ashes	pohřbeného	Incorrect	['post_mortem', 'popel', 'ashes']
at	u	Not found	[]
back	zpátky	Match	['podporovat', 'fotbalový_obránce', 'obránce', 'páteře', 'flypolovina', 'záda', 'mimo_centrum_města', 'levého_obránce', 'bek', 'back', 'tighthead_prop', '백', 'na_centra', 'flyhalf', 'obránkyně', 'zadní', 'páteř', 'zpátky', 'zpět', 'zadní_části', 'poranění_páteře', 'útočník', 'obratlů', 'knižní_vazby', 'hřbet', 'rub', 'opěradlo', 'knižní_vazba', 'pravé_zadní', 'couvat', 'columna_vertebralis']
bad	špatné	Match	['špatný', 'zlo', 'barksdaleova_letecká_základna', 'zkažený', 'špatné', 'big_audio_dynamite', 'letecká_základna_barksdale', 'royce_da_59', 'bad', 'barksdale_air_force_base', 'špatnost', 'nežádoucí_statek', 'bad_world_tour', 'bcl2související_smrti_propagátora']
bark	jehličí	Incorrect	['il2_šturmovik', 'štěkat', 'bark', 'šturmovik', 'periderm', 'stromové_kůry', 'kůra', 'štěkání', 'barque', 'štěkot', 'kůry', 'borka', 'iljušin_il2']
because	protože	Match	['protože', 'because', 'kvůli']
belly	břicho	Match	['břicho', 'břich', 'břišní_svaly', 'podbřišek', 'lidského_břicha', 'pupek', 'bachor', 'belly', 'břišní_dutina', 'břicha', 'břichy', 'břišní', 'bříško']
big	big	Match	['bjarke_ingels_group', 'velká', 'ovoce', 'big', 'velké', 'tělo', 'mineralitou', 'stypsis', 'dospělý', 'velký', 'suché', 'norm_nixon']
bird	pták	Match	['ptačí', 'ženská', 'vztyčený_prostředník', 'vypískat', 'zdvižený_prostředník', 'ptáci', 'mikuni_shimokawa', 'yardbird_parker', 'kohout', 'aves', 'avafauna', 'opeřenci', 'prst', 'pták', 'ptáček', 'charlie_parker', 'avifauna', 'bird_parker', 'zdvižený_prostředníček', 'bird', 'děvče', 'ptáků', 'pérák', 'kočka', 'roosting', 'bronx_cheer', 'razzing', 'charles_christopher_parker', 'ptactvo', 'razz', 'boo']
bite	kousnutí	Match	['pokousání_hmyzem', 'snack', 'píchnutí', 'bodnutí', 'plnění', 'ostrost', 'žvýkat', 'štiplavou', 'kousnutí', 'hmyzem', 'bodnutí_hmyzem', 'kousat', 'pokousání', 'svačina', 'kousnout', 'pikantní', 'bispecifické_tbuňky_engager', 'kousání', 'steven_hassan']
