ability	habilitat	Not found	[]
accomplished	versàtil	Incorrect	['complerta']
angry	enfadat	Match	['enfadat', 'còlera', 'mad_season', 'furor', 'tempestívol', 'ira', 'furiós', 'furibund', 'ràbia', 'kay_starr', 'irritat', 'enuig', 'violent', 'colèric', 'enutjat', 'press_to_play', 'tempestós', 'tempestuós']
apartment	apartament	Match	['bloc_mansió', 'complex_dapartaments', 'apartaments', 'aparthotel', 'apartament_amb_jardí', 'bloc_de_pisos', 'apartment', 'apartament', 'edificis_dapartaments', 'pis']
applause	aplaudiment	Match	['palmes', 'aplaudiments', 'applause', 'aplaudiment', 'mà_aplaudint']
argument	arguments	Match	['argument_complexe', 'argument_verb', 'paràmetre', 'argument_literari', 'controvèrsies', 'argument_oblic', 'discussió', 'disceptation', 'argument_lògic', 'argumentació', 'debats', 'debat', 'lluita', 'polèmica', 'arguments', 'equip_debat', 'argumentant', 'variable_independent', 'línia_de_raonament', 'línia', 'disputa', 'teoria_de_largumentació', 'argument', 'discutir', 'debat_polític', 'controvèrsia', 'argument_musical', 'lliça']
art	art	Match	['arts_majors', 'producció_artística', 'ni', 'expressió_artística', 'article', 'obres_dart', 'gràfica', 'belles_arts', 'estil_beauxarts', 'art', 'coratge', 'artística', 'artista_plàstic', 'disseny_dart', 'valor', 'mestria', 'articles', 'artístic', 'arts_pures', 'arquitectura_beauxarts', 'gràfics', 'creació_artística', 'perícia', 'gràfic', 'disciplines_artístiques', 'llenguatge_artístic', 'il·lustracione', 'qüestió_no_textual', 'android_runtime', 'pèptid_relacionat_amb_agouti', 'arts', 'arquitectura_beaux_arts', 'disciplina_artística', 'la_creació_artística']
attitude	actitud	Match	['conducta_social', 'angles_deuler', 'port', 'attitude', 'maneres', 'conducta', 'orientació_espacial', 'rampant', 'positura', 'actitud_mental', 'mala_presentació', 'tendència', 'disposició', 'posició', 'actuació', 'posat', 'fets', 'socialitat', 'reload', 'modals', 'comportament_humà_modern', 'conductes', 'inclinació', 'actituds', 'actitud', 'comportament', 'orientació', 'mala_conducta', 'postura', 'comportament_social']
bag	tovallola	Incorrect	['mamella', 'conjunts_múltiples', 'multiset', 'bag', 'robar', 'bossa_de_mà', 'meta', 'maletes', 'saca_de_correus', 'antiga_borsa', 'prendre', 'bossa', 'rampinyar', 'bossa_de_paper_plàstic', 'paperina', 'bossa_de_paper', 'valisa', 'bossa_de_plàstic', 'bosses', 'ensacar', 'afanar', 'furtar', 'maleta', 'borsa', 'sac', 'bombarse', 'embutxacar', 'bossa_de_viatge', 'inflarse', 'base', 'bossa_paper', 'multiconjunt', 'tassa_de_te', 'braguer', 'cartera']
ball	pilota	Match	['pilota_de_futbol_americà', 'glob', 'bala', 'bala_de_mosquet', 'cabdellar', '3esfera', 'bales', 'pilota_de_tennis', 'turma', 'bola_oberta', 'zona_de_strike', '2esfera', 'strike_zone', 'pilotes_de_tennis', 'pilota_de_futbol', 'pilotes_de_futbol', 'colló', 'tros', 'esfèric', 'testicular', 'semiesfèrica', 'pilotes', 'bocí', 'bola', 'ballock', 'bollocks', 'pilota', 'terròs', 'gònada', 'metatars', 'testicles', 'sector_esfèric', 'dídim', 'teste', 'mosquet_pilota', 'ou', 'bola_tancada', 'collons', 'ball', 'rodapilotes', 'esfera', 'futbol', 'lucille_ball', 'testicle', 'john_ball', 'esfèrica']
bar	barra	Match	['barra', 'receptor_beta2', 'fàbrica_de_cervesa_laixeta', 'telèfon_pissarra', 'banc_de_sorra', 'bar', 'foo', 'prevenció', 'receptor_farnesoid_x', 'antivari', 'bodegó', 'mesura', 'excloure', 'professional_jurídica', 'comunitat_legal', 'receptor_farnesoide_x', 'austrobavarés', 'advocacia', 'porter_saló', 'obstruir', 'signe_pub', 'pothouse', 'tavernes', 'patronímic', 'browning_automatic_rifle', 'marginar', 'barra_de_compàs', 'posada_de_camp', 'boarisch', 'mètode_de_la_ratlla', 'menjar_de_pub', 'professió_jurídica', 'mbar', 'austrobavarès', 'tap_house', 'bloquejar', 'fonda', 'factor_de_forma', 'banc_sorra', 'foobar', 'posada', 'advocatus', 'blocar', 'pastilla', 'taverna', 'exiliar', 'jurista', 'bandejar', 'ratlla', 'brasserie', 'compàs', 'taphouse', 'banc', 'patronímics', 'desterrar', 'mil·libars', 'patrònim', 'pub', 'professional_jurídic', 'professió_legal', 'bancs_de_sorra', 'patrynomic', 'pubs', 'milibar', 'public_house', 'ginmill', 'receptor_beta2_adrenèrgic', 'tasca', 'mil·libar', 'mil_·_libars', 'antibari', 'desmotadera_de_cotó', 'bavarès', 'bavarés']
bear	alastor	Incorrect	['orso', 'dur', 'aguantar', 'óssa', 'parir', 'bear', 'posseir', 'ursine', 'contenir', 'lós', 'webelos', 'suportar', 'ursidae', 'prendre', 'onso', 'rupert_bear', 'baixista', 'úrsids', 'sostenir', 'mike_brown', 'tolerar', 'entregar', 'assumir', 'esperar', 'exiliar', 'donar_a_llum', 'pagar', 'comportarse', 'adquirir', 'vestir', 'portarse', 'conduirse', 'úrsid', 'captenirse', 'portar', 'comunitat_de_lós', 'sofrir', 'óssos', 'ós', 'contenen']
beat	semifinalista	Incorrect	['pegar', 'martellejar', 'jet_grind_radio', 'copejar', 'vers_quantitatiu', 'beatnik', 'molestar', 'freqüència_de_batut', 'mètrica_(poesia', 'guanyar', 'fora_de_compàs', 'pols', 'rítmica', 'irritar', 'the_beat', 'tamborinejar', 'tustar', 'palpitar', 'jet_set_radio', 'esgotarse', 'ronda', 'picar', 'bategar', 'rítmics', 'desconcertar', 'aletejar', 'beatniks', 'rítmic', 'transposicionals', 'cadència', 'batec', 'agitar', 'temps', 'siteswap', 'batre', 'incomodar', 'compàs', 'ritmes', 'cremar', 'esbategar', 'ritme', 'remenar', 'bategada', 'amartellar', 'unitat_rítmica', 'palpitació', 'conquerir', 'espolsar', 'vèncer', 'tamborinar', 'mètrica', 'derrotar', 'esgotar', 'ritme_musical', 'metro_quantitatiu', 'beat']
bed	llit	Match	['fer_lamor', 'torrental', 'vena', 'menjador_compulsiu', 'trastorns_per_afartament', 'cala_llit', 'bed', 'tàlveg', 'follar', 'estirarse', 'llit_riu', 'jaciment', 'encantar', 'llit_del_riu', 'clapar', 'llitada', 'pla_destratificació', 'veta', 'fer_un_clau', 'llit', 'fotre', 'menjadora_compulsiva', 'costura', 'buc', 'anar_al_llit', 'fotre_un_clau', 'torrentera', 'gitarse', 'fons', 'cardar', 'allitarse', 'saber', 'capa', 'tirarse', 'filó', 'trastorn_per_afartament']
beer	cervesa	Match	['ale', 'cervesa_anglesa', 'beer', 'cervesa', 'bíter', 'indústria_cervesera', 'cervesa_ale', 'cervesera', 'birra']
big	little	Not found	[]
bird	ocell	Match	['aus', 'xavala', 'mossa', 'volant', 'ocellet', 'maca', 'xicota', 'ocell_minúscul', 'avians', 'aviram', 'aviaris', 'mikuni_shimokawa', 'culoti', 'ploma', 'yardbird_parker', 'bebè', 'moixó', 'au', 'aves', 'avafauna', 'esbroncada', 'noia', 'nena', 'ocell', 'charlie_parker', 'avifauna', 'bird_parker', 'dit', 'bird', 'parker', 'bronx_cheer', 'charles_christopher_parker', 'razzing', 'razz', 'animal_de_ploma', 'ocells', 'aviària']
blood	sang	Match	['bordeus_vi', 'nissaga', 'blood', 'sang_humana', 'llicenciós', 'descendència', 'línia_de_sang', 'herència_biològica', 'llinatge', 'bordeus', 'vi_de_bordeus', 'sang', 'dissolut', 'bordeaux', 'house_of_wolves', 'flux_sanguini', 'hèmic', 'vs', 'sang_line', 'llibertí', 'estirp', 'hematològics', 'persistence_of_time', 'vi_bordeus', 'ascendència', 'sang_oxigenada', 'collective_soul', 'origen', 'pedigrí', 'the_black_parade', 'herència', 'herència_genètica', 'herència_poligenètica', 'sanguínia', 'getting_away_with_murder', 'heretabilitat']
