ability	fähigkeit	Match	['vermögen', 'begabung', 'können', 'kapazität', 'fähigkeit', 'potentialität', 'befähigung', 'fähigkeiten', 'aktive_potenz', 'fertigkeit']
accomplished	erfolgreicher	Found close match: ['erreicht']	['vollbracht', 'geschafft', 'bewerkstelligt', 'vollendet', 'realisiert', 'versiert', 'erreicht']
angry	wütend	Match	['erbost', 'grimmig', 'zornig', 'mad_season', 'wütend', 'zorn', 'ärgerlich', 'aufgebracht', 'böse', 'angriness', 'katherine_laverne_starks', 'kay_starr', 'wut', 'fuchsig', 'verärgert', 'fuchtig', 'press_to_play', 'sauer', 'ungehalten', 'angry']
apartment	wohnung	Match	['anwohner', 'wohnung', 'ferienwohnung', 'lügen_der_liebe', 'wohnungstyp', 'lappartement', 'liebe_und_lügen', 'ferienwohnungen', 'apartment', 'ersatzwohnung', 'wohneinheit', 'wohnblock', 'herrenhaus_block', 'wohnen', 'l’appartement', 'whg', 'umsatzwohnung', 'apartmentkomplex', 'wohnungen']
applause	applaus	Match	['applaus', 'stehende_ovationen', 'stehende_ovation', 'applause', 'geklatsche', 'beifall', 'händeklatschen', 'handclaps', 'standing_ovations', 'klatschen']
argument	argumentation	Match	['aktant', 'bestreitung', 'schlüsselwortparameter', 'debatte_team', 'debating', 'verbargument', 'disceptation', 'scheinargument', 'typehinting', 'rede_und_debatte', 'linie', 'diskutieren', 'übergabewert', 'funktionsparameter', 'argumentum_ad_nauseam', 'parameterübergabe', 'literarischen_argument', 'argumentum', 'formaler_parameter', 'politische_debatte', 'option', 'streitgespräch', 'debattierclub', 'schräge_argument', 'aktueller_parameter', 'streit', 'argumentation_theorie', 'debattieren', 'positionsparameter', 'argumente', 'argumentum_e_consensu', 'kontroversen', 'argument_der_goldenen_mitte', 'kenngröße', 'logisches_argument', 'argumentum_ad_temperantiam', 'debatten', 'typen_von_argumenten', 'argument', 'argumentationstheorie', 'verb_argument', 'kontroverse', 'streiten', 'debatte', 'argumentieren', 'parameter', 'argumentation', 'streitgespräch_diskussion', 'argumentum_ad_consequentiam', 'aussage']
art	kunst	Match	['beauxarts', 'agrp', 'beauxartsarchitektur', 'beaux_arts_architektur', 'beauxartsstil', 'indefiniter_artikel', 'myst_online', 'artn', 'bildender_künstler', 'fine_arts', 'druckgraphik', 'kunst', 'd’ni', 'artikellosigkeit', 'druckgrafik', 'schöne_kunst', 'bebilderung', 'grafischen', 'myst_iv_revelation', 'art', 'illustrierung', 'originalgraphik', 'kunstfertigkeit', 'myst_iii_exile', 'definiter_artikel', 'agoutiverwandtes_peptid', 'riven', 'myst_v_end_of_ages', 'schöne_künste', 'künstlerischen_schaffens', 'fineart', 'beaux_arts', 'begleiter', 'unbestimmter_artikel', 'criminal_intent_–_verbrechen_im_visierstaffel_1', 'künste', 'artikel', 'uru__ages_beyond_myst', 'myst', 'grafik', 'kunstwerke', 'kunstwerk', 'realmyst', 'originalgrafik', 'grafiken', 'possessivartikel', 'künstlerischen', 'artikelwort', 'uru_–_ages_beyond_myst', 'android_runtime', 'künstlerisch', 'geschlechtswort', 'können', 'graphik', 'bildende_kunst', 'dni', 'nullartikel', 'bestimmter_artikel', 'künstlerische_produktion', 'textuelle_materie']
attitude	unfreundlichkeit	Incorrect	['verhaltensweise', 'tierverhalten', 'tendenz', 'benehmen', 'taten', 'attitude', 'cardanwinkel', 'malpresentation', 'zweiprozessmodell', 'kardanische_winkel', 'genetische_prädisposition', 'zweiprozesstheorie', 'kardanwinkel', 'floor_barre', 'theory_of_planned_behavior', 'geisteshaltung', 'einstellungsmessung', 'räumliche_orientierung', 'gesinnung', 'einstellung', 'eulerwiege', 'orientierung', 'attitude__golden_gun', 'sozialverhalten', 'eulersche_winkel', 'reload', 'ballettglossar', 'löwe', 'fehlverhalten', 'verhalten', 'hang', 'eulerwinkel', 'lagekoordinatensystem', 'veranlagung', 'pose', 'theorie_des_geplanten_verhaltens', 'dreikomponententheorie', 'position', 'genetische_disposition', 'haltung', 'soziales_verhalten', 'theory_of_reasoned_action', 'ausrichtung', 'ballet_blanc', 'verhalten_der_tiere', 'disposition', 'körperhaltung', 'betragen', 'neigung']
bag	brieftasche	Found close match: ['tragetasche', 'reisetasche', 'tasche']	['euter', 'bag', 'multiset', 'stoffbeutel', 'weichschalenkoffer', 'multimengen', 'klauen', 'koffer', 'vollaluminiumkoffer', 'hartschalenkoffer', 'papiertüte', 'mein_bier', 'handtaschen', 'haarbeutel', 'gürteltasche', 'reisekoffer', 'papiersack', 'geldtasche', 'multisets', 'tasse_tee', 'aluminiumrahmenkoffer', 'multiteilmenge', 'jutebeutel', 'aktenkoffer', 'multimenge', 'alte_ziege', 'reisetasche', 'tragetasche', 'plastiktüte', 'tragetüte', 'tüte', 'geldbeutel', 'entwenden', 'mopsen', 'sackerl', 'bagful', 'handtasche', 'tasche', 'beutel', 'sack', 'ding', 'stehlen']
ball	ball	Match	['tanzball', 'halbkugel', 'klöten', 'offene_kugel', 'ball_corporation', 'halbkugelförmigen', 'flatschen', 'epiorchium', 'geschlossenen_kugel', 'musketenkugel', 'ballkalender', 'ballnacht', 'klumpen', 'fußball', 'kugelvolumen', 'ovum', 'ballen', 'testes', 'handballen', 'vollkugel', 'hoden', 'ndimensionale_kugel', 'knäuel', 'strike_zone', 'tennisball', 'fussballen', 'tanzfest', 'batzen', 'football', 'ballock', 'hode', 'wilfred_williams_ball', 'kugelig', 'eizelle', 'abschlussball', 'geschoß', 'hodenverletzung', 'bollocks', 'klacks', 'schlussball', 'hyperkugel', 'calcar_metacarpeum', 'abschlußball', 'testis', '2sphäre', 'schlußball', 'kugelradius', 'bälle', 'teste', 'mittelball', 'lucille_desirée_ball', 'kugeloberfläche', 'cojones', 'kugelkörper', 'kugel', 'kugelfläche', 'nuss', 'eier', 'ballsaison', 'cafusa', 'tischtennisball', 'geschoss', 'mediastinum_testis', 'ball', 'calcar_metatarseum', 'ei', 'klöte', 'lucille_ball', 'kugeln', 'testikel', 'corpus_highmori', 'john_ball', 'tanzstunde', 'abtanzball']
bar	bar	Match	['zweivierteltakt', 'system_der_patronymischen_namensvererbung', 'federstrich', 'patronymikon', 'bayerisch', 'ausschließen', 'kiesbank', 'matronymikum', 'bairische_sprache', 'sandbank', 'dóttir', 'vatersnamen', 'untiefe', 'dreivierteltakt', 'gasthaus', 'boarisch', 'mbar', 'baar', 'tavernen', 'patronymie', 'bairischösterreichisch', 'strich', 'strichfarbe', 'ächten', 'vierertakt', 'patronymikum', 'zug', 'tresen', 'beisl', 'pubs', 'ginmill', 'stange', 'maßnahme', 'farnesoid_xrezeptor', 'patronym', 'vorbeugung', 'blockieren', 'bar', 'stari_bar', 'block', 'matronym', 'anwaltskammer', 'beta2rezeptor', 'uimundart', 'rechtsgemeinschaft', 'bonaventura_de_bar', 'ausstoßen', 'fubar', 'browning_automatic_rifle', 'handspeiche', 'zweiertakt', 'pubessen', 'behindern', 'millibar', 'schankstube', 'advocatus', 'schwarm', 'streifen', '24takt', 'taphouse', 'saloon_keeper', 'beta2adrenergen_rezeptor', 'donaubairisch', 'strahlstock', '1516takt', 'handspake', 'gin_mill', 'tripeltakt', 'beta2adrenerger_rezeptor', 'bairisch', 'sandriff', 'kneipe', 'viervierteltakt', 'sen', 'fubarit', 'sechsämterisch', 'bairischösterreichische_sprache', 'ausschank', 'pothouse', 'nr1h4', 'mittelbairisch', 'strichtafel', 'verstoßen', 'beta2adrenozeptor', 'me02', 'taverne', 'tap_house', 'querstrichakzent', 'bonaventure_de_bar', 'β2adrenozeptor', 'foobar', 'barren', 'taktstrich', 'landgasthof', 'rechtsanwaltskammer', 'schotterbank', '84takt', 'pub', 'bayrische_sprache', 'patronymika', 'public_house', '34takt', 'vatername', 'theke', 'antibari', 'balken', 'nachtbar', 'südbairisch', 'bairische_dialekte', 'antivari', 'witsch', 'bonaventura_debar', 'ostoberdeutsch', '44takt', 'familiennamen', 'matronymikon', '68takt', 'β2adrenerger_rezeptor', 'dreiertakt', 'versperren', 'nordbairisch', 'ostmittelbairisch', 's', 'vertreiben', 'mobiltelefonformfaktor', 'bár', 'barriere_strand', 'lokal', 'sandbänke', 'bayrischösterreichisch', 'anwaltschaft', 'verfemen', 'adrb2', 'en', 'bangor_and_aroostook_railroad', 'untiefen', 'patrynomic', 'spillspake', 'strandbar', 'man', 'taktart', 'takt', 'vatersname', 'son', 'er', 'metronym', 'verbannen', 'juristischer_beruf', 'foo']
