all	alle	Match	['akuter_lymphatischer_leukämie', 'ganz', 'flughafen_albenga', 'allsatz', 'jede', 'vollständig', 'vollumfänglich', 'breakpoint_cluster_region', 'alle', 'universalaussage', 'jeder', 'ganz_und_gar', 'hints_allegations_and_things_left_unsaid', 'akute_lymphoblastische_leukämie', 'limg', 'riviera_airport', 'alles', 'universelle_schließung', 'gänzlich', 'generalisation', 'völlig', 'all', 'bcrgen', 'sämtliche', 'jedes', 'vollends', 'universelle_aussage', 'alle_zusammen', 'sämtliches', 'akute_lymphatische_leukämie', 'universales_urteil', 'allaussage', 'bcr', 'komplett', 'allquantor']
and	und	Match	['schaltgatter', 'schaltungslogik', 'boolesches_gatter', 'konjunktion', 'sowie', 'logikgatter', 'nicht', 'armed_and_dangerous', 'logische_gatter', 'gatter', 'und', 'undverknüpfung', 'logisches_produkt', 'diskrete_logik', 'din_40700', '∧', 'logikschaltung', 'logisches_und', 'logisches_gatter', 'and', 'schaltlogik', 'logische_konjunktion']
animal	tiere	Match	['tiere', 'fauna', 'tierisches', 'tierleben', 'joseph_laurinaitis', 'tierwelt', 'kreatur', 'bestie', 'regnum_animale', 'animal', 'epifauna', 'wasp', 'animalia', 'tierfortpflanzung', 'epifaunal', 'lanimal', 'lebewelt', 'tieren', 'animiert_ist', 'ein_irrer_typ', 'lowlevelepifauna', 'w_a_s_p', 'animal__an_international_journal_of_animal_bioscience', 'tierreich', 'makrofauna', 'road_warrior_animal', 'aquafauna', 'metazoa', 'far_east_movement', 'metazoen', 'infauna', 'wassertiere', 'reality_check', 'tier', 'pflanze']
ashes	asche	Match	['asche', 'post_mortem', 'the_ashes', 'ashes']
at	an	Not found	[]
back	zurück	Match	['innenverteidiger', 'backfield', 'rücken', 'rückenmuskulatur', 'abwehrakteur', 'wieder', 'sissybar', 'rhachis', 'zurück', 'tighthead_prop', 'back', 'fly_hälfte', 'buchbindung', '백', 'abwehrspielerin', 'außendreiviertel', 'zurücksetzen', 'abwehrspieler', 'blueliner', 'rückenlehne', 'bindung', 'vertebral', 'flyhalf', 'hintermannschaft', 'wirbelkörper', 'bai', 'rückseite', 'cover', 'kehrseite', 'rechten_abwehrseite', 'verteidiger', 'position_im_rugby_union', 'ersten_fünf_achtel', 'einband', 'hakler', 'befürworten', 'wirbelsäule', 'buchrücken', 'rückenmuskel', 'nummer_8', 'spinal', 'umschlag', 'positionen_im_rugby_union', 'zurückgehen', 'hinten', 'rückgrat', 'linksverteidiger', 'threequarter_line', 'columna_vertebralis', 'abwehr']
bad	schlechte	Found close match: ['schlechten', 'schlecht', 'schlechtigkeit']	['royce_da_5′9″', 'bcl2associated_death_promoter', 'faulig', 'yetzer_hara', 'barksdale_air_force_base', 'schlechten', 'unmoralisch', 'bad_tour', 'bosheit', 'royce_da_59', 'kbad', 'schädlich', 'schlimm', 'vermodert', 'das_böse', 'bad', 'verfault', 'bösartigkeit', 'royce_da_5_9', 'bcl2antagonistofcelldeath', 'böse', 'böses', 'verdorben', 'schlechtigkeit', 'barksdale_afb', 'bcl2assoziierten_tod_promotor', 'bad_world_tour', 'verwest', 'big_audio_dynamite', 'ryan_montgomery', 'royce_the_59', 'verrottet', 'schlecht']
bark	rinde	Match	['rinde', 'iljuschin_bsch', 'dreimastbark', 'viermastbark', 'hundegebell', 'sturmovik', 'brüllen', 'blaffen', 'zkb57', 'il2_sturmovik', 'zkb55', 'gebelle', 'bellen', 'iljuschin_il2', 'dreimaster', 'fünfmastbark', 'borke', 'bark', 'rindengewebe', 'kläffen', 'baumrinde', 'periderm', 'gebell', 'gerbrinde', 'bellt', 'mulchrinde', 'barke']
because	weil	Match	['wegen', 'because', 'da', 'denn', 'weil']
belly	bauch	Match	['ranzen', 'abdominal', 'bierbauch', 'wanst', 'mittelbauch', 'belly', 'bauchorgane', 'abdomen', 'bauchhöhle', 'abdominell', 'wampe', 'menschlichen_bauch', 'plauze', 'bauchmuskeln', 'balshe', 'magen', 'unterbauch', 'bauchraum', 'cavitas_abdominalis', 'ahmad_balshe', 'unterleib', 'bauch', 'panzen']
big	big	Match	['bjarke_ingels_group', 'mineralität', 'obst', 'bibliothek_am_guisanplatz', 'eidgenössische_militärbibliothek', 'balance', 'big', 'mr_big', 'erwachsen', 'bouquet', 'große', 'körper', 'groß', 'stypsis', 'großes', 'the_perhapanauts', 'großen', 'norm_nixon']
bird	vögel	Match	['magd', 'vögel', 'federball', 'piepmatz', 'tussi', 'vogelähnlich', 'vogelarten', 'mikuni_shimokawa', 'hahn', 'braut', 'nylonball', 'yardbird_parker', 'finger', 'perle', 'edward_bird', 'steiler_zahn', '9_que_shimokawa_mikuni_self_cover_album', 'aves', 'vogelwelt', 'buh', 'avafauna', 'badmintonball', 'meine_süße', 'vogel_parker', 'charlie_parker', 'schnecke', 'mädel', 'puppe', 'chrome_reflection', 'bird', 'mädchen', 'bronx_cheer', 'digitus_impudicus', 'stinkefinger', 'vögelchen', 'federbälle', 'razzing', 'birds', 'vogel', 'charles_christopher_parker', 'razz', 'mieze', 'shuttlecock', 'boo', 'weiberrock', 'nylonbälle', 'rock', 'weibsbild', 'mein_süßer']
bite	gebissen	Found close match: ['bissen', 'beissen', 'bisse']	['schärfe', 'abbeißen', 'happen', 'hornissenstich', 'biss', 'bispezifischen_tzell_engager', 'stich', 'wespenstich_skorpionstich', 'zuteilung', 'imbiss', 'snack', 'beißen', 'bisse', 'pikant', 'beissen', 'bisswunde', 'cep70', 'stachel', 'bienenstich', 'scharfen', 'bite', 'steven_hassan', 'geschmackliche_schärfe', 'insektenstich', 'beißt', 'bissen', 'giftstachel', 'insektenbiss', 'mampfen', 'biß', 'biteantikörper', 'wespenstich', 'jause', 'wehrstachel', 'scharfstoff']
black	schwarzen	Match	['schwärze', 'beschämend', 'negroide', 'sensation_germany', 'negroid', 'maximalpigmentierter', 'schwarze_frauen', 'rasse', 'magic_die_zusammenkunft', 'völliger_dunkelheit', 'final_fight', 'taio_cruz', 'colin_vearncombe', 'hispanic', 'schwarze_menschen', 'khoisanide', 'schwarzer_mann', 'pechschwarz', 'inkiness', 'farbe_wissenschaft', 'lichtlosigkeit', 'sensation', 'gesichtsfarbe', 'sensation_white', 'pitch_schwärze', 'palänegride', 'blacksummersnight', 'shirley_jane_temple_black', 'bambutide', 'black_african', 'negro', 'schandbar', 'afrikanisches_haar', 'finsternis', 'negerin', 'schwarzer', 'magic_the_gathering', 'schwarz', 'vearncombe', 'katastrophal', 'schwarzen_mann', 'farbe', 'sudanide', 'final_fight_3', 'farben', 'shirley_temple_black', 'stockfinster', 'mohrin', 'äthiopide', 'mount_black', 'shirley_temple', 'sensation_black', 'schwarzen', 'rio_negro', 'skandalös', 'ethnie', 'kari_kimmel', 'negerlein', 'koloration', 'norfolk_pute', 'carl_sweezy', 'anderen_ethnischen_gruppen', 'erbärmlich', 'joseph_black', 'weißen', 'afrikanischer_abstammung', 'schwarze', 'kemet', 'negride', 'dunkelheit', 'weltenwanderer', 'mohr', 'schwarze_person', 'negrid', 'neger', 'race', 'black', 'sensation_belgium', 'magicworkstation', 'negerchen', 'indianapolis_automobile_and_vehicle_company', 'nilotide', 'teint', 'kafride', 'rappe', 'latino', 'schändlich', 'stockdunkel', 'farbpsychologie']
blood	blut	Match	['blood_–_you_can’t_bury_the_truth', 'blood_franz_ferdinand', 'dominantrezessiv', 'blood', 'biologischen_vererbung', 'vaskularisierung', 'lebemann', 'hello_master', 'rhye', 'blut', 'blutes', 'tony_shillitoe', 'zytoplasmatische_vererbung', 'rakehell', 'getting_away_with_murder', 'vererbung', 'nachkommenschaft', 'kainai', 'blutlinie', 'bordeaux', 'kainah', 'blood__you_cant_bury_the_truth', 'bordeauxwein', 'vs', 'genetischen_vererbung', 'dominantrezessiver_erbgang', 'extrachromosomale_vererbung', 'vererbungsregel', 'hämatologische', 'persistence_of_time', 'erblich', 'sauerstoffreiches_blut', 'blood_–_you_cant_bury_the_truth', 'blood_2', 'hereditär', 'heredität', 'collective_soul', 'blut_als_lebensmittel', 'blutprobe', 'sanguis', 'the_black_parade', 'blood_ii_the_chosen', 'abstammung', 'blood__you_can’t_bury_the_truth', 'black_parade', 'cj', 'zytoplasmische_vererbung']
