ability	{'yetenek', 'yeteneği'}
accomplished	set()
all	{'cümbür_cemaat', 'tüm', 'evrensel_niceleyici', 'hep_birlikte', 'tamamen', 'akut_lenfositik_lösemi', 'topluca', 'evrensel_kapatılması', 'akut_lenfoblastik_lösemi', 'evrensel_nicelik', 'all', 'bütün', 'hepsi'}
and	{'mantık_kapısı', 'mantık_kapıları', 'mantıksal_kapılar', 'and', 'mantıksal_kapı', 'oh_se-hun', 'lojik_kapılar', 'armed_and_dangerous', 've', 'ayrık_mantık', 'mantıksal_birlikte', 'mantık_devresi'}
angry	{'öfke', 'kay_starr', 'angriness', 'press_to_play', 'asabi', 'kızgın', 'sinirli', 'kızgınlık', 'mad_season'}
animal	{'epifauna', 'fauna', 'bitki', 'hayvanlar', 'olmanın_animasyon', 'animal', 'yaratık_türü_verilir', 'yaratık', 'far_east_movement', 'infauna', "metazoan'da", 'w.a.s.p.', 'reality_check', 'vahşi_hayvan', 'hayvanların_sınıflandırılması', 'animalia', 'hayvan', 'epifaunal', 'direy', 'hayvanlar_âlemi'}
apartment	{'toplukonut', 'apartman_kompleksi', 'toplu_konut', 'apartman_dairesi', 'apartman', 'apartmanlar', 'apartment', 'daire'}
applause	{'el_alkışlar', 'alkışa', 'applause', 'alkışlar', 'alkış', 'el_çırpma', 'zırıltı'}
argument	{'argüman', 'ispatlama', 'çekişme', 'savunma', 'münazara', 'değişken', 'genlik', 'argument', 'bağımsız_değişken', 'argümanlar', 'tartışmalı', 'oblik_argüman', 'fiil_argüman', 'münakaşa', 'parametre', 'fikir_zinciri', 'savunarak', 'konuşma_ve_tartışma', 'edebi_argümanı', 'mantıksal_argüman', 'tartışmalar', 'akıl_yürütme', 'tartışma', 'tartışmak', 'disceptation'}
argumentatively	set()
art	{'sanat_tasarım', 'kahramanlık', 'sanatsal_ifade', 'sanat', 'ince_sanat', 'sanat_eseri', "d'ni", 'metin_olmayan_maddenin', 'güzel_sanatlar', 'agouti-ilişkili_peptid', 'eser', 'grafik_çeşitleri', 'sanatsallık', 'güzel_sanatlar_nelerdir', 'art', 'sanatsal_üretim', 'sanatsal', 'android_runtime', 'tanımlık', 'güzel_sanat', 'grafikler', 'sanatçı', 'yapıt', 'beaux-arts_tarzında', 'sanatta_estetik', 'artikel', 'beaux_arts_mimari', 'beaux_arts', 'harfitarif', 'sanatsal_yaratım', 'grafik_hangi_mesleklerde_kullanılır', 'sanatçılık', 'grafik'}
ashes	{'ashes', 'post_mortem'}
at	{'kuyruklu_a', '₭', 'oesterreich', 'asatatin', 'koç', 'otomatik_vites', 'config.sys', 'bruton_tirozin_kinaz_gösterilmiştir', 'astat', 'astatin', 'avusturya_cumhuriyeti', 'otomatik_sürücü', 'avusturya', '＠', 'österreich', '@', 'apalaş_yürüyüş_patikası', 'görev_zamanlayıcı', 'austria', 'nemçe', 'at', 'otomatik_şanzuman', 'güzel_a', 'kip', 'otomatik_şanzıman', 'nemse', 'atom_numarası_85', 'laos_kipi', 'toyota_coaster', 'salyangoz'}
attitude	{'malprezentasyon', 'attitude', 'meyil', 'eğilimi', 'davranışsal', 'sosyal_davranış', 'duruş', 'brisé', 'tutum', 'duruşu', 'tandans', 'hizalama', 'yönlendirme', 'uyarıcı_davranışsal_tepki', 'meyelan', 'aksaklığı', 'zihinsel_tutum', 'temayül', 'davranış', 'zımbırtı', 'tavır', 'reload', 'coşmuş', 'euler_açıları', 'eğilim'}
back	{'arka', 'kolumna_vertebralis', 'amudu_fıkari', 'rachis', 'kapak', 'geri', 'sırt_dayama', 'sol_stoper', 'defans', 'df', '백', 'tüy_sapı', 'kitap_ciltleme', 'onaylamaz', 'amûd-i_fıkarî', 'vertebra', 'libero', 'tighthead_pervane', 'sırt', 'sinek_yarısı', 'stoper', 'sağ_bek', 'flyhalf', 'kitap_ciltlemesi', 'sol_bek', 'back', 'b.a.c.k.', 'omurga'}
bad	{'bad', 'royce_da_5\'9"', 'bad_dünya_turu', 'çürük', 'şer', 'big_audio_dynamite', 'kötü', 'kötülük', 'kötülüklerini', 'bad_world_tour', 'bcl-2-ilişkili_ölüm_promotör'}
bag	{'el_çantası', 'çanta', 'multisets', 'plastik_alışveriş_çantası', 'moruk', 'paket', 'meme', 'taşıma_çantası', 'multiset', 'kesekâğıdı', 'bardak_çay', 'bavul', 'kağıt_torba', 'bagful', 'çuval', 'poşet', 'çantası_seyahat', 'kagıt_poşet', 'kağıt_poşet', 'torba', 'çalmak'}
ball	{'testisler', 'ballock', 'erbezi', 'tenis_topları', 'husye', 'gülle', 'taşşak', 'haya', 'tenis_topu', 'erbezleri', 'misket_tüfeği_topu', 'top', 'teste', 'lucille_ball', 'yumurta_hücresi', 'küresel', 'bilya', 'topu', 'topak', 'john_ball', 'ball', 'grev_bölge', 'taşak', 'hemisferik', 'kapalı_topu', 'yumak', 'balo', 'er_bezi', 'yumurta', 'açık_topu', 'futbol_topu', 'yumurtacık', 'mermi', 'testis', '2-küre', 'futbol', 'küre'}
bar	{'foobar', 'ucuz_meyhane', 'ülke_han', 'barroom', 'taphouse', 'bariyer_plaj', 'sandbars', 'beta-2_adrenerjik_reseptör', 'kum_banka', 'pub_grub', 'public_house', 'ev_dokunun', 'beta-2_reseptör_olan', 'lokali', 'önünü_kesmek', 'çizgi', 'yasal_topluluk', 'birahane', 'barline', 'önleme', 'patronymics', 'yasaklamak', 'patrynomic', 'halk_evleri', 'pub_gıda', 'bavyeraca', 'önlenmesi', 'meyhane', 'bar_tutuşmak', 'milibar', 'bar,_karadağ', 'salon_kaleci', 'baro', 'shoal', 'bira_musluğu', 'ginmill', 'vuruş', 'soyadı', 'mbar', 'beta-2_reseptör', 'bar', 'advocatus', 'hukuk_mesleği', 'sürgülemek', 'browning_otomatik_tüfeği', 'sürüler', 'pub', 'patronym', 'ölçü', 'bar_oyunları', 'han', 'farnesoid_x_reseptörü', 'foo'}
bark	{'kabuk', 'havlama', 'bark', 'bağırmak', 'i̇l-2', 'havlamak', 'il-2', 'i̇lyuşin_il-2', 'sturmovik', 'ağaç_kabuğu', 'peridermis', 'ilyushin_il-2', 'hav', 'yelkenli_gemi', 'kabuğu', 'barque', 'periderm', 'ürümek'}
bear	{'kaldırmak', 'dayanmak', 'kabul_etmek', 'ayıya', 'bear', 'tupolev_tu-95', 'katlanmak', 'ödemek', 'ayı', 'mike_brown', 'webelo', 'dogurmak', 'ayıgiller', 'tahammül_etmek', 'ursidae'}
beat	{'mağlup_etmek', 'nabız', 'beat', 'ritm', 'off-beat', 'ritimleri', 'asi_genç', 'ritim', 'nicel_dize', 'metre', 'şiirsel_metre', 'yenmek', 'siteswap', 'şiirde_ölçü', 'prozodi', 'ölçü', 'müzikal_ritim', 'ritmik_birim', 'ritmik', 'vuruş', 'yendi', 'beatnik'}
because	{'çünkü', 'because'}
bed	{'yatak', 'bed', 'sikmek', 'becermek', 'sikişmek', 'dere', 'dere_yatağı', 'sokmak', 'kaymak', 'koymak', 'yatmış_olmak', 'düzmek', 'halletmek', 'seks_yapmak', 'dikiş'}
beer	{'arpa_suyu', 'bira', 'bira_türleri', 'a-le', 'ale', 'beer'}
belly	{'karın', 'insan_karın', 'abdomen', 'karın_kasları', 'batın', 'belly', 'işkembe', 'göbek'}
big	{'stypsis', 'ergin', 'meyve', 'norm_nixon', 'büyük', 'yetişkin', 'vücut', 'minerality', 'denge', 'bjarke_ingels_group', 'kuru', 'big'}
bird	{'zamparalık_etmek', 'fıstık', 'yardbird_parker', 'civciv', 'mikuni_shimokawa', 'charlie_parker', 'piliç', 'charles_christopher_parker', 'afet', 'avafauna', 'kuşlar', 'badminton_topu', 'bird', 'kuş_parker', 'roosting', 'bomba', 'yuhalama', 'parmak', 'avifauna', 'kuş', 'alay_etmek', 'aves', 'razzing', 'bebek'}
bite	{'steven_hassan', 'isırık', 'ısırıkları', 'ısırık', 'çerez', 'böcek_ısırığı', 'baharatlı', 'atıştırmalık', 'mayhoş', 'chomp', 'aperatif', 'bi-spesifik_t-hücre_engager', 'servis_birimi', 'keskin', 'ısırmak', 'ısırma'}
black	{'taio_cruz', 'saha_siyahlık', 'zenci', 'lightlessness', 'latino', 'zenciler', 'negro', 'beyaz', 'renk_bilimi', 'toplam_karanlık', 'yüz_kızartıcı', 'siyahî', 'siyah_adam', 'magic:_the_gathering', 'black', 'siyahlık', 'karalık', 'ana_ve_ara_renkler', 'joseph_black', 'afrika_kökenli', 'final_fight_3', 'siyahiler', 'siyah_afrikalı', 'siyah_kadınlar', 'siyahi', 'final_fight', 'siyah_insanlar', 'kari_kimmel', 'negroids', 'siyah', 'kara', 'siyah_kişi', 'renk', 'shirley_temple', 'siyahlar', 'renkler', 'direnişçi', 'shirley_temple_siyah', 'colin_vearncombe', 'mürekkeplilik', 'siyah_kadın', 'hispanik'}
blood	{'kalıtım', 'kan_hattı', 'genetik_miras', 'bordo_şarabı', 'zampara', 'getting_away_with_murder', 'hematolojik', 'kan_doku', 'bordeaux_şarap', 'collective_soul', 'the_black_parade', 'blood', 'persistence_of_time', 'bordeaux', 'kan', 'rakehell', 'oksijenli_kan', 'vs.', 'kalıtsal'}
blow	{'blow', 'esmek', 'küt', 'darbe', 'üflemek', 'burun_şekeri', 'bora', 'gerileme'}
