ability	{'taipumus', 'taito', 'valta', 'mahti', 'kyvykkyys', 'kyky', 'soveltuvuus', 'aptitude'}
accomplished	{'taitava', 'loppuun_suoritettu', 'hyväksytty', 'tunnustettu', 'tunnettu', 'toteutettu', 'vakiintunut', 'täydellinen', 'valmis', 'täysi'}
all	{'universal_quantifier', 'akuutti_lymfosyyttileukemia', 'koko', 'universaalikvanttori', 'kaikilla-kvanttori', 'akuutti_lymfoblastinen_leukemia', 'yleinen_sulkeminen', 'kaikkikvanttori', 'all', 'täysin', 'täydellisen', 'hints_allegations_and_things_left_unsaid', 'kaikki', 'universaali_kvantisointi', 'akuutti_lymfosyyttinen_leukemia', 'kaikkiaan', 'akuutti_lymfaattinen_leukemia', 'universaalikvantifiointi', '∀', 'akuutti_lymfoblastileukemia', 'kokonaan', 'kaikki-kvanttori'}
and	{'and-piiri', 'porttipiiri', 'portti', 'or-piiri', 'logiikkapiiri', 'not-piiri', 'konjunktio', 'armed_and_dangerous', 'looginen_yhdessä', 'and', 'logiikkaportti', 'logiikka_portti', 'loogiset_portit', 'looginen_portti', 'logiikkapiirin'}
angry	{'kay_starr', 'rauhaton', 'kiukku', 'kipeä', 'raivostunut', 'raivoava', 'myrsky-', 'vihainen', 'viha', 'vihastus', 'vihaisuus', 'vihaa', 'raivokas', 'press_to_play', 'uhkaava', 'suuttumus', 'raivoissaan', 'synkkä', 'raivoisa', 'mad_season', 'angriness', 'myrskyinen'}
animal	{'eläinten_lisääntyminen', 'metazoans', 'w.a.s.p.', 'eläin', 'reality_check', 'far_east_movement', 'eläinkunta', 'eläinkunnan_pääjaksot', 'wasp', 'lihallinen', 'olento', 'w.a.s.p', 'metazoa', 'fauna', 'eläimellinen', 'olento_tyyppi', 'animalia', 'macrofauna', 'järjetön_luontokappale', 'infauna', 'kasvi', 'epifaunal', 'animal', 'epifauna', 'aistillinen', 'animal_science', 'eläimistö', 'elukka', 'animoida_on', 'elollinen_olento', 'road_warrior_animal', 'eläimet'}
apartment	{'huoneisto', 'taloyhtiön', 'asunto', 'kerrostalo', 'lape', 'apartment', 'kerrostaloja', 'asuinhuoneisto'}
applause	{'suosionosoitukset', 'aploodit', 'taputtaa', 'aplodit', 'taputus', 'suosionosoitus', 'taputtaa_käsillä', 'kättentaputus', 'taputtaminen', 'käsientaputukset', 'applause', 'taputukset', 'handclaps', 'käsillä_taputtaminen', 'käsillä_taputus', 'aplodi'}
argument	{'musiikin_argumentti', 'tunnusluvut', 'väittäen', 'perustelutaito', 'ajattelutapa', 'looginen_argumentti', 'väittely', 'kiista', 'väitteleminen', 'puheen_ja_keskustelun', 'argumentointi', 'looginen_peruste', 'argumentti', 'päättelyä', 'perustelu', 'verbi_argumentti', 'argumentaatio', 'sanaharkka', 'vino_argumentti', 'argumentteja', 'disceptation', 'keskustella', 'keskustelu', 'keskusteluja', 'peruste', 'sanasota', 'kiistäminen', 'parametri', 'kirjallinen_väittely', 'keskustelemme', 'mielipiteiden_vaihto', 'keskustelupiiri', 'linja', 'riita', 'pääsisällys', 'kiistanalainen', 'todiste', 'lausunto', 'ristiriitoja', 'perustelut', 'keskustelun_joukkue', 'kirjallisuuden_argumentti', 'keskustelua', 'parametrit', 'looginen_väite', 'poliittista_keskustelua'}
argumentatively	{'väittelynhaluisesti'}
art	{'kuvamateriaali', 'muu_kuin_tekstiaineisto', 'taito', 'kieliopillinen_artikkeli', 'taiteellisuus', 'taiteellisen_ilmaisun', 'nontextual_väliä', 'kuvitus', 'beaux_arts_arkkitehtuurin', 'fine_arts', 'artikkeli', 'taiteellinen_luomus', 'taide-', 'taideteos', 'art', 'taidetta', 'grafiikka', "d'ni", "the_v.i.p.'s", 'kuvataiteilija', 'taiteellinen_tuotanto', 'beaux-arts_tyyliin', 'agouti_liittyvä_peptidi', 'taitavuus', 'taiteellinen_luominen', 'taideaineet', 'beaux_arts', 'kyvykkyys', 'beaux-arts_arkkitehtuurin', 'taideteosten', 'taiteen', 'taide', 'design', 'kuvataiteen', 'kuvataide'}
