ability	{'habilidade', 'poder', 'aptidão', 'talento', 'abilidade', 'faculdade', 'capacidade', 'competência', 'habilidade_capacidade'}
accomplished	{'realizado', 'cumprido', 'cumplido', 'consumado'}
all	{'inteiro', 'absolutamente', 'inteiramente', 'cabalmente', 'exclusivamente', 'todos', 'quantificacao_universal', 'radicalmente', 'bcr', 'all', 'fechamento_universal', 'plenamente', 'tudo', 'integralmente', 'leucemia_linfóide_aguda', 'todo', 'completamente', 'totalmente', 'para_todo', 'a_leucemia_linfoblástica_aguda', 'todas', 'leucemia_linfocítica_aguda', 'perfeitamente', 'quantificador_universal', 'o_tudo', 'o_único', 'quantificação_universal', 'leucemia_linfoblástica_aguda', 'ao_todo', 'quantificadores_universais', 'exatamente', 'cem_por_cento', 'leucemia_linfoide_aguda', 'redondamente', 'toda'}
and	{'lógica_digital', 'sehun', 'conjunção_lógica', 'portas_lógicas', 'e', 'circuito_lógico', 'circuitos_lógicos', 'armed_and_dangerous', 'lógica_discreta', 'oh_sehun', 'and', 'porta_logica', '∧', 'porta_lógica', 'oh_se-hun', 'e_lógico'}
angry	{'raivoso', 'raiva', 'press_to_play', 'bravo_nervoso_irado', 'feroz', 'tempestuoso', 'angriness', 'furioso', 'zangado', 'cólera', 'raivosa', 'ira', 'kay_starr', 'bravo', 'irritado', 'mad_season', 'violento', 'irado'}
animal	{'road_warrior_animal', 'reino_animallia', 'bestial', 'epifaunal', 'vida_animal', 'animal_selvagem', 'reality_check', 'planta', 'bicho', 'ser', 'flora', 'w.a.s.p.', 'reprodução_animal', 'animalia', 'animais_silvestres', 'infauna', 'animais', 'doug_blair', 'animal', 'besta', 'animalesco', 'tipo_de_criatura', 'fauna_bravia', 'epifauna', 'macrofauna', 'w.a.s.p', 'fauna', 'far_east_movement', 'sensual', 'cavalgadura', 'bruto', 'criatura', 'criança', 'reino_animal', 'carnal', 'joseph_laurinaitis', 'animal_+_cannibal', 'organismo', 'introducing_ke$ha', 'animais_selvagens', 'metazoários', 'animar_sendo', 'bichinho', 'animal_warrior'}
apartment	{'bloco_de_apartamentos', 'apartamentos', 'apartment', 'apartamento', 'complexo_de_apartamentos', 'edifícios_de_apartamentos', 'aposentos', 'casa', 'andar', 'bloco_mansão'}
applause	{'applause', 'aplaudir', 'palmas', 'bater_palmas', 'aplaudindo', 'aplauso', 'aplausos'}
argument	{'argumento_lógico', 'debate', 'argumento_verbo', 'debate_político', 'discurso_e_debate', 'parâmetro', 'argumentação', 'raciocínio', 'polêmica', 'discutir', 'argumento', 'contestação', 'controversa', 'argumentando', 'argumento_literário', 'linha_de_raciocínio', 'parâmetros', 'disputa', 'controvérsia', 'argumento_musical', 'argumento_filosófico', 'discussão', 'controvérsias', 'teoria_da_argumentação', 'declaração', 'parâmetro_nomeado', 'linha', 'debates', 'argumentar', 'disceptation', 'polémica', 'argumentos', 'argumento_de_uma_função', 'argumento_oblíquo', 'equipe_debate'}
argumentatively	set()
art	{'arab_radio_and_television', 'estilo_beaux-arts', 'artigo_gramatical', 'criação_artística', 'artista_tecnológico', 'gráfico', 'definição_de_arte', 'produção_artística', 'artigo_indefinido', 'destreza', 'teórico_da_arte', 'artista_plástico', 'gêneros_artísticos', 'art', 'desenho', 'questão_não_textuais', 'artn', 'proeza', 'artigos_indefinidos', 'arte_gráfica', 'expressão_artística', 'beaux_arts', 'suporte_artístico', 'agrp', 'artes_plásticas', 'arquitetura_beaux-arts', 'beaux-arts', 'peptídeo_relacionado_com_agouti', 'de_belas-artes', 'sociologia_da_arte', 'arab_radio_and_television_network', "d'ni", 'artes', 'belas_artes', 'ilustração', 'artigo_definido', 'belas-artes', 'gráficos', 'obra_de_arte', 'arquitetura_beauxartiana', 'arte', 'artigo', 'artistas', 'teoria_da_arte'}
