# Array shape: (20, 20)
it	pt	es	ca	fr	en	nl	de	sv	da	no	ru	uk	bg	ro	pl	cs	sk	sl	hr	
it	1.000	0.647	0.637	0.609	0.610	0.614	0.558	0.572	0.554	0.527	0.521	0.547	0.524	0.515	0.540	0.522	0.529	0.507	0.499	0.534	
pt	0.647	1.000	0.675	0.607	0.603	0.629	0.581	0.563	0.563	0.527	0.546	0.553	0.534	0.538	0.532	0.530	0.530	0.496	0.491	0.532	
es	0.637	0.675	1.000	0.653	0.624	0.636	0.550	0.540	0.543	0.513	0.538	0.571	0.553	0.548	0.539	0.564	0.550	0.499	0.501	0.534	
ca	0.609	0.607	0.653	1.000	0.600	0.601	0.553	0.513	0.521	0.528	0.523	0.537	0.529	0.524	0.539	0.507	0.514	0.495	0.495	0.523	
fr	0.610	0.603	0.624	0.600	1.000	0.631	0.576	0.569	0.555	0.516	0.535	0.544	0.514	0.522	0.549	0.550	0.533	0.504	0.482	0.532	
en	0.614	0.629	0.636	0.601	0.631	1.000	0.605	0.610	0.574	0.553	0.582	0.594	0.570	0.563	0.554	0.556	0.566	0.504	0.526	0.538	
nl	0.558	0.581	0.550	0.553	0.576	0.605	1.000	0.618	0.575	0.567	0.572	0.530	0.517	0.525	0.537	0.526	0.531	0.497	0.492	0.517	
de	0.572	0.563	0.540	0.513	0.569	0.610	0.618	1.000	0.552	0.540	0.581	0.543	0.512	0.505	0.511	0.532	0.529	0.469	0.468	0.491	
sv	0.554	0.563	0.543	0.521	0.555	0.574	0.575	0.552	1.000	0.552	0.579	0.509	0.477	0.482	0.495	0.507	0.507	0.497	0.454	0.518	
da	0.527	0.527	0.513	0.528	0.516	0.553	0.567	0.540	0.552	1.000	0.611	0.483	0.477	0.506	0.487	0.505	0.499	0.484	0.468	0.510	
no	0.521	0.546	0.538	0.523	0.535	0.582	0.572	0.581	0.579	0.611	1.000	0.523	0.494	0.503	0.495	0.504	0.505	0.476	0.455	0.489	
ru	0.547	0.553	0.571	0.537	0.544	0.594	0.530	0.543	0.509	0.483	0.523	1.000	0.618	0.536	0.515	0.568	0.550	0.492	0.491	0.520	
uk	0.524	0.534	0.553	0.529	0.514	0.570	0.517	0.512	0.477	0.477	0.494	0.618	1.000	0.516	0.503	0.536	0.534	0.475	0.481	0.521	
bg	0.515	0.538	0.548	0.524	0.522	0.563	0.525	0.505	0.482	0.506	0.503	0.536	0.516	1.000	0.542	0.518	0.503	0.469	0.480	0.513	
ro	0.540	0.532	0.539	0.539	0.549	0.554	0.537	0.511	0.495	0.487	0.495	0.515	0.503	0.542	1.000	0.498	0.505	0.486	0.483	0.515	
pl	0.522	0.530	0.564	0.507	0.550	0.556	0.526	0.532	0.507	0.505	0.504	0.568	0.536	0.518	0.498	1.000	0.543	0.518	0.474	0.513	
cs	0.529	0.530	0.550	0.514	0.533	0.566	0.531	0.529	0.507	0.499	0.505	0.550	0.534	0.503	0.505	0.543	1.000	0.533	0.483	0.520	
sk	0.507	0.496	0.499	0.495	0.504	0.504	0.497	0.469	0.497	0.484	0.476	0.492	0.475	0.469	0.486	0.518	0.533	1.000	0.459	0.495	
sl	0.499	0.491	0.501	0.495	0.482	0.526	0.492	0.468	0.454	0.468	0.455	0.491	0.481	0.480	0.483	0.474	0.483	0.459	1.000	0.482	
hr	0.534	0.532	0.534	0.523	0.532	0.538	0.517	0.491	0.518	0.510	0.489	0.520	0.521	0.513	0.515	0.513	0.520	0.495	0.482	1.000	
