all	inclusiv	Incorrect	['totalmente', 'completamente', 'în_întregime', 'închiderea_universal', 'toate', 'cu_totul', 'tot', 'leucemie_limfoblastică_acută', 'absolut', 'cuantificatorul_universal', 'universal_cuantificator', 'toți', 'toti', 'integral', 'total', 'all', 'complet', 'închiderea_universală', 'cuantificator_universal', 'cuantificare_universală', 'acută_limfocitară_leucemie']
and	și	Match	['poarta_logica', 'porți_logice', 'logica_poarta', 'poartălogică', 'si', 'and', 'armed_and_dangerous', 'și', 'logica_discret', 'poartă_logică', 'şi', 'coroborat_logică']
animal	animale	Match	['trupesc', 'jivină', 'macrofauna', 'fauna', 'faună', 'animal', 'epifauna', 'wasp', 'animalia', 'animalele', 'creatură', 'necuvântător', 'epifaunal', 'regnul_animalia', 'a_plantelor', 'metazoans', 'animale', 'regnul_animal', 'animalic', 'lasciv', 'animalul', 'far_east_movement', 'carnal', 'animați_fiind', 'infauna', 'regn_animalia', 'lighioană', 'reality_check']
ashes	îngropa	Incorrect	['post_mortem', 'cenușă', 'cenusa', 'ashes']
at	la	Not found	[]
back	înapoi	Match	['flyjumătate', 'coloana_vertebrală', 'înapoi', 'coloanei_vertebrale', 'înurmă', 'legare', 'susține', 'îndărăt', 'stângaspate', 'inapoi', 'paria', 'vertebre', 'coloanăvertebrală', 'spatar', 'înspate', 'back', 'spătar', 'spetează', '백', 'vertebrale', 'sfârșit', 'fund', 'întări', 'aprobe', 'mărginispatele', 'flyhalf', 'interior_centru', 'primele_cinciopt', 'fundaș', 'spinare', 'poziție_de_joc_la_rugby_în_xv', 'șira_spinării', 'coloană_vertebrală', 'rezemătoare', 'urmă', 'spate', 'apărător', 'copertă', 'dreaptaspate', 'jumătate_centru', 'dos', 'învelitoare', 'coloana_vertebrala', 'şira_spinării', 'fundaş', 'rahis', 'da', 'scoarță', 'fiînspate', 'sprijini', 'obligatoriu_carte', 'în_spatele', 'șiraspinării', 'centruspate', 'mergeînapoi', 'daînapoi']
bad	rău	Match	['acrit', 'defect', 'falsificat', 'plinderemușcări', 'șubrezit', 'putred', 'stricat', 'plindecăință', 'răul', 'royce_da_59', 'speculativ', 'prost', 'răutatea', 'bad', 'plinderegrete', 'rău', 'rea', 'alterat', 'contrafăcut', 'slab', 'bad_world_tour', 'mare', 'riscant', 'plindepărerederău', 'șubred', 'big_audio_dynamite', 'răutate', 'bcl2asociate_promotor_moarte', 'rau']
bark	coajă	Match	['scoarţă', 'lătra', 'tăbăci', 'coajă', 'latră', 'se_răsti', 'iliuşin_il2', 'lătrare', 'peridermului', 'il2', 'argăsi', 'hămăi', 'bark', 'coaja', 'jupui', 'lătrat', 'urla', 'scoarță', 'scoarta_de_copac', 'barque', 'lătrătură', 'barc', 'iliușin_il2']
because	deoarece	Match	['because', 'pentru_că', 'din_cauză_că', 'datorită', 'deoarece']
belly	picioarele	Incorrect	['abdomenului_umane', 'vintre', 'burta', 'se_revărsa', 'burduhan', 'abdomen_uman', 'belly', 'foale', 'abdomen', 'burdihan', 'muschii_abdominali', 'abdominali', 'burtă', 'dapeafară', 'pântece']
big	big	Match	['adult', 'lăudăros', 'fălos', 'îngâmfat', 'intens', 'generos', 'încrezut', 'gravid', 'însărcinat', 'bjarke_ingels_group', 'dezvoltat', 'echilibrul', 'înfumurat', 'grav', 'stypsis', 'fanfaron', 'violent', 'fudul', 'greu', 'mărinimos', 'pepiciormare', 'matur', 'foartebine', 'puternic', 'important', 'minerality', 'proeminent', 'darnic', 'umflatînpene', 'mare', 'tare', 'astringență', 'însemnat', 'mari', 'big', 'infatuat', 'închipuit', 'fructe', 'norm_nixon']
