all	alle	Match	['totalt', 'universelle_quantifier', 'akutt_lymfoblastisk_leukemi', 'alle', 'fullstendig', 'universal_quantifier', 'all', 'universell_kvantifisering', 'universelle_nedleggelse', 'alt', 'universell_quantifier', 'helt', 'akutt_lymfatisk_leukemi']
and	og	Match	['logikk_krets', 'konjunksjon', 'and', 'logisk_og', 'logikk_gate', 'armed_and_dangerous', 'logiske_porter', 'logisk_port', '∧', 'diskret_logikk', 'logisk_sammenheng', 'og', 'logisk_«og»']
animal	dyr	Match	['flercellede_dyr', 'fauna', 'joseph_laurinaitis', 'dyr', 'animal', 'epifauna', 'wasp', 'animalia', 'epifaunal', 'dyreriket', 'dyreliv', 'krek', 'randy_pipers_animal', 'skapning', 'reproduksjon_av_dyr', 'metazoans', 'animere_være', 'dyreart', 'skapning_type', 'anlegg', 'makrofauna', 'road_warrior_animal', 'metazoa', 'far_east_movement', 'dyrisk', 'infauna', 'faunistikk', 'reality_check', 'dyret']
ashes	begravde	Incorrect	['post_mortem', 'aske', 'asken', 'ashes']
at	ved	Not found	[]
back	tilbake	Match	['sissybar', 'virvelsøyle', 'innsiden_sentrum', 'back', 'ryggvirvel', 'tighthead_prop', 'rachis', 'ryggrad', 'thoracalcolumna', 'attende', 'ryggvirvlene', 'ryggje', 'forsvarsspiller', 'bak', 'flyhalf', 'fly_halv', 'utenfor_sentrum', 'ryggrad_ryggsøyle', 'ryggstø', 'venstreback', 'ryggsøyle', 'ryggen', 'tilbake', 'ryggraden', 'midt_bak', 'brystvirvler', 'bokbinding', 'forsvar', 'bakside', 'midtstopper', 'første_femåttende', 'ryggsøylen', 'baksiden', 'columna', 'støtte', 'rygge', 'fly_halvparten', 'høyreback', 'ryggrad_ryggsøyle_virvelsøyle', 'virvelsøylen', 'ryggvirvler', 'rygg']
bad	dårlig	Match	['bad_tour', 'det_onde', 'slem', 'evilness', 'vond', 'utgått_råtten', 'big_audio_dynamite', 'ondskap', 'dårlig', 'royce_da_59', 'barksdale_flystasjon', 'råtten', 'onde', 'barksdale_air_force_base', 'ille', 'bad', 'bad_world_tour']
bark	kvister	Incorrect	['iljusjin_il2', 'tre_bark', 'bark', 'barkskip', 'gjø', 'bjeffe', 'barque', 'periderm', 'bjeff']
because	fordi	Match	['på_grunn_av', 'because', 'fordi']
belly	buken	Found close match: ['buk']	['buk', 'magemusklene', 'menneskelige_magen', 'vom', 'underlivet', 'magen', 'belly', 'mage', 'abdomen', 'maven']
big	big	Match	['tørr', 'bjarke_ingels_group', 'kroppen', 'big', 'balanse', 'stort', 'stypsis', 'minerality', 'store', 'frukt', 'stor', 'norm_nixon']
bird	fugleunger	Found close match: ['fugler', 'fuglefaunaen', 'fuglearter']	['neornithes', 'å_gi_fingern', 'fjærball_høne', 'fuglearter', 'å_vise_fingeren', 'mikuni_shimokawa', 'nåtidsfugler', 'yardbird_parker', 'aves', 'wench', 'avafauna', 'å_gi_noen_fingeren', 'fjærball', 'tøs', 'å_vise_langfingeren', 'jente', 'charlie_parker', 'kasteball', 'bird_parker', 'charles_parker_jr', 'bird', 'fugler', 'fugl', 'roosting', 'bronx_cheer', 'fuglefaunaen', 'charles_christopher_parker', 'razzing', 'razz', 'boo', 'fingeren']
bite	bite	Match	['biter', 'pungency', 'tildeling', 'jafs', 'snack', 'pikant', 'stikket', 'insektbitt', 'chomp', 'bit', 'bitter', 'bite', 'steven_hassan', 'stikk', 'matbit', 'mellommåltid', 'brenne', 'biting', 'bitt', 'krydret', 'bispesifikke_tcelle_engager', 'insektsbitt', 'brodd']
black	svart	Match	['totalt_mørke', 'sort', 'sensation', 'negroide', 'svarte_kvinner', 'svarte_samfunnet', 'mørkhudete_mennesker', 'negroid_rase', 'final_fight_3', 'svart_kvinne', 'farve', 'vanærende', 'farge', 'negere', 'shirley_temple_black', 'negresse', 'neger', 'afrikansk_avstamning', 'black', 'shirley_temple_svart', 'negre', 'shirley_jane_temple_black', 'negroid', 'shirley_jane_temple', 'blackamoor', 'tonehøyde_blackness', 'shirley_temple', 'skjendig', 'svart_mann', 'negroids', 'lightlessness', 'asiatisk', 'svarte', 'afrikansk', 'final_fight', 'den_negroide_rase', 'taio_cruz', 'svarte_mennesker', 'negrene', 'svart', 'skammelig', 'hispanic', 'planeswalker', 'andre_raser', 'kari_kimmel', 'negro', 'latino', 'farger', 'inkiness', 'magic_the_gathering', 'negrer', 'strukturfarge', 'svart_person', 'svart_afrikansk', 'hvite', 'joseph_black', 'skamfull']
blood	blod	Match	['arv', 'arveegenskaper', 'blood', 'hematologiske', 'blodmat', 'biologisk_arv', 'rakehell', 'oksygenrikt_blod', 'blodet', 'blodslinje', 'bordeaux', 'arvelig', 'arvelighet', 'blodtyper', 'roue', 'blodlegemer', 'vs', 'genetisk_arv', 'persistence_of_time', 'menneskeblod', 'blod_linje', 'blodtype', 'collective_soul', 'the_black_parade', 'blod', 'bordeaux_vin', 'opphav', 'getting_away_with_murder']
blow	blåse	Match	['nese_godteri', 'vindkast', 'blåse', 'gust', 'blow', 'tilbakeslag', 'blås', 'slag', 'kaste_bort', 'skryte']
bone	kjevebeinet	Incorrect	['elfenben', 'bones', 'osseous', 'def_jam_recordings', 'knokkel', 'def_jam', 'offwhite', 'osseous_vev', 'bone', 'bein']
