ability	zdolności	Found close match: ['zdolność', 'uzdolnienie']	['umiejętność', 'zdolność', 'uzdolnienie']
accomplished	znakomity	Not found	[]
angry	wściekły	Match	['mad_season', 'złość', 'zły', 'angriness', 'kay_starr', 'wściekły', 'gniew', 'złoszczenie_się', 'zła', 'press_to_play']
apartment	mieszkania	Not found	[]
applause	aplauz	Match	['aplauz', 'brawa', 'applause', 'oklaski', 'handclaps', 'klaskanie']
argument	kontrargument	Found close match: ['ukośne_argument', 'argument', 'argumenty']	['kontrowersji', 'disceptation', 'ukośne_argument', 'dowodzenie', 'sprzeczka', 'argumentacja', 'argumentu', 'starcie', 'debat', 'kontrowersja', 'zwada', 'debata', 'linię', 'potyczka', 'debaty_politycznej', 'teorii_argumentacji', 'argument_logiczny', 'kłótnia', 'obrady', 'argument_literacki', 'argumentacji', 'rozumowanie', 'debaty', 'zakwestionowanie', 'argument', 'argumentując', 'parametr', 'oświadczenie', 'utarczka', 'argumenty', 'argument_liczby_zespolonej']
art	sztuki	Match	['sztuką', 'dilbert', 'funkcje_sztuki', 'twórczość', 'waleczność', 'sztuki_piękne', 'artykuł', 'grafiki', 'art', 'dziedziny_sztuki', 'grafika', 'beaux_arts', 'sztukę', 'myst', 'grafik', 'przedimek', 'dzieł_sztuki', 'sztuki', 'android_runtime', 'dzieło_sztuki', 'kunszt', 'sztuka', 'twórczość_artystyczna', 'rodzajnik', 'dni', 'nontextual_sprawa', 'beauxarts_architektury', 'sztuk_pięknych']
attitude	nastawienie	Match	['behawior', 'battement', 'sposób_bycia', 'pozycji', 'fouetté', 'attitude', 'postawa', 'malpresentation', 'ciągoty', 'zachowanie_społeczne', 'postawa_ciała', 'entrechat', 'pointe', 'podejście', 'tendencja', 'poczynania', 'pique', 'postawy', 'arabeska', 'orientacji', 'cabriole', 'instynkt', 'adagio', 'nastawienie_psychiczne', 'plié', 'maniery', 'terminologia_tańca_klasycznego', 'pozycja', 'reload', 'orientacji_przestrzennej', 'pociąg', 'batterie', 'słabość', 'zachowanie', 'manege', 'zachowań_społecznych', 'skłonność', 'styl', 'predylekcja', 'obejście', 'coupe_jeté', 'zachowanie_się', 'układ_ciała', 'postawie', 'nastawienie', 'kąty_eulera', 'stosunek', 'inklinacja', 'orientacja', 'jeté', 'przewinienia', 'a_solo', 'szalonej', 'rond_de_jambe', 'poza', 'styl_bycia']
bag	pojemnik	Incorrect	['pokot', 'ukraść', 'capnąć', 'multizbiór', 'zarąbać', 'multiset', 'zajumać', 'kraść', 'toreb', 'zgarnąć', 'podpierdolić', 'erbnąć_świsnąć', 'podiwanić', 'pudło', 'zwędzić', 'torba_przewoźnik', 'torebki', 'port_lotniczy_loakan', 'torba_papierowa', 'multisets', 'walizkę', 'rozkład', 'stara_torba', 'papierowa_torba', 'pełny_wór', 'torba', 'port_lotniczy_baguioloakan', 'zakosić_zwinąć', 'podprowadzić', 'krowa', 'podróżowanie_worek', 'chapnąć_głabnąć', 'zajebać', 'babsztyl', 'wymienia', 'walizka', 'worek', 'wymię', 'filiżanka_herbaty', 'gwizdnąć', 'buchnąć', 'torby', 'torbę', 'reklamówka', 'wielozbiór', 'torebka', 'przywłaszczyć_sobie']
ball	piłkę	Match	['piłka_do_gry_w_piłkę_nożną', 'glob', 'piłka_tenisowa', 'strefa_strikeów', 'jąder', 'strefy_strajku', 'kuliste', 'kulka', 'ballview', 'strike_zone', 'bzdury', 'zamkniętej_kuli', 'piłki_tenisowe', 'gonada_męska', 'strefa_strike’ów', 'kuli', 'ballock', 'jajo', 'bal', 'jądra', 'sfera', 'bimboły', 'kłębek', 'testis', 'jajco', 'jaja', 'jądro', 'teste', 'piłkę', 'kula', 'piłka', 'ball', 'piłka_futbolowa', 'kula_z_muszkietu', 'lucille_ball', 'pocisk', 'john_ball']
bar	bar	Match	['sandbars', 'patronimik', 'bawarski', 'knajpa', 'prążek', 'adwokatura', 'kranu_browaru', 'boarisch', 'mbar', 'szynk', 'karabin_maszynowy_browning_m1918', 'pub_grub', 'izba_adwokacka', 'patronymicum', 'ginmill', 'otczestwo', 'środka', 'patronym', 'płycizna', 'telefon_rozsuwany', 'bar', 'próg_rzeczny', 'poprzeczka', 'rysa', 'matronimik', 'banku_piasku', 'browning_automatic_rifle', 'karabin_maszynowy_browninga', 'dania_barowe_w', 'tawern', 'prawnictwo', 'zapobieganie', 'advocatus', 'taphouse', 'dialekt_bawarski_języka_niemieckiego', 'pociągnięcie', 'b', 'znak_pubie', 'bramkarz_saloon', 'próg', 'barline', 'drąg', 'pręt', 'milibarów', 'matronimia', 'country_inn', 'drążek', 'foobar', 'piwiarnia', 'patronimikum', 'pubów', 'hostelry', 'pub', 'public_house', 'język_bawarski', 'nazwisko_patronimiczne', 'bufet', 'mielizna', 'wykluczać_wyłączać', 'do', 'antivari', 'tawerna', 'wybierz_dom', 'dialekty_bawarskie', 'patronimia', 'palestra', 'beta2_receptorów_adrenergicznych', 'prawnicy', 'bár', 'patronimiczny', 'patronimicznych', 'prawników', 'dialekt_bawarski', 'gospoda', 'nazwisko_matronimiczne', 'zapobiegania', 'slider', 'patrynomic', 'barze', 'takt', 'barroom', 'wspólnota_prawna', 'sztaba', 'okucie', 'profilaktyka', 'foo']
bear	niedźwiedzie	Match	['wypełniać', 'rodzić', 'zapłacić', 'bear', 'niedźwiedzica', 'spełniać', 'webelos', 'niedźwiedzie', 'ursidae', 'płacić', 'niedźwiedź', 'zawierać', 'mike_brown', 'gay_bear', 'tupolew_tu95', 'znieść', 'stać', 'miś', 'misiu', 'edźwiedź', 'misiek', 'niedźwiedzia', 'misia', 'niedźwiedzi', 'niedźwiedziowate', 'tu95']
beat	przegrany	Incorrect	['beatus', 'wzorzec_rytmiczny', 'dudnienia', 'obchód', 'beatnik', 'rytm', 'pokonać', 'metrum', 'miara_wierszowa', 'muzyka_beat', 'tok', 'dudnienie', 'jet_set_radio', 'muzyczny_rytm', 'wartość_rytmiczna', 'metr', 'rytmy', 'siteswap', 'offbeat', 'bitnik', 'puls', 'wybicie', 'beat']
bed	wannie	Incorrect	['ruchać', 'podłoże', 'zaburzenie_z_napadami_objadania_się', 'łóżka', 'dno', 'bed', 'łózko', 'grządka', 'łóżku', 'łóżko_creek', 'łoże', 'zespół_napadowego_objadania_się', 'jebać', 'pierdolić', 'koryto_rzeki', 'grzęda', 'łóżko', 'warstwowanie', 'korytem', 'szew', 'złoże', 'pieprzyć', 'koryto_rzeczne', 'uprawiać_seks', 'napady_objadania_się']
beer	piwa	Match	['campaign_for_real_ale', 'ale', 'piwo', 'beer', 'camra', 'piwko', 'piwo_ciemne', 'mocz_starego_pawiana', 'przemysł_piwowarski', 'piwa']
big	big	Match	['niemały', 'wspaniałomyślny', 'dorosła', 'większy', 'wielki', 'bjarke_ingels_group', 'duża', 'ciała', 'dorosły', 'duży', 'owoców', 'znaczący', 'tamowanie_krwi', 'pyszałkowaty', 'wielkoduszny', 'niekiepski', 'bukiet', 'znaczny', 'duże', 'big', 'wielka', 'norm_nixon', 'mineralności']
