ability	способность	Match	['умение', 'способности', 'способность', 'спосо́бность', 'данные', 'усилие', 'возмо́жность']
accomplished	талантливый	Incorrect	['выполнена', 'зако́нченный', 'выполнено', 'совершённый', 'завершённый']
angry	разозлился	Incorrect	['злая', 'mad_season', 'я́ростный', 'гне́вный', 'серди́тый', 'топящий', 'гнев', 'сердитый', 'angriness', 'злоба', 'kay_starr', 'разъярённый', 'злость', 'злой', 'зол', 'press_to_play', 'разгневанный', 'разгне́ванный']
apartment	квартиру	Found close match: ['квартире', 'квартира', 'кварти́ра']	['апартаменты', 'апартамент', 'apartment', 'кварти́ра', 'квартира', 'блок_особняк', 'апартаме́нт', 'квартире', 'пло́скость']
applause	аплодисментов	Found close match: ['аплодисмент', 'аплодисменты', 'аплодисме́нты']	['аплодисме́нты', 'хлопки', 'рукоплеска́ния', 'рукоплескания', 'applause', 'аплодирование', 'ладони', 'аплодисмент', 'хлопающий', 'аплодисменты']
argument	аргумент	Match	['логичный_аргумент', 'теория_аргументации', 'передача_по_ссылке', 'disceptation', 'дискуссионный_клуб', 'аргумент', 'академические_дебаты', 'политические_дебаты', 'параметр_функции', 'формальный_аргумент', 'параметр', 'оспаривание', 'косой_аргумент', 'аргументации', 'слова_и_прений', 'логических_аргументов', 'теории_аргументации', 'аргуме́нт', 'аргумент_функции', 'научные_дебаты', 'довод', 'спорить', 'аргументы', 'передача_параметра', 'разногласие', 'обсудить', 'формальный_параметр', 'дебаты', 'литературные_аргумент', 'фактический_параметр', 'споры', 'спор', 'теледебаты', 'рассуждение', 'актант']
art	изобразительное	Found close match: ['изобразительное_искусство', 'изобразительные_искусства', 'изобразительных_искусств']	['художественная_культура', 'рисунок', 'beauxarts', 'изобразительное_искусство', 'искусства', 'артикли', 'арти́кль', 'неопределённый_артикль', 'the', 'изящные_искусства', 'агутисвязанный_пептид', 'художественное_творчество', 'художественного_выражения', 'прекрасный_художник', 'beaux_arts_архитектуры', 'art', 'нетекстовых_вопрос', 'художественной', 'beauxarts_архитектуры', 'beaux_arts', 'член', 'графика', 'бозар', 'определенный_артикль', 'изобразительные_искусства', 'художественное_производство', 'myst', 'артикль', 'арт', 'художественное_искусство', 'доблесть', 'иску́сство', 'искусство', 'изобразительных_искусств', 'артистизм', 'android_runtime', 'определённый_артикль', 'неопределенный_артикль', 'beauxarts_стиле', 'произведение_искусства', 'дни', 'визуальное_искусство']
attitude	доброжелательно	Incorrect	['манера', 'ортоградная_поза', 'социального_поведения', 'attitude', 'осанка', 'поведении', 'поведения', 'безудержной', 'психологический_настрой', 'батман_фондю', 'установка', 'оса́нка', 'неправильное_предлежание', 'эйлеровы_углы', 'положение_тела', 'положе́ние', 'скло́нность', 'attitudegolden_gun', 'реакция_на_событие', 'падетруа', 'дела', 'пози́ция', 'поведенческие', 'батман_фраппе', 'угол_эйлера', 'склонность', 'attitude__golden_gun', 'поза', 'пространственной_ориентации', 'накло́нность', 'батман_жете', 'по́за', 'reload', 'тенденция', 'позиция', 'пти_батман', 'социальное_поведение', 'поза_человека', 'углы_эйлера', 'коллективное_поведение', 'мане́ра_вести́_себя́', 'отношение', 'эйлера_углы', 'отноше́ние', 'настрой', 'недостойное_поведение', 'психологическая_установка', 'терминология_в_балете', 'поведение', 'ориентации', 'невербалика', 'гран_жете', 'балетые_термины', 'термины_классического_танца', 'поведе́ние', 'предрасположенность', 'предрасположе́ние', 'батман_тандю', 'тенде́нция', 'жете', 'ориентация', 'правила_поведения']
bag	мешок	Match	['уро́дка', 'ноша', 'гры́мза', 'укра́сть', 'сумка', 'ворова́ть', 'мультимножества', 'дорожная_сумка', 'вымени', 'вы́мя', 'комплектация', 'сумочка', 'куль', 'пакет', 'чемодан', 'женские_сумки', 'то́рба', 'чашкой_чая', 'сумка_для_магазинов', 'ридикюль', 'су́мка', 'мультимно́жество', 'су́мочка', 'страхолю́дина', 'кики́мора', 'комплект', 'мультимножество', 'бумажный_пакет', 'карга́', 'чемода́н', 'мешок', 'мешо́к', 'уро́дина', 'кулёк', 'мы́мра', 'старый_мешок', 'кейс', 'ридикю́ль', 'диплома́т', 'сумку', 'дурну́шка', 'бумажный_мешок', 'сворова́ть', 'вымя', 'красть', 'краcть', 'паке́т', 'страши́ла', 'пластиковый_пакет', 'пластиковую_сумку']
ball	мяч	Match	['2сфере', 'тест', 'мушкета_мяча', 'люсиль_болл', 'болл_люсиль_дезире', 'люсиль_дезире_болл', 'забастовка_зоны', 'болл_люсилль', 'ball_corporation', 'яички', 'пуля', 'thv', 'люсилль_болл', 'страйк', '2сфера', 'тестикулы', 'замкнутый_шар', 'пули', 'мячик', 'сфе́ра', 'мяч_для_соккера', 'мяч', 'футбол', 'мяч_для_футбола', 'яи́чко', 'бал', 'ядро́', 'мяч_для_американского_футбола', 'теннисный_мяч', 'шар_для_настольного_тенниса', 'футбольный_мяч', 'ballock', 'шаровидные', 'болл_л', 'яйцеклетка', 'джон_болл', 'яичко', 'полусфера', 'болл', 'шар', 'подушечка_ноги', 'яичка', 'мяч_для_европейского_футбола', 'подушечка_подошвы', 'пигскин', 'жакан', 'ша́рик', 'мя́чик', 'я́йца', 'бол', 'яйцо́', 'шар_для_пингпонга', 'подушка_стопы', 'подушечка_стопы', 'ерунда', 'ball', 'открытый_шар', 'мяч_для_настольного_тенниса', 'сфера', 'площадь_сферы', 'те́ннисный_мяч', 'lucille_ball', 'мяч_для_пингпонга', 'болл_джон', 'клубо́к', 'john_ball', 'болл_люсиль']
bar	бар	Match	['такт', 'русское_отчество', 'профилактики', 'пабы', 'патронимическое_имя', 'заслони́ть', 'баварские_диалекты', 'австробаварский_диалект', 'паб', 'boarisch', 'баре', 'отчества', 'бета2рецепторов', 'в', 'перекладина', 'ginmill', 'преграждать', 'бар_сто́йка', 'баварский_язык', 'трактир', 'черта', 'буфет', '◌̷', 'bar', 'антивари', 'корчма́', '◌̶', 'мелководье', 'профессия_юриста', 'заслоня́ть', 'бава́рка', 'адвокатская_палата', 'баериш', 'тракти́р', 'advocatus', 'отчество', 'паб_знака', 'бава́рец', 'цвет_черты', 'публичных_домов', 'тактовая_черта', 'юридического_сообщества', 'оглы', 'патроним', 'taphouse', 'штрих', 'отмели', '◌̸', 'микробар', 'баварское_наречие', 'бета2_адренорецептор', 'баварский_диалект', 'баварский', 'профессия_связанная_с_правом', 'патронимы', 'пивнушка', 'barline', 'формфактор_мобильного_телеaона', 'адвокатура', 'австробаварское_наречие', 'country_inn', 'кбар', 'публичный_дом', 'пивная', 'тактовый_размер', 'foobar', 'мбар', 'вратарь_салона', 'гастропаб', 'бета2адренергические_рецепторы', 'pub', 'исключа́ть', 'бавароавстрийское_наречие', 'public_house', 'бар', 'брус', 'гостиница', 'исключи́ть', 'каба́к', 'загороди́ть', 'предупреждение', 'загора́живать', 'бета2_адренергических_рецепторов', 'пивна́я', 'пивоварня_крана', 'палата_адвокатов', 'сте́ржень', 'β2адренорецептор', '◌̵', 'таве́рна', 'закуски', 'миллибар', 'farnesoid_x_рецепторов', 'таверна', 'patrynomic', 'кабак', 'баварскоавстрийское_наречие', 'автоматическая_винтовка_браунинга', 'заку́сочная', 'устьевой_бар', 'пивну́шка', 'прут', 'foo']
bear	медведь	Match	['ту95мс', 'ту96', 'вмеща́ть', 'содержа́ть', 'допусти́ть', 'медвежо́нок', 'ту95_«медведь»', 'bear', 'медведи_в_геральдике', 'выноси́ть', 'брать', 'ту95к', 'взять', 'допуска́ть', 'приня́ть', 'медведи', 'webelos', 'родить', 'стоять', 'терпе́ть', 'майк_браун', 'ту20', 'ursidae', 'косолапый', 'поддерживать', 'беар', '🐻', 'выде́рживать', 'медвежьи', 'ту95', 'вы́нести', 'mike_brown', 'пол_хоффман', 'медвежонок', 'рожать', 'медведные', 'чаб', 'медведь_в_геральдике', 'оплати́ть', 'ту95км', 'медве́дь', 'медвежьей', 'ту95рц', 'мишка', 'медведь', 'медве́дица', 'медведица', 'опла́чивать', 'медведи_на_гербах_и_флагах', 'ту95м', 'содержать', 'заплати́ть', 'принима́ть', 'вы́терпеть', 'плати́ть', 'ми́шка']
