ability	{'kapacitet', 'evne', 'aptitude'}
accomplished	set()
all	{'universelle_lukning', 'universel_kvantifikator', 'akut_lymfatisk_leukæmi', 'akut_lymfoblastisk_leukæmi', 'helt', 'universelle_kvantifikator', 'alkvantor', 'akut_lymfocytisk_leukæmi', 'universel_kvantificering', 'alle', 'alt_g', 'all'}
and	{'and', 'diskret_logik', 'konjunktion', 'og', 'logisk_kredsløb', 'logikport', 'gate', 'and-gate', 'exclusive-or-gate', 'nor-gate', 'logisk_and', 'xor-gate', 'nand-gate', 'logisk_gate', 'logiske_kredsløb', 'armed_and_dangerous', 'logiske_gates', 'logisk_sammenhæng', 'or-gate'}
angry	{'angriness', 'arrig', 'gal', 'mad_season', 'vred', 'sur', 'indignation', 'ira', 'press_to_play', 'vrede', 'kay_starr'}
animal	{'dyrs_reproduktion', 'fauna', 'regnum_animale', 'w.a.s.p.', 'animalia', 'dyrerige', 'plante', 'dyreriget', 'epifauna', 'animalsk', 'dyr', 'metazoans', 'animere_være', 'dyreliv', 'road_warrior_animal', 'animal', 'faunaliste', 'metazoa', 'væsen', 'epifaunal', 'dyreverdenen', 'væsen_type', 'reality_check', 'dyreart', 'animal_science', 'makrofauna', 'infauna', 'far_east_movement', 'kræ'}
apartment	{'lejelejlighed', 'boligblokke', 'lejlighedskompleks', 'apartment', 'palæ_blok', 'lejlighed', 'lejligheder', 'etageejendom'}
applause	{'applause', 'klappe', 'klappede', 'applaus', 'hånd_der_klapper', 'bifald', 'håndklap'}
argument	{'skænderi', 'diskussionsklub', 'tale_og_debat', 'musikalsk_argument', 'kontrovers', 'skrå_argument', 'argumenterer', 'argumentationsteori', 'ræsonnement', 'litterære_argument', 'anfægtelse', 'verbum_argument', 'argument', 'diskuterer', 'logisk_argument', 'kontroverser', 'debat', 'disceptation', 'linje', 'politisk_debat', 'erklæring', 'debatter', 'disput', 'parameter', 'argumentation', 'kontroversiel', 'diskutere', 'argumenter'}
argumentatively	set()
art	{'beaux_arts_arkitektur', 'fine-art', 'kunstnerisk_udtryk', 'nontextual_stof', 'kunstfærdighed', 'kendeord', 'grafik', 'kunstneriske', 'artwork', 'tapperhed', 'beaux-arts_arkitektur', 'appropriation', 'kunst_design', 'kunstform', 'kunstnerisk_produktion', 'grafisk', 'art', 'kunstværk', 'beaux_arts', 'fine_arts', 'kunstnerisk_skaben', "d'ni", 'agouti-relateret_peptid', 'de_skønne_kunster', 'les_beaux-arts', 'kunstner', 'artikel', 'dybtrykteknik', 'skønne_kunster', 'beaux-arts', 'kunstneriske_udtryk', 'beaux-arts_stil', 'kunst'}
ashes	{'ashes', 'post_mortem'}
at	{'@', 'symbolet', 'østrig', 'østrigsk', 'batch', 'republik_österreich', 'toyota_coaster', 'österreich', 'forbundsrepublikken_østrig', 'automatgearkasse', 'østerrig', 'snabel_a', 'østrigere', 'på', 'bruton_s_tyrosinkinase', 'automatgear', 'automatisk_gearkasse', 'astatin', 'autopilot', 'oesterreich', 'republikken_østrig', 'astat', 'at', 'config.sys', 'atomnummer_85', 'snabel-a', 'østerrigerne'}
attitude	{'fremtræden', 'kropsholdning', 'malpresentation', 'gerninger', 'papirretning', 'stilling', 'indstilling', 'adfærd', 'demeanor', 'adfærdsmæssige', 'orienteringen', 'rumlig_orientering', 'attitude', 'holdning', 'tilbøjelighed', 'optræden', 'disposition', 'retning', 'beliggenhed', 'reload', 'positur', 'opførsel', 'tendens', 'grasserende', 'social_adfærd', 'mental_indstilling', 'anstand', 'dårlig_opførsel', 'euler_vinkler'}
back	{'ryg', 'rygsøjlen', 'højre_back', 'fly-halvdel', 'sweeper', 'b.a.c.k.', 'flyhalf', 'bogbinding', 'rygstreng', 'indersiden_center', 'første_fem_ottendedel', 'midt_bagpå', 'vertebral', 'center-back', 'hvirvelsøjle', 'ryghvirvler', 'bagsiden', 'bogindbinding', 'tilbage', 'forsvarsspiller', 'tighthead_prop', 'godkende', 'rygsøjle', 'støtte', 'skaft', 'udenfor_centrum', 'bagside', 'venstre_back', '백', 'rygrad', 'rygraden', 'back'}
bad	{'bcl-2-associerede_dødsfald_promotor', 'bad', 'onde', 'royce_da_5\'9"', 'rådden', 'ondskab', 'bad_world_tour', 'fly_away', 'ond', 'big_audio_dynamite', 'dårlig'}
bag	{'bagful', 'multisets', 'plast_indkøbspose', 'sæk', 'bærepose', 'gamle_pose', 'stjæle', 'håndtasker', 'yvere', 'papirspose', 'rejsetaske', 'plastic_indkøbspose', 'plastpose', 'kop_te', 'multiset', 'taske', 'håndtaske', 'kuffert', 'yver', 'pose'}
ball	{'klump', 'nosse', 'bold', 'klunker', 'kugleoverflade', 'sfærisk', 'strikeout', 'nosser', 'bolden', 'kugleperiferi', 'teste', 'slug', 'klat', 'testikler', 'testiklerne', 'lucille_ball', 'kugleformet', 'bal', 'tennisbolde', 'walk', 'testis', 'halvkugleformet', 'tennisbold', 'strejke_zone', 'kugler', 'ballock', 'testikel', 'fodbold', 'ball', 'kugle', '2-sfære', 'kugleskal', 'glob', 'lukkede_kugle', 'strikezone', 'strike', 'strike_zone', 'sfære', 'musket_kugle', 'bordtennisbold', 'john_ball', 'bolde', 'projektil'}
bar	{'juridiske_samfund', 'mbar', 'browning_automatiske_riffel', 'taphouse', 'advokatbranchen', 'sandbanker', 'patronym', 'patronymikon', 'bar,_montenegro', 'advocatus', 'patronymnavn', 'slægtsnavn', 'bairisk', 'barre', 'bayrisk', 'gin_mølle', 'forebyggelse', 'foranstaltning', 'beta-2_adrenerg_receptor', 'foobar', 'værtshuse', 'beta-2-receptor', 'sedan_keeper', 'kro', 'ginmill', 'hostelry', 'millibar', 'bayersk', 'brækstang', 'eksludere', 'bajrisk', 'forvise', 'barroom', 'pothouse', 'offentlig_hus', 'public_house', 'stribe', 'bryggeri_hanen', 'pub_tegn', 'barriere_strand', 'efternavne', 'tap_house', 'pub', 'foo', 'sandbanke', 'værtshus', 'country_inn', 'stime', 'stimer', 'takt', 'bajersk', 'farnesoid_x_receptor', 'udstøde', 'pub_grub', 'efternavn', 'stregfarve', 'baren', 'bar', 'barline', 'skænkestue', 'pub_fødevarer', 'juridiske_profession', 'patrynomic', 'offentlige_huse', 'pubber', 'bardisk'}
bark	{'ilyushin_il-2', 'bark', 'tække', 'gøen', 'barque', 'barkskib', 'bjæffe', 'periderm', 'barkskibs_løbende_rig', 'barkskibs_stående_rigning', 'iljusjin_il-2', 'træ_bark', 'gø', 'barkflis', 'barkskibs_løbende_gods', 'råbe'}
bear	{'udholde', 'betale', 'bjørne', 'tage', 'bjørn', 'bjørnen_samfund', 'udstå', 'mike_brown', 'paul_hoffman', 'ursidae', 'bear', 'nedkomme', 'webelos', 'tupolev_tu-95', 'holde', 'klare', 'bære', 'barsle', 'bamse', 'indeholde', 'ursine', 'stå'}
beat	{'kvantitative_meter', 'taktslag', 'siteswap', 'versemål', 'off-beat', 'musikalsk_rytme', 'slå', 'rytmisk_enhed', 'beat', 'overvinde', 'rytmisk', 'kvantitativ_vers', 'poetisk_meter', 'metrik', 'beatnik', 'besejre', 'rytme', 'rytmer', 'meter', 'puls', 'metrum'}
because	{'fordi', 'because', 'på_grund_af'}
bed	{'flodseng', 'bolle', 'nervøs_tvangsspisning', 'sengen', 'pule', 'knalde', 'nervøs_overspisning', 'tvangsspisning', 'streambed', 'søm', 'stream_seng', 'creek_seng', 'kane', 'bed', 'kneppe', 'seng', 'underlagsplan', 'binge_spiseforstyrrelse'}
