ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
accomplished	set()
all	{'completament', 'leucèmia_limfoblàstica_aguda', 'leucèmia_limfoide_aguda', 'quantificació_universal', 'tota', 'all', 'tot', 'leucèmia_aguda_limfoblàstica', 'leucèmia_linfoide_aguda', 'totalment', 'leucèmia_limfocítica_aguda', 'per_tot', 'totes', 'tots', 'leucèmia_limfàtica_aguda', 'quantificador_universal,', 'leucèmia_aguda_limfoide', 'clausura_universal', 'quantificador_universal', 'enterament'}
and	{'porta_lògica', 'circuit_lògic', 'armed_and_dangerous', 'and', 'la_porta_lògica', 'lògica_discreta', 'conjunció_lògica', 'portes_lògiques'}
angry	{'tempestívol', 'tempestós', 'furor', 'tempestuós', 'furibund', 'enuig', 'ira', 'irritat', 'press_to_play', 'violent', 'kay_starr', 'furiós', 'enfadat', 'colèric', 'enutjat', 'còlera', 'mad_season', 'ràbia'}
animal	{'animalia', 'sensual', 'fauna', 'ser_animat', 'metazoa', 'animals', 'w.a.s.p.', 'far_east_movement', 'metazous', 'bèstia', 'criatura', 'white_anglo-saxon_protestant', 'metazoos', 'vegetal', 'animal', 'regne_animal', 'epifauna', 'macrofauna', 'metazou', 'infauna', 'reality_check', 'metazoic', 'carnal'}
apartment	{'aparthotel', 'bloc_mansió', 'apartaments', "edificis_d'apartaments", 'pis', 'apartament', 'apartament_amb_jardí', 'bloc_de_pisos', 'apartment', "complex_d'apartaments"}
applause	{'aplaudiments', 'aplaudiment', 'applause', 'mà_aplaudint', 'palmes'}
argument	{'argumentació', 'variable_independent', 'lluita', 'polèmica', 'debat_polític', 'lliça', 'discussió', 'paràmetre', 'disputa', 'argument_musical', 'discutir', 'argument_complexe', 'debat', 'arguments', 'línia_de_raonament', 'debats', 'disceptation', 'argument_oblic', 'equip_debat', 'argumentant', 'controvèrsia', 'controvèrsies', 'argument_literari', 'argument_verb', 'argument', 'línia', 'argument_lògic', "teoria_de_l'argumentació"}
argumentatively	set()
art	{'article', 'il·lustracione', 'arts', 'pèptid_relacionat_amb_agouti', 'arquitectura_beaux_arts', 'artista_plàstic', 'llenguatge_artístic', 'artística', 'disciplina_artística', 'belles_arts', 'estil_beaux-arts', 'arts_majors', 'gràfica', 'art', "obres_d'art", 'gràfics', 'arquitectura_beaux-arts', 'disciplines_artístiques', 'perícia', "disseny_d'art", 'la_creació_artística', 'mestria', 'artístic', 'articles', 'ni', 'gràfic', 'expressió_artística', 'producció_artística', 'qüestió_no_textual', 'arts_pures', 'creació_artística', 'android_runtime', 'coratge', 'valor'}
ashes	{'the_ashes', 'ashes', 'post_mortem'}
