all	сите	Match	['сите', 'all', 'акутна_лимфоцитна_леукемија']
and	и	Not found	[]
animal	животни	Match	['far_east_movement', 'животните', 'animalia', 'микроживотни', 'животно', 'животни', 'фауна', 'animal', 'reality_check', 'животинско', 'животински', 'wasp']
ashes	пепел	Match	['пепелта', 'post_mortem', 'пепел', 'ashes']
at	хсбц	Not found	[]
back	назад	Match	['백', '’рбет', 'рбет', 'назад', 'ки́чма', 'рбетен_столб', 'позиција_во_рагби', '‘рбетен_столб', 'заден', 'опачина', 'задна_страна', 'одбрана', '’рбетен_столб', 'back', 'положба_во_рагби', 'поддржува', 'одбранбен_играч', 'грб']
bad	лоша	Match	['лоша', 'big_audio_dynamite', 'лошо', 'royce_da_59', 'bad', 'бад', 'лош', 'зло', 'bad_world_tour']
bark	дрвенест	Incorrect	['барка', 'илјушин_ил2', 'bark', 'лае', 'ил2', 'лаеж', 'барк', 'лаат', 'кора']
because	бидејќи	Match	['because', 'бидејќи', 'поради', 'затоа_што']
belly	опашката	Incorrect	['мев', 'стомак', 'стомачна_празнина', 'абдомен', 'belly', 'сто́мак', 'стомакот']
big	големa	Found close match: ['голем', 'големо', 'големи']	['bjarke_ingels_group', 'голема', 'big', 'голем', 'големо', 'големи', 'norm_nixon']
bird	птица	Match	['charlie_parker', 'птица', 'мо́ма', 'aves', 'bird', 'чарлс_паркер', 'измеќарка', 'чарли_паркер', 'птици', 'перо', 'mikuni_shimokawa']
bite	брадавицата	Incorrect	['одгризува', 'лутина', 'гризе', 'у́жина', 'острина', 'пикантност', 'гризење', 'за́куска', 'гризне', 'steven_hassan', 'гриз']
black	црни	Match	['schwaz', 'црната_боја', 'boja', 'melnā_krāsa', 'црна_боја', 'neri', 'കറുപ്പ്', 'שחור', 'лухӏисса', 'moíndo', 'črna', 'negru', 'reş', 'қара_түс', 'سیاه', 'црн', 'ಕಪ್ಪು', 'preto', 'áttilong', 'madaw', 'काला', 'final_fight', 'taio_cruz', 'црно', 'musta', 'чорний_колір', 'niger', 'fekete', 'ܐܘܟܡܐ', 'கருப்பு', 'કાળો', 'svartur', '黒', 'раужо', 'schwatz', 'hideung', 'কালো', 'काळा', 'ནག་པོ།', 'hũ', 'zwart', 'nero', 'negro', 'schwaaz', 'ireng', 'hitam', 'schwarz', 'jouda', 'nièr', 'sort', 'černá', 'chiyara', 'џозеф_блек', 'final_fight_3', 'tlīltic', 'хар_өңг', 'beltz', 'shirley_temple', 'juoda', 'שווארץ', 'barwa_czarna', 'nigro', 'कालो', '검정', 'бои', '黑色', 'чёрный_цвет', 'ширли_темпл', 'црнка', 'kari_kimmel', 'నలుపు', 'црни', 'أسود', 'dubh', 'o͘sek', 'црна', 'yana', 'μαύρο', 'must', 'joseph_black', 'đen', 'nwa', 'боја', 'црнец', 'čierna', 'чорны_колер', 'равжа', '烏', 'бо́ја', 'black', 'itom', 'negre', 'iswed', 'itim', 'siyah', 'lotong', 'कृष्ण_वर्णः', 'crna', 'nìuru', 'สีดำ', 'noir', 'iаьржа', 'ngjyra_e_zezë', 'negher', 'تور', 'сиёҳ']
blood	крв	Match	['крв', 'ли́нија', 'the_black_parade', 'blood', 'persistence_of_time', 'оксидирана_крв', 'хематолошки', 'getting_away_with_murder', 'vs', 'collective_soul']
blow	удар	Match	['дува', 'удар', 'кока', 'blow', 'виор']
bone	коскен	Found close match: ['коски', 'коска']	['коска', 'коски', 'def_jam_recordings', 'bone', 'the_island_def_jam_music_group']
breast	тироидната	Incorrect	['граден_кош', 'ци́цка', 'ракот_на_дојката', 'гради', 'биста', 'града', 'дојки', 'дојка', 'the_breast', 'рак_на_дојка', 'градите']
