ability	ικανότητα	Match	['δυνατότητα', 'δεξιότητα', 'ικανότητα', 'επιτηδειότητα', 'κλίση_έφεσητάσηταλέντο', 'επάρκεια', 'ικανότητας']
accomplished	επιτευχθεί	Not found	[]
angry	εξοργισμένος	Match	['θυμωμένοι', 'εξοργισμένος', 'mad_season', 'θυμός', 'θυμωμένος', 'kay_starr', 'μανιασμένος_μαινόμενος', 'οργισμένος', 'press_to_play', 'έξαλλος', 'τρελός', 'θυμωμένη']
apartment	πολυκατοικία	Match	['πολυκατοικίες', 'δωμάτιο', 'πολυκατοικία', 'διαμέρισμα', 'μπλοκ_αρχοντικό', 'διαμέρισμα_κήπο', 'apartment', 'συγκρότημα_διαμερισμάτων', 'διαμερίσματα', 'χώρος']
applause	ζητωκραυγές	Incorrect	['παλαμάκια_χέρι', 'χειροκρότημα', 'applause', 'χειροκροτήματα', 'παλαμάκια', 'handclaps']
argument	επιχειρήματα	Match	['συλλογιστική', 'επιχείρημα', 'παράμετροι', 'θεωρία_επιχειρηματολογίας', 'παράμετρος', 'πλάγια_επιχείρημα', 'επιχείρημα_ρήμα', 'disceptation', 'υποστηρίζοντας', 'γραμμή', 'αντιλογία', 'όρισμα', 'πολιτική_συζήτηση', 'συζητήσεις', 'συζητώντας', 'καβγάς', 'επιχειρηματολογία', 'αντιπαράθεση', 'διαμάχη', 'επιχειρήματα', 'συζήτηση', 'διαμάχες', 'λογοτεχνικό_επιχείρημα', 'μουσικό_επιχείρημα', 'αμφιλεγόμενη', 'λογικό_επιχείρημα', 'δήλωση', 'συζητήσουν', 'αμφισβήτηση', 'ομιλία_και_συζήτηση']
art	ζωγραφικής	Found close match: ['γραφικό', 'γραφικά', 'γραφικών']	['γραφικά', 'αρτ', 'nontextual_θέμα', 'τέχνες', 'αόριστο_άρθρο', 'έργων_τέχνης', 'τέχνης', 'καλλιτεχνική_παραγωγή', 'γραφικό', 'δημιούργημα', 'agouti_σχετίζονται_πεπτίδιο', 'beauxarts_αρχιτεκτονική', 'beauxarts_στυλ', 'art', 'ανδρεία', 'οριστικό_άρθρο', 'καλλιτέχνης', 'καλλιτεχνία', 'καλλιτεχνικά', 'πρόστιμο_καλλιτέχνη', 'beaux_arts', 'καλές_τέχνες', 'καλλιτεχνική_έκφραση', 'τεχνη', 'beaux_arts_αρχιτεκτονική', 'εικονογράφηση', 'άρθρο', 'καλών_τεχνών', 'έργα_τέχνης', 'καλλιτεχνική_δημιουργία', 'σχεδιασμό_τέχνη', 'καλλιτεχνική', 'dni', 'τέχνη', 'γραφικών']
attitude	αυταρχικότητα	Incorrect	['attitude', 'malpresentation', 'συμπεριφορά', 'προσανατολισμός', 'προσανατολισμό', 'διάθεση', 'ανάρμοστη_συμπεριφορά', 'θέση', 'προσανατολισμού_στο_χώρο', 'συμπεριφοράς', 'κοινωνική_συμπεριφορά', 'reload', 'κατορθώματα', 'κλίση', 'πόζα', 'deportment', 'τη_στάση_του_σώματος', 'στάση', 'προδιάθεση', 'ροπή', 'γωνίες_euler', 'ανεξέλεγκτη', 'ψυχική_στάση', 'τάση']
bag	σακούλα	Match	['πλαστική_τσάντα_για_ψώνια', 'κλέβω', 'multiset', 'ταξιδεύουν_τσάντα', 'τσαντάκι', 'φλιτζάνι_του_τσαγιού', 'χαρτοσακούλα', 'πολυσυνόλων', 'σάκο', 'τσουβάλι', 'βαλίτσα', 'αποσκευές', 'σακί', 'τσάντες', 'σάκος', 'μαστάρι', 'μαστός', 'τσουβαλιά', 'τσάντα_για_ψώνια', 'τσάντα_μεταφοράς', 'τσάντα_γυναικεία', 'bagful', 'σάκκος', 'χάρτινη_σακούλα', 'τσάντα', 'οὖθαρ', 'σακούλα', 'παλιά_τσάντα', 'μαστού']
ball	μπάλα	Match	['όρχεις', 'ημισφαιρικό', 'glob', 'ποδόσφαιρο', 'όγκος', 'μπάλα', 'κλειστή_μπάλα', 'γυμνοσάλιαγκα', '2σφαίρα', 'αρχίδια', 'των_όρχεων', 'μπαλάκι', 'λουσίλ_μπολ', 'μπάλα_μουσκέτο', 'σφαίρα', 'αρχίδι', 'χορός', 'ζώνη_απεργία', 'ballock', 'ποδοσφαιρική_μπάλα', 'σφαιρικό', 'μπάλα_ποδοσφαίρου', 'στρογγυλεμένο_μέρος', 'teste', 'μπάλες_του_τένις', 'όρχις', 'μπάλα_του_τένις', 'ball', 'στρογγυλός', 'όρχι', 'σφαίρες', 'lucille_ball', 'john_ball']
bar	μπαρ	Match	['παμπ', 'πατρωνυμικό', 'δικηγορία', 'επώνυμο', 'barline', 'εμποδίζω', 'δημόσιο_σπίτι', 'sandbars', 'bar', 'πανδοχείο_χώρα', 'ταβέρνα', 'foo', 'αγγίξτε_το_σπίτι', 'πανδοχείο_της_χώρας', 'μπαρ', 'πατρωνυμικός', 'γραμμή', 'ράβδωση', 'μπάρ', 'νομική_κοινότητα', 'πατρώνυμό', 'millibars', 'καπηλείο', 'μπλοκάρω', 'μέτρο', 'βρύση_ζυθοποιείο', 'δικηγορικού_επαγγέλματος', 'πάγκος', 'ποινικολογία', 'φύλακας_σεντάν', 'πατρώνυμο', 'ταβέρνες', 'mbar', 'δοκάρι', 'αμμοσύρτις', 'φαγητό_παμπ', 'βητα2_υποδοχέα', 'πρόληψη', 'αίθουσα_μπαρ', 'millibar', 'foobar', 'advocatus', 'δημόσια_σπίτια', 'υποδοχέα_farnesoid_χ', 'μπάρα', 'αντιβάριο', 'καπηλειό', 'taphouse', 'σαλούν', 'σημάδι_παμπ', 'ρηχά', 'πατρώνυμα', 'patrynomic', 'public_house', 'ποτοπωλείο', 'ginmill', 'πλακίδιο', 'πανδοχείο', 'ποτοπολείο', 'βαρομετρική_μονάδα', 'βήτα2_αδρενεργικών_υποδοχέων', 'κοπάδια', 'νομικό_επάγγελμα', 'κομμάτι', 'βέργα', 'ράβδος', 'browning_αυτόματο_τουφέκι', 'πλάκα', 'τράπεζα_άμμο']
bear	αρκούδα	Match	['κατέχω', 'πληρώνω', 'ἄρκτος', 'κάνω', 'έχω', 'αποφέρω', 'σταθεί', 'αρκούδες', 'άρκτος', 'bear', 'αρκτίδες', 'ursine', 'webelos', 'διατηρώ', 'ursidae', 'υπομένω', 'φέρομαι', 'φέρω', 'βαστάζω', 'περιλαμβάνω', 'mike_brown', 'αντέχω', 'κατακρατώ', 'περιέχω', 'συμπεριφέρομαι', 'αρκούδος', 'κυοφορώ', 'μάικ_μπράουν', 'ξεχρεώνω', 'κοινότητα_αρκούδα', 'αρκούδα', 'αίρω', 'tupolev_tu95', 'tu95_ms', 'περιέχει', 'ἄρκτος_ἄρκος', 'ανέχομαι', 'εγκυμονώ', 'εξουσιάζω', 'αρκουδάκι', 'υποβαστάζω', 'αναλαμβάνω', 'tu95']
beat	πέναλτυ	Incorrect	['ρυθμος', 'ρυθμός', 'πάλλω', 'χρήστηςploutarxos_pastrasπρόχειρομετρική', 'υπαρξιστής', 'beatnik', 'σαστίζω', 'νικήσει', 'ρυθμούς', 'ρυθμική', 'ποσοτικό_μέτρο', 'καταπλήσσω', 'μέτρο', 'χτυπώ', 'ρυθμική_μονάδα', 'πάλλομαι', 'χτύπος', 'εκπλήσσω', 'φτεροκοπώ', 'κρούω', 'ποιητικό_μέτρο', 'σφυγμός', 'siteswap', 'νικώ', 'offbeat', 'ρυθμό', 'μετρική', 'χρόνος', 'συχνότητα_των_χτύπων_της', 'φτερουγίζω', 'αγωνίζομαι', 'παλμός', 'κτυπώ', 'μουσικό_ρυθμό', 'κτύπος', 'διακρότημα', 'beat']
bed	κρεβάτι	Match	['πηδώ', 'ευκαιριακή_άμετρη_κατανάλωση_διαταραχή', 'κρεβάτι_ρεύμα', 'ευνή', 'κρεβάτι', 'γαμώ', 'ραφή', 'bed', 'κολπίσκο_κρεβάτι', 'κοίτη_του_ποταμού', 'κοίτη', 'κλίνη', 'έχω_σεξουαλική_επαφή', '(τον)παίρνω', 'γούβα', 'κοίτη_χειμάρρου', 'κοίτασμα', 'κρεββάτι', 'παρτέρι', '(το)κάνω', 'συνευρίσκομαι', 'κάνω_έρωτα', 'συνουσιάζομαι', 'αεροπλάνο_κρεβάτι', 'κοίτη_ποταμού', 'πυθμένας', 'κοιμάμαι', 'κοίτη_ρυακιού', 'στρώση', 'βαθούλωμα']
beer	μπύρας	Found close match: ['μπύρα', 'μπύρες', 'μπίρα']	['αγγλική_μπίρα', 'ale', 'beer', 'μπύρες', 'ζυθοποιία', 'βιομηχανία_ζυθοποιίας', 'ζύθος', 'μπίρα', 'μπύρα', 'αγγλικός_ζύθος']
big	μεγάλε	Found close match: ['μεγάλο', 'μεγάλη', 'μεγάλα']	['bjarke_ingels_group', 'ευμεγέθης', 'δυνατός', 'μεγάλα', 'big', 'ισορροπία', 'μεγαλόψυχος', 'stypsis', 'μεγάλο', 'μεγάλος', 'ξηρό', 'μπιγκ', 'ενήλικος', 'περίοπτος', 'άσχημος', 'κακός', 'σώμα', 'norm_nixon', 'μεγάλη', 'μεταλλικότητα']
