en	es	fr	it	de	nl	sv	fi	ru	cs	hu	tr	mk	id	bg	ca	da	et	he	no	pl	pt	ro	sk	sl	uk	el	hr
ability	habilidad	capacités	abilità	fähigkeit	vaardigheden	förmågan	kyky	способность	schopnost	képessége	yeteneğin	способноста	kemampuan	способноста	habilitat	evne	võimet	היכולת	evne	zdolności	habilidade	abilitatea	schopnosť	sposobnosti	здатність	ικανότητα	sposobnost
accomplished	consumado	accompli	eccellente	erfolgreicher	getalenteerd	framgångsrik	taitava	талантливый	nastartoval	sikeres	başarılır	постигнато	handal	постигал	versàtil	gennemførende	edukas	מוכשר	dyktig	znakomity	habilidoso	remarcat	zdokonaliť	talentiran	досконало	επιτευχθεί	uspješan	
angry	enojado	colère	arrabbiato	wütend	boos	upprörd	raivostunut	разозлился	rozzuřen	dühös	öfkelenen	разбеснил	marah	ядосва	enfadat	rasende	pahane	מתרגז	rasende	wściekły	irritado	furios	nahnevaný	prestraši	розлючений	εξοργισμένος	naljuti	
apartment	apartamento	appartement	appartamento	wohnung	appartement	lägenhet	kerrostaloon	квартиру	bytu	lakása	apartmanda	соби	apartemen	апартамента	apartament	værelse	kortermaja	דירת	leiligheten	mieszkania	apartamento	apartament	apartmáne	stanovanje	квартир	πολυκατοικία	restorana	
applause	aplausos	applaudissement	applausi	applaus	applaus	applåder	suosionosoitukset	аплодисментов	potlesk	tapsot	alkışlar	публиката	pujian	аплодисменти	aplaudiment	bifald	naerdes	למחיאות	applaus	aplauz	aplausos	aplauze	obdivujem	občinstvo	оплески	ζητωκραυγές	publike	
argument	argumentación	argumentation	argomentazione	argumentation	argument	argumentet	argumentti	аргумент	protiargument	érv	argümanın	аргументи	argumen	аргумент	arguments	argumenter	vastuväidete	שטיעון	argumentet	kontrargument	argumentos	argumentez	argumenty	argumentu	аргументи	επιχειρήματα	argumentu	
art	arte	art	arte	kunst	kunst	konst	taide	изобразительное	umění	művészet	sanat	уметност	seni	изкуство,	art	kunst	kunstigaleriis	אמנות	kunst	sztuki	arte	artă	výtvarné	umetnosti,	образотворче	ζωγραφικής	umjetnosti	
attitude	actitud	attitude	atteggiamento	unfreundlichkeit	houding	attityd	asenne	доброжелательно	postoje	hozzáállás	tavırları	искреност	sikap	неразбиране	actitud	holdning	hoiak	כלפיי	holdning	nastawienie	atitude	atitudinea	zhovievavosť	brezbrižnost	ставлення	αυταρχικότητα	stav	
bag	bolso	sachet	sacchetto	brieftasche	doosje	resväska	laukkuja	мешок	pytle	táskát	şişesi	џебот	bungkusan	кърпичката	tovallola	håndtaske	laualt	שקית	koffert	pojemnik	sacola	poșete	vrecúška	gumijasto	рюкзака	σακούλα	vrećica	
ball	bola	balle	palla	ball	bal	bollen	pallon	мяч	míč	labda	şut	топката	ball	топката	pilota	bolden	palli	המחבט	ballen	piłkę	bola	minge	súperove	žogo	кидку	μπάλα	lopta	
bar	bar	bar	bar	bar	bar	bar	bar	бар	bar	tabs	bar	бар	bar	бар	barra	bar	bar	בר	bar	bar	bar	bar	bar	bar	валет	μπαρ	marble	
bear	oso	ours	lupo	bär	grizzlybeer	björnar	karhu	медведь	medvěd	medve	ayı	мечка	beruang	мечка	alastor	næsebjørnen	karu	הדוב	bjørnen	niedźwiedzie	urso	fiare	medveďa	špicparkeljc	рись	αρκούδα	medvjed	
beat	vencer	battant	battendo	finale	verslaan	kvartsfinalen	finaalissa	полуфинале	uhrál	megverni	eleyerek	победувајќи	mengalahkan	побеждавайки	semifinalista	finalesejren	finaalis	כשניצחו	kvartfinalekampen	przegrany	bater	învingea	„finále	premagal	програючи	πέναλτυ	pobijedivši	
bed	cama	baignoire	letto	bett	bed	säng	sänkyyn	кровати	koupelny	fürdőszobában	yatak	испие	terbaring	леглото	llit	sovepose	voodipesu	לאמבטיה	sengen	wannie	cama	patul	umývadlo	posteljo	ліжко	κρεβάτι	krevet	
beer	cerveza	bière	birra	bier	bier	öl	olutta	пиво	piva	üdítőitalok	bira	пиво	bir	бира	cervesa	øl	õlu	משקאות	øl	piwa	cerveja	bere	piva	pivo	пиво	μπύρας	pića	
big	big	big	big	big	big	big	big	большой	big	óriási	big	големa	big	„големият	little	big	suur	גדול	big	big	big	big	big	»velika	великий	μεγάλε	veliki	
