ability	здатність	Match	['здібності', 'здатність', 'здатності', 'задатки', 'здібність', 'можливість']
accomplished	досконало	Incorrect	['переможно']
angry	розлючений	Incorrect	['злий', 'mad_season', 'сердитий', 'angriness', 'kay_starr', 'серди́тий', 'злість', 'гнів', 'агресивний', 'press_to_play']
apartment	квартир	Found close match: ['квартира', 'кварти́ра']	['житлове_приміщення_квартири', 'підсобні_приміщення_квартири', 'apartment', 'загальна_площа_квартири', 'кварти́ра', 'квартира', 'блок_особняк', 'апартаме́нт']
applause	оплески	Match	['грюкання', 'хлопки', 'долоні', 'applause', 'оплески']
argument	аргументи	Match	['обговорити', 'слова_і_дебатів', 'disceptation', 'спір', 'аргументом', 'аргумент', 'літературні_аргумент', 'міркування', 'дискусійний_клуб', 'логічних_аргументів', 'параметр', 'аргументи', 'логічний_аргумент', 'сперечатися', 'суперечка', 'аргументації', 'дебати', 'аргументація', 'косою_аргумент', 'політичні_дебати', 'суперечки', 'оспорювання', 'теорії_аргументації']
art	образотворче	Found close match: ['образотворчі_мистецтва', 'образотворчих_мистецтв', 'образотворче_мистецтво']	['станкова_графіка', 'agrp', 'художня_творчість', 'арти́кль', 'агутизвязаний_пептид', 'художня', 'художнє_виробництво', 'витвір_мистецтва', 'beaux_arts_архітектури', 'прекрасний_художник', 'дні', 'art', 'beauxarts_архітектури', 'графік', 'нетекстових_питання', 'образотворче_мистецтво', 'beaux_arts', 'родівник', 'графіка', 'бозар', 'myst', 'художньої', 'артикль', 'арт', 'доблесть', 'beauxarts_стилі', 'артистизм', 'художнього_вираження', 'статті', 'образотворчих_мистецтв', 'мистецтво', 'образотворчі_мистецтва', 'artn', 'мистецтва']
attitude	ставлення	Match	['поведінка', 'соціальної_поведінки', 'attitude', 'тенденція', 'ейлерові_кути', 'ста́влення', 'установка', 'неправильне_передлежання', 'негідну_поведінку', 'соціальна_поведінка', 'біхевіоризм', 'кути_ейлера', 'справи', 'відношення', 'поза', 'кінематичні_рівняння_ейлера', 'настанова', 'нестримної', 'поведінки', 'reload', 'орієнтації', 'атитюд', 'ставлення', 'поведінці', 'психологічний_настрій', 'просторової_орієнтації', 'поведі́нка', 'поведінкові', 'постава', 'поведінку']
bag	рюкзака	Incorrect	['укра́сти', 'старий_мішок', 'мішок', 'сумка', 'вимя', 'мультимножина', 'сви́снути', 'мультимножини', 'ви́мя', 'дорожня_сумка', 'сумочка', 'чемодан', 'кофр', 'то́рба', 'спи́здити', 'су́мка', 'украсти', 'валі́за', 'валізу', 'валі́зка', 'валіза', 'паперовий_мішок', 'торба', 'вимені', 'сумки', 'сумку', 'поцу́пити', 'чашкою_чаю', 'красти', 'мультімножество', 'кра́сти', 'мішо́к', 'пластикову_сумку', 'чемода́н']
ball	кидку	Incorrect	['тест', 'мушкета_мяча', 'сімяні_міхурці', 'сімяні_залози', 'сімяники', 'страйк_зони', 'страйк', 'сімяниxadк', 'мяч', 'сімяник', 'футбол', 'бал', 'ядро́', 'кулька', 'опу́ка', 'ballock', 'люсіль_болл', 'тенісний_мяч', 'кулі', 'сім’яники', 'яєчка', 'забійна_дія', 'дурниця', 'футбольний_мяч', 'забійна_дія_кулі', '❍', 'яє́чко', 'яєчки', 'кулясті', 'яєчко', 'ball', 'сферична_поверхня', 'куля', 'сфера', '2сфері', 'lucille_ball', 'сфе́ра', 'john_ball']
