all	todos	Match	['leucemia_linfatica_aguda', 'totalmente', 'cabalmente', 'clausura_universal', 'leucemia_linfoblástica', 'todo', 'completamente', 'leucemia_linfoblastica_aguda', 'hints_allegations_and_things_left_unsaid', 'cuantificación_universal', 'leucemia_linfoide_aguda', 'lla', 'por_completo', 'proverbios_españoles', 'leucemia_linfocítica_aguda', 'todos', 'cuantificador_universal', '∀', 'all', 'leucemia_linfática_aguda', 'para_todo', 'hints_allegations__things_left_unsaid', 'para_cada', 'leucemia_linfoblástica_aguda', 'enteramente', 'todas', 'bcr', 'toda']
and	y	Match	['compuertas_logicas', 'puerta_si', 'sehun', 'la_puerta_lógica', 'lógica_discreta', 'puerta_logicas', 'puertas_lógicas', 'xnor', 'conjunción', 'puerta_lógica_not', 'and_lógico', 'oh_sehun', 'y', 'puerta_logica_not', 'armed_and_dangerous', 'compuerta_lógica', 'compuerta_logica', 'not', 'nand', 'conjunción_lógica', 'if', 'and_logico', 'puerta_logica', 'circuito_lógico', '∧', 'puerta_lógica', 'conjuncion_lógica', 'and', 'compuertas_lógicas', 'esposo_de_baek', 'esposo_de_luhan']
animal	animal	Match	['animalada', 'metazoos', 'macrofauna', 'fauna', 'joseph_laurinaitis', 'sensual', 'animales_salvajes', 'animal', 'epifauna', 'animales', 'wasp', 'ser_animado', 'res', 'el_reino_animal', 'animalia', 'criatura', 'stephen', 'reino_animalia', 'metazoo', 'w_a_sp', 'reproducción_animal', 'bestia', 'el_animal', 'w_asp', 'w_a_s_p', 'vida_animal', 'animal__an_international_journal_of_animal_bioscience', 'metazoario', 'metazoarios', 'road_warrior_animal', 'metazoa', 'far_east_movement', 'vegetal', 'carnal', 'infauna', 'reality_check', 'reino_animal']
ashes	cenizas	Match	['the_perfect_element_part_i', 'cenizas', 'post_mortem', 'the_ashes', 'ashes']
at	en	Not found	[]
back	volver	Match	['backfield', 'parte_de_atrás', 'anticuado', 'encuadernación_de_libros', 'hacer_volver', 'endosar', 'columna_vertebral', 'back', 'encuadernación', '백', 'reverso', 'sostener', 'centro_fuera', 'espinazo', 'posición_en_rugby_a_15', 'segundar', 'trasero', 'arriesgar', 'del_respaldo', 'medio_centro', 'respaldar', 'defensa_lateral', 'volver', 'defensa_central', 'medio_apertura', 'aprobar', 'prop_tighthead', 'vertebrales', 'envés', 'bai', 'espaldar', 'dorso', 'centro_de_la_espalda', 'apoyar', 'ayudar', 'zaguero_central', 'aventurar', 'en_respuesta', 'regreso', 'secundar', 'de_atrás', 'defensor', 'trasera', 'espalda', 'vértebras', 'defensa', 'de_vuelta', 'lomo', 'retroceder', 'raquis', 'interior_del_centro', 'fondo', 'espina_dorsal', 'respaldo', 'columna_vertebralis', 'rosario', 'parte_trasera', 'marcador_central', 'cubierta', 'back_lewis', 'como_contestación', 'lateral_izquierdo', 'irdar_marcha_atrás', 'marcador_de_punta', 'lateral_derecho', 'portada', 'atrás', 'revés', 'posterior', 'tapa', 'hacia_atrás', 'posición_de_rugby_a_15', 'apertura', 'marcador', 'invertir', 'zaguero']
bad	mal	Match	['gran', 'chungo', 'carcomido', 'maldad', 'base_aerea_barksdale', 'arriesgado', 'barksdale_air_force_base', 'malos', 'malvado', 'el_mal', 'malo', 'grande', 'base_de_la_fuerza_aérea_barksdale', 'podrido', 'malas', 'terrible', 'royce_da_59', 'fuerte', 'inmoral', 'big_audio_dynamite_ii', 'deteriorado', 'bad', 'malignidad', 'inseguro', 'perjudicial', 'big_audio', 'falso', 'base_aérea_barksdale', 'barksdale_afb', 'malamente', 'mal', 'estropeado', 'bad_world_tour', 'falsificado', 'base_de_la_fuerza_aerea_barksdale', 'big_audio_dynamite', 'grandemente', 'ryan_montgomery', 'mala', 'forjado', 'descompuesto', 'bcl2promotor_asociado_a_la_muerte']
bark	troncos	Incorrect	['il_2_type_3', 'ritidoma', 'ilyushin_2', 'il2t', 'il2m', 'ladrar', 'ilyushin_il_2_sturmovik', 'il2i', 'ilyushin_il2_il2m3', 'ladrería', 'sturmovik', 'guau', 'ilyushin_il2_shturmovik', 'il2_sturmovik', 'corteza', 'iliouchine_il_2_sturmovik', 'barca', 'pelar', 'il_2_sturmovik', 'ilyushin_il2_sturmovik', 'velero_de_tres_mástiles', 'ladra', 'il2_shturmovik', 'il2_type_3', 'velero_de_cuatro_mástiles', 'bark', 'shturmovik', 'bricbarca', 'il_2i', 'iliouchine_il2_sturmovik', 'peridermis', 'il_2m', 'descortezar', 'ilyushin_il_2', 'il_2t', 'ilyushin_il2', 'il_2_shturmovik', 'ladrido', 'ladreria', 'ilyushin_il_2_shturmovik', 'corteza_de_árbol']
because	porque	Match	['porque', 'because', 'ya_que']
belly	vientre	Match	['abdomen_humano', 'bulto', 'vientre', 'abdominal', 'guata', 'abdominales', 'estómago', 'belly', 'abdomen', 'músculos_abdominales', 'tripa', 'tronco', 'barriga', 'panza']
