all	всички	Match	['универсална_квантор', 'напълно', 'изцяло', 'all', 'всичко', 'всички', 'универсален_количествено', 'остра_лимфоцитна_левкемия', 'универсален_закриване', 'съвсем', 'остра_лимфобластна_левкемия']
and	и	Not found	[]
animal	животни	Match	['животинска', 'animal', 'epifauna', 'фа́уна', 'създание', 'wasp', 'видове', 'animalia', 'животинския_свят', 'животински_свят', 'животно', 'животни', 'животински', 'животните', 'уасп', 'metazoans', 'животното', 'животинско_възпроизводство', 'фауна', 'metazoa', 'far_east_movement', 'чувствен', 'анимирате_е', 'растение', 'макрофауна', 'infauna', 'reality_check']
ashes	гробищата	Incorrect	['пепелта', 'post_mortem', 'пепел', 'ashes']
at	където	Not found	[]
back	обратно	Match	['подвързия', 'защитник', 'кръст', 'задна_част', 'заден', 'одобря', 'back', 'извън_центъра', '백', 'rachis', 'гръбнак', 'централен_защитник', 'на_стълб', 'вътрешната_страна_центъра', 'муха_половината', 'tighthead_предложение', 'облегалката', 'гръб', 'книговезки', 'прешлените', 'одобрявам', 'flyhalf', 'обратно', 'десен_бек', 'назад', 'ляв_бек', 'наза́д', 'обра́тно', 'гръбначния_стълб', 'подкрепят', 'гръбначния', 'гръбначни_стълбове', 'подкрепям', 'опако', 'гърба', 'подкрепя', 'гръбначен_стълб']
bad	лошо	Match	['злина', 'лоша', 'лошотията', 'лошо', 'big_audio_dynamite', 'royce_da_59', 'bad', 'прогнил', 'кофти', 'злото', 'лош', 'зле', 'развален', 'bcl2свързаната_смърт_промоутър', 'гнил', 'зло', 'bad_world_tour']
bark	дървесината	Incorrect	['излая', 'лая', 'bark', 'лай', 'periderm', 'кора_на_дърво', 'ил2', 'барк', 'barque', 'лаят', 'кора', 'ла́я', 'кора́', 'излайвам']
because	защото	Match	['because', 'поради', 'тъй_като', 'защото', 'понеже']
belly	краката	Incorrect	['тумбак', 'кючек', 'корем', 'коремче', 'абдомен', 'коре́м', 'belly', 'коремните_мускули', 'корема', 'шкембе']
big	„големият	Found close match: ['големи']	['bjarke_ingels_group', 'баланс', 'едър', 'тялото', 'голямо', 'big', 'голям', 'голяма', 'stypsis', 'големи', 'minerality', 'биг', 'плодове', 'възрастен', 'norm_nixon', 'пълнолетен']
bird	птици	Match	['yardbird_паркър', 'освирквам', 'mikuni_shimokawa', 'charlier_parker', 'птица', 'момиче', 'нощуване', 'aves', 'avafauna', 'птици', 'перце', 'марихуана', 'чарли_паркър', 'charlie_parker', 'маце', 'бърд', 'bird', 'птиче', 'птичка', 'чарлз_кристофър_паркър', 'фу́ста', 'razzing', 'бронкс_развесели', 'бадминтон', 'пръст', 'мацка', 'среден_пръст', 'бърд_паркър']
bite	захапване	Found close match: ['ухапване', 'захапвам', 'ухапвания']	['жиля', 'острота', 'закуска', 'ухапване_от_насекомо', 'ухапвания', 'ужилвам', 'захапя', 'загарям', 'хапка', 'ухапване_от_насекоми', 'стивън_хасан', 'захапвам', 'ухапване', 'отха́пвам', 'остър', 'ухапя', 'двуспецифичен_тклетъчен_engager', 'ужиля', 'ужилване', 'chomp', 'изгарям', 'разпределяне', 'изгоря', 'пикантни', 'steven_hassan', 'хапе', 'пикантен', 'хапя', 'ухапвам']
black	черни	Match	['цвят', 'черно_човек', 'не́гърка', 'шърли_темпъл', 'испанци', 'негър', 'терена_чернота', 'final_fight_3', 'черен_мъж', 'цветоусещане', 'уайт', 'черна', 'джоузеф_блек', 'black', 'черно_жена', 'тъмнина', 'черен', 'срамен', 'негри', 'позорен', 'черни', 'shirley_temple', 'почернявам', 'не́гър', 'черни_жени', 'lightlessness', 'negroids', 'бяла', 'науката_за_цветовете', 'други_раси', 'мрак', 'final_fight', 'taio_cruz', 'чернокож', 'меджик_дъ_гедъринг', 'долен', 'черно_мъж', 'planeswalker', 'че́рен', 'kari_kimmel', 'латино', 'чернокожи_хора', 'черно', 'шърли_темпъл_black', 'черно_африка', 'цветове', 'пълен_мрак', 'inkiness', 'блек', 'негроид', 'magic_the_gathering', 'колин_върнкомб', 'африкански_произход', 'черен_цвят', 'joseph_black']
blood	кръвта	Match	['кислород_кръв', 'развратник', 'blood', 'генетичното_наследство', 'вино_бордо', 'бордо', 'кръвния_поток', 'кръв_линия', 'кръвта', 'потомство', 'кръв', 'наследственост', 'женкар', 'vs', 'човешка_кръв', 'persistence_of_time', 'хематологични', 'биологичното_наследство', 'collective_soul', 'потекло', 'произход', 'the_black_parade', 'кръвна_линия', 'бордо_вино', 'род', 'getting_away_with_murder', 'наследствеността']
blow	ударила	Found close match: ['удар']	['пилея', 'прахосам', 'носа_бонбони', 'удар', 'изхарча', 'похвалвам_се', 'ве́я', 'изхарчвам', 'хваля_се', 'ду́хам', 'нося_се', 'blow', 'спънка', 'прахосвам', 'дрейфувам', 'пропилявам', 'похваля_се', 'несполука', 'пропилея', 'порив']
bone	кости	Match	['светлокремав', 'костната_тъкан', 'обезкостявам', 'назубрям', 'уча', 'кост', 'обезкостя', 'костен', 'назубря', 'def_jam_recordings', 'зубря', 'кокал', 'bone', 'слонова_кост', 'кости']
breast	гърдата	Match	['бюстпаметник', 'цици', 'торакс', 'гръдни', 'цицка', 'пазва', 'pectus', 'гръдна_клетка', 'бяло_месо', 'карцином_на_гърдата', 'тити', 'гърдата', 'рак_на_гърдата', 'ци́ца', 'гръд', 'гръдния_кош', 'цица', 'the_breast', 'гръден_кош', 'thorax', 'гърди', 'бюст', 'гърда', 'гърдите']
breathe	диша	Match	['отпочивам', 'дишай', 'kristof_konrad', 'time', 'отпочина', 'отдъхвам', 'breathe', 'отморя', 'the_dark_side_of_the_moon', 'дишам', 'диша', 'почивам', 'отморявам', 'релаксирам', 'dark_side_of_the_moon', 'отдъхна', 'iempire', 'funeral_for_yesterday', 'a_class']
burn	изгори	Match	['fc_dallas', 'слънчево_изгаряне', 'горя́', 'огън', 'пламенен', 'горят_марки', 'втора_степен_изгаряне', 'загарям', 'гори', 'обгарям', 'горя', 'речно_корито', 'burn', 'ручей', 'водоток', 'пожари', 'тен', 'пла́мък', 'загар', 'еритема_solare', 'трета_степен_изгаряния', 'поток', 'изгарям', 'изгори', 'пожа́р', 'изгоря', 'ruisseau', 'изгаряне', 'фк_далас', 'изга́рям', 'прекъсващ_поток', 'пламък', 'потоци', 'пожар', 'изгаряния_трета_степен', 'воден_поток']
child	дете	Match	['ученици', 'детство', 'щерка', 'рожба', 'хлапе́', 'предварително_космат', 'дъщеря́', 'дъщеря', 'незначителен', 'деца', 'младеж', 'lenfant', 'дете', 'малко_детенце', 'дъщери', 'непълнолетни']
cloud	облака	Found close match: ['облак', 'о́блак', 'облаци']	['о́блак', 'облаци', 'kiba', 'cloud_хостинг', 'рояк', 'облачност', 'прикривам', 'публичен_облак', 'рибен_пасаж', 'клауд', 'облачен_компютинг', 'cloud_computing', 'образуване_на_облаци', 'забулвам', 'cloud_strife', 'cloud', 'облачна_услуга', 'инфраструктура_като_услуга', 'забуля', 'изчислителни_облаци', 'технологии_в_облак', 'изчисления_в_облак', 'облачни_услуги', 'облак', 'прикрия', 'облачни_изчисления', 'пасаж', 'клауд_компютинг']
cold	студена	Match	['настинки', 'настинка', 'ниска_температура', 'недружелюбен', 'студен', 'хладнокръвен', 'риновироза', 'хронична_обструктивна_белодробна_болест', 'фригиден', 'никол_шерзингер', 'студе́н', 'хладен', 'студено', 'простуда', 'обикновена_настинка', 'хобб', 'неприветлив', 'безчувствен', 'cold', 'craig_david', 'хлад', 'риновирусна_инфекция', 'назофарингит', 'никол_шерцингер', 'емфизема', 'студенина', 'nicole_scherzinger', 'хроничен_бронхит', 'студена', 'студ']
come	дойдат	Incorrect	['удари', 'правя', 'хайде', 'сперма', 'ела', 'се́ме', 'идват', 'достигам', 'семенна_течност', 'достигне', 'спе́рма', 'явявам_се', 'семенната_течност', 'come', 'пристигам', 'пристигне', 'заедно_с', 'изхвърлям']
correct	правилно	Match	['критикувам_остро', 'коригирам', 'верен', 'наказвам_строго', 'прав', 'приравнявам', 'правилно', 'регулирам', 'настроя', 'настройвам', 'наглася', 'правилен', 'коригира', 'нагласявам']
count	бройх	Found close match: ['брой', 'броя', 'брои']	['преброяване', 'разгледа', 'тежа', 'броя', 'графиня', 'бройни_системи', 'граф_монте_кристо', 'номерация', 'изброен_тип', 'брои', 'jarl', 'countship', 'earls', 'графовете', 'бро́я', 'пълен_брой', 'знача', 'брой', 'списък', 'sql', 'имам_значение', 'изброяване', 'графство', 'comital', 'comtesse', 'позиционна_бройна_система', 'значение', 'бройна_система', 'спи́сък', 'граф']
cut	отрязаните	Found close match: ['рязане', 'нарязани']	['разредя', 'обработка_на_скъпоценни_камъни', 'намаление', 'монтажист', 'презрение', 'cut', 'филм_редакция', 'сека', 'ранявайки', 'разреждам', 'снижавам', 'съкращение', 'дял', 'стоп', 'намаля', 'разрез', 'част', 'справя_се', 'монтаж', 'понижа', 'цензурата', 'бейзбол_люлка', 'централна_unica_дос_trabalhadores', 'дълбока_рана', 'нарязани', 'разкъсвания', 'нараняване', 'ре́жа', 'рязане', 'изкопи_и_насипи', 'цензу́ра', 'съкращавам', 'снижа', 'открит_нарязан', 'разфасовка_от_месо', 'режа', 'намали', 'справям_се', 'песен', 'изрязвам', 'намалявам', 'цензура_на_пресата', 'отворена_рана', 'цензурирани', 'рана', 'понижавам', 'студена_рамото', 'кройка', 'цензура', 'режи', 'съкратя', 'разсичам', 'рани']
day	ден	Match	['ден', 'деноно́щие', 'слънчево_време', 'на', 'ясно_слънчево_време', 'злокобен_ден', '24часов_интервал', 'ден_на_кларънс_шепърд_младши', 'денонощие', 'clarence_day', 'деня', 'day', 'двадесет_и_четири_часов_период', 'слънчева_дни', 'денем', 'денят', 'средното_слънчево_ден', 'кларънс_ден', 'дни', 'продължителност_на_деня']
die	берлихинген	Incorrect	['зар', 'умре', 'помътнявам', 'починали', 'кончина', 'развалям', 'умират', 'смърт', 'почивам', 'зара', 'издъхвам', 'преждевременна_смърт', 'заредени_зарове', 'разбивам', 'издъхна', 'умирай', 'многостенни_зарове', 'помътнея', 'умри', 'умра', 'умирам', 'die', 'зарове', 'почина']
dig	изкопаят	Found close match: ['копая', 'изкопаване']	['археологически_разкопки', 'ри́я', 'разбере', 'дълбая', 'археологически_обект', 'копая', 'разкопавам', 'разби́рам', 'подигравка', 'разкопки', 'ровя', 'dig', 'изкопаване']
dirty	мръсно	Match	['l3_кеш', 'dirrty', 'кешпамет', 'почвата', 'мръсни', 'мръсно', 'l2_кеш', 'изца́пан', 'кеш_мис', 'мръсна', 'кеш_паметта', 'инструкция_кеш', 'запис_чрез', 'запас', 'кеширане', 'dirty', 'кеш_памет', 'кеш', 'неприличен', 'кеш_на_централния_процесор', 'l1_кеш', 'underworld', 'мръ́сен', 'мръсен', 'нечестен', 'кеш_на_оперативната_памет', 'земя́', 'процесорен_кеш', 'почва', 'почви', 'мръсотия', 'земя', 'кеш_линия', 'нечист', 'по́чва', 'нецензурен', 'пръст', 'изцапан', 'замърсен']
dog	куче	Match	['ограничител', 'wienerwurst', 'грозница', 'домашно_куче', 'хот_дог', 'гоня', 'firedog', 'familiaris', 'пес', 'кучета', 'псе', 'кучето', 'canis_familiaris', 'кренвирш', 'куче_месо', 'куче', 'палец', 'кучеви', 'повлекана', 'canids', 'хотдога', 'куче_желязо', 'лупус_familiaris', 'дог', 'canidae', 'd0g', 'семейство_canidae', 'duck_hunt', 'преследвам', 'canis_lupus_familiaris', 'andiron', 'кучка', 'кучешко_месо', 'домашни_кучета', 'грозотия', 'мошеник', 'домашното_куче', 'хотдог']
drink	напитки	Match	['гълтане', 'алкохолни_напитки', 'годен_за_пиене', 'напитки', 'boozing', 'питие', 'преглъщане', 'питие́', 'пия', 'lil_jon', 'напитка', 'пие', 'пийте', 'пи́я', 'пиене', 'пий', 'лил_джон', 'напи́тка', 'пиянство']
dry	прохладен	Incorrect	['баланс', 'привърженик_на_сухия_режим', 'тялото', 'изсушавам', 'суха', 'dry', 'сухи', 'сухо', 'суша', 'stypsis', 'minerality', 'плодове', 'изсъхне', 'сух']
dull	жълтеникаво	Not found	[]
dust	прах	Match	['фенциклидин', 'разпилея', 'разпръсквам', 'babylon_5', 'orange_pekoe', 'отломки', 'вавилон_5', 'прах', 'висококачествен_черен_чай', 'развалини', 'прашина', 'разнасям', 'атмосферен_прах', 'оранжево_pekoe', 'бърша_прах', 'fannings', 'разпилявам', 'ангелски_прах', 'pekoe', 'баластра', 'разпръскам', 'фенциклидин_хидрохлорид', 'dust', 'разнеса']
ear	ноздрите	Incorrect	['уши', 'ушите', 'ушната_мида', 'вътрешно_ухо', 'ушна́_ми́да', 'връх', 'човешкото_ухо', 'ухото_разлагане', 'ухото', 'ухо', 'клас', 'pinnae']
earth	планетата	Found close match: ['синята_планета']	['земен', 'brontitall', 'синята_планета', 'земята', 'солидна_основа', 'суша', 'земно_кълбо', 'saiyan', 'света', 'golgafrincham', 'свят', 'sonic_the_hedgehog', 'dragon_ball', 'заземявам', '♁', 'земно', 'земното_загриженост', 'околоземна_орбита', '⊕', 'earth', 'сушата', 'andrómeda', 'lamuella', 'земна_ос', 'земна_маса', 'електрически_земята', 'magrathea', 'андромеда', 'krikkit', 'земя́', 'заземяване', 'milliways', 'земя', 'гея', 'светски_загриженост', 'ace_combat']
eat	изядат	Incorrect	['яжте', 'яж', 'ядене', 'храня́', 'храня_се', 'ям', 'eat', 'хранене']
egg	яйца	Match	['цел_phasmatodea', 'отворен_модел_за_връзка_между_мрежови_системи', 'кокоше_яйце', 'семенници', 'елипса', 'osi', 'модела_osi', 'яйцеклетките', 'яйцеклетки', 'цел_phasmida', 'мъди', 'ташак', 'тестис', 'яйцето', 'ballock', 'egg', 'яйцеклетка', 'глупости', 'производство_на_яйца', 'яйца', 'овален', 'топки', 'teste', 'phasmida', 'гнида', 'яйце', 'phasmatodea', 'тестисите', 'osi_модел', 'семенник', 'пръчици', 'тестиси', 'овал', 'слабини', 'елиптични']
eye	очите	Match	['eye', 'зрителен_орган', 'окулус', 'очна_ябълка', 'око', 'окото', 'пъпки', 'пъпка', 'очите', 'център', 'the_eye', 'ухо', 'окули', 'eyewall', 'очи', 'оптичен', 'oculus', 'средата']
fall	есента	Match	['намаляват', 'полумрак', 'падане', 'залеза_и_изгрева', 'капитулация', 'здрач', 'сумрак', 'падам', 'слизащата', 'падна', 'наклон', 'намаля', 'natalia_lesz', 'астрономическия_полумрак', 'падението_на_човека', 'the_fall', 'спадна', 'западане', 'evenfall', 'свечеряване', 'есента', 'падането_на_нощта', 'crepuscle', 'след', 'gloam', 'су́мрак', 'привечер', 'е́сен', 'падне', 'упадък', 'падат', 'намалявам', 'па́дам', 'crepuscule', 'спадам', 'есен', 'предаване', 'надвечер', 'нанадолнище', 'склон']
far	далеч	Not found	[]
fat	тлъсто	Found close match: ['тлъстина', 'тялото', 'тлъстина́']	['липиди', 'дебела', 'лой', 'тлъстина́', 'липид', 'мазнина́', 'glycerolipid', 'таблица_за_разположението_на_файловете', 'lipide', 'триацилглицерид', 'баланс', 'мастната', 'дебел', 'пълнота', 'stypsis', 'мазнина', 'fat', 'тялото', 'наднормено_тегло', 'пълен', 'тлъстина', 'minerality', 'lipoid', 'fat32', 'adiposis', 'сало', 'триглицерид', 'мазнини', 'дебели', 'плодове', 'мастна_тъкан', 'мастната_тъкан']
father	баща	Match	['отец_на_църквата', 'мъжки_родител', 'отци_на_църквата', 'предприемачески', 'биологичен_баща', 'отец', 'католически_свещеници', 'бог', 'свещеник', 'бащата_на_църквата', 'създател', 'предприемачеството', 'съосновател', 'begetter', 'родител', 'предприемаческия_дух', 'отецбог', 'католически_свещеник', 'предприемаческа_дейност', 'баща́', 'основател', 'татко', 'предприемачество', 'доктор_на_църквата', 'father', 'сериен_предприемач', 'баща', 'предприемач', 'the_gift', 'учител_на_църквата', 'предприемачи', 'родоначалник', 'бог_отец', 'учители_на_църквата', 'тате', 'римски_католически_свещеник', 'та́тко', 'за', 'църквата_отец']
fear	страх	Match	['страхопочитание', 'inside_out', 'страхове', 'безпокойство', 'плаша_се', 'уплаха', 'боя_се', 'мерилиън', 'притеснение', 'страхуват', 'благоговение', 'боязън', 'опасение', 'шубе_ме_е', 'тревога', 'страхувам_се', 'грижа', 'шубе', 'marillion', 'ужасявам_се', 'страх', 'fear', 'отвътре_навън', 'фиър']
feather	препаска	Incorrect	['barbule', 'перушина', 'пера', 'перо̀', 'оперение', 'filoplume', 'перо', 'перце']
few	няколко	Match	['малцина', 'количество', 'няколко', 'малко']
fight	битка	Match	['сражение', 'борба́', 'ангажимент', 'борба', 'сраже́ние', 'боря́_се', 'конфликт', 'борбата', 'схватки', 'би́тка', 'противопостави', 'бия_се', 'битки', 'бой', 'битка', 'сбиване', 'бори', 'въоръжена_борба', 'би́я_се', 'конкурентоспособността', 'бойна_подготовка', 'fight']
fingernail	лапички	Incorrect	['но́кът', 'ноктите', 'нокти', 'нокътя', 'нокът']
fire	пожар	Match	['нападка', 'огън', 'огнище', 'пламенен', 'освободя', 'emerson_lake__palmer', 'стрелям', 'усърдие', 'изстрелвам', 'жар', 'heartbreak_on_hold', 'атака', 'kelis_was_here', 'fire', 'страст', 'пожари', 'emerson_lake_and_palmer', 'anarchy', 'голям_пожар', 'леона_люис', 'предизвиквам', 'пла́мък', 'предизвикам', 'ревност', 'освобождавам', 'емерсън_лейк_енд_палмър', 'емерсън_лейк__палмър', 'пожа́р', 'камина', 'подстрекавам', 'леона_луис', 'firejericho', 'провокирам', 'уволнявам', 'изга́рям', 'въодушевление', 'уволня́вам', 'fervidness', 'leona_lewis', 'пламък', 'camp_rock_2_the_final_jam', 'лиона_люис', 'пожар', 'tina_barrett', 'събуждам', 'elp', 'изстрелям', 'плам', 'ентусиазъм', 'lets_cheers_to_this', 'уволня']
fish	риба	Match	['рибка', 'fish', 'дерек_уилям_дик_—_фиш', 'фиш', 'видове_риби', 'ихтиофауна', 'рибки', 'риба', 'ловя_риба', 'pisces', 'pterygiophore', 'храна_риба', 'гледай_си_работата', 'отиди_риба', 'дребна_рибка', 'риби', 'дерек_уилям_дик', 'риби_рибите', 'phish', 'флуоресцентна_ин_ситу_хибридизация', 'меки_лъчи', 'fingerling', 'млада_змиорка']
five	шест	Incorrect	['петима', 'sugarcult', 'succeeder', '5', 'числото_пет', 'петица', 'cinque', 'hollywood_undead', 'малката_фийби', 'файв', 'five', 'achiever', 'пет', 'отбор_по_баскетбол']
float	изплуват	Not found	[]
flow	потока	Found close match: ['поток', 'проторап', 'потока_мрежа']	['менструация', 'тека', 'хидравлично', 'хидравлика', 'хидравлични', 'постоянен_поток', 'менструа́ция', 'dynamicist_течност', 'хидродинамични', 'рапиране', 'мензис', 'обемния_дебит', 'механика_на_флуидите', 'рап', 'обемния_поток', 'течност_физика', 'динамиката_на_флуидите', 'young_money_entertainment', 'увеличаване_път', 'gravity_recovery_and_interior_laboratory', 'florent_mothe', 'рапър', 'flow', 'механиката_на_флуидите', 'emceeing', 'менструацията', 'рапъри', 'поток', 'течаща', 'рап_изпълнител', 'потока_мрежа', 'проторап', 'течение', 'скоростта_на_потока', 'ход', 'мрежата', 'хидравлично_налягане', 'дебит']
flower	цветчета	Found close match: ['цвете', 'цве́те', 'цветове']	['play', 'relient_k', 'цъфвам', 'цвят', 'gackt', 'цветя', 'flower', 'цвете', 'разцвет', 'цъфтене', 'пъпки', 'цъфтя', 'цъфтеж', 'цве́те', 'набор_плодове', 'бамби', 'bambi', 'цветове', 'гакт_камуи', 'гакт', 'epicuticular_восък']
fly	лети	Match	['dipterans', 'муха', 'блесна́', 'шлиц', 'ciara', 'бътерфла́й', 'лети_лист', 'двукрили', 'мухи', 'diptera', 'двукрили_насекоми', 'истинските_мухи', 'избягвам', 'бягам', 'rainfly', 'дюкян', 'лети', 'полети', 'литна', 'бътерфлай', 'лети_пред', 'летя', 'хвърча', 'цепка', 'fly', 'лети_топката', 'сиара', 'хвръкна', 'палатка_клапа', 'палатка_муха']
fog	мъгла	Match	['мъгла', 'обърканост', 'забулвам', 'мрак', 'мъглявост', 'неяснота', 'прикривам', 'прикрия', 'забуля', 'мъгла_земята', 'мъгла́']
