ability	{'sobivus', 'oskus', 'võime', 'sobivustesti'}
accomplished	{'meisterlik'}
all	{'ägeda_lümfoblastse_leukeemia', 'üldisuskvantor', 'täielikult', 'täiesti', 'albenga_lennujaam', "villanova_d'albenga_clemente_panero_lennujaam", "villanova_d'albenga_clemente_panero_rahvusvaheline_lennujaam", 'aeroporto_di_albenga', 'universaalne_kvantor', 'kõik', 'universaalne_sulgemise', 'äge_lümfoidne_leukeemia', 'universaalteenuse_kvantitatiivne', 'all'}
and	{'loogiline_koos', 'loogiline_värav', 'ning', 'and', 'loogikaventiil', 'loogiline_korrutamine', 'loogikalüli', 'loogikaelement', 'loogikavärav', 'konjunktsioon', 'loogika_circuit', 'loogikalülituste', 'armed_and_dangerous', 'diskreetse_loogika', 'loogikalülituse', 'loogika_väravad'}
angry	{'angriness', 'vihane', 'press_to_play', 'mad_season', 'viha', 'kay_starr'}
animal	{'fauna', 'w.a.s.p.', 'animalia', 'elukas', 'loomade', 'epifauna', 'tüübile', 'loomsed_organismid', 'loomastik', 'olend', 'metazoans', 'infaunast', 'animal', 'loomariik', 'loomad', 'loom', 'metazoa', 'epifaunal', 'loomade_paljunemine', 'loomade_elu', 'liikuv_olevus', 'reality_check', 'makrofauna', 'far_east_movement', 'olend_tüüp'}
apartment	{'korterelamud', 'korter', 'korteri_kompleks', 'apartment', 'korterelamu', 'aed_korteri', 'mõis_plokk'}
applause	{'applause', 'plaksutamine', 'aplaus', 'handclaps', 'poolt_plaksutamine'}
argument	{'väitlus', 'arutada', 'vaidlustamise', 'argumentatsiooni_teooria', 'vastuolud', 'tegusõna_argument', 'kaldus_argument', 'vaidlus', 'argumendid', 'väites', 'mõttekäigus', 'argumente', 'kirjandus_argument', 'dispuut', 'argument', 'avaldus', 'disceptation', 'väitlemine', 'poleemikat', 'kõne_ja_arutelu', 'arutlus', 'parameeter', 'arutelu', 'muusikaline_argument', 'poliitiline_arutelu', 'arutame', 'väitlusselts', 'loogiline_argument', 'funktsiooni_argument', 'arutelu_meeskond', 'vastuoluline'}
argumentatively	set()
art	{'kunst_disain', 'kunstnik', 'kujutavad_kunstid', 'artwork', 'trahvi-art', 'trahvi_kunstnik', 'kunstilise_väljenduse', 'art', 'kaunite_kunstide', 'kunsti', 'nontextual_küsimus', 'kunstilooming', "d'ni", 'taie', 'graafika', 'kunstilisus', 'beaux-arts_stiilis', 'artikkel', 'pilt', 'kaunid_kunstid', 'kunsti-', 'agouti_seotud_peptiidi', 'kaunid_kunstid_arhitektuur', 'osavus', 'beaux-arts_arhitektuur', 'kunst'}
ashes	{'ashes', 'post_mortem'}
at	{'@', 'austria', 'bruton_on_türosiinkinaasi', 'at_emaplaat', 'kommerts-a', 'automaatkäigukast', 'toyota_coaster', 'kell_märk', 'automaatkäigukastiga', 'ätt', 'kell', 'aut', 'austria_vabariik', 'kommertsmärk', 'astaat', 'oesterreich', 'ätt-märk', 'at', 'config.sys', 'automaatne_sõita', '@-märk', 'aatomnumber_85'}
attitude	{'euleri_nurgad', 'korrarikkumiste', 'malpresentation', 'sotsiaalset_käitumist', 'käitumine', 'vaimse_hoiaku', 'ruumiline_orientatsioon', 'tendents', 'orientatsiooni', 'poos', 'asend', 'toimingud', 'suhtumine', 'lõvi', 'käitumisviis', 'attitude', 'paigutus', 'reload', 'kalduvus'}
back	{'selg', 'väljaspool_keskus', 'columna_vertebralis', 'õigus-tagasi', 'flyhalf', 'sees_keskel', 'kohe_tagasi', 'full-back', 'selgroog', 'vasakule_tagasi', 'õisikutelg', 'keskus_tagasi', 'tighthead_prop', 'kaitsja', 'vasak-tagasi', 'back', 'selgroolülid', 'raamat_siduv', 'tagasi', 'vabakaitsja', 'äärekaitsja', 'b.a.c.k.', 'kinnitada', 'selgroo', 'keskus-tagasi', 'paremkaitsja', 'sulerood', 'vasakkaitsja', 'lülisamba', 'seljatugi', '백', 'keskkaitsja'}
bad	{"royce_da_5'9", 'evilness', 'kuri', 'bad', 'bcl-2-ga_seotud_surma_edendaja', 'royce_da_5\'9"', 'kurjus', 'bcl-2-ga_seotud_surma_promootor', 'halb', 'bad_world_tour', 'kurja', 'big_audio_dynamite', 'ryan_montgomery'}
bag	{'vedaja_kott', 'plastikust_ostukott', 'varastama', 'käekott', 'paberkott', 'tass_teed', 'multisets', 'bagful', 'reisikott', 'udara', 'käekotid', 'multiset', 'kohver', 'vana_kott', 'kilekott', 'kott', 'udar'}
