ability	schopnost	Match	['aptitude', 'talent', 'schopnost', 'schopnosti']
accomplished	nastartoval	Incorrect	['splněno', 'splněna']
angry	rozzuřen	Found close match: ['rozzlobený']	['rozhněvaný', 'zlostný', 'mad_season', 'vztek', 'hněv', 'angriness', 'kay_starr', 'rozzlobený', 'naštvaná', 'naštvaný', 'press_to_play', 'zlost']
apartment	bytu	Found close match: ['byt']	['apartmán', 'bytových_domů', 'garsoniéra', 'apartmá', 'byt', 'apartment', 'kvartýr', 'bytová_jednotka', 'garsonka']
applause	potlesk	Match	['potleskem', 'potlesk', 'aplaus', 'tleskání_ruky', 'applause', 'tleskat', 'tleskání']
argument	protiargument	Found close match: ['argument', 'argumenty', 'logický_argument']	['vstupní_argument', 'hádka', 'disceptation', 'soutěžní_debata', 'logický_argument', 'prohlášení', 'linii', 'vstup_metody', 'debata', 'diskuse', 'vstup_funkce', 'literární_argumentem', 'vstupní_parametr', 'kontroverze', 'argument_metody', 'hudební_argument', 'logického_argumentu', 'spory', 'spor', 'debatní_společnost', 'politické_debaty', 'argumentace', 'argument', 'parametr_funkce', 'soutěžení', 'argumentovat', 'parametr', 'vstup', 'argumenty', 'šikmé_argument', 'kontroverzní', 'parametr_metody', 'argumentační_teorie']
art	umění	Match	['grafiky', 'beaux_arts_architektury', 'nontextual_záležitost', 'výtvarné_umění', 'fine_art', 'grafička', 'uměleckého_vyjádření', 'výtvarník', 'krásná_umění', 'umělecké_tvorby', 'art', 'statečnost', 'grafika', 'krásné_umění', 'beauxarts_stylu', 'člen', 'fineart', 'beaux_arts', 'kumšt', 'výtvarného_umění', 'určitý_člen', 'umělecké', 'grafik', 'umění', 'neurčitý_člen', 'umělecká_díla', 'grafické', 'android_runtime', 'článek', 'beauxarts_architektury', 'dni']
attitude	postoje	Found close match: ['postoj', 'postoji']	['způsoby', 'sociální_chování', 'mentální_postoj', 'poloha_těla', 'attitude', 'orientace', 'doings', 'malpresentation', 'poloha', 'sklon', 'přístup', 'vystupování', 'jednání', 'prostorové_orientace', 'náchylnost', 'reload', 'postoji', 'náklonnost', 'orientaci', 'eulerových_úhlů', 'držení_těla', 'nekontrolovatelný', 'eulerův_úhel', 'dispozice', 'baletní_terminologie_a_prvky', 'sezení', 'tendence', 'sociálního_chování', 'eulerovy_úhly', 'chování', 'nevychovanost', 'postoj']
bag	pytle	Found close match: ['pytel']	['cestovní_taška', 'šálek_čaje', 'vemene', 'bag', 'multiset', 'tašce', 'taška', 'ukrást', 'multimnožina', 'multisets', 'kufřík', 'pytel', 'krást', 'kabelky', 'kabelka', 'kufr', 'tašku', 'vak', 'stará_bába', 'vemeno', 'plná_taška', 'papírový_sáček', 'muid']
ball	míč	Match	['strajk', 'kouli', 'glob', 'tenisák', 'míč', 'ples', 'tenisový_míček', 'kulovité', 'koncentrické_koule', 'slimáka', 'varle', 'kulka', 'mušketa_koule', 'sféra', 'testes', 'mičuda', 'vejce', 'strike_zone', 'koule', 'bordel', 'povrch_koule', 'varlata', 'ballock', 'kulová_plocha', 'zóny_stávky', 'bál', 'míček', 'lucille_ballová', 'testis', 'strike', 'fotbal', 'polokulovitý', 'klubko', 'teste', 'sférická_plocha', 'vajíčko', 'testikulární', 'ball', '2koule', 'tenisový_míč', 'lucille_ball', 'john_ball']
