ability	{'כֹּשֶׁר', 'היכולת', 'יכולת\u200e', 'כּוֹחַ', 'כשרון', 'יְכֹלֶת'}
accomplished	set()
all	{'לחלוטין', 'כימות_אוניברסלי', 'לוקמיה_לימפוציטית_החריפה', 'הסגירה_האוניברסלית', 'לוקמיה_לימפובלסטית_החריפה', 'בשלמות\u200e', 'כמת_אוניברסלי', 'לְגַמְרֵי', 'לגמרי', 'לַחֲלוּטִין', 'all', 'לוקמיה_לימפוציטית_חריפה', 'כל'}
and	{'and', 'פעולת_"גם"', 'וגם', 'שער_לוגי', 'and_לוגי', 'שַׁעַר-לוֹגִי', 'היגיון_שער', 'קוניונקציה', 'armed_and_dangerous', 'שערים_לוגיים'}
angry	{'angriness', 'קיי_סטאר', 'זעם', 'mad_season', 'כּוֹעֵס', 'חימה', 'press_to_play', 'כעס', 'זוֹעֵף', 'כועס', 'סר\u200e', 'kay_starr'}
animal	{'בעל-חיים', 'פאר_איסט_מובמנט', 'w.a.s.p.', 'animalia', 'פאונה', 'מטזואה', 'בעלי־חיים', 'ממלכת_החי', 'epifauna', 'בעל_חיים', 'ניפש_להיות', 'בע"ח', 'עולם_החי', 'metazoans', 'חיות', 'animal', 'וmacrofauna', 'epifaunal', 'בעלי-חיים', 'יצור', 'החי', 'reality_check', 'בַּעַל-חַיִּים', 'חַיָּה', 'בעלי_חיים', 'infauna', 'far_east_movement', 'חיה', 'צמח', 'אנימל'}
apartment	{'!דִּירָה', 'דירת_גן', 'דִירָה\u200e', 'דירה', 'apartment', 'דירה_למגורים', 'דירות'}
applause	{'applause', 'מחיאת_כפיים', 'מחיאות_כפיים', 'מחיאה', 'מְחִיאוֹת-כַּפַּיִם', 'תְּשׁוּאוֹת', 'כַּפַּיִם', 'מחיאת_כף', 'מחיאת_כף_יד', 'תשואות', 'מחיאות_כפות'}
argument	{'טיעון_לוגי', 'מחלוקת_הלכתית', 'לדון', 'מעמת', 'שנוי_במחלוקת', 'נימוק', 'ויכוח', 'ויכוח_ספרותי', '!מַחְלקֶת', 'טקסט_טיעוני', 'תאורית_הטיעון', 'וִכּוּחַ', 'ארגומנט\u200e', 'קו_המחשבה', 'סברה', 'disceptation', 'דיבייט', 'פולמוס', 'פרמטר', 'אי-הסכמה', 'מריבה', 'ויכוח_פוליטי', 'ארגומנט', 'ויכוח\u200e', 'טיעון', 'מחלוקת', 'מועדון_ויכוחים', 'ערר', 'דיבייטינג', 'ארגומנטציה', '!טַעֲנָה', 'מתווכח', 'מחלוקות', 'מחלוקת_לשם_שמים'}
argumentatively	set()
art	{'ד_ני', 'תעוזה', 'ה"א_הידיעה', 'יצירות_אמנות', 'גרפיקה', 'יצירה_אמנותית', 'גרפי', 'אומנויות', 'ביטוי_אמנותי', 'עניין_שאינו_כתוב', 'וזאר', 'גראפיקה', 'אמנות_יפה', 'אומנות', 'מאמר', 'אמנות', 'ופפטיד_אגוטי_קשור', 'בסגנון_בוזאר', 'הפקה_אמנותית'}
ashes	{'ashes', 'post_mortem'}
