all	kaikki	Match	['koko', 'kokonaan', 'kaikkiaan', 'hints_allegations_and_things_left_unsaid', 'akuutti_lymfoblastinen_leukemia', '∀', 'akuutti_lymfaattinen_leukemia', 'universal_quantifier', 'kaikkikvanttori', 'all', 'täysin', 'kaikki', 'akuutti_lymfosyyttinen_leukemia', 'täydellisen', 'universaalikvantifiointi', 'akuutti_lymfosyyttileukemia', 'universaali_kvantisointi', 'universaalikvanttori', 'kaikillakvanttori', 'akuutti_lymfoblastileukemia', 'yleinen_sulkeminen', 'kaikille']
and	ja	Match	['portti', 'looginen_yhdessä', 'loogiset_portit', 'looginen_portti', 'logiikkaportti', 'porttipiiri', 'andpiiri', 'and', 'ja', 'notpiiri', 'konjunktio', 'armed_and_dangerous', 'orpiiri', 'logiikka_portti', 'logiikkapiirin', 'logiikkapiiri']
animal	eläinten	Match	['macrofauna', 'fauna', 'animal_science', 'eläimellinen', 'eläinkunta', 'animal', 'eläinkunnan_pääjaksot', 'kasvi', 'epifauna', 'eläintä', 'wasp', 'aistillinen', 'eläimistö', 'olento', 'elollinen_olento', 'animalia', 'elukka', 'olento_tyyppi', 'epifaunal', 'lihallinen', 'eläinten', 'metazoans', 'animoida_on', 'road_warrior_animal', 'metazoa', 'järjetön_luontokappale', 'far_east_movement', 'eläinten_lisääntyminen', 'eläimet', 'infauna', 'eläin', 'reality_check']
ashes	tuhkat	Match	['the_perfect_element_part_i', 'tuhka', 'tuhkaa', 'post_mortem', 'tuhkat', 'ashes']
at	siellä	Not found	[]
back	takaisin	Match	['vasen_takaisin', 'varustaa_selkämyksellä', 'nurja_puoli', 'varustaa_selustalla', 'selkänoja', 'takana', 'perä', 'taaksepäin', 'olla_jnk_takana', 'takaisin', 'back', 'vastaan', 'taemmaksi', '백', 'peruuttaa', 'rachis', 'ensimmäisen_viiden_kahdeksas', 'takaosa', 'selkärangan', 'taka', 'panna_peliin', 'olla_jnk_reunustama', 'noja', 'menneet', 'kannattaa', 'menneisyyteen', 'selkärangan_murtumat', 'flyhalf', 'pakki', 'flypuoli', 'nidos', 'keskustan_ulkopuolella', 'keskusback', 'vanha', 'puolustaja', 'olla_jnk_rajaama', 'puoltaa', 'taakse', 'spina_vertebralis', 'selkä', 'panna_likoon', 'selkäpuoli', 'kääntyä_vastapäivään', 'lyödä_vetoa', 'hyväksyä', 'kirjansidonta', 'olla_jkn_puolella', 'takakansi', 'takamies', 'takaisinpäin', 'panna_vaakalaudalle', 'nikamien', 'laitapuolustaja', 'vahvistaa', 'kääntöpuoli', 'tighthead_potkuri', 'kannet', 'lentää_puoli', 'aiempi', 'selusta', 'kansi', 'sidos', 'panna_pantiksi', 'takapuoli', 'riskeerata', 'antaa_tukea', 'perääntyä', 'tukea', 'columna_vertebralis', 'olla_jnk_taustalla', 'selkäranka']
bad	pahoillani	Found close match: ['pahoillaan_oleva']	['huonokuntoinen', 'paha', 'syyllisyydentuntoinen', 'riskialtis', 'royce_da_5’9″', 'haitallinen', 'royce_da_5′9″', 'mädännyt', 'pahasti', 'katuvainen', 'väärennetty', 'ilkeä', 'huono', 'vahingoittunut', 'keinotteleva', 'pilaantunut', 'vakavasti', 'kiihkeästi', 'arveluttava', 'arvoton', 'kelvoton', 'ei_terve', 'royce_da_59', 'paheellinen', 'sairas', 'big_audio_dynamite_ii', 'puutteellinen', 'pahaa', 'suuresti', 'bad', 'pahuus', 'kivulias', 'järjestämätön', 'vaikeasti', 'big_audio', 'vakava', 'karhea', 'taitamaton', 'kehno', 'kielteinen', 'epäsuotuisa', 'pilaantunut_pilalla', 'ikävä', 'heikko', 'hankala', 'vanhentunut', 'bad_world_tour', 'raju', 'pahoillaan_oleva', 'big_audio_dynamite', 'ryan_montgomery', 'mätä', 'bcl2kuolemantapauksia_promoottori', 'kovasti', 'virheellinen', 'vahingollinen', 'katteeton', 'viallinen']
bark	neulasia	Incorrect	['kuoria_puu', 'il2_šturmovik', 'tuohi', 'haukahtaa', 'kuori', 'puunkuori', 'il2', 'il2_sturmovik', 'haukunta', 'iljushin_il2', 'karjua', 'haukahdus', 'iljušin_il2', 'parkkilaiva', 'il2_shturmovik', 'ärjyä', 'bark', 'kaarna', 'iljushin_il2_shturmovik', 'parkki', 'pyrskähdys', 'haukku', 'periderm', 'iljusin_il2', 'haukkua', 'parkita', 'hauku', 'ärjäistä', 'tyrskähdys', 'äyskiä', 'puun_kuori', 'kattaa', 'kuoria', 'iljušin_il2_šturmovik']
because	koska	Match	['takia', 'because', 'koska']
belly	jalat	Incorrect	['ihmisen_vatsa', 'sisäpuoli', 'pullistaa', 'maha', 'pötsi', 'pullistua', 'pullistuma', 'vatsa', 'belly', 'alusta', 'alaosa', 'vatsan', 'ruuma', 'ihramaha', 'pallomaha', 'vatsat', 'möhömaha']
