ability	{'zdolność', 'uzdolnienie'}
accomplished	set()
all	{'totalnie', 'ostra_białaczka_limfatyczna', 'all', 'wszyscy', 'zupełnie', 'uniwersalne_zamknięcie', 'wszystek', 'ostrej_białaczki_limfoblastycznej', 'kwantyfikator_uniwersalny', 'ostra_białaczka_limfoblastyczna', 'dla_każdego', 'całkowicie', 'kwantyfikator_ogólny', 'ostra_białaczka_szpikowa', 'kwantyfikator', 'wszystkie', 'ostra_białaczka'}
and	{'bramki_logiczne', 'armed_and_dangerous', 'bramek_logicznych', 'bramka_logiczna', 'bramka_and', 'logic_gate', 'dyskretnej_logiki', 'and', 'oraz', 'iloczyn_logiczny', 'koniunkcja'}
angry	{'wściekły', 'kay_starr', 'press_to_play', 'złoszczenie_się', 'angriness', 'mad_season', 'zły', 'gniew'}
animal	{'far_*_east_movement', 'zwierzęta', 'metazoa', 'animować_bycia', 'reprodukcja_zwierzęca', 'epifauna', 'epifaunal', 'fauny', 'fauna', 'far_east_movement', 'reality_check', 'w.a.s.p.', 'metazoans', 'animalia', 'makrofauny', 'zwierząt', 'życie_zwierząt', 'zwierzę', 'infauna', 'animal', 'roślin'}
apartment	{'budynków_mieszkalnych', 'bloku', 'kompleks_apartamentów', 'apartament', 'mieszkanie', 'mieszkanie_komunalne', 'apartment'}
applause	{'applause', 'handclaps', 'oklaski', 'klaskanie', 'aplauz'}
argument	{'argumentacji', 'potyczka', 'teorii_argumentacji', 'kontrowersji', 'parametr', 'argument_liczby_zespolonej', 'linię', 'sprzeczka', 'debaty_politycznej', 'obrady', 'argumentacja', 'ukośne_argument', 'rozumowanie', 'utarczka', 'argumenty', 'argument', 'dowodzenie', 'debata', 'debaty', 'argumentując', 'starcie', 'argument_logiczny', 'argument_literacki', 'oświadczenie', 'argumentu', 'disceptation', 'kłótnia', 'debat', 'zwada', 'zakwestionowanie', 'kontrowersja'}
argumentatively	set()
art	{'grafika', 'sztuka', 'nontextual_sprawa', 'rodzajnik', 'kunszt', 'sztuk_pięknych', 'twórczość', 'funkcje_sztuki', 'dilbert', "d'ni", 'dziedziny_sztuki', 'android_runtime', 'sztuki_piękne', 'art', 'dzieło_sztuki', 'dzieł_sztuki', 'sztuki', 'waleczność', 'artykuł', 'beaux_arts', 'grafik', 'przedimek', 'grafiki', 'myst', 'sztuką', 'twórczość_artystyczna', 'beaux-arts_architektury'}
ashes	{'ashes', 'the_perfect_element,_part_i', 'post_mortem', 'the_ashes'}
at	{'config.sys', 'toyota_coaster', 'liczba_atomowa_85', 'harmonogram_zadań', 'astatu', 'austria', '@', 'małpa', 'automatyczny_napęd', 'szlak_appalachów', 'automatyczna_skrzynia_biegów', 'w', 'republika_austrii', 'na_znak', 'at', 'małpa_komputerowa', 'kip', 'oesterreich', 'astat', 'kinaza_tyrozynowa_brutona', 'baby_at'}
attitude	{'zachowanie', 'pozycji', 'styl', 'kąty_eulera', 'behawior', 'plié', 'przewinienia', 'maniery', 'terminologia_tańca_klasycznego', 'pozycja', 'predylekcja', 'adagio', 'ciągoty', 'zachowań_społecznych', 'postawa_ciała', 'stosunek', 'malpresentation', 'pique', 'tendencja', 'inklinacja', 'battement', 'nastawienie', 'manege', 'a_solo', 'nastawienie_psychiczne', 'obejście', 'skłonność', 'układ_ciała', 'zachowanie_społeczne', 'coupe_jeté', 'poza', 'attitude', 'postawie', 'orientacji_przestrzennej', 'cabriole', 'reload', 'orientacji', 'styl_bycia', 'słabość', 'pociąg', 'postawa', 'fouetté', 'rond_de_jambe', 'szalonej', 'arabeska', 'entrechat', 'orientacja', 'sposób_bycia', 'zachowanie_się', 'postawy', 'instynkt', 'pointe', 'jeté', 'poczynania', 'batterie'}
