ability	{'moć', 'talent', 'sposobnost', 'prirođena_sklonost', 'mogućnost', 'nadarenost', 'sposobnosti'}
accomplished	set()
all	{'all', 'limfatička_leukemija', 'akutna_limfatična_leukemija', 'potpuno', 'akutne_limfocitne_leukemije', 'limfocitna_leukemija', 'sve', 'uopce', 'univerzalni_kvantifikator', 'akutne_limfoblastične_leukemije', 'akutna_limfocitna_leukemija', 'univerzalna_zatvaranje'}
and	{'ni', 'armed_and_dangerous', 'logička_vrata', 'logički_sklopovi', 'xili', 'logičkih_vrata', 'and', 'nili', 'logika_vrata', 'logikom', 'ne'}
angry	{'ljut', 'press_to_play', 'ljutnja', 'angriness', 'kay_starr', 'mad_season'}
animal	{'faune', 'životinja', 'makrofaune', 'animirati_bića', 'epifaunal', 'biljaka', 'životinje', 'fauna', 'životinjski', 'životinjski_svijet', 'animalia', 'far_east_movement', 'epifauna', 'stvorenje', 'animal', 'reality_check', 'w.a.s.p.', 'metazoans', 'infauna'}
apartment	{'vrt_apartman', 'stambenoj_zgradi', 'apartment', 'vila_blok', 'stan', 'apartman', 'apartmanskom_naselju', 'blok_stanova'}
applause	{'pljȇsak', 'aplauz', 'handclaps', 'pljeskanje', 'applause', 'aplàuz', 'pljesak'}
argument	{'književni_argument', 'glagol_argument', 'argumentacije', 'parametar', 'linija_razmišljanja', 'diskusija', 'kontroverze', 'raspraviti', 'nagnute_argument', 'izjava', 'polemika', 'pobijanje', 'disceptation', 'govora_i_rasprava', 'logičkog_argumenta', 'argument', 'debata', 'obrazlaganje', 'prijepor', 'logičan_argument', 'argumentiranje', 'argumente', 'liniju', 'rasprava', 'argumentacija', 'tvrdeći', 'kontroverza', 'političke_debate', 'kontroverzi', 'dokazivanje'}
argumentatively	set()
art	{'grafički', 'umjetnost', 'član', "d'ni", 'grafike', 'junaštvo', 'grafičarka', 'grafičar', 'umjetničko_stvaralaštvo', 'grafičko_oblikovanje', 'beaux-arts_stilu', 'beaux-arts_arhitekture', 'likovnih_umjetnosti', 'umjetnica', 'fino_umjetnik', 'art', 'beaux_arts_arhitekture', 'beaux_arts', 'umjetnik', 'lijepa_umjetnost', 'nontextual_stvar', 'umijeće', 'umješnost', 'agouti_vezane_peptid', 'grafika', 'likovne_umjetnosti', 'umjetničkog_izražavanja', 'ilustracije', 'umjetnička_produkcija', 'umjetnosti', 'članak'}
ashes	{'post_mortem', 'ashes'}
at	{'at', 'österreich', 'austrija', '@', 'toyota_coaster', 'astatin', 'config.sys', 'atomski_broj_85', 'znaka', 'laoški_kip', 'na', 'automatskim_mjenjačem', 'bruton_je_tirozin_kinaze', 'automatski_mjenjač', 'oesterreich', 'republika_austrija', 'laoski_kip', 'automatski_pogon', 'astat'}
attitude	{'položaju', 'uvjerenje', 'malpresentation', 'sklonost', 'dispozicija', 'položaj', 'ponašanje', 'društvenog_ponašanja', 'težnja', 'usmjerenje', 'bijesan', 'nepodopštinu', 'orijentacija', 'prostorne_orijentacije', 'mentalni_stav', 'vladanje', 'euler_kutova', 'djela', 'ophođenje', 'društveno_ponašanje', 'attitude', 'ponašanju', 'nedolično_ponašanje', 'tendencija', 'reload', 'raspolaganja', 'stav', 'držanje', 'ponašanja', 'poza'}
back	{'ići_unatrag', 'voziti_u_rikverc', 'poleđina', 'naličje', 'kralježaka', 'b.a.c.k.', 'poduprijeti', 'tighthead_rekvizit', 'rachis', '백', 'vertebra', 'leđa', 'natrag', 'naslon_za_leđa', 'obrana', 'sekundirati', 'back', 'podupirati', 'podrži', 'columna_vertebralis', 'izvan_centra', 'voziti_unatrag', 'prvih_pet-osmi', 'podrzavaju', 'biti_u_pozadini', 'flyhalf', 'branič', 'kralješnica', 'pozadina', 'knjiga_obvezujuća', 'lijevo-natrag', 'biti_straga', 'kičmene_moždine', 'kralježnice', 'dorsum', 'unutar_centra', 'naslon', 'kralježnica', 'lijevo_natrag', 'fly-pola', 'stražnji_dio'}
bad	{'negativan', 'zloću', 'neispravnost', 'neprikladan', 'zloća', 'truo', 'pokvarenost', 'pokvaren', 'zloba', 'bad_world_tour', 'royce_da_5\'9"', 'loše', 'bad', 'big_audio_dynamite', 'slab', 'zla', 'iskvarenost', 'zlo', 'loš', 'zao', 'bcl-2-povezane_smrti_promotor'}
bag	{'kesica', 'kovčeg', 'torba_za_kupovinu', 'izbočiti_se', 'torbica', 'multisets', 'putna_torba', 'baza', 'krasti', 'bag', 'koveeg', 'kartonska_vrećica', 'taška', 'vreća', 'kesa', 'torba', 'torbu', 'stara_torba', 'vimena', 'ukrasti', 'šalica_čaja', 'kufer', 'papirnata_vrećica', 'pokrasti', 'puna_torba', 'otuđiti', 'otuđivati', 'kofer', 'vrećica', 'plastična_vrećica', 'vime', 'multiset', 'torbe', 'škarnicl'}
ball	{'tane', 'glob', 'jaja', 'tenisku_lopticu', 'gruda', 'puščanim_loptu', 'loptica', 'testisa', 'mudo', 'nogomet', 'mušketa_lopte', 'teniske_loptice', 'bal', 'teste', 'lopta', 'zrno', 'sfera', 'kugla', 'okruglasti', 'ballock', 'lucille_ball', 'jagodica', 'blok', 'nogometna_lopta', 'john_ball', 'ball', 'sjemenik', 'sjemenici', 'metak', 'grumen', 'cjevčica', 'loptu', 'štrajk_zona', 'komad', 'teniska_loptica', 'puščano_zrno', 'polukuglu', 'testis', 'testisi'}
bar	{'barline', 'bavarski', 'pub_hranu', 'patrynomic', 'sprud', 'zatvarati', 'letvica', 'patronymics', 'odvjetnička_komora', 'preča', 'pub', 'salun', 'bar', 'baru', 'advocatus', 'pult_s_hranom_i_pićem', 'šipka', 'mikrobar', 'foobar', 'točionica', 'okoliš', 'prevenciji', 'rešetka', 'pivnica', 'plićak', 'javne_kuće', 'prepriječiti', 'krčma', 'gostionica', 'petronimika', 'pub_znak', 'takt', 'kafić', 'bár', 'pub_grub', 'prognati', 'foo', 'bara', 'isključivati', 'pruga', 'pab', 'bavarski_jezik', 'ogreb', 'prečka', 'začepiti', 'salon_čuvar', 'pult', 'dotaknite_kuću', 'zakrčiti', 'pravna_struka', 'začepljivati', 'patronim', 'isključiti', 'pravni_zajednica', 'oštarija', 'mbar', 'pivovare_slavinu', 'antibari', 'letva', 'farnesoid_x_receptor', 'taverna', 'bife', 'mašina_za_pročišćavanje_pamuka', 'prevenciju', 'browning_automatska_puška', 'zabarikadirati', 'bojkotirati', 'hostelry', 'country_inn', 'patronimik', 'štand', 'beta-2_receptora', 'sandbars', 'jata', 'prevencija', 'protjerati', 'antivari', 'beta-2_adrenergičke_receptore', 'očevo', 'zatvoriti', 'blokirati', 'konoba', 'izopćiti', 'gin_mlin', 'milibara'}
bark	{'periderm', 'iljušin_il-2', 'brod_sa_tri_jarbola', 'bark', 'zalajati', 'lajati', 'otresati_se', 'izderati_se', 'izvikati_se', 'derati_se', 'kore', 'kore_drveta', 'otresti_se', 'izvikivati_se', 'kora'}
bear	{'tu-114', 'dati', 'medvjeda', 'uzeti', 'nositi', 'roditi', 'medvjed', 'porađati', 'medvjeđi', 'probavljati', 'rađati', 'podnositi', 'otrpjeti', 'ponijeti_se', 'uroditi', 'tupoljev_tu-95', 'probaviti', 'mike_brown', 'durati', 'prinijeti', 'webelos', 'pridonijeti', 'bear', 'ursidae', 'trpjeti', 'poroditi', 'poròditi', 'tu-96', 'izdržati', 'medvjedi', 'tolerirati', 'imati', 'prinositi', 'doprinositi', 'medvjeda_zajednice', 'čuvati', 'tu-95', 'sadržati', 'tupoljev_tu-96', 'davati', 'izdržavati', 'stajati', 'doprinijeti', 'držati', 'iščekivati', 'vladati_se', 'donositi', 'donijeti', 'očekivati', 'držati_se', 'sadržavati', 'obnašati', 'izdurati', 'podnašati', 'podnijeti', 'ponašati_se', 'pridonositi'}
