ability	sposobnosti	Match	['nadarjenost', 'talent', 'bistrost', 'zmožnost', 'zmožnosti', 'sposobnost', 'zmogljivost', 'sposobnosti']
accomplished	talentiran	Found close match: ['realiziran']	['doseženo', 'dokončan', 'realiziran', 'popoln']
angry	prestraši	Incorrect	['jeza', 'mad_season', 'besen', 'jezno', 'viharen', 'angriness', 'kay_starr', 'divji', 'jezen', 'press_to_play', 'jezni', 'jezna']
apartment	stanovanje	Match	['apartment', 'apartmajsko_naselje', 'stanovanjskem_bloku', 'stanovanje']
applause	občinstvo	Incorrect	['aplavz', 'aklamacija', 'applause', 'ročno_ploskanje', 'ploskanje', 'handclaps']
argument	argumentu	Found close match: ['argument', 'argumentacija', 'argumentiranje']	['polemiko', 'disceptation', 'razmišljanje', 'argumentacija', 'logična_trditev', 'utemeljitvijo', 'prerekanje', 'razprave', 'debata', 'govor_in_razprava', 'politične_razprave', 'glasbenega_argumenta', 'prepir', 'razpravljati', 'presojanje', 'sklepanje', 'razlaga', 'dokazovanje', 'spor', 'polemika', 'argument', 'utemeljitev', 'izpodbijanja', 'argumentiranje', 'polemik', 'polemike', 'parameter', 'literarna_trditev', 'logičnega_argumenta', 'izjava', 'razprava']
art	umetnosti,	Found close match: ['umetnosti', 'umetnost', 'lepe_umetnosti']	['likovna_umetnost', 'fino_umetnost', 'umetnina', 'umetnosti', 'junaštvo', 'art', 'likovno_delo', 'grafika', 'člen', 'likovne_umetnosti', 'umetnine', 'beauxarts_arhitekture', 'beaux_arts', 'vsebina_nontextual', 'umetniško_delo', 'umetniškega_izražanja', 'grafik', 'lepe_umetnosti', 'umetnica', 'umetniško_ustvarjanje', 'dni', 'umetnik', 'umetnost']
attitude	brezbrižnost	Incorrect	['vedenje', 'vladanje', 'težnja', 'besen', 'attitude', 'malpresentation', 'nagnjenost', 'vedenjske', 'eulerjevi_koti', 'odnos', 'reload', 'stališče', 'prostorsko_orientacijo', 'usmerjenost', 'položaj', 'drža', 'predsodkov', 'obnašanje', 'nagnjenje', 'odnosu', 'tendenca', 'držo', 'neprimernega_vedenja', 'poza']
bag	gumijasto	Incorrect	['torbica', 'večkratna_množica', 'torbo', 'multiset', 'bag_madžarska', 'vime', 'papirnato_vrečko', 'torbice', 'torbico', 'prevoznik_vrečko', 'polna_torba', 'multisets', 'kovček', 'stara_vreča', 'baza', 'torba', 'vrečka', 'ukrasti', 'vimena', 'vrečko', 'vreča', 'potovalna_torba', 'skodelica_čaja']
ball	žogo	Match	['plesna_zabava', 'teniško_žogico', 'gruda', 'glob', 'ples', 'moda', 'modo', 'žoga', 'teniških_žogic', 'odprta_krogla', 'jajce', 'wilfred_williams_ball', 'ballock', 'testisov', 'sfera', 'žogo', 'testis', 'stavke_cona', 'teste', 'nogomet', 'krogla', 'jajca', 'polkrogle', 'sranje', '2sferi', 'okrogla', 'ball', 'puško_žogo', 'zaprto_kroglo', 'blazinica', 'žogica', 'kepa', 'lucille_ball', 'john_ball']
bar	bar	Match	['sandbars', 'pub_hrano', 'izključiti', 'patronimik', 'pravniški_poklic', 'krčma', 'gostilno', 'cev_v_električnem_grelcu', 'taberna', 'zabarikadirati', 'mbar', 'javnih_hiš', 'milibarov', 'beta2_adrenergičnih_receptorjev', 'točilni_pult', 'taverna', 'gin_mlin', 'javna_hiša', 'ovirati', 'zapreti', 'ginmill', 'izgnati', 'patronym', 'pregnati', 'browningova_avtomatska_puška', 'proga', 'bar', 'metrum', 'barva_črte', 'obstati', 'zatesniti', 'kos', 'pivnica', 'advocatus', 'preventiva', 'pivotoč', 'bife', 'zamašiti', 'taphouse', 'gostilna', 'izvzeti', 'črta', 'pravna_stroka', 'drog', 'taproom', 'vratar_limuzina', 'objave', 'točilna_miza', 'biti', 'izključevati', 'barline', 'pub_znak', 'country_inn', 'beta2_receptorja', 'plitvina', 'pothouse', 'ukrep', 'prevencija', 'preprečevanje', 'zavirati', 'zadelati', 'bonaventure_de_bar', 'foobar', 'browning_avtomatska_puška', 'rodbinsko_ime', 'milibar', 'taktnica', 'motiti', 'antibari', 'pult', 'blokirati', 'tablica', 'bar_viniška_oblast_ukrajina', 'antivari', 'preprečitev', 'preprečiti', 'tapnite_hišo', 'vrstica', 'bár', 'baru', 'šank', 'odvrnitev', 'prodajalni_pult', 'absorbirati', 'patrynomic', 'receptorja_farnesoid_x', 'patronim', 'takt', 'barroom', 'patronymic', 'prečka', 'pravna_skupnost', 'bar_črna_gora', 'foo', 'prepovedati']
bear	špicparkeljc	Incorrect	['nositi', 'biti', 'roditi', 'medvedka', 'peljati', 'prinašati', 'mêdved', 'sprejeti', 'paul_hoffman', 'podpirati', 'podpreti', 'poviti', 'prevzeti', 'bear', 'medo', 'ursine', 'vztrajati', 'prenesti', 'dobiti', 'medved', 'webelos', 'obdelati', 'voditi', 'dopustiti', 'zadržati', 'ursidae', 'pomagati', 'rojevati', 'pričakovati_otroka', 'trpeti', 'pričakovati', 'prebivati', 'imeti', 'jemati', 'mike_brown', 'vzeti', 'pustiti', 'biti_noseč', 'obsegati', 'skupnosti_medveda', 'nosi', 'pretrpeti', 'prenašati', 'tupoljev_tu95', 'vsebovati', 'plačati', 'obnašati_se', 'vesti_se', 'vsebuje', 'medvedi', 'morati', 'medvedje', 'tolerirati', 'stati', 'medvedek', 'vzdržati', 'tu95']
beat	premagal	Match	['biti', 'glasbeni_ritem', 'beatnik', 'izčrpati', 'kvantitativno_meter', 'zmesti', 'bitje', 'prevarati', 'metrum', 'udariti', 'premagati', 'dobiti', 'presegati', 'utruditi', 'tolči', 'premagal', 'ritem', 'obhod', 'verzologija', 'izigrati', 'drhteti', 'prelisičiti', 'siteswap', 'osupiti', 'zmagati', 'biti_zmagovit', 'meter', 'offbeat', 'zbegati', 'utrip', 'mrtev', 'utripanje', 'razumeti', 'osvojiti', 'podjarmiti', 'pokoriti', 'ritmično', 'tiktakati', 'poraziti', 'bobnati', 'tepsti', 'jeziti', 'prekaniti', 'beat']
