ability	abilità	Match	['abilità', 'bravura', 'attitudine', 'predisposizione', 'numeri', 'capacità', 'facilità', 'prova_di_abilità', 'potere', 'valentia']
accomplished	eccellente	Incorrect	['compito', 'compiuta', 'compiuto', 'portato_a_termine', 'esperto']
angry	arrabbiato	Match	['furia', 'kay_starr', 'tempestoso', 'press_to_play', 'bile', 'furioso', 'arrabbiata', 'mad_season', 'ira', 'collera', 'iroso', 'arrabbiato', 'violento', 'infiammato', 'iracondia', 'adirato', 'infuriato', 'nervosismo', 'rabbia', 'arrabbiati', 'irato']
apartment	appartamento	Match	['appartamenti', 'appartamento', 'lappartamento', 'blocco_di_appartamenti', 'complesso_di_appartamenti', 'blocco_palazzo', 'quartiere', 'condomini', 'alloggio', 'apartment', 'quartierino']
applause	applausi	Match	['battimani', 'applausi', 'mano_battimani', 'applauso', 'acclamazione', 'ovazione', 'applause', 'battimano', 'plauso']
argument	argomentazione	Match	['argomentazione', 'dibattiti', 'tematica', 'contesa', 'linea', 'polemiche', 'contraddittorio', 'disceptation', 'argomento_obliquo', 'controverso', 'dibattito_politico', 'controversia', 'sostenendo', 'discussioni', '1', 'ragione', 'litigio', 'tesi', 'attestazione', 'arg', 'argomenti', 'discutere', 'discussione', 'variabile', 'dibattito', 'disaccordo', 'variabile_indipendente', 'linea_di_ragionamento', 'argomento_verbo', 'argomento_musicale', 'polemica', 'contestazione', 'dibattimento', 'disputa', 'argomento_di_un_numero_complesso', 'controversie', 'argomento_letterario', 'parametro', 'rissa', 'discorso_e_dibattito', 'vertenza', 'argomento', 'teoria_dellargomentazione', 'contradittorio', 'ragionamento_logico']
art	arte	Match	['agrp', 'arte', 'architettura_beauxarts', 'ni', 'beauxarts_architettura', 'fine_art', 'fine_arts', 'materia_non_testuale', 'materiale_illustrativo', 'articoli', 'elemento_grafico', 'articolo_indeterminativo', 'articolo_definito', 'creazione_artistica', 'art', 'opere_darte', 'espressione_artistica', 'architettura_beaux_arts', 'beaux_arts', 'produzione_artistica', 'fineart', 'abilità_artistica', 'art_design', 'myst', 'agoutirelated_peptide', 'stile_beauxarts', 'prima_stagione_di_law__order_criminal_intent', 'articolo_determinativo', 'abilità', 'belle_arti', 'illustrazione', 'grafica', 'episodi_di_law__order_criminal_intent', 'artistica', 'le_sette_arti', 'articolo', 'artn']
attitude	atteggiamento	Match	['punto_di_vista', 'comportamento', 'pas_daction', 'predilezione', 'compagnia_di_balletto', 'attitudine', 'compagnie_di_balletto', 'propensione', 'compagnia_di_ballo', 'chaînés', 'attitude', 'orientamento', 'comportamenti', 'entrechat', 'comportamento_scorretto', 'comportamentali', 'comportamento_sociale', 'positura', 'contegno', 'condotta', 'rampante', 'chaines', 'tendenza', 'disposizione', 'comportamento_atteggiamento', 'cambrè', 'reload', 'compagnia_di_danza', 'fatti', 'metodo', 'atteggiamenti', 'atteggiamento', 'inclinazione', 'portamento', 'angoli_di_eulero', 'glossario_della_danza_classica', 'aria', 'presentazione_anomala', 'orientamento_spaziale', 'pirouette', 'posa', 'corpse_de_ballet', 'postura', 'posturale', 'changement_de_pieds', 'atteggiamento_mentale', 'grand_pas', 'corps_de_ballet', 'posizione', 'corpo_di_ballo']
bag	sacchetto	Match	['sacchetto', 'trolley', 'sacco_di_plastica', 'sacchetto_di_plastica', 'intascare', 'borsello_da_uomo', 'ventiquattrore', 'multiset', 'racchia', 'bag', 'bagaglio', 'multiinsieme', 'portamonete', 'sacchetti_di_plastica', 'multiinsiemi', 'derubare', 'sacchetto_in_plastica', 'multinsieme', 'jungle_rules', 'valiggia', 'valige', 'borsetta', 'tazza_di_tè', 'buste_di_plastica', 'abbrancare', 'sacca', 'sostegno_del_multiinsieme', 'busta', 'portaborse', 'saccolo', 'sacchetti_in_plastica', 'prendere', 'valigia', 'insacchettare', 'vecchia_borsa', 'pane_quotidiano', 'borsa', 'specialità', 'busta_di_plastica', 'insaccare', 'borse', 'befana', 'rubare', 'arraffare', 'bagful', 'borsa_da_viaggio', 'base', 'cartocciata', 'borsello', 'sacco', 'fregare', 'mammella', 'sacchetto_di_carta', 'valigie', 'borsetto']
ball	palla	Match	['ballo', 'corbello', 'telstar_durlast', 'emisferica', 'glob', 'gomitolo', 'calcio', 'zolletta', 'zona_dello_strike', 'pallone_da_calcio', 'testicolare', 'palla_ovale', 'sfera_aperta', 'questra_europa', 'bolla', 'tango_europa', 'intorno_circolare', 'palla_da_tennis', 'aggomitolare', 'strike_zone', 'ovulo', 'coglione', 'questra', 'palle_da_tennis', 'palla_da_calcio', 'forfait', 'raggomitolare', 'coglioni', 'cucchiaino', 'ballock', 'etrusco_unico', 'balle', 'testicolo', 'azteca_mexico', 'sfera', 'telstar', 'palla_moschetto', 'tango_italia', 'gonade', 'globo', 'sfere', 'terrestra_silverstream', 'pallottola', 'pallone', 'tricolore', 'didimo', 'tango_españa', 'proiettili', 'teste', 'minchione', 'tango_mundial', 'zolla', 'slug', 'roteiro', 'veglione', 'arrotolare', '2sfera', 'moschetto_palla', 'sferica', 'superficie_sferica', 'palla_da_rugby', 'ball', 'proiettile', 'palle', 'adidas_telstar', 'palline_da_tennis', 'palla_aperta', 'fevernova', 'lucille_ball', 'tango', 'testicoli', 'palla_chiusa', 'palla', 'pallina', 'john_ball']
