all	vseh	Match	['popolnoma', 'čisto', 'v_celoti', 'vse', 'univerzalni_kvantifikator', 'akutna_limfocitna_levkemija', 'cel', 'vsem', 'izključno', 'univerzalno_zaprtje', 'akutno_limfoblastno_levkemijo', 'povsem', 'all', 'akutna_limfoblastna_levkemija', 'akutno_limfocitno_levkemijo', 'vseh', 'popôlnoma', 'vsi', 'akutne_limfocitne_levkemije', 'vès', 'totalno', 'celoten', 'scela']
and	in	Match	['logičnih_vrat', 'logični_in', 'konjunkcija', 'in', 'diskretne_logike', 'logična_vrata', 'armed_and_dangerous', 'logika_vrata', 'vrata']
animal	živali	Match	['življenje_živali', 'polten', 'žival', 'rastlin', 'bitje', 'živo_bitje', 'animal', 'makrofavne', 'epifauna', 'animirati_počutje', 'wasp', 'živalska', 'animalia', 'epifaunal', 'čuten', 'živalstvo', 'mesen', 'favna', 'telesen', 'metazojev', 'vrsto_bitje', 'živali', 'road_warrior_animal', 'metazoa', 'živalski', 'far_east_movement', 'pohoten', 'živalsko', 'razmnoževanje_živali', 'živalsko_kraljestvo', 'infauna', 'reality_check']
ashes	truplom	Incorrect	['pepel', 'post_mortem', 'ashes']
at	na	Not found	[]
back	nazaj	Match	['branilec', 'desno_nazaj', 'stržen', 'podpreti', 'hrbtenico', 'hrbtnega_naslona', 'podpirati', 'zadaj', 'back', 'tighthead_prop', '백', 'hrbtenica', 'levi_nazaj', 'ozadje', 'potrdi', 'naslonjalo', 'hrbtna_stran', 'flyhalf', 'prop_tighthead', 'notranjost_centra', 'zadnji', 'nazaj', 'levo_nazaj', 'knjigoveški', 'rebrce', 'nazáj', 'vretenc', 'columna_vertebralis', 'odobriti', 'naslon', 'hrbet', 'hrbtenice', 'izven_centra', 'rahis', 'potrditi', 'zadnja_stran', 'konec', 'platnica', 'staviti', 'zádnji']
bad	prehudo	Found close match: ['hudo', 'hud']	['badness', 'zlo', 'hudobnost', 'pokvarjen', 'betežen', 'velik', 'trhel', 'bcl2povezanih_smrti_promotorja', 'nagnil', 'lažen', 'royce_da_59', 'poškodovan', 'tvegan', 'hudobija', 'bad', 'slàb', 'otožen', 'zlobnost', 'slaba', 'razpadel', 'hud', 'slab', 'nevaren', 'hiben', 'bad_world_tour', 'hudo', 'žalosten', 'big_audio_dynamite', 'ponarejen', 'zloba', 'kovan', 'neprimeren', 'gnil', 'slabo', 'skovan']
bark	olesenelih	Incorrect	['barka', 'skorja', 'il2', 'drevesna_skorja', 'lajež', 'bark', 'lubje', 'šturmovik', 'zadiranje', 'lubja', 'barque', 'lajati', 'periderm', 'iljušin_il2_šturmovik', 'iljušin_il2', 'iljušin_il2_sturmovik']
because	ker	Match	['ker', 'because', 'zaradi']
belly	trebuh	Match	['trebušne_mišice', 'trebuhi', 'belly', 'trebušček', 'burja', 'abdomen', 'trebuh']
big	»velika	Found close match: ['velika', 'velik', 'veliki']	['dorasel', 'krepek', 'velika', 'odrasel', 'postavljaški', 'noseča', 'velik', 'radodaren', 'bjarke_ingels_group', 'nabrekel', 'doraščen', 'bahav', 'viden', 'pomemben', 'stypsis', 'telo', 'plemenit', 'zrasel', 'sadje', 'odličen', 'znamenit', 'domišljav', 'suho', 'vinska_cvetica', 'darežljiv', 'obilen', 'nečimrn', 'ugleden', 'minerality', 'hud', 'slab', 'v_drugem', 'hvalisav', 'liberalen', 'močen', 'odraščen', 'big', 'ničemuren', 'velikodušen', 'prominenten', 'veliki', 'velike', 'norm_nixon']
bird	ptica	Match	['ptica', 'žogica_za_badminton', 'zatočišč', 'perjanica', 'ptic', 'mikuni_shimokawa', 'yardbird_parker', 'edward_bird', 'ptička', 'deklič', 'aves', 'seznam_ptičev', 'wench', 'avafauna', 'ptiček', 'prst', 'žogic', 'bejba', 'dečva', 'ptiči', 'ptič', 'charlie_parker', 'ptice', 'avifauna', 'bird_parker', 'bird', 'perutnina', 'seznam_ptic', 'razzing', 'bronx_navijanja', 'charles_christopher_parker', 'razz', 'boo', 'pišče']
bite	ugriznejo	Found close match: ['ugriz', 'grizenje', 'ugrizniti']	['košček', 'želo', 'rezkost', 'ostrina', 'ugriz', 'prigrizek', 'insektov_ugriz', 'zalogaj', 'chomp', 'ostrost', 'pikantno', 'ugrizi', 'pikanten', 'začinjene', 'steven_hassan', 'pikrost', 'ostrega', 'ugrizniti', 'grižljaj', 'gristi', 'grizenje']
black	črn	Match	['črna_afriška', 'joseph_črna', 'tema', 'črn', 'magic', 'bela', 'temen', 'strahovit', 'negrid', 'final_fight_3', 'črna', 'črna_oseba', 'black', 'črnina', 'črni_mož', 'poguben', 'sramoten', 'barva', 'negroid', 'črna_(negridna)_rasa', 'črno', 'črne', 'blackamoor', 'levi', 'nečasten', 'katastrofalen', 'shirley_temple', 'shirley_temple_črna', 'smrten', 'drugih_ras', 'počrniti', 'azijska', 'znanosti_barve', 'nesrečen', 'black_ženske', 'negroids', 'lightlessness', 'final_fight', 'afriškega_porekla', 'taio_cruz', 'skupna_tema', 'razdejalen', 'črni', 'črna_ženska', 'črnec', 'smola_črnina', 'hispanic', 'usoden', 'črna_rasa', 'planeswalker', 'barve', 'neslaven', 'negro', 'kari_kimmel', 'latino', 'črnka', 'barv', 'tihotapski', 'mtg', 'tragičen', 'inkiness', 'fatalen', 'magic_the_gathering', 'črnci', 'joseph_black', 'sramotilen']
blood	krvi	Match	['rodbina', 'blood', 'človeške_krvi', 'genetske_dediščine', 'rakehell', 'bordeaux_vino', 'kisikom_krvi', 'dednosti', 'bordeaux', 'vino_bordeaux', 'krvna_linija', 'hematoloških', 'krvi', 'roue', 'vs', 'bloodline', 'lahkoživec', 'persistence_of_time', 'dednost', 'razvratnež', 'predniki', 'collective_soul', 'krvni_linija', 'razuzdanec', 'oksidirano_kri', 'the_black_parade', 'krvni_obtok', 'kri', 'cj', 'getting_away_with_murder']
blow	pretresen	Found close match: ['pretres']	['pokvariti', 'plavati', 'nazadovanje', 'skaziti', 'lebdeti', 'kaziti', 'pihati', 'sneg', 'koka', 'udarec', 'poslabšanje', 'razeveteti_se', 'izdati', 'šok', 'šušmariti', 'neuspeh', 'sunek_vetra', 'trošiti', 'širokoustiti', 'sunki', 'zapraviti', 'razsipavati', 'razpočiti_se', 'pretres', 'zafračkati', 'koks', 'blow', 'trk', 'nos_sladkarije', 'krpati']
