ability	способноста	Found close match: ['способност']	['капацитет', 'способност', 'умеење', 'приемност']
accomplished	постигнато	Match	['постигнато', 'остварена']
angry	разбеснил	Incorrect	['бесна', 'лута', 'mad_season', 'лутина', 'бес', 'гневен', 'kay_starr', 'лут', 'press_to_play', 'разгневен', 'лути']
apartment	соби	Incorrect	['apartment', 'станот', 'стан', 'апартман']
applause	публиката	Incorrect	['аплауз', 'applause', 'ракоплескање']
argument	аргументи	Found close match: ['аргумент', 'логички_аргумент']	['аргумент', 'параметар', 'дебатирање', 'дебата', 'расправање', 'логички_аргумент']
art	уметност	Match	['уметноста', 'уметничко', 'член', 'графика', 'граматички_член', 'уметничко_дело', 'арт', 'уметност', 'the']
attitude	искреност	Incorrect	['однесување', 'поведение', 'ориентација', 'attitude', 'расположение', 'општествено_поведение', 'поза', 'reload', 'став', 'положба_на_телото']
bag	џебот	Incorrect	['чанта', 'торба', 'ко́фер', 'куфер', 'краде', 'ташна', 'ку́фер', 'виме', 'вреќа', 'ќесе']
ball	топката	Match	['јајце', 'сферно', 'куршум', 'ѓуле', 'кло́пче', 'ташак', 'сфери', 'тестис', 'бал', 'тениско_топче', 'сферен', 'топче', 'топка', 'сферна', 'топката', 'маде', 'меток', 'ball', 'тестиси', 'сфера', 'lucille_ball', 'john_ball']
bar	бар	Match	['австробаварски_јазик', 'bar', 'мегабар', 'огреб', 'центибар', 'би́ртија', 'барг', 'паб', 'шанк', 'пивница', 'килобар', 'foobar', 'децибар', 'патроним', 'баварски_јазик', 'правна_професија', 'милибар', 'крчма', 'бар_црна_гора', 'бар', 'милибари']
bear	мечка	Match	['мечките', 'плати', 'толерира', 'ursidae', 'плаќа', 'т́рпи', 'поднесува', 'изд́ржува', 'мечкам', 'мечка', 'bear', 'мече', 'подне́сува', 'мечки', 'прифаќа', 'mike_brown', 'трпи']
beat	победувајќи	Incorrect	['siteswap', 'метар', 'beatnik', 'ритам', 'тепале', 'биење', 'beat']
bed	испие	Incorrect	['ноќевање', 'речно_корито', 'има_секс', 'ебе', 'кревет', 'bed', 'постела', 'креват']
beer	пиво	Match	['пиво', 'beer']
big	големa	Found close match: ['голем', 'големо', 'големи']	['bjarke_ingels_group', 'голема', 'big', 'голем', 'големо', 'големи', 'norm_nixon']
bird	птица	Match	['charlie_parker', 'птица', 'мо́ма', 'aves', 'bird', 'чарлс_паркер', 'измеќарка', 'чарли_паркер', 'птици', 'перо', 'mikuni_shimokawa']
blood	крв	Match	['крв', 'ли́нија', 'the_black_parade', 'blood', 'persistence_of_time', 'оксидирана_крв', 'хематолошки', 'getting_away_with_murder', 'vs', 'collective_soul']
body	тело	Match	['врата', 'транзистори_со_ефект_на_поле', 'те́ло', 'fet', 'body', 'точка', 'напис', 'труп', 'транзистор_со_ефект_на_поле', 'фет', 'тело', 'физичко_тело', 'политоп', 'леш', 'мрша', 'teairra_mari', 'каросерист', 'мртовец', 'статија', 'покојник']
brain	мозокот	Match	['мозок', 'ум', 'banks', 'brain', 'черепен_мозок', 'разум', 'bryan_mantia', 'мозокот']
broken	ногата	Incorrect	['скршени', 'ms_kelly', 'прекршени', '12_stones', 'winterhearts_guild', 'plastic_beach', 'скршена', 'скршено', 'the_best_of_bruce_dickinson', 'echo', 'скршен', 'delta_machine', 'broken']
building	зградта	Found close match: ['зграда', 'изградба', 'згради']	['зграда', 'здание', 'градежништво', 'градежни_материјали', 'куќа', 'градби', 'дом', 'изградба', 'згради', 'градење', 'градежен_материјал', 'градба']
burn	запаллива	Incorrect	['огин', 'водотек', 'fc_dallas', 'burn', 'гори', 'пла́мен', 'изгореница', 'поток', 'пламен', 'изгори', 'оган']
business	бизниз	Found close match: ['бизнис']	['business', 'работа', 'претпријатие', 'трговец', 'занимање', 'бизнис', 'деловен_субјект', 'задача', 'промет', 'компанија']
camera	фотоапаратот	Found close match: ['фотоапарат', 'апарат']	['апарат', 'the_back_room', 'фотоапарат', 'камера', 'camera']
carefully	внимателно	Match	['га́јле', 'гри́жа', 'внимателно']
challenge	натпреварување	Incorrect	['предизвик']
charity	добротворна	Found close match: ['добротворни', 'добротворност', 'добротворна_организација']	['милосрдие', 'polemonium_caeruleum', 'добротворни', 'милостина', 'добротворна_организација', 'добротворност']
charming	преубава	Incorrect	['шармантна', 'шармантно', 'шармантен']
clothes	облека	Match	['о́блека', 'облека', 'алишта', 'руво']
cockroach	инсект	Incorrect	['cockroach', 'blattodea', 'лебарка', 'бубашваба', 'лебарки']
code	кодот	Found close match: ['код']	['шифра', 'код']
collection	збирка	Match	['hawkwind', 'the_offspring_collection', 'колекција', 'акон', 'collection', 'состав_на_објект', 'множество', 'серија_книги', 'the_charlatans', 'уметничка_збирка', 'akon', 'joe_sample', 'пакет', 'збирка']
computer	компјутерски	Found close match: ['компјутери', 'компјутер', 'компјутерите']	['компјутер', 'компјутерите', 'пресметувач', 'сметач', 'компјутери', 'дигитален_компјутер', 'компјутерот', 'сметачот', 'kompjuter', 'калкулатор', 'сметачи']
construction	изградба	Match	['конструкција', 'runescape', 'градежни_материјали', 'градежништво', 'изградбата', 'изградба', 'градење', 'градежен_материјал', 'градба']
cook	покахонтас	Incorrect	['готвач', 'џемс_кук', 'cook', 'кувар', 'james_cook', 'џјемс_кук', 'џејмс_кук', 'капетан_кук', 'готвачка', 'шеф_на_кујна', 'го́тви', 'капетанот_кук', 'кук', 'frédérick_cook']
counting	⟨e⟩	Incorrect	['пребројување', 'спи́сок', 'броен_систем', 'броење', 'список', 'бројни_системи', 'броиме', 'листа']
crazy	спиеш	Incorrect	['crazy', 'because_of_you', 'usher', 'луда', 'лудо', 'famous_last_words', 'playing_with_fire', 'erika_jayne', 'луд', 'луди', 'loca', '(you_drive_me)_crazy', 'the_red_album', 'лудите']
damage	оштетувањето	Found close match: ['оштетување']	['оштетување', 'damage', 'цена', 'штети', 'штета']
dance	танц	Match	['танцувај', 'танчерка', 'играј', 'танцува', 'waterloo', 'dance', 'танчер', 'танц', 'postdisco', 'oliver_heldens']
dangerous	опасни	Match	['опасен', 'dangerous', 'опасна', 'опасни', 'опасно', 'its_hard']
deceive	оправдаат	Not found	[]
dedication	посветеност	Match	['dedication', 'посветеност', 'посвета']
deliberately	намерно	Match	['намерно']
delivery	услуги,	Incorrect	['транспорт', 'раѓање', 'пораѓање', 'превоз', 'достава', 'шега', 'породување', 'сообраќај', 'delivery', 'испорака']
dessert	предјадења	Incorrect	['десерт', 'десертно_вино', 'десерти']
device	сензор	Incorrect	['мобилен', 'машинската_опрема', 'уред', 'преносен_телефон', 'мобилни_телефони', 'направа', 'device', 'mobilen_telefon', 'машинска_опрема', 'хардвер', 'машина', 'мобилен_телефон', 'компјутерски_хардвер', 'configsys', 'mobile_phone', 'машински_дел']
dig	ископаат	Not found	[]
dinner	вечерата	Match	['тифин', 'вечера', 'ру́чек', 'шолја_чај', 'вечерата', 'чај', 'ручек']
disease	болест	Match	['бо́лест', 'begowal', 'болест', 'болести', 'заболување']
dissolve	распушти	Match	['распуштање', 'распушти']
disturb	попречуваат	Not found	[]
do	разбирате	Not found	[]
doctor	доктор	Match	['втор_доктор', 'дванаесетти_доктор', 'докторат', 'единаесетти_доктор', 'лекар', 'докторот', 'доктор', 'доктор_ху', 'доктор_на_науки', 'прв_доктор', 'воен_доктор', 'шести_доктор', 'петти_доктор', 'eliza', 'седми_доктор', 'доктор_докторка', 'loïc_nottet', 'медицински_специјалист', 'четврти_доктор', 'десетти_доктор', 'др', 'докторка', 'деветти_доктор', 'доктор_кој', 'хирург', 'осми_доктор', 'трет_доктор']
dog	куче	Match	['canis_lupus_familiaris', 'кучиња', 'гони', 'ликови_во_halflife_2', 'пес', 'canidae', 'куче', 'duck_hunt']
dressing	пресоблекување	Found close match: ['облекување', 'облека']	['фил', 'облекување', 'преврска', 'хируршки_преврски', 'облека', 'руво']
driver	возач	Match	['шуми', 'двигател', 'driver_san_francisco', 'двигател_за_печатач', 'двигател_за_уред', 'шо́фер', 'шума', 'драјвер', 'шумата', 'шумите', 'управувач', 'возач', 'во́зач', 'driver', 'шофер', 'возачот']
economy	економијата	Match	['walden', 'економски_системи', 'економски_систем', 'economy', 'политичка_економија', 'економија', 'економист', 'стопанството', 'политичката_економија', 'економијата', 'стопанство', 'економика']
election	избори	Match	['избори', 'избор', 'election']
electron	електронволти	Found close match: ['електрони', 'електрон', 'електронски']	['е⁻', 'e⁻', 'електрони', 'electron', 'електронска', 'електроните', 'електрон', 'електронски']
elegance	елеганција	Match	['убавото', 'елеганција', 'karlgeorg_hoefer', 'убаво', 'убавина']
emotion	емоционална	Found close match: ['емоција', 'емо́ција']	['чувство', 'емоции', 'emotion', 'емо́ција', 'емоција', 'human_after_all']
emotionally	емоционално	Match	['емоционално', 'чувство', 'емоции', 'емо́ција', 'емоција', 'емотивно']
engine	мотор	Match	['двигател', 'локомотива', 'двигател_за_видеоигри', 'мотор', 'двигател_за_игри', 'моторот', 'програмски_погон', 'погон_за_игри', 'ray_alder', 'погон_за_видеоигри', 'engine', 'motor', 'играчки_погон']
event	настан	Match	['случка', 'случај', 'настанот', 'слушател', 'настан', 'збиднување', 'справувач_со_настани', 'последица']
experiment	експеримент	Match	['опит', 'научен_експеримент', 'научни_експерименти', 'физички_опит', 'експерименти', 'the_experiment', 'experiment', 'физички_експеримент', 'експериментира', 'научен_опит', 'опити', 'експеримент', 'научни_опити']
extremely	многу	Incorrect	['екстремно', 'исклучително']
feeling	претчувство	Found close match: ['чувство', 'чуство']	['чуство', 'осет', 'чувство']
fight	борбата	Found close match: ['борба']	['тепачка', 'се_бори', 'борба', 'бој', 'конфликт', 'би́тка', 'битка', 'fight']
fish	риби	Match	['риба', 'риби', 'fish', 'ри́ба', 'ихтиофауна', 'pisces', 'phish', 'фиш']
flow	водотекот	Incorrect	['gravity_recovery_and_interior_laboratory', 'florent_mothe', 'механика_на_течностите', 'flow', 'хидромеханика', 'рапер', 'зафатнинска_проточност', 'проток', 'тек', 'механика_на_флуидите', 'хидраулика', 'менструа́ција', 'рап', 'течат', 'рап_музика', 'основни_својства_на_флуидите', 'young_money_entertainment']
food	храна	Match	['хра́нлива_со́стојка', 'kirby', 'храна', 'хранлива_материја', 'хранливи_материи']
garbage	чистачи	Incorrect	['смет', 'отпад', 'withering_to_death', 'ѓубре', 'garbage']
gold	злато	Match	['златни', 'златен_медал', 'издание', 'cream_gold', 'gold', 'златен', 'злато', 'златна', 'bobby_brown', 'животен_циклус_на_програмската_опрема', 'килибарна', 'young_lust_the_aerosmith_anthology', 'the_heist', 'anthology', 'rtmверзија']
great	големo	Incorrect	['одлично', 'супер', 'одлична']
gun	вооружан	Incorrect	['округ_во_јапонија', 'gun', 'пиштол', 'пушка', 'louder_than_love', 'педал_за_гас', 'conventional_weapons', 'огнено_оружје']
hair	кошулка	Incorrect	['влакно', 'коса', 'hair', 'влакна']
help	помогне	Found close match: ['помошник', 'помош', 'помага']	['помошник', 'the_help', 'помошничка', 'по́мош', 'помагаат', 'помош', 'help', 'помага']
hurting	навредува	Found close match: ['повредува']	['болка', 'повредува', 'штети']
ignorance	апсурдност	Incorrect	['незнаење', 'ignorance']
illness	болест	Match	['бо́лест', 'болест', 'заболување']
impress	проси	Incorrect	['импресионира']
invention	пронајдокот	Found close match: ['пронајдок']	['изум', 'изумот', 'пронајдок']
investigation	истрага	Match	['истрага', 'истражување']
invisible	„невидливи	Found close match: ['невидливи', 'невидлив', 'невидливо']	['holy_diver', 'невидливо', 'elevate', 'невидлив', 'invisible', 'невидлива', 'taylor_swift', 'sound_of_white_noise', 'невидливи', 'dream_evil', 'невидливост', 'evilized']
job	работиш	Found close match: ['работа', 'работно', 'ра́бота']	['ра́бота', 'стру́ка', 'вработеност', 'job', 'работно', 'работа', 'зани́мање', 'следни_задачи', 'про́блем', 'занимање', 'задача']
jungle	џунгла	Match	['shine_a_little_love', 'jungle', 'џунгла', 'џунглата', 'out_of_the_blue']
kindness	добродушност	Incorrect	['љубезност', 'добрина']
king	крал	Match	['king', 'кинг', 'billie_jean_king', 'кралство', 'charles_bird_king', 'бб_кинг', 'мона́рхија', 'монарх', 'кралот', 'george_king', 'магнат', 'reverend_horton_heat', 'крал', 'тајкун', 'б_б_кинг', 'владетел', 'монархија', 'king_ov_hell', 'би_би_кинг', 'поп']
lady	грофицата	Found close match: ['богородица']	['маза_и_луња', 'теотокос', 'богородица_марија', 'света_богородица', 'богородица', 'марија', 'lady', 'титула', 'мајката_божја', 'госпоѓа', 'света_марија', 'звање', 'дама', 'обраќање', 'лејди', 'пресветата_дева_марија', 'пресвета_богородица', 'дева_марија', 'the_lady', 'lady_and_the_tramp', 'св_богородица']
