all	tüm	Match	['tamamı', 'cümbür_cemaat', 'tümü', 'hepsi', 'evrensel_nicelik', 'evrensel_kapatılması', 'all', 'tamamen', 'topluca', 'bütün', 'tüm', 'evrensel_niceleyici', 'akut_lenfositik_lösemi', 'akut_lenfoblastik_lösemi', 'hep_birlikte', 'hepsini']
and	ve	Match	['oh_sehun', 've', 'mantıksal_birlikte', 'mantıksal_kapı', 'and', 'lojik_kapılar', 'mantık_kapısı', 'armed_and_dangerous', 'ayrık_mantık', 'mantık_devresi', 'mantık_kapıları', 'mantıksal_kapılar']
animal	hayvan	Match	['far_east_movement', 'hayvanlar_âlemi', 'direy', 'hayvan', 'fauna', 'yaratık', 'wasp', 'vahşi_hayvan', 'animalia', 'infauna', 'olmanın_animasyon', 'epifaunal', 'hayvanların_sınıflandırılması', 'bitki', 'animal', 'yaratık_türü_verilir', 'hayvanlar', 'reality_check', 'epifauna', 'metazoanda']
ashes	veda	Incorrect	['kul', 'post_mortem', 'küller', 'kül', 'külleri', 'ashes']
at	ndaki	Not found	[]
back	geri	Match	['vertebra', 'sol_bek', 'sağ_bek', 'back', '백', 'df', 'rachis', 'sinek_yarısı', 'geri', 'kapak', 'defans', 'flyhalf', 'stoper', 'amûdi_fıkarî', 'kitap_ciltleme', 'omurga', 'amudu_fıkari', 'onaylamaz', 'tüy_sapı', 'sırt', 'kolumna_vertebralis', 'sol_stoper', 'sırt_dayama', 'tighthead_pervane', 'arka', 'kitap_ciltlemesi', 'libero']
bad	kötü	Match	['çürük', 'big_audio_dynamite', 'kötü', 'bad_dünya_turu', 'royce_da_59', 'kötülük', 'kötülüklerini', 'şer', 'bcl2ilişkili_ölüm_promotör', 'bad', 'bad_world_tour']
bark	kozalakları	Incorrect	['il2', 'kabuğu', 'bark', 'ilyushin_il2', 'bağırmak', 'i̇l2', 'hav', 'kabuk', 'i̇lyuşin_il2', 'havlama', 'ağaç_kabuğu', 'peridermis', 'havlamak', 'yelkenli_gemi', 'barque', 'periderm', 'sturmovik', 'ürümek']
because	yüzden	Incorrect	['çünkü', 'because', 'cünkü']
belly	bacaklarında	Incorrect	['işkembe', 'insan_karın', 'karın_kasları', 'göbek', 'belly', 'abdomen', 'göbeği', 'karın', 'batın', 'karnı']
big	big	Match	['bjarke_ingels_group', 'vücut', 'kuru', 'yetişkin', 'meyve', 'big', 'ergin', 'buyuk', 'kocaman', 'denge', 'stypsis', 'minerality', 'norm_nixon', 'büyük']
bird	kuş	Match	['kuş_parker', 'alay_etmek', 'zamparalık_etmek', 'mikuni_shimokawa', 'yardbird_parker', 'civciv', 'afet', 'piliç', 'aves', 'avafauna', 'charlie_parker', 'kuşlar', 'bomba', 'bebek', 'avifauna', 'badminton_topu', 'bird', 'kuş', 'roosting', 'kus', 'charles_christopher_parker', 'fıstık', 'razzing', 'parmak', 'yuhalama']
bite	ısırık	Match	['ısırık', 'mayhoş', 'chomp', 'ısırma', 'bispesifik_thücre_engager', 'çerez', 'ısırmak', 'isırık', 'böcek_ısırığı', 'baharatlı', 'ısırıkları', 'servis_birimi', 'keskin', 'aperatif', 'lokma', 'steven_hassan', 'atıştırmalık']
