ability	capacités	Found close match: ['capacité']	['adresse', 'habileté', 'capacité', 'faculté', 'intelligence', 'aptitude', 'habilité', 'pouvoir']
accomplished	accompli	Match	['adroit', 'versée', 'accomplis', 'habile', 'compétent', 'versé', 'accompli', 'accomplie']
angry	colère	Match	['angriness', 'kay_starr', 'sauvage', 'press_to_play', 'colère', 'tempétueux', 'mad_season', 'hors_de_soi', 'ire_de_dieu', 'courroucé', 'furieuse', 'fâchée', 'fâché', 'furibond', 'en_colère', 'énervé', 'excédé', 'irrité', 'ab_irato', 'angry', 'furieux']
apartment	appartement	Match	['chambre', 'bloc_manoir', 'immeubles', 'lappartement', 'apartment', 'bloc_dappartements', 'appartements_jardin', 'appartement', 'complexe_dappartements', 'studio', 'appartements']
applause	applaudissement	Match	['applaudissements', 'claquements_de_mains', 'applaudir', 'claquement', 'applause', 'battements_de_mains', 'applause_inc', 'acclamation', 'claquade', 'applaudis', 'acclamer', 'applaudissement']
argument	argumentation	Match	['équipe_de_débat', 'contestation', 'querelle', 'argument_littéraire', 'dispute', 'discuter', 'argument_logique', 'débat_politique', 'disceptation', 'controversée', 'en_faisant_valoir', 'ligne', 'debat', 'argument_oblique', 'controverses', 'arguments', 'polémique', 'raisonnement', 'argumenter', 'controverse', 'actant', 'théorie_de_largumentation', 'actanciel', 'discussion', 'ligne_de_raisonnement', 'débat', 'discuté', 'argument', 'capacité_à_argumenter', 'actance', 'argument_verbe', 'déclaration', 'argument_dun_nombre_complexe', 'argument_musical', 'différend', 'argumentation', 'paramètre', 'argument_d’un_nombre_complexe', 'débats']
art	art	Match	['beauxarts', 'agrp', 'maquette', 'expression_plastique', 'expression_artistique', 'statut', 'abattage', 'ni', 'univers_de_myst', 'ages_dni', 'dilbert', 'article', 'lart', 'oeuvre', 'prouesse', 'artistique', 'article_indefini', 'graphiques', 'terahnee', 'la_création_artistique', 'aéroport_de_watertown', 'œuvre', 'graphique', 'art', 'exploit', 'mattias_pilhede', 'question_non_textuel', 'objet', 'beaux_arts', 'production_artistique', 'courants_artistiques', 'saison_1_de_new_york_section_criminelle', 'talent_artistique', 'iconographie', 'agoutirelated_peptide', 'the_vips', 'architecture_beauxarts', 'arab_radio_and_television_network', 'numération_dni', 'illustration', 'objets_dni', 'âges_dni', 'courage', '«_art_»', 'définition_de_lart', 'membre', 'android_runtime', 'style_beauxarts', 'guildes_dni', 'graphisme', 'arab_radio_and_television', 'dni', 'création_artistique', 'numeration_dni', 'artn']
attitude	attitude	Match	['angles_deuler', 'tendance', 'fouetté', 'attitude', 'maintien', 'agissement', 'angles_d’euler', 'posture', 'saut_de_chat', 'présentation', 'angle_de_précession', 'écart', 'angle_de_rotation_propre', 'inclination', 'comportement_social', 'comportements', 'propension', 'vocabulaire_de_la_danse_classique', 'brisé', 'comportement_humain', 'espace_deuler', 'presentation_foetale', 'angle_de_nutation', 'attitude__golden_gun', 'conduite', 'actes', 'reload', 'enveloppé', 'pas_chassé', 'jambe_de_terre', 'orientation', 'pente', 'rond_de_jambe', 'pas_de_bourrée', 'orientation_dans_lespace', 'porté_poisson', 'angle_de_rotation', 'attitude_mentale', 'pas_de_danse_classique', 'petite_cabriole', 'jeté_simple', 'tour_piqué', 'position', 'prédisposition', 'comportementales', 'terminologie_de_la_danse_classique', 'orientation_spatiale', 'presentation_fœtale', 'rotation_propre', 'présentation_fœtale', 'état_desprit', 'penchant', 'pas_de_danse', 'comportement', 'mauvaise_conduite', 'grand_jeté', 'disposition', 'présentation_foetale', 'angle_deuler', 'comportement_de_lhomme', 'grande_écart']
bag	sachet	Match	['sachet', 'tasse_de_thé', 'sac_de_caisse', 'sac_de_voyage', 'bagage', 'sac_a_main', 'multiensembles', 'bag', 'vieux_sac', 'portemonnaie', 'mamelles', 'pis', 'multi_ensemble', 'poignée', 'malle', 'valise', 'cageot', 'mammaire', 'sac_à_main', 'sac_de_papier', 'bagages', 'sacs_à_main', 'multiensemble', 'sac_en_papier', 'voler', 'sacs_en_plastique', 'bomber', 'mamelle', 'sac_plastique', 'thon', 'sac_plein', 'sac', 'guenon', 'empocher', 'truc', 'sacoche', 'valoche', 'sac_de_transport', 'base', 'poche', 'sac_en_plastique']
ball	balle	Match	['couille', 'balles', 'fou', 'balle_demiblindée', 'œuf', 'glob', 'ballon_de_football', 'testicule', 'sphère', 'ball_corporation', 'enrouler', 'balle_mousquet', 'limace', 'référentiel_bondissant', 'terre', 'balles_de_plomb', 'géosphère', 'testiculaire', 'hémisphérique', 'roupette', 'boulet', 'ballon_de_foot', 'globe', 'gosse', 'testicules', 'burnes', 'baloche', 'ovule', 'couilles', 'boule_unité', 'sphères', 'orbe', 'ballon', 'boule', 'football', 'wilfred_williams_ball', 'ballock', 'bal', 'balle', 'globuleux', 'bollocks', 'morceau', 'boule_fermée', 'zone_de_prises', 'zone_de_strike', 'disque_unité', 'bloc', '2sphère', 'bille', 'lucille_désirée_ball', 'teste', 'motte', 'sphérique', 'boule_ouverte', 'foot', 'plante', 'burne', 'calotte_sphérique', 'orchis', 'pelote', 'balle_de_mousquet', 'roubignolle', 'ball', 'rouston', 'zone_de_frappe', 'balles_de_tennis', 'fifa_approved', 'calotte', 'lucille_ball', 'ballon_de_football_américain', 'soccer', 'zone_des_prises', 'balle_de_tennis', 'john_ball']
bar	bar	Match	['langue_bavaroise', 'exclure', 'foo', 'exiler', 'ordre_des_avocats', 'tact', 'blackbouler', 'nom_patronymique', 'mbar', 'prévention', 'excommunier', 'expulser', 'barre_horizontale', 'indicateur_de_mesure', 'entraver', 'estaminet', 'maison_publique', 'mesure', 'pubs', 'ginmill', 'récepteur_farnésoïde_x', 'salle_de_bar', 'banc_de_sable', 'récepteur_nucléaire_fxr', '◌̷', 'bar', 'temps_faible', 'proscrire', '◌̶', 'se_mettre_en_travers', 'bonaventura_de_bar', 'bar_montant', 'guinguette', 'browning_automatic_rifle', 'mesurer', 'récepteurs_bêta2', 'encombrer', 'rejeter', 'barre_à_mine', 'égreneuse', 'tablette', 'millibar', 'plats_de_brasserie', 'advocatus', 'raie', 'banc', 'brokenƚ', 'taphouse', '◌̸', 'métrique', 'salle', 'bistro', 'avoué', 'récepteur_nuléaire_fxr', 'nom_à_suffixe_patronymique', 'barette', 'bannir', 'orde_van_de_vlaamse_balies', 'signature_rythmique', 'rayure', 'bloquer', 'bêta2_adrénergique', 'barre', 'millibars', 'nr1h4', 'boucher', 'avouerie', 'chiffrage_de_la_mesure', 'la_bar', 'tenancier_de_saloon', 'arrêter', 'excréter', 'taverne', 'débit_de_boisson', 'patronyme', 'tap_house', 'barre_a_mine', 'bonaventure_de_bar', 'ostraciser', 'foobar', 'prévenir', 'hautfond', 'gâteau', '̵', 'débits_de_boisson', 'pub', 'public_house', 'saloon', 'patronymes', 'comptoir', 'bavarois', 'bancs', 'temps_fort', 'cabaret', 'farnesoid_x_receptor', 'antivari', 'barreàmine', 'retrancher', 'communauté_juridique', 'bonaventura_debar', 'profession_judiciaire', 'auberge_de_campagne', 'rade', 'zinc', 'barre_de_mesure', 'signe_pub', 'tavernes', 'maisons_publiques', 'barreau', 'austrobavarois', '◌̵', 'buvette', 'bár', '̶', 'obstruer', 'hectopascal', 'bancs_de_sable', 'interdire', 'auberge', 'robinet_brasserie', 'reléguer', 'barrer', 'adrb2', 'bangor_and_aroostook_railroad', 'patrynomic', 'beurre', 'barre_inscrite', 'bistrot', 'trait', 'profession_juridique']
