ability	evne	Match	['evnen', 'evne', 'kapacitet', 'aptitude', 'evner']
accomplished	gennemførende	Incorrect	['fuldført']
angry	rasende	Found close match: ['vrede']	['gal', 'mad_season', 'ira', 'arrig', 'angriness', 'kay_starr', 'indignation', 'vrede', 'vred', 'press_to_play', 'sur']
apartment	værelse	Incorrect	['lejelejlighed', 'lejlighed', 'etageejendom', 'lejligheden', 'lejligheder', 'apartment', 'lejlighedskompleks', 'palæ_blok', 'boligblokke']
applause	bifald	Match	['hånd_der_klapper', 'klappe', 'applaus', 'klappede', 'applause', 'bifaldet', 'bifald', 'håndklap']
argument	argumenter	Match	['diskussionsklub', 'kontrovers', 'kontroversiel', 'disceptation', 'debat', 'litterære_argument', 'disput', 'politisk_debat', 'argumentet', 'tale_og_debat', 'skænderi', 'kontroverser', 'argumenter', 'erklæring', 'argumentationsteori', 'debatter', 'diskuterer', 'verbum_argument', 'anfægtelse', 'diskutere', 'argument', 'ræsonnement', 'parameter', 'linje', 'argumentation', 'argumenterer', 'logisk_argument', 'skrå_argument', 'musikalsk_argument']
art	kunst	Match	['beauxarts', 'dybtrykteknik', 'tapperhed', 'kunstnerisk_skaben', 'kunstform', 'kunstfærdighed', 'fine_arts', 'kunst', 'kunst_design', 'agoutirelateret_peptid', 'kunsten', 'nontextual_stof', 'art', 'de_skønne_kunster', 'beauxarts_stil', 'kunstner', 'fineart', 'beaux_arts', 'kunstnerisk_produktion', 'kunstneriske_udtryk', 'kunstneriske', 'artwork', 'artikel', 'grafik', 'beauxarts_arkitektur', 'kendeord', 'les_beauxarts', 'kunstnerisk_udtryk', 'grafisk', 'appropriation', 'beaux_arts_arkitektur', 'dni', 'kunstværk', 'skønne_kunster']
attitude	holdning	Match	['adfærd', 'attitude', 'dårlig_opførsel', 'malpresentation', 'orienteringen', 'positur', 'optræden', 'tendens', 'kropsholdning', 'rumlig_orientering', 'grasserende', 'holdning', 'euler_vinkler', 'papirretning', 'gerninger', 'fremtræden', 'reload', 'mental_indstilling', 'tilbøjelighed', 'demeanor', 'anstand', 'adfærdsmæssige', 'indstilling', 'beliggenhed', 'disposition', 'retning', 'opførsel', 'stilling', 'social_adfærd']
bag	håndtaske	Match	['kop_te', 'multiset', 'bærepose', 'rejsetaske', 'gamle_pose', 'taske', 'yvere', 'yver', 'kuffert', 'håndtasker', 'multisets', 'sæk', 'stjæle', 'papirspose', 'plastpose', 'pose', 'tasken', 'plastic_indkøbspose', 'håndtaske', 'bagful', 'plast_indkøbspose']
ball	bolden	Match	['nosse', 'klat', 'glob', 'strikeout', 'strejke_zone', 'kugleperiferi', 'bolden', 'sfære', 'projektil', 'testikler', '2sfære', 'lukkede_kugle', 'walk', 'kugler', 'strike_zone', 'tennisbold', 'sfærisk', 'ballock', 'bal', 'john_ball', 'kugleskal', 'nosser', 'testis', 'bolde', 'strike', 'tennisbolde', 'musket_kugle', 'teste', 'bold', 'slug', 'testiklerne', 'klump', 'kugleformet', 'ball', 'klunker', 'bordtennisbold', 'lucille_ball', 'halvkugleformet', 'testikel', 'fodbold', 'kugle', 'strikezone', 'kugleoverflade']
