ability	{'aptitude', 'förmåga'}
accomplished	set()
all	{'all', 'universella_stängningen', 'helt_och_hållet', 'akut_lymfatisk_leukemi', 'universell_kvantifiering', 'allkvantor', 'helt', 'alla', 'universella_kvantifierare', 'bcr', 'allt', 'fullständigt', 'akut_lymfocytisk_leukemi', '∀', 'allkvantifikator', 'universell_kvantifierare', 'akut_lymoblastisk_leukemi', 'akut_lymfoblastisk_leukemi', 'universella_stängning'}
and	{'armed_and_dangerous', 'och', 'and', 'konjunktion', 'grind', '∧', 'logiska_grindar', 'logisk_konjunktion', 'diskret_logik', 'logiska_grinden', 'logisk_grind', 'ock', 'and-grind'}
angry	{'angriness', 'raseri', 'kay_starr', 'ursinnig', 'rasande', 'mad_season', 'vrede', 'ilska', 'ilsken', 'press_to_play', 'furiös', 'arg'}
animal	{'makrofauna', 'animal_2005', 'business_the_american_way', 'djurliv', 'animal_science', 'animera_vara', 'varelse', 'flercelliga_djur', 'w.a.s.p', 'djurrike', 'metazoans', 'djurriket', 'animalia', 'wasp', 'varelse_typ', 'faunistisk', 'w.a.s.p.', 'live_at_the_lyceum,_london', 'djurvärld', 'animal', 'metazoa', 'road_warrior_animal', 'fauna', 'reality_check', 'djur', 'mike_dupke', 'infauna', 'best', 'far_east_movement', 'djurens_reproduktion', 'epifauna', 'animalisk', 'epifaunal', 'animaliska', 'faunan', 'djurart', 'live_at_the_lyceum', 'växt'}
apartment	{'genomgångslägenhet', 'lägenheter', 'lägenhetskomplex', 'herrgård_block', 'apartment', 'lgh', 'lägenheten', 'lägenhet', 'trädgård_lägenhet', 'flerbostadshus'}
applause	{'applåd', 'klappa', 'handklapp', 'hattifnatta', 'applause', 'applådera', 'ovation', 'applåder', 'klappar', 'handen_klappar', 'bifall'}
argument	{'parametrar', 'politisk_debatt', 'kontrovers', 'debattpanel', 'argumentation', 'disceptation', 'argumentet', 'verb_argument', 'sned_argument', 'logisk_argumentation', 'musikaliska_argument', 'linje', 'tal_och_debatt', 'litterära_argument', 'debattör', 'argument', 'kulturdebatt', 'debattera_samhället', 'kontroverser', 'diskussion', 'paneldebatt', 'ordstrid', 'musikaliska_argumentet', 'debatt', 'diskutera', 'gräl', 'logiska_argument', 'uttalande', 'argumentera', 'parameter', 'kontroversiell', 'debattera', 'argumentationsanalys', 'debatter', 'bestridande', 'samhällsdebattör', 'argumentation_teori', 'debattprogram', 'samhällsdebatt', 'dispyt', 'diskussionsklubb', 'resonemang', 'argumentationsteori'}
argumentatively	set()
art	{'tapperhet', 'konstföremål', 'grafisk_teknik', 'definition_av_konstbegreppet', 'skön_konst', 'konstnärliga_uttryck', 'beaux-arts_stil', 'konstnärlig', 'grafiska', 'grafisk_teknologi', 'bestämd_form', 'konstbegreppet', 'konstverk', 'sköna_konsterna', 'fine_arts', 'konstnärligt_skapande', 'beaux_arts', 'konstnärlig_produktion', 'beaux_arts_arkitektur', 'nontextual_materia', 'arab_radio_and_television_network', 'grafisk_konst', 'konstnärliga', 'de_sköna_konsterna', "d'ni", 'beaux-arts', 'agouti-relaterad_peptid', 'artikel', 'beaux-arts_arkitektur', 'art', 'sköna_konster', 'obestämd_artikel', 'konstarterna', 'agrp', 'konsten', 'grafik', 'fri_konst', 'artn', 'konstnär', 'konst', 'konstart', 'konstbegrepp', 'konst_design', 'bestämd_artikel', 'artisteri'}
