all	totes	Match	['per_tot', 'totes', 'completament', 'leucèmia_limfoide_aguda', 'tota', 'totalment', 'leucèmia_limfocítica_aguda', 'all', 'enterament', 'tot', 'leucèmia_limfàtica_aguda', 'quantificador_universal', 'quantificació_universal', 'leucèmia_aguda_limfoide', 'clausura_universal', 'tots', 'leucèmia_aguda_limfoblàstica', 'leucèmia_linfoide_aguda', 'leucèmia_limfoblàstica_aguda']
and	i	Not found	[]
animal	animals	Match	['ser_animat', 'metazoos', 'macrofauna', 'fauna', 'sensual', 'animal', 'bèstia', 'epifauna', 'metazous', 'wasp', 'animalia', 'criatura', 'animals', 'metazoa', 'white_anglosaxon_protestant', 'far_east_movement', 'regne_animal', 'vegetal', 'carnal', 'infauna', 'metazoic', 'metazou', 'reality_check']
ashes	cendres	Match	['post_mortem', 'cendres', 'the_ashes', 'ashes']
at	prop	Not found	[]
back	enrere	Match	['esquena', 'part_del_darrere', 'tercera_línia_centra', 'enquadernació_de_llibres', 'respatler', 'espinada', 'columna_vertebral', 'back', 'del_suport', 'columna_espinal', '백', 'vertebrals', 'aprovar', 'mig_de_melé', 'recolzar', 'tercera_línia_ala', 'tornada', 'enquadernació', 'obertura', 'defensa_central', 'centre', 'donar_suport', '34_ala', 'prop_tighthead', 'rosari', 'recular', 'centre_fora', 'espatller', 'posicions_del_rugbi_a_15', 'arrere', 'pilar', 'vèrtebres', 'mig_centre', 'secundar', 'segona_línia', 'defensa', 'raquis', 'la_part_del_darrere', 'mig_dobertura', 'espina_dorsal', 'enrere', 'centre_de_lesquena', 'dors', 'lateral_esquerre', 'taloner', 'interior_del_centre', 'revés', 'joc', 'revers', 'tapa', 'darrere', 'posterior', 'tercera_línia_centre', 'respatller', 'lateral_dret']
bad	mala	Found close match: ['mal', 'malvat', 'malesa']	['gran', 'insegur', 'pesarós', 'falsificat', 'dolent', 'maligne', 'malesa', 'royce_da_59', 'terrible', 'arriscat', 'bua', 'bad', 'immoral', 'bcl2promotor_associat_a_la_mort', 'apesarat', 'perjudicial', 'fort', 'fals', 'mal', 'bad_world_tour', 'malvat', 'xungo', 'big_audio_dynamite', 'maldat']
bark	tiges	Incorrect	['escorça_darbre', 'lladruc', 'lladrar', 'decorticar', 'escorxar', 'bordar', 'escorça', 'corfa', 'bark', 'pelar', 'bossoga', 'bricbarca', 'peridermis', 'escorçar', 'barca', 'corxa', 'corbeta']
because	perquè	Match	['because', 'perquè', 'ja_que', 'puix_que', 'perque', 'car', 'puix']
belly	ventre	Match	['abdòmen', 'butza', 'ventre', 'estómac', 'músculs_abdominals', 'abdominal', 'paret_abdominal', 'abdominals', 'panxa', 'belly', 'abdomen', 'buc', 'abdomen_humà']
big	little	Not found	[]
bird	ocell	Match	['aus', 'xavala', 'mossa', 'volant', 'ocellet', 'maca', 'xicota', 'ocell_minúscul', 'avians', 'aviram', 'aviaris', 'mikuni_shimokawa', 'culoti', 'ploma', 'yardbird_parker', 'bebè', 'moixó', 'au', 'aves', 'avafauna', 'esbroncada', 'noia', 'nena', 'ocell', 'charlie_parker', 'avifauna', 'bird_parker', 'dit', 'bird', 'parker', 'bronx_cheer', 'charles_christopher_parker', 'razzing', 'razz', 'animal_de_ploma', 'ocells', 'aviària']
bite	mossegar	Match	['cremarse', 'mossegada', 'vermut', 'gust_picant', 'picantor', 'picant', 'refrigeri', 'mossegar', 'biespecífica_de_cèl_·_lules_t_acollidor', 'mossegades', 'picar', 'abrusarse', 'acrimònia', 'entrepà', 'tros', 'mos', 'bocí', 'chomp', 'picada_dinsecte', 'picada_dinsectes', 'tallarse', 'engruna', 'queixalar', 'acritud', 'picada', 'mossegarse', 'steven_hassan', 'acrimonia', 'intensitat', 'aperitiu', 'piscolabis', 'incendiar', 'pessigada', 'mossega', 'col·lació']
black	negre	Match	['obscur', 'colors', 'negroide', 'coloració', 'color', 'magic', 'blancs', 'llastimós', 'ruinós', 'foscor_total', 'final_fight_3', 'pirata', 'to_negre', 'ciència_del_color', 'negres', 'black', 'negre', 'ensutjar', 'hispà', 'shirley_temple', 'calamitós', 'blanques_i_negres_en_escacs', 'dona_negre', 'pelatge_negre', 'incolor', 'lightlessness', 'negror', 'de_contraban', 'moro', 'deshonorant', 'ennegrirse', 'raça_negra', 'negra', 'desolador', 'taio_cruz', 'funest', 'final_fight', 'encarbonar', 'persona_negre', 'ascendència_africana', 'encarbonarse', 'desastrós', 'colin_vearncombe', 'vergonyós', 'dones_negres', 'planeswalker', 'raça_i_etnicitat_en_el_cens_dels_estats_units', 'oprobiós', 'magic_el_encuentro', 'joseph_negre', 'ignominiós', 'kari_kimmel', 'negre_africà', 'ennegrir', 'boeing_black', 'comunitat_negre', 'altres_races', 'catastròfic', 'color_negre', 'home_negre', 'asiàtics', 'magic_la_trobada', 'inkiness', 'escadalós', 'shirley_temple_negre', 'llatí', 'magic_the_gathering', 'adetayo_ayowale_onileere', 'negroides', 'joseph_black', 'ombrívol']
blood	sang	Match	['bordeus_vi', 'nissaga', 'blood', 'sang_humana', 'llicenciós', 'descendència', 'línia_de_sang', 'herència_biològica', 'llinatge', 'bordeus', 'vi_de_bordeus', 'sang', 'dissolut', 'bordeaux', 'house_of_wolves', 'flux_sanguini', 'hèmic', 'vs', 'sang_line', 'llibertí', 'estirp', 'hematològics', 'persistence_of_time', 'vi_bordeus', 'ascendència', 'sang_oxigenada', 'collective_soul', 'origen', 'pedigrí', 'the_black_parade', 'herència', 'herència_genètica', 'herència_poligenètica', 'sanguínia', 'getting_away_with_murder', 'heretabilitat']
blow	colpejar	Not found	[]
bone	ossos	Match	['òssia', 'ossos', 'vori', 'ossi', 'os', 'ivori', 'def_jam_recordings', 'blanquinós', 'desossar', 'bone', 'teixit_ossi', 'marfil']
breast	cabellut	Incorrect	['mamella', 'tetes', 'mamelles', 'afrontar', 'teta', 'titty', 'pectus', 'tors', 'càncer_de_mama', 'caixa_toràcica', 'mama', 'mamàries', 'pit', 'the_breast', 'mamària', 'cavitat_toràcica', 'càncer_de_pit', 'mames', 'sina', 'mamari', 'carn_blanca', 'tòrax', 'pits', 'bust', 'toràcica']
breathe	respirar	Match	['dir_en_veu_baixa', 'dark_side_of_the_moon_tour', 'respira', '1159', 'alenar', 'time', 'kristof_konrad', 'breathe', 'respirar', 'espirar', 'dark_side_of_the_moon', 'exhalar', 'the_dark_side_of_the_moon', 'iempire', 'funeral_for_yesterday', 'a_class', 'donar']
burn	cremar	Match	['cremarse', 'fc_dallas', 'brusar', 'ardor', 'cauteritzar', 'corrent_intermitent', 'eritema_solars_i', 'football_club_dallas', 'cremades', 'cursos_daigua', 'flama', 'consumirse', 'flamarada', 'rieres', 'corrent_daigua_intermitent', 'flamejant', 'burn', 'curs_daigua', 'picar', 'abrusarse', 'cremades_de_segon_grau', 'cremada', 'foc', 'cremor', 'rostir', 'corrent', 'cremada_de_primer_grau', 'eritema_solar', 'rierols', 'crema', 'embrunirse', 'riera', 'diu', 'abrasar', 'tallarse', 'cremar', 'ruisseau', 'recremar', 'mossegarse', 'cremada_de_tercer_grau', 'dallas_burn', 'cremar_marca', 'bronzejarse', 'incendis', 'abrusar', 'torrar', 'rostirse', 'cremada_de_segon_grau', 'cremades_de_tercer_grau', 'incendiar', 'bronzejat', 'rierol', 'cremades_solars', 'queimada', 'brillar', 'colrarse', 'incinerar']
