all	всіх	Match	['усі', 'зо́всім', 'hints_allegations_and_things_left_unsaid', 'повністю', 'гострий_лімфобластний_лейкоз', 'all', 'квантора', 'цілко́м', 'єдине', 'універсальне_замикання', 'всіх', 'гострого_лімфобластного_лейкозу', 'всі', 'bcr', 'все', 'зовсім']
and	і	Incorrect	['та', 'armed_and_dangerous', 'логічний_вентиль', 'цифрова_інтегральна_схема', 'кон’юнкція', '∧', 'конюнкція', 'логічна_конюнкція']
animal	тварин	Match	['тваринa', 'інфауни', 'істота', 'рослин', 'тварини', 'animal', 'потвора', 'wasp', 'animalia', 'тварин', 'макрофауни', 'epifaunal', 'класифікація_тварин', 'одушевлена_істота', 'епіфауни', 'істота_типу', 'фауна', 'metazoa', 'far_east_movement', 'фауни', 'тварина', 'тваринний_світ', 'reality_check', 'царство_тварин']
ashes	попіл	Match	['попіл', 'post_mortem', 'прах', 'ashes']
at	на	Not found	[]
back	назад	Match	['схвалити', 'оборонець', 'лівого_захисника', 'в_центрі', 'обкла́динка', 'центральний_захисник', 'тому', 'back', 'tighthead_опору', '백', 'хребта', 'повернулася', 'задній', 'правого_захисника', 'спина', 'flyhalf', 'центрального_захисника', 'ліберо', 'хребців', 'книжковий_палітурка', 'спинка', 'хребет', 'захисник', 'назад', 'льоту_половина', 'ззаду', 'за_межами_центру', 'наза́д', 'книг', 'бічний_захисник', 'лівий_захисник', 'хребетний_стовп']
bad	погані	Found close match: ['погано', 'погане', 'погана']	['злий', 'погана', 'зіпсований', 'погано', 'big_audio_dynamite', 'погане', 'поганий', 'royce_da_59', 'кепський', 'bcl2звязаного_смерті_промоутер', 'зло', 'bad', 'bad_world_tour']
bark	листя	Not found	[]
because	оскільки	Found close match: ['оскі́льки']	['унаслі́док', 'тому́_що', 'та́к_як', 'because', 'бо', 'тому́', 'адже', 'оскі́льки', 'внаслі́док', 'а́дже']
belly	тулуба	Incorrect	['че́рево', 'черевце', 'бру́хо', 'черево', 'черевного_преса', 'живіт', 'belly', 'живота', 'животі', 'людського_живота', 'абдомінальний', 'животи', 'живі́т']
big	великий	Match	['bjarke_ingels_group', 'баланс', 'велике', 'big', 'вяжучу_дію', 'фрукти', 'доро́слий', 'тіла', 'букет', 'мінеральних', 'великий', 'біг', 'norm_nixon', 'великі', 'велика']
bird	птах	Match	['yardbird_паркер', 'птаха', 'фак', 'птах', 'паркер_чарлі', 'пуцьвірінок', 'bronx_настрій', 'mikuni_shimokawa', 'півень', '🐦', 'aves', 'волан', 'avafauna', '🐤', 'дівка', 'птиця', 'птахи', '🐥', 'charlie_parker', 'орнітофауни', 'палець', 'пташка', 'шикання', 'bird', 'клас_птахи', 'птахів', '🐣', 'razzing', 'чарльз_крістофер_паркер', 'чарлі', 'птахи_паркера', 'середній_палець', 'ночівель', 'малина', 'avialae', 'чарлі_паркер']
bite	укус	Found close match: ['укуси']	['куса́ти', 'гостроти', 'укуси', 'укус_комахи', 'заку́ска', 'пряний', 'закуска', 'кусана_рана', 'cep70', 'гострий_смак', 'шматочок', 'пекучий_смак', 'гризти', 'шкала_сковіла', 'steven_hassan', 'гострий', 'біспецифічних_тклітин_engager']
black	чорний	Match	['чорні_жінки', 'му́рин', 'sensation', 'негроїдів', 'magic', 'джозеф_блек', 'негр', 'арап', 'final_fight_3', 'латиноамериканцем', 'чорні_люди', 'black', 'негроїдний', 'міроходца', 'ширлі_темпл', 'чорні', 'мтг', 'кольори', 'чорний_чоловік', 'негри', 'літературний_негр', 'білих', 'shirley_temple', 'негроїди', '000000', 'інших_рас', 'чорний', 'чо́рний', 'lightlessness', 'негрів', 'чорна_людина', 'негроїдної', 'final_fight', 'чорношкірі', 'taio_cruz', 'ко́лір', 'барва', 'чорного_співтовариства', 'негроїдна_раса', 'чорна', 'фа́рба', 'deckmaster', 'магія_збір', 'інтенсивність_кольору', 'ширлі_темпл_блек', 'африканського_походження', 'kari_kimmel', 'негритя́нка', 'колір', 'фарба', 'негроїдної_раса', 'чорний_африканський', 'mtg', 'магія', 'расовий_склад_сша', 'блек', 'inkiness', 'непроглядній_пітьмі', 'чорний_колір', 'magic_the_gathering', 'повній_темряві', 'мурин', 'чорне', 'негроїд', 'чорна_жінка', 'му́ринка', 'joseph_black']
blood	кров	Match	['лінії_крові', 'гематологічні', 'blood', 'спадковості', 'бордо', 'генетичної_спадковості', 'спадковість', 'розпусник', 'киснем_кров', 'кров', 'крові', 'походження', 'vs', 'гема', 'родоводу', 'крівця', 'вина_бордо', 'persistence_of_time', 'крові_людини', 'біологічного_успадкування', 'collective_soul', 'the_black_parade', 'getting_away_with_murder', 'крів']
blow	ударити	Not found	[]
bone	кістки	Match	['ость', 'кісткової_тканини', 'кість', 'не_зовсім_білий', 'def_jam_recordings', 'кісткової', 'def_jam', 'кістка', 'bone', 'кістки']
breast	пухлина	Incorrect	['біле_мясо', 'ци́цька', 'рак_грудей', 'цицька', 'грудна_клітка', 'pectus', 'рак_молочної_залози', 'бюст', 'груди', 'пухлина_недоброякісна_молочної_залози', 'жіноча', 'погруддя', 'the_breast', 'грудей', 'раку_молочної_залози', 'грудна_клітина', 'недоброякісна_пухлина_молочної_залози', 'цицьки', 'грудне', 'молочні_залози_жінок']
breathe	дихати	Match	['kristof_konrad', 'time', 'дихай', 'hints_allegations_and_things_left_unsaid', 'breathe', 'dark_side_of_the_moon', 'the_dark_side_of_the_moon', 'дихати', 'iempire', 'funeral_for_yesterday', 'a_class']
burn	спалювати	Found close match: ['спалити', 'спали́ти', 'пали́ти']	['fc_dallas', 'пожежі', 'опіки', 'спали́ти', 'третього_ступеня_опік', 'смага', 'струмок', 'потік', 'опіки_третього_ступеня', 'згорі́ти', 'burn', 'водотік', 'палаючий', 'спалити', 'другого_ступеня_записати', 'ручай', 'загар', 'записати', 'еритема_solare', 'підпалинами', 'ruisseau', 'горі́ти', 'струмки', 'водотоку', 'водотоки', 'засмагу', 'вогонь', 'полумя', 'пали́ти', 'по́лумя', 'опік', 'переривчастий_потік']
child	дитина	Match	['дітинча', 'школярів', 'дитяча', 'нащадок', 'lenfant', 'дочки', 'дитини', 'дитятко', 'бахурни', 'дитя', 'дітвора', 'малеча', 'хлопчик', 'дочка', 'діти', 'дочка́', 'не_досягли_статевої_зрілості', 'чадо', 'дітей', 'малятко', 'інфант', 'незначний', 'чайлд', 'дитяче', 'дитинча', 'дитина', 'колючка', 'неповнолітніх']
