all	všetkých	Match	['akútnej_lymfoblastickou_leukémiou', 'úplne', 'dokonale', 'všetok', 'akútnej_lymfocytárnej_leukémie', 'vcelku', 'celkom', 'všetko', 'všeobecný_kvantor', 'univerzálne_uzavretie', 'vsetky', 'akútnou_lymfoblastickou_leukémiou', 'celkovo', 'univerzálny_kvantifikátor', '∀', 'generalizátor', 'all', 'všetky', 'totálne', 'univerzálny_kvantifikácia', 'všetci', 'kompletne', 'všeobecný_kvantifikátor', 'veľký_kvantifikátor', 'všetkých']
and	a	Not found	[]
animal	zvierat	Match	['zvierat', 'fauna', 'stvorenia', 'polycytozoa', 'živočíšne', 'živočíchy', 'animal', 'epifauna', 'wasp', 'zvieraťa', 'animalia', 'zviera', 'epifaunal', 'rastlinného', 'zvieratá', 'metazoá', 'metazoans', 'animovať_je', 'zvieracie', 'far_east_movement', 'typ_bytosti', 'rozmnožovanie_živočíchov', 'infauna', 'živočích', 'makrofaunu', 'reality_check']
ashes	pohrebov	Incorrect	['post_mortem', 'popol', 'ashes']
at	uk,	Not found	[]
back	späť	Match	['zadnej_časti', 'obálka', 'obal', 'knižná_väzba', 'chrbtica', 'bek', 'back', 'schváliť', 'knižnej_väzby', 'tighthead_prop', 'schvaľovať', '백', 'na_centra', 'spätne', 'naspäť', 'späť', 'flyhalf', '白', 'dozadu', 'obranca', 'zadák', 'zadok', 'flypolovica', 'podporiť', 'chrbtová_kosť', 'päk', 'nazad', 'operadlo', 'chrbtice', 'chrbát', 'ľavého_obrancu', 'podporovať', 'zadná_časť', 'rub', 'stavcov', 'mimo_centrum_mesta', 'kostrnka', 'columna_vertebralis']
bad	zlé	Match	['zlo', 'blbo', 'nesprávny', 'bcl2súvisiace_smrti_propagátora', 'big_audio_dynamite', 'royce_da_59', 'nehodný', 'zloba', 'nedobrý', 'zlobu', 'zlé', 'zlá', 'bad', 'bad_world_tour', 'zlý']
bark	steblá	Incorrect	['kôra', 'iliušin_il2', 'kôry', 'il2', 'bark', 'periderm', 'iľjušin_il2', 'barque', 'brechať', 'havkať', 'borka', 'rhytidoma', 'stromovej_kôry', 'štekať']
because	pretože	Match	['pretože', 'lebo', 'because', 'pretoze']
belly	brucho	Match	['bruško', 'bachora', 'brucho', 'ľudského_brucha', 'brušnej', 'belly', 'brušné_svaly', 'brucha', 'veľké_brucho']
