ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
accomplished	{'experta', 'cumplido', 'experto', 'establecido', 'consumado', 'realizado', 'dotada', 'comprobado', 'dotado', 'logrado', 'consumada', 'completado', 'cumplida'}
all	{'para_cada', 'por_completo', 'totalmente', 'cuantificador_universal,', 'bcr', 'hints,_allegations,_and_things_left_unsaid', 'leucemia_linfocítica_aguda', 'leucemia_linfoide_aguda', 'completamente', 'para_todo', 'clausura_universal', 'leucemia_linfoblástica', 'hints_allegations_&_things_left_unsaid', 'hints,_allegations_&_things_left_unsaid', 'leucemia_linfoblástica_aguda', 'leucemia_linfoblastica_aguda', 'leucemia_linfática_aguda', 'hints_allegations_and_things_left_unsaid', 'proverbios_españoles', 'cuantificador_universal', '∀', 'leucemia_linfatica_aguda', 'lla', 'cuantificación_universal', 'cabalmente', 'all', 'enteramente', 'hints_allegations,_and_things_left_unsaid', 'todos', 'todo', 'toda', 'todas'}
and	{'conjunción_lógica', 'puerta_lógica_not', 'lógica_discreta', 'and_logico', 'compuertas_logicas', 'and', 'puerta_logica_not', 'if', 'armed_and_dangerous', 'puerta_logica', 'esposo_de_luhan', 'circuito_lógico', 'oh_se-hun', 'la_puerta_lógica', 'compuertas_lógicas', 'not', 'esposo_de_baek', 'sehun', 'xnor', '∧', 'conjuncion_lógica', 'conjunción', 'nand', 'puerta_logicas', 'compuerta_logica', 'compuerta_lógica', 'oh_sehun', 'puerta_lógica', 'and_lógico', 'puertas_lógicas', 'puerta_si'}
angry	{'rabia', 'enojados', 'brava', 'furioso', 'furibundo', 'bravo', 'iracundo', 'tormentoso', 'enfurecido', 'enfadarse', 'kay_starr', 'iracundia', 'airado', 'embravecido', 'enojadas', 'cólera_morbus', 'colérico', 'ràbia', 'enfado', 'irascible', 'colera_morbus', 'krodho', 'enojo', 'tempestuoso', 'enojado', 'violento', 'enfadadas', 'furia', 'airada', 'indignacion', 'ira', 'colera', 'irascibilidad', 'mad_season', 'airadas', 'enfadada', 'airados', 'enfadados', 'furor', 'indignación', 'enfadado', 'cólera', 'enojada', 'press_to_play'}
animal	{'animal', 'animales', 'metazoo', 'animalia', 'joseph_laurinaitis', 'reino_animalia', 'carnal', 'animales_salvajes', 'reino_animal', 'metazoos', 'vegetal', 'reality_check', 'w_a.s.p.', 'w.a.s.p.', 'fauna', 'epifauna', 'animalada', 'w_a_s_p', 'el_animal', 'criatura', 'stephen', 'w_a_s_p.', 'far_east_movement', 'macrofauna', 'res', 'ser_animado', 'vida_animal', 'sensual', 'metazoarios', 'el_reino_animal', 'infauna', 'w_a_s.p.', 'reproducción_animal', 'road_warrior_animal', 'animal_:_an_international_journal_of_animal_bioscience.', 'bestia', 'metazoario', 'metazoa'}
apartment	{'apartamiento', 'departamento', 'edificios_de_apartamentos', 'apartamentos', 'apartamento', 'vivienda', 'complejo_de_apartamento', 'bloque_mansión', 'bloque_de_pisos', 'apartamento_con_jardín', 'apartment', "l'appartement", 'complejo_de_apartamentos', 'piso'}
applause	{'applause', 'plauso', 'palmas', 'aplaudir', 'aplausos', 'mano_aplaudiendo', 'aplauso', 'palmada', 'palmadas'}
argument	{'argumento_verbo', 'lid', 'complementos_argumentales', 'bronca', 'pendencia', 'argumento_oblicuo', 'argumentos', 'debate', 'quimera', 'argumento', 'argumento_de_una_función', 'controversias', 'programa_de_debates', 'desavenencia', 'debatir', 'argumentacion', 'teoria_de_la_argumentación', 'teoria_de_la_argumentacion', 'variable_independiente', 'controversial', 'pelea', 'disceptation', 'riña', 'controversia', 'polémica', 'debates', 'lucha', 'discusión', 'argumento_del_verbo', 'complemento_argumentativo', 'discutir', 'teoría_de_la_argumentacion', 'equipo_debate', 'línea_de_razonamiento', 'parámetro', 'argumentar', 'teoría_de_la_argumentación', 'argumento_de_un_numero_complejo', 'argumento_lógico', 'disputa', 'argumento_literario', 'argumento_de_un_número_complejo', 'argumento_verbal', 'argumento_en_general', 'debate_político', 'línea', 'argumentación', 'parametro', 'argumento_musical', 'argumentando'}
argumentatively	{'controvertidamente', 'combativamente', 'argumentativamente'}
art	{'arquitectura_beaux_arts', 'artisticos', 'academicismo_frances', 'gráficos', 'pericia', 'art', 'myst', 'la_creación_artística', 'determinante', 'maestría', 'creación_artística', 'valor', 'artista_plástico', 'artículo', 'agrp', 'gráfico', 'artn', 'cuestión_no_textual', 'artistico', 'arquitectura_academicista', '«_art_»', 'arquitectura_beaux-arts', 'proteina_r-agouti', 'producción_artística', 'obras_de_arte', 'beaux_arts', 'péptido_relacionado_con_agouti', 'diseño_de_arte', 'gráfica', 'proteína_r-agouti', 'bellas_artes', 'academicismo_francés', 'dilbert', "d'ni", 'estilo_beaux-arts', 'academicista_frances', 'articulo', 'arte', 'artísticos', 'grado_en_bellas_artes', 'academicista_francés', 'artístico', 'expresión_artística', 'la_proteina_r-agouti', 'android_runtime'}
ashes	{'the_perfect_element,_part_i', 'the_ashes', 'the_perfect_element_part_i', 'post_mortem', 'ashes'}
at	{'transmisión_automatica', 'austria', 'caja_de_cambios_automática', 'austría', 'oesterreich', 'tiptronic', 'osterreich', 'at_factor_de_forma', 'republik_osterreich', 'programador_de_tareas', 'transmisiones_automáticas', 'atd', 'transmision_automática', '@', 'transmisión_automática', 'batch', 'república_de_austria', 'archive_team', 'ástato', 'republik_österreich', 'transmision_automatica', 'btk', 'config_sys', 'segunda_republica_de_austria', 'astato', 'appalachian_national_scenic_trail', 'kip_laosiano', 'ii_república_de_austria', 'österreich', 'accionamiento_automático', '₭', 'cambio_automatico', 'gatm', 'config.sys', 'tirosina_kinasa_de_burton', 'número_atómico_85', 'cambio_automático', 'tirosina_quinasa_de_bruton', 'arroba', 'at', 'att', 'segunda_república_de_austria', 'austríaco', 'at_form_factor', 'republica_de_austria', 'austrica', 'sendero_de_los_apalaches', 'ii_republica_de_austria', 'austriaco', 'tirosina_kinasa_de_bruton', 'austriaca', 'austríaca', 'toyota_coaster', 'kip', 'austro'}
