ability	sposobnost	Match	['talent', 'mogućnost', 'sposobnost', 'nadarenost', 'moć', 'prirođena_sklonost', 'sposobnosti']
accomplished	uspješan	Incorrect	['ostvaren', 'postigao']
angry	naljuti	Found close match: ['ljut', 'ljuta']	['mad_season', 'ljuta', 'ljut', 'angriness', 'kay_starr', 'ljutnja', 'press_to_play']
apartment	restorana	Found close match: ['stan']	['stambenoj_zgradi', 'vila_blok', 'apartmanskom_naselju', 'stan', 'apartment', 'apartman', 'blok_stanova', 'vrt_apartman']
applause	publike	Incorrect	['pljesak', 'pljȇsak', 'aplauz', 'applause', 'pljeskanje', 'handclaps', 'aplàuz']
argument	argumentu	Found close match: ['argument', 'argumenti', 'argumente']	['disceptation', 'nagnute_argument', 'rasprava', 'glagol_argument', 'argumentacija', 'logičkog_argumenta', 'govora_i_rasprava', 'kontroverzi', 'prijepor', 'debata', 'logičan_argument', 'kontroverza', 'pobijanje', 'kontroverze', 'tvrdeći', 'obrazlaganje', 'linija_razmišljanja', 'argumente', 'parametar', 'argumentacije', 'dokazivanje', 'polemika', 'diskusija', 'argument', 'argumentiranje', 'političke_debate', 'argumenti', 'književni_argument', 'izjava', 'liniju', 'raspraviti']
art	umjetnosti	Match	['ilustracije', 'likovnih_umjetnosti', 'umijeće', 'umjetnica', 'fino_umjetnik', 'članak', 'agouti_vezane_peptid', 'umjetničkog_izražavanja', 'grafičko_oblikovanje', 'umjetnička_produkcija', 'lijepa_umjetnost', 'junaštvo', 'umješnost', 'art', 'nontextual_stvar', 'grafika', 'grafike', 'umjetnost', 'beauxarts_arhitekture', 'beaux_arts', 'umjetnosti', 'beaux_arts_arhitekture', 'grafički', 'likovne_umjetnosti', 'umjetnik', 'grafičarka', 'beauxarts_stilu', 'grafičar', 'umjetničko_stvaralaštvo', 'član', 'dni']
attitude	stav	Match	['nepodopštinu', 'vladanje', 'težnja', 'raspolaganja', 'društveno_ponašanje', 'attitude', 'malpresentation', 'stav', 'ponašanje', 'društvenog_ponašanja', 'ponašanja', 'dispozicija', 'držanje', 'bijesan', 'reload', 'ponašanju', 'ophođenje', 'prostorne_orijentacije', 'djela', 'uvjerenje', 'orijentacija', 'mentalni_stav', 'položaj', 'euler_kutova', 'tendencija', 'nedolično_ponašanje', 'usmjerenje', 'položaju', 'sklonost', 'poza']
bag	vrećica	Match	['otuđiti', 'torbica', 'krasti', 'torba_za_kupovinu', 'bag', 'kartonska_vrećica', 'multiset', 'torbu', 'taška', 'vime', 'kofer', 'putna_torba', 'koveeg', 'škarnicl', 'šalica_čaja', 'papirnata_vrećica', 'multisets', 'stara_torba', 'baza', 'torba', 'ukrasti', 'pokrasti', 'otuđivati', 'vreća', 'vimena', 'kesica', 'kufer', 'puna_torba', 'kovčeg', 'vrećica', 'plastična_vrećica', 'torbe', 'izbočiti_se', 'kesa']
ball	lopta	Match	['tane', 'gruda', 'loptu', 'glob', 'puščanim_loptu', 'nogometna_lopta', 'mušketa_lopte', 'metak', 'zrno', 'blok', 'jagodica', 'okruglasti', 'sjemenik', 'ballock', 'teniska_loptica', 'bal', 'sfera', 'puščano_zrno', 'sjemenici', 'kugla', 'testis', 'komad', 'jaja', 'testisa', 'teste', 'testisi', 'nogomet', 'teniske_loptice', 'tenisku_lopticu', 'cjevčica', 'ball', 'polukuglu', 'štrajk_zona', 'mudo', 'lucille_ball', 'loptica', 'lopta', 'john_ball', 'grumen']
