all	כל	Match	['כמת_אוניברסלי', 'לוקמיה_לימפוציטית_חריפה', 'כולם', 'הסגירה_האוניברסלית', 'לוקמיה_לימפוציטית_החריפה', 'לחלוטין', 'all', 'לוקמיה_לימפובלסטית_החריפה', 'לַחֲלוּטִין', 'כל', 'בשלמותu200e', 'כימות_אוניברסלי', 'לְגַמְרֵי', 'הכל', 'לגמרי']
and	,	Not found	[]
animal	מבויתות	Incorrect	['חיה', 'יצור', 'בַּעַלחַיִּים', 'animal', 'epifauna', 'ניפש_להיות', 'מטזואה', 'wasp', 'החי', 'בעח', 'בהמה', 'animalia', 'epifaunal', 'וmacrofauna', 'ממלכת_החי', 'צמח', 'בעלי_חיים', 'metazoans', 'חַיָּה', 'חיות', 'פאונה', 'בעליחיים', 'עולם_החי', 'far_east_movement', 'בעל_חיים', 'infauna', 'אנימל', 'בעלחיים', 'בעלי־חיים', 'פאר_איסט_מובמנט', 'reality_check']
ashes	מגופות	Incorrect	['post_mortem', 'אפר', 'ashes']
at	,	Not found	[]
back	אחורה	Match	['עמוד_שדרה_מותני', 'עמוד_השדרה', 'מגןu200e', 'back', 'פאק', 'לאחור', '백', 'rachis', 'עמוד_שדרה_חזי', 'מִשְׁעֶנֶת', 'יָד', 'flyhalf', 'עמוד_שדרה_צווארי', 'גבu200e', 'גַּב', 'בחזרה', 'משענת_גב', 'עמוד_השידרה', 'אחורה', 'עַמּוּד_שִׁדְרָהu200e', 'החוליות', 'השדרה', 'גב', 'כריכהu200e', 'האחורי', 'עמוד_שדרה', 'חזרה', 'בַּלָּם', 'כריכת_ספרים']
bad	גרוע	Found close match: ['רוע', 'רע']	['אמרגן_המוות_bcl2משויך', 'רעות', 'רויס_דה_59', 'big_audio_dynamite', 'רָע', 'royce_da_59', 'ראיין_מונטגמרי', 'רוע', 'רעים', 'רַע', 'רע', 'רעה', 'רועu200e', 'רויס_דה_95', 'bad', 'bad_world_tour']
bark	עלים	Incorrect	['נבחu200e', 'האו_האו', 'שִׁעוּל__שיעולu200e', 'bark', 'איליושין_il2', 'לנבוח', 'שטורמוביק', 'נביחה', 'periderm', 'קליפת_עץ', 'איל_2_שטורמוביק', 'סירה', 'הב_הב']
because	משום	Incorrect	['because', 'כִּי', 'בגללu200e', 'כי', 'בגלל', 'בִּגְלַל_שֶׁ־']
belly	והחזה	Incorrect	['בֶּטֶן', 'הבטן_האנושית', 'בֶּטֶן', 'בטן', 'belly', 'כרס', 'כֶּרֶס', 'גָּחוֹן', 'בֶּטֶןu200e', 'הבטן']
